D_TEMPORAL_0;D_CIE10_0;D_TERRITORIO_0;D_SEXO_0;INDICATOR;OBS_VALUE;FREQ
2020;56232;2352;3689;Defunciones;812.0;A
2020;56232;2352;3690;Defunciones;520.0;A
2020;56232;2402;3691;Defunciones;2788.0;A
2020;56232;2402;3689;Defunciones;1730.0;A
2020;56232;2402;3690;Defunciones;1058.0;A
2020;56232;2482;3691;Defunciones;1837.0;A
2020;56232;2482;3689;Defunciones;1083.0;A
2020;56232;2482;3690;Defunciones;754.0;A
2020;56232;2713;3691;Defunciones;2039.0;A
2020;56232;2713;3689;Defunciones;1246.0;A
2020;56232;2713;3690;Defunciones;793.0;A
2020;56232;2797;3691;Defunciones;1211.0;A
2020;56232;2797;3689;Defunciones;744.0;A
2020;56232;2797;3690;Defunciones;467.0;A
2020;56232;2911;3691;Defunciones;1421.0;A
2020;56232;2911;3689;Defunciones;839.0;A
2020;56232;2911;3690;Defunciones;582.0;A
2020;56232;3023;3691;Defunciones;3451.0;A
2020;56232;3023;3689;Defunciones;2113.0;A
2020;56232;3023;3690;Defunciones;1338.0;A
2020;56232;3142;3691;Defunciones;4244.0;A
2020;56232;3142;3689;Defunciones;2584.0;A
2020;56232;3142;3690;Defunciones;1660.0;A
2020;56266;3143;3691;Defunciones;312.0;A
2020;56266;3143;3689;Defunciones;144.0;A
2020;56266;3143;3690;Defunciones;168.0;A
2020;56266;2352;3691;Defunciones;30.0;A
2020;56266;2352;3689;Defunciones;19.0;A
2020;56266;2352;3690;Defunciones;11.0;A
2020;56266;2402;3691;Defunciones;44.0;A
2020;56266;2402;3689;Defunciones;25.0;A
2020;56266;2402;3690;Defunciones;19.0;A
2020;56266;2482;3691;Defunciones;38.0;A
2020;56266;2482;3689;Defunciones;10.0;A
2020;56266;2482;3690;Defunciones;28.0;A
2020;56266;2713;3691;Defunciones;23.0;A
2020;56266;2713;3689;Defunciones;10.0;A
2020;56266;2713;3690;Defunciones;13.0;A
2020;56266;2797;3691;Defunciones;24.0;A
2020;56266;2797;3689;Defunciones;8.0;A
2020;56266;2797;3690;Defunciones;16.0;A
2020;56266;2911;3691;Defunciones;34.0;A
2020;56266;2911;3689;Defunciones;14.0;A
2020;56266;2911;3690;Defunciones;20.0;A
2020;56266;3023;3691;Defunciones;61.0;A
2020;56266;3023;3689;Defunciones;30.0;A
2020;56266;3023;3690;Defunciones;31.0;A
2020;56266;3142;3691;Defunciones;58.0;A
2020;56266;3142;3689;Defunciones;28.0;A
2020;56266;3142;3690;Defunciones;30.0;A
2020;56338;3143;3691;Defunciones;2565.0;A
2020;56338;3143;3689;Defunciones;1121.0;A
2020;56338;3143;3690;Defunciones;1444.0;A
2020;56338;2352;3691;Defunciones;208.0;A
2020;56338;2352;3689;Defunciones;109.0;A
2020;56338;2352;3690;Defunciones;99.0;A
2020;56338;2402;3691;Defunciones;377.0;A
2020;56338;2402;3689;Defunciones;169.0;A
2020;56338;2402;3690;Defunciones;208.0;A
2020;56338;2482;3691;Defunciones;337.0;A
2020;56338;2482;3689;Defunciones;141.0;A
2020;56338;2482;3690;Defunciones;196.0;A
2020;56338;2713;3691;Defunciones;295.0;A
2020;56338;2713;3689;Defunciones;118.0;A
2020;56338;2713;3690;Defunciones;177.0;A
2020;56338;2797;3691;Defunciones;171.0;A
2020;56338;2797;3689;Defunciones;74.0;A
2020;56338;2797;3690;Defunciones;97.0;A
2020;56338;2911;3691;Defunciones;331.0;A
2020;56338;2911;3689;Defunciones;148.0;A
2020;56338;2911;3690;Defunciones;183.0;A
2020;56338;3023;3691;Defunciones;385.0;A
2020;56338;3023;3689;Defunciones;162.0;A
2020;56338;3023;3690;Defunciones;223.0;A
2020;56338;3142;3691;Defunciones;461.0;A
2020;56338;3142;3689;Defunciones;200.0;A
2020;56338;3142;3690;Defunciones;261.0;A
2020;56416;3143;3691;Defunciones;2449.0;A
2020;56416;3143;3689;Defunciones;831.0;A
2020;56416;3143;3690;Defunciones;1618.0;A
2020;56416;2352;3691;Defunciones;190.0;A
2020;56416;2352;3689;Defunciones;68.0;A
2020;56416;2352;3690;Defunciones;122.0;A
2020;56416;2402;3691;Defunciones;349.0;A
2020;56416;2402;3689;Defunciones;122.0;A
2020;56416;2402;3690;Defunciones;227.0;A
2020;56416;2482;3691;Defunciones;339.0;A
2020;56416;2482;3689;Defunciones;116.0;A
2020;56416;2482;3690;Defunciones;223.0;A
2020;56416;2713;3691;Defunciones;286.0;A
2020;56416;2713;3689;Defunciones;99.0;A
2020;56416;2713;3690;Defunciones;187.0;A
2020;56416;2797;3691;Defunciones;80.0;A
2020;56416;2797;3689;Defunciones;34.0;A
2020;56416;2797;3690;Defunciones;46.0;A
2020;56416;2911;3691;Defunciones;233.0;A
2020;56416;2911;3689;Defunciones;61.0;A
2020;56416;2911;3690;Defunciones;172.0;A
2020;56416;3023;3691;Defunciones;533.0;A
2020;56416;3023;3689;Defunciones;177.0;A
2020;56416;3023;3690;Defunciones;356.0;A
2020;56416;3142;3691;Defunciones;439.0;A
2020;56416;3142;3689;Defunciones;154.0;A
2020;56416;3142;3690;Defunciones;285.0;A
2020;56536;3143;3691;Defunciones;4408.0;A
2020;56536;3143;3689;Defunciones;1705.0;A
2020;56536;3143;3690;Defunciones;2703.0;A
