D_G102_0;D_EDAD_0;D_TERRITORIO_0;D_TEMPORAL_0;D_MES_0;D_SEXO_0;INDICATOR;OBS_VALUE;FREQ
57629;61617;3143;2013;55919;3691;Defunciones;1.0;A
57629;61617;3143;2013;55919;3690;Defunciones;1.0;A
57629;61618;3143;2014;55920;3691;Defunciones;12.0;A
57629;61618;3143;2014;55920;3689;Defunciones;5.0;A
57629;61618;3143;2014;55920;3690;Defunciones;7.0;A
57629;61618;3143;2014;55908;3691;Defunciones;5.0;A
57629;61618;3143;2014;55908;3689;Defunciones;2.0;A
57629;61618;3143;2014;55908;3690;Defunciones;3.0;A
57629;61618;3143;2014;55909;3691;Defunciones;1.0;A
57629;61618;3143;2014;55909;3690;Defunciones;1.0;A
57629;61618;3143;2014;55910;3691;Defunciones;2.0;A
57629;61618;3143;2014;55910;3689;Defunciones;2.0;A
57629;61618;3143;2014;55911;3691;Defunciones;1.0;A
57629;61618;3143;2014;55911;3690;Defunciones;1.0;A
57629;61618;3143;2014;55913;3691;Defunciones;1.0;A
57629;61618;3143;2014;55913;3690;Defunciones;1.0;A
57629;61618;3143;2014;55915;3691;Defunciones;1.0;A
57629;61618;3143;2014;55915;3690;Defunciones;1.0;A
57629;61618;3143;2014;55918;3691;Defunciones;1.0;A
57629;61618;3143;2014;55918;3689;Defunciones;1.0;A
57629;61618;3143;2013;55920;3691;Defunciones;9.0;A
57629;61618;3143;2013;55920;3689;Defunciones;3.0;A
57629;61618;3143;2013;55920;3690;Defunciones;6.0;A
57629;61618;3143;2013;55908;3691;Defunciones;3.0;A
57629;61618;3143;2013;55908;3689;Defunciones;1.0;A
57629;61618;3143;2013;55908;3690;Defunciones;2.0;A
57629;61618;3143;2013;55909;3691;Defunciones;1.0;A
57629;61618;3143;2013;55909;3690;Defunciones;1.0;A
57629;61618;3143;2013;55910;3691;Defunciones;1.0;A
57629;61618;3143;2013;55910;3689;Defunciones;1.0;A
57629;61618;3143;2013;55913;3691;Defunciones;1.0;A
