TEMPORAL;TERRITORIO;EDAD;SEXO;INDICATOR;OBS_VALUE;FREQ
2008;ES61;TOTAL;_T;NACI;100293.0;A
2008;ES61;TOTAL;M;NACI;52057.0;A
2008;ES61;TOTAL;F;NACI;48236.0;A
2008;ES61;Y_LT15;_T;NACI;42.0;A
2008;ES61;Y_LT15;M;NACI;22.0;A
2008;ES61;Y_LT15;F;NACI;20.0;A
2008;ES61;Y15-29;_T;NACI;3822.0;A
2008;ES61;Y15-29;M;NACI;1966.0;A
2008;ES61;Y15-29;F;NACI;1856.0;A
2008;ES61;Y20-24;_T;NACI;11242.0;A
2008;ES61;Y20-24;M;NACI;5761.0;A
2008;ES61;Y20-24;F;NACI;5481.0;A
2008;ES61;Y25-29;_T;NACI;25180.0;A
2008;ES61;Y25-29;M;NACI;13088.0;A
2008;ES61;Y25-29;F;NACI;12092.0;A
2008;ES61;Y30-34;_T;NACI;37257.0;A
2008;ES61;Y30-34;M;NACI;19350.0;A
2008;ES61;Y30-34;F;NACI;17907.0;A
2008;ES61;Y35-39;_T;NACI;19134.0;A
2008;ES61;Y35-39;M;NACI;9988.0;A
2008;ES61;Y35-39;F;NACI;9146.0;A
2008;ES61;Y30-44;_T;NACI;3434.0;A
2008;ES61;Y30-44;M;NACI;1794.0;A
2008;ES61;Y30-44;F;NACI;1640.0;A
2008;ES61;Y45-64;_T;NACI;175.0;A
2008;ES61;Y45-64;M;NACI;84.0;A
2008;ES61;Y45-64;F;NACI;91.0;A
2008;ES61;Y65-100;_T;NACI;7.0;A
2008;ES61;Y65-100;M;NACI;4.0;A
2008;ES61;Y65-100;F;NACI;3.0;A
2008;ES611;TOTAL;_T;NACI;9135.0;A
2008;ES611;TOTAL;M;NACI;4699.0;A
2008;ES611;TOTAL;F;NACI;4436.0;A
2008;ES611;Y_LT15;_T;NACI;4.0;A
2008;ES611;Y_LT15;M;NACI;2.0;A
2008;ES611;Y_LT15;F;NACI;2.0;A
2008;ES611;Y15-29;_T;NACI;435.0;A
2008;ES611;Y15-29;M;NACI;232.0;A
2008;ES611;Y15-29;F;NACI;203.0;A
2008;ES611;Y20-24;_T;NACI;1391.0;A
2008;ES611;Y20-24;M;NACI;710.0;A
2008;ES611;Y20-24;F;NACI;681.0;A
2008;ES611;Y25-29;_T;NACI;2590.0;A
2008;ES611;Y25-29;M;NACI;1365.0;A
2008;ES611;Y25-29;F;NACI;1225.0;A
2008;ES611;Y30-34;_T;NACI;2989.0;A
2008;ES611;Y30-34;M;NACI;1507.0;A
2008;ES611;Y30-34;F;NACI;1482.0;A
2008;ES611;Y35-39;_T;NACI;1470.0;A
2008;ES611;Y35-39;M;NACI;765.0;A
2008;ES611;Y35-39;F;NACI;705.0;A
2008;ES611;Y30-44;_T;NACI;245.0;A
2008;ES611;Y30-44;M;NACI;115.0;A
2008;ES611;Y30-44;F;NACI;130.0;A
2008;ES611;Y45-64;_T;NACI;10.0;A
2008;ES611;Y45-64;M;NACI;2.0;A
2008;ES611;Y45-64;F;NACI;8.0;A
