TEMPORAL;TERRITORIO;EDAD;SEXO;INDICATOR;OBS_VALUE;FREQ
2014;ES61;TOTAL;_T;NACI;82195.0;A
2014;ES61;TOTAL;M;NACI;42190.0;A
2014;ES61;TOTAL;F;NACI;40005.0;A
2014;ES61;Y_LT15;_T;NACI;38.0;A
2014;ES61;Y_LT15;M;NACI;17.0;A
2014;ES61;Y_LT15;F;NACI;21.0;A
2014;ES61;Y15-29;_T;NACI;2031.0;A
2014;ES61;Y15-29;M;NACI;1045.0;A
2014;ES61;Y15-29;F;NACI;986.0;A
2014;ES61;Y20-24;_T;NACI;7439.0;A
2014;ES61;Y20-24;M;NACI;3820.0;A
2014;ES61;Y20-24;F;NACI;3619.0;A
2014;ES61;Y25-29;_T;NACI;16919.0;A
2014;ES61;Y25-29;M;NACI;8685.0;A
2014;ES61;Y25-29;F;NACI;8234.0;A
2014;ES61;Y30-34;_T;NACI;29729.0;A
2014;ES61;Y30-34;M;NACI;15346.0;A
2014;ES61;Y30-34;F;NACI;14383.0;A
2014;ES61;Y35-39;_T;NACI;21265.0;A
2014;ES61;Y35-39;M;NACI;10817.0;A
2014;ES61;Y35-39;F;NACI;10448.0;A
2014;ES61;Y30-44;_T;NACI;4481.0;A
2014;ES61;Y30-44;M;NACI;2310.0;A
2014;ES61;Y30-44;F;NACI;2171.0;A
2014;ES61;Y45-64;_T;NACI;277.0;A
2014;ES61;Y45-64;M;NACI;146.0;A
2014;ES61;Y45-64;F;NACI;131.0;A
2014;ES61;Y65-100;_T;NACI;16.0;A
2014;ES61;Y65-100;M;NACI;4.0;A
2014;ES61;Y65-100;F;NACI;12.0;A
2014;ES611;TOTAL;_T;NACI;7859.0;A
2014;ES611;TOTAL;M;NACI;4041.0;A
2014;ES611;TOTAL;F;NACI;3818.0;A
2014;ES611;Y_LT15;_T;NACI;3.0;A
2014;ES611;Y_LT15;M;NACI;2.0;A
2014;ES611;Y_LT15;F;NACI;1.0;A
2014;ES611;Y15-29;_T;NACI;259.0;A
2014;ES611;Y15-29;M;NACI;125.0;A
2014;ES611;Y15-29;F;NACI;134.0;A
2014;ES611;Y20-24;_T;NACI;921.0;A
2014;ES611;Y20-24;M;NACI;476.0;A
2014;ES611;Y20-24;F;NACI;445.0;A
2014;ES611;Y25-29;_T;NACI;1837.0;A
2014;ES611;Y25-29;M;NACI;950.0;A
2014;ES611;Y25-29;F;NACI;887.0;A
2014;ES611;Y30-34;_T;NACI;2698.0;A
2014;ES611;Y30-34;M;NACI;1392.0;A
2014;ES611;Y30-34;F;NACI;1306.0;A
2014;ES611;Y35-39;_T;NACI;1748.0;A
2014;ES611;Y35-39;M;NACI;894.0;A
2014;ES611;Y35-39;F;NACI;854.0;A
2014;ES611;Y30-44;_T;NACI;363.0;A
2014;ES611;Y30-44;M;NACI;187.0;A
2014;ES611;Y30-44;F;NACI;176.0;A
2014;ES611;Y45-64;_T;NACI;28.0;A
2014;ES611;Y45-64;M;NACI;14.0;A
2014;ES611;Y45-64;F;NACI;14.0;A
2014;ES611;Y65-100;_T;NACI;2.0;A
2014;ES611;Y65-100;M;NACI;1.0;A
2014;ES611;Y65-100;F;NACI;1.0;A
2014;2241;TOTAL;_T;NACI;9.0;A
2014;2241;TOTAL;M;NACI;3.0;A
2014;2241;TOTAL;F;NACI;6.0;A
2014;2241;Y20-24;_T;NACI;2.0;A
2014;2241;Y20-24;M;NACI;1.0;A
2014;2241;Y20-24;F;NACI;1.0;A
2014;2241;Y25-29;_T;NACI;2.0;A
2014;2241;Y25-29;F;NACI;2.0;A
2014;2241;Y30-34;_T;NACI;5.0;A
2014;2241;Y30-34;M;NACI;2.0;A
2014;2241;Y30-34;F;NACI;3.0;A
2014;2242;TOTAL;_T;NACI;8.0;A
2014;2242;TOTAL;M;NACI;5.0;A
2014;2242;TOTAL;F;NACI;3.0;A
2014;2242;Y25-29;_T;NACI;5.0;A
2014;2242;Y25-29;M;NACI;3.0;A
2014;2242;Y25-29;F;NACI;2.0;A
2014;2242;Y35-39;_T;NACI;2.0;A
2014;2242;Y35-39;M;NACI;1.0;A
2014;2242;Y35-39;F;NACI;1.0;A
2014;2242;Y30-44;_T;NACI;1.0;A
2014;2242;Y30-44;M;NACI;1.0;A
2014;2243;TOTAL;_T;NACI;277.0;A
2014;2243;TOTAL;M;NACI;140.0;A
2014;2243;TOTAL;F;NACI;137.0;A
2014;2243;Y15-29;_T;NACI;7.0;A
2014;2243;Y15-29;M;NACI;5.0;A
2014;2243;Y15-29;F;NACI;2.0;A
2014;2243;Y20-24;_T;NACI;40.0;A
2014;2243;Y20-24;M;NACI;18.0;A
2014;2243;Y20-24;F;NACI;22.0;A
2014;2243;Y25-29;_T;NACI;74.0;A
2014;2243;Y25-29;M;NACI;39.0;A
2014;2243;Y25-29;F;NACI;35.0;A
2014;2243;Y30-34;_T;NACI;96.0;A
2014;2243;Y30-34;M;NACI;54.0;A
2014;2243;Y30-34;F;NACI;42.0;A
2014;2243;Y35-39;_T;NACI;50.0;A
2014;2243;Y35-39;M;NACI;17.0;A
