TEMPORAL;TERRITORIO;EDAD;SEXO;INDICATOR;OBS_VALUE;FREQ
2002;ES61;TOTAL;_T;NACI;81865.0;A
2002;ES61;TOTAL;M;NACI;42105.0;A
2002;ES61;TOTAL;F;NACI;39760.0;A
2002;ES61;Y_LT15;_T;NACI;31.0;A
2002;ES61;Y_LT15;M;NACI;14.0;A
2002;ES61;Y_LT15;F;NACI;17.0;A
2002;ES61;Y15-29;_T;NACI;3347.0;A
2002;ES61;Y15-29;M;NACI;1722.0;A
2002;ES61;Y15-29;F;NACI;1625.0;A
2002;ES61;Y20-24;_T;NACI;9722.0;A
2002;ES61;Y20-24;M;NACI;4953.0;A
2002;ES61;Y20-24;F;NACI;4769.0;A
2002;ES61;Y25-29;_T;NACI;23252.0;A
2002;ES61;Y25-29;M;NACI;11942.0;A
2002;ES61;Y25-29;F;NACI;11310.0;A
2002;ES61;Y30-34;_T;NACI;30114.0;A
2002;ES61;Y30-34;M;NACI;15596.0;A
2002;ES61;Y30-34;F;NACI;14518.0;A
2002;ES61;Y35-39;_T;NACI;13394.0;A
2002;ES61;Y35-39;M;NACI;6838.0;A
2002;ES61;Y35-39;F;NACI;6556.0;A
2002;ES61;Y30-44;_T;NACI;1915.0;A
2002;ES61;Y30-44;M;NACI;994.0;A
2002;ES61;Y30-44;F;NACI;921.0;A
2002;ES61;Y45-64;_T;NACI;85.0;A
2002;ES61;Y45-64;M;NACI;43.0;A
2002;ES61;Y45-64;F;NACI;42.0;A
2002;ES61;Y65-100;_T;NACI;5.0;A
2002;ES61;Y65-100;M;NACI;3.0;A
2002;ES61;Y65-100;F;NACI;2.0;A
2002;ES611;TOTAL;_T;NACI;6484.0;A
2002;ES611;TOTAL;M;NACI;3267.0;A
2002;ES611;TOTAL;F;NACI;3217.0;A
2002;ES611;Y_LT15;_T;NACI;4.0;A
2002;ES611;Y_LT15;M;NACI;1.0;A
2002;ES611;Y_LT15;F;NACI;3.0;A
2002;ES611;Y15-29;_T;NACI;334.0;A
2002;ES611;Y15-29;M;NACI;165.0;A
2002;ES611;Y15-29;F;NACI;169.0;A
2002;ES611;Y20-24;_T;NACI;1057.0;A
2002;ES611;Y20-24;M;NACI;506.0;A
2002;ES611;Y20-24;F;NACI;551.0;A
2002;ES611;Y25-29;_T;NACI;1919.0;A
2002;ES611;Y25-29;M;NACI;975.0;A
2002;ES611;Y25-29;F;NACI;944.0;A
2002;ES611;Y30-34;_T;NACI;2092.0;A
2002;ES611;Y30-34;M;NACI;1064.0;A
2002;ES611;Y30-34;F;NACI;1028.0;A
2002;ES611;Y35-39;_T;NACI;926.0;A
2002;ES611;Y35-39;M;NACI;476.0;A
2002;ES611;Y35-39;F;NACI;450.0;A
2002;ES611;Y30-44;_T;NACI;141.0;A
2002;ES611;Y30-44;M;NACI;75.0;A
2002;ES611;Y30-44;F;NACI;66.0;A
2002;ES611;Y45-64;_T;NACI;10.0;A
2002;ES611;Y45-64;M;NACI;4.0;A
2002;ES611;Y45-64;F;NACI;6.0;A
