TEMPORAL;TERRITORIO;SEXO;EDAD;INDICATOR;OBS_VALUE;FREQ
2020;ES611;M;Y20-24;DEATHS;11.0;A
2020;ES611;M;Y25-29;DEATHS;24.0;A
2020;ES611;M;Y30-34;DEATHS;27.0;A
2020;ES611;M;Y35-39;DEATHS;25.0;A
2020;ES611;M;Y40-44;DEATHS;44.0;A
2020;ES611;M;Y45-49;DEATHS;66.0;A
2020;ES611;M;Y50-54;DEATHS;105.0;A
2020;ES611;M;Y55-59;DEATHS;144.0;A
2020;ES611;M;Y60-64;DEATHS;242.0;A
2020;ES611;M;Y65-69;DEATHS;239.0;A
2020;ES611;M;Y70-74;DEATHS;366.0;A
2020;ES611;M;Y75-79;DEATHS;409.0;A
2020;ES611;M;Y80-84;DEATHS;457.0;A
2020;ES611;M;Y85-89;DEATHS;476.0;A
2020;ES611;M;Y90-94;DEATHS;300.0;A
2020;ES611;M;Y95-99;DEATHS;68.0;A
2020;ES611;M;Y_GE100;DEATHS;14.0;A
2020;ES611;F;TOTAL;DEATHS;2647.0;A
2020;ES611;F;Y_LT1;DEATHS;18.0;A
2020;ES611;F;Y1-4;DEATHS;1.0;A
2020;ES611;F;Y5-9;DEATHS;3.0;A
2020;ES611;F;Y10-14;DEATHS;1.0;A
2020;ES611;F;Y20-24;DEATHS;3.0;A
2020;ES611;F;Y25-29;DEATHS;8.0;A
2020;ES611;F;Y30-34;DEATHS;10.0;A
2020;ES611;F;Y35-39;DEATHS;22.0;A
2020;ES611;F;Y40-44;DEATHS;25.0;A
2020;ES611;F;Y45-49;DEATHS;33.0;A
2020;ES611;F;Y50-54;DEATHS;68.0;A
2020;ES611;F;Y55-59;DEATHS;88.0;A
2020;ES611;F;Y60-64;DEATHS;91.0;A
2020;ES611;F;Y65-69;DEATHS;114.0;A
2020;ES611;F;Y70-74;DEATHS;163.0;A
2020;ES611;F;Y75-79;DEATHS;226.0;A
2020;ES611;F;Y80-84;DEATHS;402.0;A
2020;ES611;F;Y85-89;DEATHS;645.0;A
2020;ES611;F;Y90-94;DEATHS;503.0;A
