TIME_PERIOD;REF_AREA;SEXO;EDAD;INDICATOR;OBS_VALUE;FREQ
2010;ES611;M;Y20-24;DEATHS;9.0;A
2010;ES611;M;Y25-29;DEATHS;7.0;A
2010;ES611;M;Y30-34;DEATHS;20.0;A
2010;ES611;M;Y35-39;DEATHS;37.0;A
2010;ES611;M;Y40-44;DEATHS;49.0;A
2010;ES611;M;Y45-49;DEATHS;58.0;A
2010;ES611;M;Y50-54;DEATHS;105.0;A
2010;ES611;M;Y55-59;DEATHS;127.0;A
2010;ES611;M;Y60-64;DEATHS;161.0;A
2010;ES611;M;Y65-69;DEATHS;190.0;A
2010;ES611;M;Y70-74;DEATHS;253.0;A
2010;ES611;M;Y75-79;DEATHS;417.0;A
2010;ES611;M;Y80-84;DEATHS;445.0;A
2010;ES611;M;Y85-89;DEATHS;354.0;A
2010;ES611;M;Y90-94;DEATHS;137.0;A
2010;ES611;M;Y95-99;DEATHS;46.0;A
2010;ES611;M;Y_GE100;DEATHS;9.0;A
2010;ES611;F;TOTAL;DEATHS;2122.0;A
2010;ES611;F;Y_LT1;DEATHS;11.0;A
2010;ES611;F;Y1-4;DEATHS;7.0;A
2010;ES611;F;Y5-9;DEATHS;2.0;A
2010;ES611;F;Y10-14;DEATHS;1.0;A
2010;ES611;F;Y15-19;DEATHS;4.0;A
2010;ES611;F;Y20-24;DEATHS;2.0;A
2010;ES611;F;Y25-29;DEATHS;8.0;A
2010;ES611;F;Y30-34;DEATHS;10.0;A
2010;ES611;F;Y35-39;DEATHS;18.0;A
2010;ES611;F;Y40-44;DEATHS;25.0;A
2010;ES611;F;Y45-49;DEATHS;34.0;A
2010;ES611;F;Y50-54;DEATHS;50.0;A
2010;ES611;F;Y55-59;DEATHS;40.0;A
2010;ES611;F;Y60-64;DEATHS;75.0;A
2010;ES611;F;Y65-69;DEATHS;91.0;A
2010;ES611;F;Y70-74;DEATHS;136.0;A
2010;ES611;F;Y75-79;DEATHS;293.0;A
2010;ES611;F;Y80-84;DEATHS;429.0;A
2010;ES611;F;Y85-89;DEATHS;470.0;A
2010;ES611;F;Y90-94;DEATHS;299.0;A
2010;ES611;F;Y95-99;DEATHS;96.0;A
2010;ES611;F;Y_GE100;DEATHS;21.0;A
2010;2241;_T;TOTAL;DEATHS;19.0;A
2010;2241;_T;Y60-64;DEATHS;1.0;A
2010;2241;_T;Y65-69;DEATHS;1.0;A
2010;2241;_T;Y70-74;DEATHS;1.0;A
2010;2241;_T;Y75-79;DEATHS;2.0;A
2010;2241;_T;Y80-84;DEATHS;3.0;A
2010;2241;_T;Y85-89;DEATHS;4.0;A
2010;2241;_T;Y90-94;DEATHS;3.0;A
2010;2241;_T;Y95-99;DEATHS;2.0;A
2010;2241;_T;Y_GE100;DEATHS;2.0;A
2010;2241;M;TOTAL;DEATHS;9.0;A
2010;2241;M;Y60-64;DEATHS;1.0;A
2010;2241;M;Y70-74;DEATHS;1.0;A
