TEMPORAL;SEXO;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2020;F;ES61;NACI;31995.0;A
2020;F;ES611;NACI;3294.0;A
2020;F;2241;NACI;1.0;A
2020;F;2242;NACI;5.0;A
2020;F;2243;NACI;110.0;A
2020;F;2245;NACI;3.0;A
2020;F;2246;NACI;50.0;A
2020;F;2247;NACI;3.0;A
2020;F;2250;NACI;3.0;A
2020;F;2251;NACI;18.0;A
2020;F;2253;NACI;901.0;A
2020;F;2256;NACI;13.0;A
2020;F;2257;NACI;3.0;A
2020;F;9563;NACI;5.0;A
2020;F;2264;NACI;19.0;A
2020;F;2269;NACI;50.0;A
2020;F;2270;NACI;2.0;A
2020;F;2271;NACI;4.0;A
2020;F;2272;NACI;28.0;A
2020;F;2273;NACI;1.0;A
2020;F;2277;NACI;1.0;A
2020;F;2278;NACI;4.0;A
2020;F;2276;NACI;75.0;A
2020;F;2279;NACI;20.0;A
2020;F;2347;NACI;515.0;A
2020;F;2282;NACI;4.0;A
2020;F;2284;NACI;2.0;A
2020;F;2285;NACI;8.0;A
2020;F;2286;NACI;7.0;A
2020;F;2287;NACI;1.0;A
2020;F;2288;NACI;19.0;A
2020;F;2289;NACI;6.0;A
2020;F;2290;NACI;44.0;A
2020;F;2291;NACI;7.0;A
2020;F;2292;NACI;2.0;A
2020;F;2293;NACI;54.0;A
2020;F;2294;NACI;74.0;A
2020;F;2295;NACI;1.0;A
2020;F;2298;NACI;6.0;A
2020;F;2299;NACI;1.0;A
2020;F;2300;NACI;5.0;A
2020;F;2301;NACI;1.0;A
2020;F;2302;NACI;1.0;A
2020;F;2303;NACI;21.0;A
2020;F;2304;NACI;1.0;A
2020;F;2305;NACI;17.0;A
2020;F;2348;NACI;58.0;A
2020;F;2306;NACI;1.0;A
2020;F;2307;NACI;168.0;A
2020;F;2308;NACI;3.0;A
2020;F;2310;NACI;18.0;A
2020;F;2311;NACI;6.0;A
2020;F;2313;NACI;2.0;A
2020;F;2315;NACI;21.0;A
2020;F;2316;NACI;51.0;A
2020;F;2317;NACI;4.0;A
2020;F;2318;NACI;1.0;A
2020;F;2319;NACI;9.0;A
2020;F;2320;NACI;433.0;A
2020;F;2322;NACI;3.0;A
2020;F;2324;NACI;5.0;A
2020;F;2327;NACI;11.0;A
2020;F;2328;NACI;1.0;A
2020;F;2329;NACI;19.0;A
2020;F;2330;NACI;4.0;A
2020;F;2331;NACI;3.0;A
2020;F;2332;NACI;1.0;A
2020;F;2333;NACI;11.0;A
2020;F;2346;NACI;1.0;A
2020;F;2334;NACI;17.0;A
2020;F;2336;NACI;1.0;A
2020;F;2339;NACI;1.0;A
2020;F;2340;NACI;20.0;A
2020;F;2341;NACI;95.0;A
2020;F;2342;NACI;39.0;A
2020;F;2343;NACI;162.0;A
2020;F;2344;NACI;9.0;A
2020;F;ES612;NACI;4485.0;A
2020;F;2353;NACI;15.0;A
2020;F;2354;NACI;13.0;A
2020;F;2355;NACI;2.0;A
2020;F;2356;NACI;471.0;A
2020;F;2357;NACI;19.0;A
2020;F;2358;NACI;109.0;A
2020;F;2359;NACI;75.0;A
2020;F;2361;NACI;91.0;A
2020;F;2397;NACI;22.0;A
2020;F;2362;NACI;3.0;A
2020;F;2363;NACI;29.0;A
2020;F;2364;NACI;7.0;A
2020;F;2365;NACI;345.0;A
2020;F;2366;NACI;12.0;A
2020;F;2368;NACI;314.0;A
