TEMPORAL;TERRITORIO;SEXO;EDAD;INDICATOR;OBS_VALUE;FREQ
2005;ES61;_T;TOTAL;DEATHS;65904.0;A
2005;ES61;_T;Y_LT1;DEATHS;401.0;A
2005;ES61;_T;Y1-4;DEATHS;74.0;A
2005;ES61;_T;Y5-9;DEATHS;53.0;A
2005;ES61;_T;Y10-14;DEATHS;57.0;A
2005;ES61;_T;Y15-19;DEATHS;185.0;A
2005;ES61;_T;Y20-24;DEATHS;266.0;A
2005;ES61;_T;Y25-29;DEATHS;331.0;A
2005;ES61;_T;Y30-34;DEATHS;457.0;A
2005;ES61;_T;Y35-39;DEATHS;719.0;A
2005;ES61;_T;Y40-44;DEATHS;973.0;A
2005;ES61;_T;Y45-49;DEATHS;1285.0;A
2005;ES61;_T;Y50-54;DEATHS;1597.0;A
2005;ES61;_T;Y55-59;DEATHS;2313.0;A
2005;ES61;_T;Y60-64;DEATHS;3156.0;A
2005;ES61;_T;Y65-69;DEATHS;4609.0;A
2005;ES61;_T;Y70-74;DEATHS;7853.0;A
2005;ES61;_T;Y75-79;DEATHS;10748.0;A
2005;ES61;_T;Y80-84;DEATHS;12556.0;A
2005;ES61;_T;Y85-89;DEATHS;9890.0;A
2005;ES61;_T;Y90-94;DEATHS;6205.0;A
2005;ES61;_T;Y95-99;DEATHS;1890.0;A
2005;ES61;_T;Y_GE100;DEATHS;286.0;A
2005;ES61;M;TOTAL;DEATHS;34655.0;A
2005;ES61;M;Y_LT1;DEATHS;228.0;A
2005;ES61;M;Y1-4;DEATHS;47.0;A
2005;ES61;M;Y5-9;DEATHS;31.0;A
2005;ES61;M;Y10-14;DEATHS;36.0;A
2005;ES61;M;Y15-19;DEATHS;138.0;A
2005;ES61;M;Y20-24;DEATHS;212.0;A
2005;ES61;M;Y25-29;DEATHS;255.0;A
2005;ES61;M;Y30-34;DEATHS;327.0;A
2005;ES61;M;Y35-39;DEATHS;528.0;A
2005;ES61;M;Y40-44;DEATHS;717.0;A
2005;ES61;M;Y45-49;DEATHS;910.0;A
2005;ES61;M;Y50-54;DEATHS;1142.0;A
2005;ES61;M;Y55-59;DEATHS;1647.0;A
2005;ES61;M;Y60-64;DEATHS;2245.0;A
2005;ES61;M;Y65-69;DEATHS;3098.0;A
2005;ES61;M;Y70-74;DEATHS;4999.0;A
2005;ES61;M;Y75-79;DEATHS;6098.0;A
2005;ES61;M;Y80-84;DEATHS;5945.0;A
2005;ES61;M;Y85-89;DEATHS;3666.0;A
2005;ES61;M;Y90-94;DEATHS;1877.0;A
2005;ES61;M;Y95-99;DEATHS;465.0;A
2005;ES61;M;Y_GE100;DEATHS;44.0;A
2005;ES61;F;TOTAL;DEATHS;31249.0;A
2005;ES61;F;Y_LT1;DEATHS;173.0;A
2005;ES61;F;Y1-4;DEATHS;27.0;A
2005;ES61;F;Y5-9;DEATHS;22.0;A
2005;ES61;F;Y10-14;DEATHS;21.0;A
2005;ES61;F;Y15-19;DEATHS;47.0;A
2005;ES61;F;Y20-24;DEATHS;54.0;A
2005;ES61;F;Y25-29;DEATHS;76.0;A
2005;ES61;F;Y30-34;DEATHS;130.0;A
2005;ES61;F;Y35-39;DEATHS;191.0;A
2005;ES61;F;Y40-44;DEATHS;256.0;A
2005;ES61;F;Y45-49;DEATHS;375.0;A
2005;ES61;F;Y50-54;DEATHS;455.0;A
2005;ES61;F;Y55-59;DEATHS;666.0;A
2005;ES61;F;Y60-64;DEATHS;911.0;A
2005;ES61;F;Y65-69;DEATHS;1511.0;A
2005;ES61;F;Y70-74;DEATHS;2854.0;A
2005;ES61;F;Y75-79;DEATHS;4650.0;A
2005;ES61;F;Y80-84;DEATHS;6611.0;A
2005;ES61;F;Y85-89;DEATHS;6224.0;A
2005;ES61;F;Y90-94;DEATHS;4328.0;A
2005;ES61;F;Y95-99;DEATHS;1425.0;A
2005;ES61;F;Y_GE100;DEATHS;242.0;A
2005;ES611;_T;TOTAL;DEATHS;4574.0;A
2005;ES611;_T;Y_LT1;DEATHS;40.0;A
2005;ES611;_T;Y1-4;DEATHS;10.0;A
2005;ES611;_T;Y5-9;DEATHS;4.0;A
2005;ES611;_T;Y10-14;DEATHS;9.0;A
2005;ES611;_T;Y15-19;DEATHS;17.0;A
2005;ES611;_T;Y20-24;DEATHS;31.0;A
2005;ES611;_T;Y25-29;DEATHS;52.0;A
2005;ES611;_T;Y30-34;DEATHS;43.0;A
2005;ES611;_T;Y35-39;DEATHS;50.0;A
2005;ES611;_T;Y40-44;DEATHS;75.0;A
