TEMPORAL;SEXO;PROCEDENCIA_ECTA;INDICATOR;OBS_VALUE;FREQ
1998;_T;6782;TURISTAS;100.0;A
1998;_T;6775;TURISTAS;23.294820551759944;A
1998;_T;6776;TURISTAS;31.071551324169604;A
1998;_T;6778;TURISTAS;38.28585554475427;A
1998;_T;6779;TURISTAS;7.3477725793161905;A
1998;M;6782;TURISTAS;49.12727280806421;A
1998;M;6775;TURISTAS;11.605483403608376;A
1998;M;6776;TURISTAS;15.327686557464135;A
1998;M;6778;TURISTAS;18.584654002739843;A
1998;M;6779;TURISTAS;3.6094488442518604;A
1998;F;6782;TURISTAS;50.87272719193581;A
1998;F;6775;TURISTAS;11.689337148151564;A
1998;F;6776;TURISTAS;15.743864766705473;A
1998;F;6778;TURISTAS;19.70120154201443;A
1998;F;6779;TURISTAS;3.7383237350643297;A
1999;_T;6782;TURISTAS;100.0;A
1999;_T;6775;TURISTAS;23.05644771788288;A
1999;_T;6776;TURISTAS;32.70746586078877;A
1999;_T;6778;TURISTAS;34.26821234565291;A
1999;_T;6779;TURISTAS;9.967874075675455;A
1999;M;6782;TURISTAS;49.158213771402174;A
1999;M;6775;TURISTAS;11.51398526168608;A
1999;M;6776;TURISTAS;16.151820793014586;A
1999;M;6778;TURISTAS;16.65054365672676;A
1999;M;6779;TURISTAS;4.84186405997474;A
1999;F;6782;TURISTAS;50.841786228597826;A
1999;F;6775;TURISTAS;11.542462456196793;A
1999;F;6776;TURISTAS;16.555645067774176;A
1999;F;6778;TURISTAS;17.61766868892615;A
1999;F;6779;TURISTAS;5.126010015700713;A
2000;_T;6782;TURISTAS;100.0;A
2000;_T;6775;TURISTAS;19.168583207454798;A
2000;_T;6776;TURISTAS;35.07799769957339;A
2000;_T;6778;TURISTAS;37.04339475145204;A
2000;_T;6779;TURISTAS;8.710024341519768;A
2000;M;6782;TURISTAS;49.11912404135535;A
2000;M;6775;TURISTAS;9.57413672189463;A
2000;M;6776;TURISTAS;17.317600385003683;A
2000;M;6778;TURISTAS;17.993727586485893;A
2000;M;6779;TURISTAS;4.233659347971138;A
2000;F;6782;TURISTAS;50.880875958644666;A
2000;F;6775;TURISTAS;9.594446485560171;A
2000;F;6776;TURISTAS;17.760397314569705;A
2000;F;6778;TURISTAS;19.049667164966152;A
2000;F;6779;TURISTAS;4.476364993548632;A
2001;_T;6782;TURISTAS;100.0;A
2001;_T;6775;TURISTAS;18.343316907407477;A
2001;_T;6776;TURISTAS;35.761649652984985;A
2001;_T;6778;TURISTAS;37.39870655482902;A
2001;_T;6779;TURISTAS;8.496326884778512;A
2001;M;6782;TURISTAS;49.10535835964935;A
2001;M;6775;TURISTAS;9.1532198880707;A
2001;M;6776;TURISTAS;17.65003460134234;A
2001;M;6778;TURISTAS;18.17108650613759;A
2001;M;6779;TURISTAS;4.131017364098727;A
2001;F;6782;TURISTAS;50.894641640350635;A
2001;F;6775;TURISTAS;9.190097019336779;A
2001;F;6776;TURISTAS;18.111615051642644;A
2001;F;6778;TURISTAS;19.227620048691428;A
2001;F;6779;TURISTAS;4.365309520679785;A
2002;_T;6782;TURISTAS;100.0;A
2002;_T;6775;TURISTAS;20.12782213601322;A
2002;_T;6776;TURISTAS;34.53620853707798;A
2002;_T;6778;TURISTAS;36.77443593206969;A
2002;_T;6779;TURISTAS;8.561533394839119;A
2002;M;6782;TURISTAS;51.012056378064976;A
2002;M;6775;TURISTAS;10.40792448256374;A
2002;M;6776;TURISTAS;18.01394764339958;A
2002;M;6778;TURISTAS;18.018349731335295;A
2002;M;6779;TURISTAS;4.571834520766372;A
2002;F;6782;TURISTAS;48.98794362193501;A
2002;F;6775;TURISTAS;9.719897653449477;A
2002;F;6776;TURISTAS;16.522260893678396;A
2002;F;6778;TURISTAS;18.756086200734394;A
2002;F;6779;TURISTAS;3.9896988740727446;A
2003;_T;6782;TURISTAS;100.0;A
2003;_T;6775;TURISTAS;23.005030763313606;A
2003;_T;6776;TURISTAS;34.374670927455334;A
2003;_T;6778;TURISTAS;34.404097186458515;A
2003;_T;6779;TURISTAS;8.21620112277255;A
2003;M;6782;TURISTAS;50.101537583657375;A
2003;M;6775;TURISTAS;11.600727803408773;A
2003;M;6776;TURISTAS;17.38356131467008;A
2003;M;6778;TURISTAS;17.030424719596525;A
2003;M;6779;TURISTAS;4.086823745982005;A
2003;F;6782;TURISTAS;49.89846241634262;A
2003;F;6775;TURISTAS;11.404302959904832;A
2003;F;6776;TURISTAS;16.99110961278525;A
2003;F;6778;TURISTAS;17.37367246686199;A
2003;F;6779;TURISTAS;4.1293773767905435;A
2004;_T;6782;TURISTAS;100.0;A
2004;_T;6775;TURISTAS;24.361914821468194;A
2004;_T;6776;TURISTAS;34.79032252353875;A
2004;_T;6778;TURISTAS;33.484604273962645;A
2004;_T;6779;TURISTAS;7.363158381030413;A
2004;M;6782;TURISTAS;52.600056012332566;A
2004;M;6775;TURISTAS;13.299869650291917;A
2004;M;6776;TURISTAS;18.868296619855702;A
2004;M;6778;TURISTAS;16.57305023088976;A
2004;M;6779;TURISTAS;3.8588395112951797;A
2004;F;6782;TURISTAS;47.39994398766744;A
2004;F;6775;TURISTAS;11.062045171176274;A
2004;F;6776;TURISTAS;15.922025903683046;A
2004;F;6778;TURISTAS;16.911554043072886;A
2004;F;6779;TURISTAS;3.5043188697352337;A
2005;_T;6782;TURISTAS;100.0;A
2005;_T;6775;TURISTAS;27.48284557523076;A
2005;_T;6776;TURISTAS;32.54504593227708;A
2005;_T;6778;TURISTAS;32.66133587978944;A
2005;_T;6779;TURISTAS;7.310772612702729;A
2005;M;6782;TURISTAS;52.39435335145759;A
2005;M;6775;TURISTAS;14.483595270254582;A
2005;M;6776;TURISTAS;17.164800460270662;A
2005;M;6778;TURISTAS;17.214032814946613;A
2005;M;6779;TURISTAS;3.5319248059857338;A
2005;F;6782;TURISTAS;47.60564664854241;A
2005;F;6775;TURISTAS;12.999250304976176;A
2005;F;6776;TURISTAS;15.380245472006415;A
2005;F;6778;TURISTAS;15.447303064842824;A
2005;F;6779;TURISTAS;3.7788478067169953;A
2006;_T;6782;TURISTAS;100.0;A
2006;_T;6775;TURISTAS;31.590536445000012;A
2006;_T;6776;TURISTAS;29.778805130272524;A
2006;_T;6778;TURISTAS;29.49609463935622;A
2006;_T;6779;TURISTAS;9.134563785371249;A
2006;M;6782;TURISTAS;52.29409455574307;A
2006;M;6775;TURISTAS;16.602067267098228;A
2006;M;6776;TURISTAS;15.748407279158464;A
2006;M;6778;TURISTAS;15.11175469824709;A
2006;M;6779;TURISTAS;4.8318653112392935;A
2006;F;6782;TURISTAS;47.70590544425692;A
2006;F;6775;TURISTAS;14.988469177901779;A
2006;F;6776;TURISTAS;14.030397851114055;A
2006;F;6778;TURISTAS;14.384339941109122;A
2006;F;6779;TURISTAS;4.302698474131956;A
2007;_T;6782;TURISTAS;100.0;A
2007;_T;6775;TURISTAS;31.673873427445244;A
2007;_T;6776;TURISTAS;29.62205986196455;A
2007;_T;6778;TURISTAS;29.715066201438972;A
2007;_T;6779;TURISTAS;8.989000509151236;A
2007;M;6782;TURISTAS;48.984992480959555;A
2007;M;6775;TURISTAS;15.689316587303114;A
2007;M;6776;TURISTAS;14.558819447273724;A
2007;M;6778;TURISTAS;14.263954263224207;A
2007;M;6779;TURISTAS;4.472902183158507;A
2007;F;6782;TURISTAS;51.015007519040445;A
2007;F;6775;TURISTAS;15.984556840142128;A
2007;F;6776;TURISTAS;15.063240414690826;A
2007;F;6778;TURISTAS;15.451111938214765;A
2007;F;6779;TURISTAS;4.516098325992729;A
2008;_T;6782;TURISTAS;100.0;A
2008;_T;6775;TURISTAS;31.64360525325175;A
2008;_T;6776;TURISTAS;29.60263009991353;A
2008;_T;6778;TURISTAS;29.166328145212322;A
2008;_T;6779;TURISTAS;9.587436501622406;A
2008;M;6782;TURISTAS;47.98046123448147;A
2008;M;6775;TURISTAS;15.141862547228758;A
2008;M;6776;TURISTAS;14.251828607373337;A
2008;M;6778;TURISTAS;14.106074112874534;A
2008;M;6779;TURISTAS;4.480695967004835;A
2008;F;6782;TURISTAS;52.01953876551853;A
2008;F;6775;TURISTAS;16.501742706022984;A
2008;F;6776;TURISTAS;15.350801492540189;A
2008;F;6778;TURISTAS;15.060254032337786;A
2008;F;6779;TURISTAS;5.10674053461757;A
2009;_T;6782;TURISTAS;100.0;A
2009;_T;6775;TURISTAS;33.80490641417987;A
2009;_T;6776;TURISTAS;29.417665462630225;A
2009;_T;6778;TURISTAS;27.115203590189495;A
2009;_T;6779;TURISTAS;9.662224533000431;A
2009;M;6782;TURISTAS;48.41598245678204;A
2009;M;6775;TURISTAS;16.433917601456653;A
2009;M;6776;TURISTAS;14.200124160645759;A
2009;M;6778;TURISTAS;13.156312379195665;A
2009;M;6779;TURISTAS;4.625628315483967;A
2009;F;6782;TURISTAS;51.58401754321795;A
2009;F;6775;TURISTAS;17.370988812723205;A
2009;F;6776;TURISTAS;15.217541301984458;A
2009;F;6778;TURISTAS;13.958891210993823;A
2009;F;6779;TURISTAS;5.036596217516462;A
2010;_T;6782;TURISTAS;100.0;A
2010;_T;6775;TURISTAS;33.13872736164215;A
2010;_T;6776;TURISTAS;29.046371254072312;A
2010;_T;6778;TURISTAS;26.985355665038618;A
2010;_T;6779;TURISTAS;10.829545719246921;A
2010;M;6782;TURISTAS;48.59194014026524;A
2010;M;6775;TURISTAS;16.168659442887083;A
2010;M;6776;TURISTAS;14.286574932670662;A
2010;M;6778;TURISTAS;12.965106168635298;A
2010;M;6779;TURISTAS;5.1715995960721965;A
2010;F;6782;TURISTAS;51.408059859734756;A
2010;F;6775;TURISTAS;16.970067918755063;A
