TERRITORIO;TEMPORAL;INDICATOR;OBS_VALUE;OBS_STATUS;FREQ
3348;2013;EUR_HAB;2.817572180500804;;A
3348;2014;EUR_HAB;2.433851886920434;;A
3348;2015;EUR_HAB;2.4093095699492477;;A
3348;2016;EUR_HAB;2.2044608309412976;;A
3348;2017;EUR_HAB;2.9812251358474833;;A
3348;2018;EUR_HAB;3.0582032273125845;;A
3348;2019;EUR_HAB;3.5553115359473377;;A
3348;2020;EUR_HAB;3.6662715134943364;;A
3369;2004;EUR_HAB;2.4109133803341263;;A
3369;2005;EUR_HAB;2.8142218800108267;;A
3369;2006;EUR_HAB;3.252180604189293;;A
3369;2007;EUR_HAB;3.5823026749810367;;A
3369;2008;EUR_HAB;4.16186866531987;;A
3369;2009;EUR_HAB;4.313781931832371;;A
3369;2010;EUR_HAB;4.249589959352492;;A
3369;2011;EUR_HAB;4.447696269388292;;A
3369;2012;EUR_HAB;3.8699093849346626;;A
3369;2013;EUR_HAB;3.730952779638312;;A
3369;2014;EUR_HAB;3.8654489690045777;;A
3369;2015;EUR_HAB;3.993667800442761;;A
3369;2016;EUR_HAB;3.887260914997047;;A
3369;2017;EUR_HAB;4.397834464796833;;A
3369;2018;EUR_HAB;4.548846602292586;;A
3369;2019;EUR_HAB;5.591265422726097;;A
3369;2020;EUR_HAB;5.511319456905317;;A
3350;2004;EUR_HAB;14.642605959652045;;A
3350;2005;EUR_HAB;15.269422402657316;;A
3350;2006;EUR_HAB;17.267794739746183;;A
3350;2007;EUR_HAB;16.737912087912086;;A
3350;2008;EUR_HAB;13.646459129801565;;A
3350;2009;EUR_HAB;13.485605649103748;;A
3350;2010;EUR_HAB;13.086352983594736;;A
3350;2011;EUR_HAB;14.436265709156194;;A
3350;2012;EUR_HAB;12.259166517617599;;A
3350;2013;EUR_HAB;16.32531623017994;;A
3350;2014;EUR_HAB;12.239943292574871;;A
3350;2015;EUR_HAB;16.44403379091869;;A
3350;2016;EUR_HAB;16.85669401291674;;A
3350;2017;EUR_HAB;13.347788378143973;E;A
3350;2018;EUR_HAB;15.089057645840525;E;A
3350;2019;EUR_HAB;17.492350008595498;E;A
