MACROECO;TEMPORAL;OBS_STATUS;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
93039;2021;1E;ES61;TAS_INTER_PREC_CORR;2.796464215;A
93039;2020;AV;ES61;TAS_INTER_PREC_CORR;1.834807375;A
93039;2019;P;ES61;TAS_INTER_PREC_CORR;1.88855033;A
93039;2018;A;ES61;TAS_INTER_PREC_CORR;-5.318414345;A
93039;2017;A;ES61;TAS_INTER_PREC_CORR;5.549852897;A
93039;2016;A;ES61;TAS_INTER_PREC_CORR;11.461248586;A
93039;2015;A;ES61;TAS_INTER_PREC_CORR;-0.804988566;A
93039;2014;A;ES61;TAS_INTER_PREC_CORR;13.472264112;A
93039;2013;A;ES61;TAS_INTER_PREC_CORR;-3.361601133;A
93039;2012;A;ES61;TAS_INTER_PREC_CORR;-6.124266009;A
93039;2011;A;ES61;TAS_INTER_PREC_CORR;-3.621195568;A
93039;2010;A;ES61;TAS_INTER_PREC_CORR;5.531946849;A
93039;2009;A;ES61;TAS_INTER_PREC_CORR;-1.694473636;A
93039;2008;A;ES61;TAS_INTER_PREC_CORR;-5.963304626;A
93039;2007;A;ES61;TAS_INTER_PREC_CORR;-3.225538742;A
93040;2021;1E;ES61;TAS_INTER_PREC_CORR;0.151201421;A
93040;2020;AV;ES61;TAS_INTER_PREC_CORR;-3.735075668;A
93040;2019;P;ES61;TAS_INTER_PREC_CORR;2.295888825;A
93040;2018;A;ES61;TAS_INTER_PREC_CORR;4.492060885;A
93040;2017;A;ES61;TAS_INTER_PREC_CORR;5.269718794;A
93040;2016;A;ES61;TAS_INTER_PREC_CORR;8.60314935;A
93040;2015;A;ES61;TAS_INTER_PREC_CORR;2.391949935;A
93040;2014;A;ES61;TAS_INTER_PREC_CORR;0.18652272;A
93040;2013;A;ES61;TAS_INTER_PREC_CORR;-6.762600128;A
93040;2012;A;ES61;TAS_INTER_PREC_CORR;-7.628339445;A
93040;2011;A;ES61;TAS_INTER_PREC_CORR;-3.613849513;A
93040;2010;A;ES61;TAS_INTER_PREC_CORR;-4.752572858;A
93040;2009;A;ES61;TAS_INTER_PREC_CORR;-11.217693271;A
93040;2008;A;ES61;TAS_INTER_PREC_CORR;-1.035574319;A
93040;2007;A;ES61;TAS_INTER_PREC_CORR;-0.508323758;A
93041;2021;1E;ES61;TAS_INTER_PREC_CORR;-1.210217562;A
93041;2020;AV;ES61;TAS_INTER_PREC_CORR;-5.20577403;A
93041;2019;P;ES61;TAS_INTER_PREC_CORR;2.303993788;A
93041;2018;A;ES61;TAS_INTER_PREC_CORR;4.838785425;A
93041;2017;A;ES61;TAS_INTER_PREC_CORR;5.347670014;A
93041;2016;A;ES61;TAS_INTER_PREC_CORR;8.689235696;A
93041;2015;A;ES61;TAS_INTER_PREC_CORR;2.303178484;A
93041;2014;A;ES61;TAS_INTER_PREC_CORR;-0.010390118;A
93041;2013;A;ES61;TAS_INTER_PREC_CORR;-5.67940093;A
93041;2012;A;ES61;TAS_INTER_PREC_CORR;-9.134290518;A
93041;2011;A;ES61;TAS_INTER_PREC_CORR;-5.22932273;A
93041;2010;A;ES61;TAS_INTER_PREC_CORR;-5.680051692;A
93041;2009;A;ES61;TAS_INTER_PREC_CORR;-12.355907929;A
93041;2008;A;ES61;TAS_INTER_PREC_CORR;-1.315357856;A
93041;2007;A;ES61;TAS_INTER_PREC_CORR;-0.610595461;A
93042;2021;1E;ES61;TAS_INTER_PREC_CORR;11.830658986;A
93042;2020;AV;ES61;TAS_INTER_PREC_CORR;-9.939826912;A
93042;2019;P;ES61;TAS_INTER_PREC_CORR;7.427991594;A
93042;2018;A;ES61;TAS_INTER_PREC_CORR;14.337540268;A
93042;2017;A;ES61;TAS_INTER_PREC_CORR;1.745502918;A
93042;2016;A;ES61;TAS_INTER_PREC_CORR;7.80749354;A
93042;2015;A;ES61;TAS_INTER_PREC_CORR;12.658835859;A
93042;2014;A;ES61;TAS_INTER_PREC_CORR;1.198270719;A
93042;2013;A;ES61;TAS_INTER_PREC_CORR;-14.497928238;A
93042;2012;A;ES61;TAS_INTER_PREC_CORR;-24.00472811;A
93042;2011;A;ES61;TAS_INTER_PREC_CORR;-14.665790033;A
93042;2010;A;ES61;TAS_INTER_PREC_CORR;-13.67818442;A
93042;2009;A;ES61;TAS_INTER_PREC_CORR;-32.668271171;A
93042;2008;A;ES61;TAS_INTER_PREC_CORR;-14.90307999;A
93042;2007;A;ES61;TAS_INTER_PREC_CORR;4.070552031;A
93044;2021;1E;ES61;TAS_INTER_PREC_CORR;8.703675234;A
93044;2020;AV;ES61;TAS_INTER_PREC_CORR;-11.288723814;A
93044;2019;P;ES61;TAS_INTER_PREC_CORR;2.938790604;A
93044;2018;A;ES61;TAS_INTER_PREC_CORR;1.812484605;A
93044;2017;A;ES61;TAS_INTER_PREC_CORR;3.489196918;A
93044;2016;A;ES61;TAS_INTER_PREC_CORR;0.317483668;A
93044;2015;A;ES61;TAS_INTER_PREC_CORR;4.784233172;A
93044;2014;A;ES61;TAS_INTER_PREC_CORR;1.864964978;A
93044;2013;A;ES61;TAS_INTER_PREC_CORR;-1.453746891;A
93044;2012;A;ES61;TAS_INTER_PREC_CORR;-2.718485773;A
93044;2011;A;ES61;TAS_INTER_PREC_CORR;-1.394037488;A
93044;2010;A;ES61;TAS_INTER_PREC_CORR;-1.338678682;A
93044;2009;A;ES61;TAS_INTER_PREC_CORR;-1.671118546;A
93044;2008;A;ES61;TAS_INTER_PREC_CORR;1.393348446;A
93044;2007;A;ES61;TAS_INTER_PREC_CORR;3.569145854;A
93043;2021;1E;ES61;TAS_INTER_PREC_CORR;12.175456976;A
93043;2020;AV;ES61;TAS_INTER_PREC_CORR;-16.997026708;A
93043;2019;P;ES61;TAS_INTER_PREC_CORR;4.325645189;A
93043;2018;A;ES61;TAS_INTER_PREC_CORR;0.167928831;A
93043;2017;A;ES61;TAS_INTER_PREC_CORR;3.572570315;A
93043;2016;A;ES61;TAS_INTER_PREC_CORR;0.618361443;A
93043;2015;A;ES61;TAS_INTER_PREC_CORR;6.597577731;A
93043;2014;A;ES61;TAS_INTER_PREC_CORR;1.123998725;A
93043;2013;A;ES61;TAS_INTER_PREC_CORR;-1.963410836;A
93043;2012;A;ES61;TAS_INTER_PREC_CORR;-3.050981829;A
93043;2011;A;ES61;TAS_INTER_PREC_CORR;0.582759904;A
93043;2010;A;ES61;TAS_INTER_PREC_CORR;-4.186498462;A
93043;2009;A;ES61;TAS_INTER_PREC_CORR;-4.504206422;A
93043;2008;A;ES61;TAS_INTER_PREC_CORR;3.69785899;A
93043;2007;A;ES61;TAS_INTER_PREC_CORR;2.808840771;A
93045;2021;1E;ES61;TAS_INTER_PREC_CORR;10.94900653;A
93045;2020;AV;ES61;TAS_INTER_PREC_CORR;-1.410958904;A
93045;2019;P;ES61;TAS_INTER_PREC_CORR;8.166462046;A
93045;2018;A;ES61;TAS_INTER_PREC_CORR;8.430305951;A
93045;2017;A;ES61;TAS_INTER_PREC_CORR;11.475284004;A
93045;2016;A;ES61;TAS_INTER_PREC_CORR;7.332344703;A
93045;2015;A;ES61;TAS_INTER_PREC_CORR;5.030285549;A
93045;2014;A;ES61;TAS_INTER_PREC_CORR;3.489448076;A
93045;2013;A;ES61;TAS_INTER_PREC_CORR;-8.362054817;A
93045;2012;A;ES61;TAS_INTER_PREC_CORR;-1.926172336;A
93045;2011;A;ES61;TAS_INTER_PREC_CORR;-3.54998965;A
93045;2010;A;ES61;TAS_INTER_PREC_CORR;-7.666579067;A
93045;2009;A;ES61;TAS_INTER_PREC_CORR;4.595432056;A
93045;2008;A;ES61;TAS_INTER_PREC_CORR;1.480955521;A
93045;2007;A;ES61;TAS_INTER_PREC_CORR;2.420653473;A
93046;2021;1E;ES61;TAS_INTER_PREC_CORR;2.186692794;A
93046;2020;AV;ES61;TAS_INTER_PREC_CORR;-0.941877137;A
93046;2019;P;ES61;TAS_INTER_PREC_CORR;-0.101364007;A
93046;2018;A;ES61;TAS_INTER_PREC_CORR;-0.908356443;A
93046;2017;A;ES61;TAS_INTER_PREC_CORR;-0.165674798;A
93046;2016;A;ES61;TAS_INTER_PREC_CORR;-0.681995323;A
93046;2015;A;ES61;TAS_INTER_PREC_CORR;1.318358304;A
93046;2014;A;ES61;TAS_INTER_PREC_CORR;-0.146756035;A
93046;2013;A;ES61;TAS_INTER_PREC_CORR;-7.380507993;A
93046;2012;A;ES61;TAS_INTER_PREC_CORR;-2.225572262;A
93046;2011;A;ES61;TAS_INTER_PREC_CORR;-1.904928687;A
93046;2010;A;ES61;TAS_INTER_PREC_CORR;3.352370993;A
93046;2009;A;ES61;TAS_INTER_PREC_CORR;-2.235416708;A
93046;2008;A;ES61;TAS_INTER_PREC_CORR;-5.35883743;A
93046;2007;A;ES61;TAS_INTER_PREC_CORR;4.460814803;A
93047;2021;1E;ES61;TAS_INTER_PREC_CORR;3.013236604;A
93047;2020;AV;ES61;TAS_INTER_PREC_CORR;-4.65384382;A
93047;2019;P;ES61;TAS_INTER_PREC_CORR;6.600692086;A
93047;2018;A;ES61;TAS_INTER_PREC_CORR;8.934296283;A
93047;2017;A;ES61;TAS_INTER_PREC_CORR;10.318694131;A
93047;2016;A;ES61;TAS_INTER_PREC_CORR;5.706421265;A
93047;2015;A;ES61;TAS_INTER_PREC_CORR;9.956181958;A
93047;2014;A;ES61;TAS_INTER_PREC_CORR;5.253898821;A
93047;2013;A;ES61;TAS_INTER_PREC_CORR;5.149485051;A
93047;2012;A;ES61;TAS_INTER_PREC_CORR;-3.081693963;A
93047;2011;A;ES61;TAS_INTER_PREC_CORR;-1.135329341;A
93047;2010;A;ES61;TAS_INTER_PREC_CORR;-5.525887038;A
93047;2009;A;ES61;TAS_INTER_PREC_CORR;-12.77091311;A
93047;2008;A;ES61;TAS_INTER_PREC_CORR;-0.448025152;A
93047;2007;A;ES61;TAS_INTER_PREC_CORR;2.472715557;A
93048;2021;1E;ES61;TAS_INTER_PREC_CORR;3.975798951;A
93048;2020;AV;ES61;TAS_INTER_PREC_CORR;-9.73071978;A
