MACROECO;TEMPORAL;OBS_STATUS;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
93017;2021;1E;ES61;NR;151870089;A
93017;2020;AV;ES61;NR;139626500;A
93017;2019;P;ES61;NR;150528649;A
93017;2018;A;ES61;NR;148995915;A
93017;2017;A;ES61;NR;144677147;A
93017;2016;A;ES61;NR;138595693;A
93017;2015;A;ES61;NR;135100320;A
93017;2014;A;ES61;NR;132127404;A
93017;2013;A;ES61;NR;130454758;A
93017;2012;A;ES61;NR;133145214;A
93017;2011;A;ES61;NR;137197993;A
93017;2010;A;ES61;NR;137769943;A
93017;2009;A;ES61;NR;135205336;A
93017;2008;A;ES61;NR;137963669;A
93017;2007;A;ES61;NR;131381579;A
93018;2021;1E;ES61;NR;103472994;A
93018;2020;AV;ES61;NR;95118037;A
93018;2019;P;ES61;NR;108754713;A
93018;2018;A;ES61;NR;109026466;A
93018;2017;A;ES61;NR;106064374;A
93018;2016;A;ES61;NR;100831644;A
93018;2015;A;ES61;NR;98038552;A
93018;2014;A;ES61;NR;96348164;A
93018;2013;A;ES61;NR;94621797;A
93018;2012;A;ES61;NR;96810567;A
93018;2011;A;ES61;NR;98568223;A
93018;2010;A;ES61;NR;98916104;A
93018;2009;A;ES61;NR;96585284;A
93018;2008;A;ES61;NR;101252219;A
93018;2007;A;ES61;NR;98092028;A
93011;2021;1E;ES61;NR;48397095;A
93011;2020;AV;ES61;NR;44508463;A
93011;2019;P;ES61;NR;41773936;A
93011;2018;A;ES61;NR;39969449;A
93011;2017;A;ES61;NR;38612773;A
93011;2016;A;ES61;NR;37764049;A
93011;2015;A;ES61;NR;37061768;A
93011;2014;A;ES61;NR;35779240;A
93011;2013;A;ES61;NR;35832961;A
93011;2012;A;ES61;NR;36334647;A
93011;2011;A;ES61;NR;38629770;A
93011;2010;A;ES61;NR;38853839;A
93011;2009;A;ES61;NR;38620052;A
93011;2008;A;ES61;NR;36711450;A
93011;2007;A;ES61;NR;33289551;A
93020;2019;P;ES61;NR;25164530;A
93020;2018;A;ES61;NR;23858867;A
93020;2017;A;ES61;NR;23046498;A
93020;2016;A;ES61;NR;22455754;A
93020;2015;A;ES61;NR;21691990;A
93020;2014;A;ES61;NR;20974999;A
93020;2013;A;ES61;NR;21037643;A
93020;2012;A;ES61;NR;21313337;A
93020;2011;A;ES61;NR;23092776;A
93020;2010;A;ES61;NR;23637000;A
93020;2009;A;ES61;NR;23735185;A
93020;2008;A;ES61;NR;22621946;A
93020;2007;A;ES61;NR;19829144;A
93012;2019;P;ES61;NR;16609406;A
93012;2018;A;ES61;NR;16110582;A
93012;2017;A;ES61;NR;15566275;A
93012;2016;A;ES61;NR;15308295;A
93012;2015;A;ES61;NR;15369778;A
93012;2014;A;ES61;NR;14804241;A
93012;2013;A;ES61;NR;14795318;A
93012;2012;A;ES61;NR;15021310;A
93012;2011;A;ES61;NR;15536994;A
93012;2010;A;ES61;NR;15216839;A
93012;2009;A;ES61;NR;14884867;A
93012;2008;A;ES61;NR;14089504;A
93012;2007;A;ES61;NR;13460407;A
93016;2021;1E;ES61;NR;29457385;A
93016;2020;AV;ES61;NR;27521226;A
93016;2019;P;ES61;NR;30695172;A
93016;2018;A;ES61;NR;28467275;A
93016;2017;A;ES61;NR;25370474;A
93016;2016;A;ES61;NR;23563243;A
93016;2015;A;ES61;NR;23735751;A
93016;2014;A;ES61;NR;21563545;A
93016;2013;A;ES61;NR;21170422;A
93016;2012;A;ES61;NR;23070237;A
93016;2011;A;ES61;NR;26921524;A
93016;2010;A;ES61;NR;30153007;A
93016;2009;A;ES61;NR;32183923;A
93016;2008;A;ES61;NR;40433368;A
93016;2007;A;ES61;NR;42905287;A
93013;2021;1E;ES61;NR;181327474;A
93013;2020;AV;ES61;NR;167147726;A
93013;2019;P;ES61;NR;181223821;A
93013;2018;A;ES61;NR;177463190;A
93013;2017;A;ES61;NR;170047621;A
93013;2016;A;ES61;NR;162158936;A
93013;2015;A;ES61;NR;158836071;A
93013;2014;A;ES61;NR;153690949;A
93013;2013;A;ES61;NR;151625180;A
93013;2012;A;ES61;NR;156215451;A
93013;2011;A;ES61;NR;164119517;A
93013;2010;A;ES61;NR;167922950;A
93013;2009;A;ES61;NR;167389259;A
93013;2008;A;ES61;NR;178397037;A
93013;2007;A;ES61;NR;174286866;A
93015;2021;1E;ES61;NR;67376303;A
93015;2020;AV;ES61;NR;56344541;A
93015;2019;P;ES61;NR;74039747;A
93015;2018;A;ES61;NR;72964945;A
93015;2017;A;ES61;NR;70167980;A
93015;2016;A;ES61;NR;63909870;A
93015;2015;A;ES61;NR;60371083;A
93015;2014;A;ES61;NR;60114578;A
93015;2013;A;ES61;NR;58999420;A
93015;2012;A;ES61;NR;58618037;A
93015;2011;A;ES61;NR;56447142;A
93015;2010;A;ES61;NR;50735245;A
93015;2009;A;ES61;NR;45907384;A
93015;2008;A;ES61;NR;51463756;A
93015;2007;A;ES61;NR;49253601;A
93019;2021;1E;ES61;NR;78766399;A
93019;2020;AV;ES61;NR;67067018;A
93019;2019;P;ES61;NR;82162534;A
93019;2018;A;ES61;NR;82160905;A
93019;2017;A;ES61;NR;77491392;A
93019;2016;A;ES61;NR;71607375;A
93019;2015;A;ES61;NR;68849907;A
93019;2014;A;ES61;NR;70431942;A
93019;2013;A;ES61;NR;68820236;A
93019;2012;A;ES61;NR;71273159;A
93019;2011;A;ES61;NR;72593815;A
93019;2010;A;ES61;NR;69030783;A
93019;2009;A;ES61;NR;64114214;A
93019;2008;A;ES61;NR;73188200;A
93019;2007;A;ES61;NR;70332115;A
93023;2021;1E;ES61;NR;169937378;A
93023;2020;AV;ES61;NR;156425249;A
93023;2019;P;ES61;NR;173101034;A
93023;2018;A;ES61;NR;168267230;A
93023;2017;A;ES61;NR;162724209;A
93023;2016;A;ES61;NR;154461431;A
93023;2015;A;ES61;NR;150357247;A
93023;2014;A;ES61;NR;143373585;A
93023;2013;A;ES61;NR;141804364;A
93023;2012;A;ES61;NR;143560329;A
93023;2011;A;ES61;NR;147972844;A
93023;2010;A;ES61;NR;149627412;A
93023;2009;A;ES61;NR;149182429;A
93023;2008;A;ES61;NR;156672593;A
93023;2007;A;ES61;NR;153208352;A
93077;2021;1E;ES61;NR;152138555;A
93077;2020;AV;ES61;NR;141253969;A
93077;2019;P;ES61;NR;155008147;A
93077;2018;A;ES61;NR;150444446;A
93077;2017;A;ES61;NR;145815205;A
93077;2016;A;ES61;NR;138465951;A
93077;2015;A;ES61;NR;134989728;A
93077;2014;A;ES61;NR;128939540;A
93077;2013;A;ES61;NR;127962704;A
93077;2012;A;ES61;NR;130478387;A
93077;2011;A;ES61;NR;134715356;A
93077;2010;A;ES61;NR;135779361;A
93077;2009;A;ES61;NR;138137657;A
93077;2008;A;ES61;NR;142799582;A
93077;2007;A;ES61;NR;136550860;A
93065;2021;1E;ES61;NR;10863763;A
93065;2020;AV;ES61;NR;10635084;A
93065;2019;P;ES61;NR;9180775.0;A
93065;2018;A;ES61;NR;10473425;A
93065;2017;A;ES61;NR;10526904;A
93065;2016;A;ES61;NR;9448411.0;A
93065;2015;A;ES61;NR;9381168.0;A
93065;2014;A;ES61;NR;6964730.0;A
93065;2013;A;ES61;NR;7266458.0;A
93065;2012;A;ES61;NR;5886781.0;A
93065;2011;A;ES61;NR;6546941.0;A
93065;2010;A;ES61;NR;6969452.0;A
93065;2009;A;ES61;NR;6498767.0;A
93065;2008;A;ES61;NR;7251808.0;A
93065;2007;A;ES61;NR;7956575.0;A
93066;2021;1E;ES61;NR;17931684;A
93066;2020;AV;ES61;NR;14939624;A
93066;2019;P;ES61;NR;17585661;A
93066;2018;A;ES61;NR;17413121;A
93066;2017;A;ES61;NR;17213159;A
93066;2016;A;ES61;NR;15794379;A
93066;2015;A;ES61;NR;15527511;A
93066;2014;A;ES61;NR;15105539;A
93066;2013;A;ES61;NR;15008733;A
93066;2012;A;ES61;NR;15853378;A
93066;2011;A;ES61;NR;16160550;A
93066;2010;A;ES61;NR;15741051;A
93066;2009;A;ES61;NR;14333818;A
93066;2008;A;ES61;NR;16384626;A
93066;2007;A;ES61;NR;15506616;A
93067;2021;1E;ES61;NR;11721601;A
93067;2020;AV;ES61;NR;10156363;A
93067;2019;P;ES61;NR;11761470;A
93067;2018;A;ES61;NR;11637881;A
93067;2017;A;ES61;NR;11561193;A
93067;2016;A;ES61;NR;10437682;A
93067;2015;A;ES61;NR;10165406;A
93067;2014;A;ES61;NR;9669878.0;A
93067;2013;A;ES61;NR;9561270.0;A
93067;2012;A;ES61;NR;10382942;A
93067;2011;A;ES61;NR;10745829;A
93067;2010;A;ES61;NR;10898648;A
93067;2009;A;ES61;NR;9823858.0;A
93067;2008;A;ES61;NR;12171985;A
93067;2007;A;ES61;NR;11838375;A
93068;2021;1E;ES61;NR;9904914.0;A
93068;2020;AV;ES61;NR;9382598.0;A
93068;2019;P;ES61;NR;10519821;A
93068;2018;A;ES61;NR;9438155.0;A
93068;2017;A;ES61;NR;8882721.0;A
93068;2016;A;ES61;NR;8469776.0;A
93068;2015;A;ES61;NR;8253576.0;A
93068;2014;A;ES61;NR;7777176.0;A
93068;2013;A;ES61;NR;7872429.0;A
93068;2012;A;ES61;NR;9109654.0;A
93068;2011;A;ES61;NR;10895082;A
93068;2010;A;ES61;NR;13107640;A
93068;2009;A;ES61;NR;16790102;A
93068;2008;A;ES61;NR;19696104;A
93068;2007;A;ES61;NR;19547460;A
93070;2021;1E;ES61;NR;113438194;A
93070;2020;AV;ES61;NR;106296663;A
93070;2019;P;ES61;NR;117721890;A
93070;2018;A;ES61;NR;113119745;A
93070;2017;A;ES61;NR;109192421;A
93070;2016;A;ES61;NR;104753385;A
93070;2015;A;ES61;NR;101827473;A
93070;2014;A;ES61;NR;99092095;A
93070;2013;A;ES61;NR;97815084;A
93070;2012;A;ES61;NR;99628574;A
93070;2011;A;ES61;NR;101112783;A
93070;2010;A;ES61;NR;99961218;A
93070;2009;A;ES61;NR;100514970;A
93070;2008;A;ES61;NR;99467044;A
93070;2007;A;ES61;NR;93540209;A
93069;2021;1E;ES61;NR;32981737;A
93069;2020;AV;ES61;NR;28330513;A
93069;2019;P;ES61;NR;37238300;A
93069;2018;A;ES61;NR;35788691;A
93069;2017;A;ES61;NR;34629280;A
93069;2016;A;ES61;NR;32672993;A
93069;2015;A;ES61;NR;31226756;A
93069;2014;A;ES61;NR;29908444;A
