TERRITORIO;TEMPORAL;CNAE_O9_CRA_NEW;OBS_STATUS;INDICATOR;OBS_VALUE;FREQ
ES61;2019;273136;P;CON_INTER_PREC_ADQ;2598342.0;A
ES61;2019;273186;P;CON_INTER_PREC_ADQ;1019408.0;A
ES61;2019;273189;P;CON_INTER_PREC_ADQ;709379.0;A
ES61;2019;273188;P;CON_INTER_PREC_ADQ;83308.0;A
ES61;2019;273187;P;CON_INTER_PREC_ADQ;786247.0;A
ES61;2019;273137;P;CON_INTER_PREC_ADQ;6491746.0;A
ES61;2019;273190;P;CON_INTER_PREC_ADQ;4904093.0;A
ES61;2019;273191;P;CON_INTER_PREC_ADQ;1587653.0;A
ES61;2019;273138;P;CON_INTER_PREC_ADQ;401501.0;A
ES61;2019;273192;P;CON_INTER_PREC_ADQ;401501.0;A
ES61;2019;273139;P;CON_INTER_PREC_ADQ;1095561.0;A
ES61;2019;273193;P;CON_INTER_PREC_ADQ;1095561.0;A
ES61;2019;273140;P;CON_INTER_PREC_ADQ;738908.0;A
ES61;2019;273194;P;CON_INTER_PREC_ADQ;738908.0;A
ES61;2019;273141;P;CON_INTER_PREC_ADQ;2783120.0;A
ES61;2019;273195;P;CON_INTER_PREC_ADQ;596485.0;A
ES61;2019;273196;P;CON_INTER_PREC_ADQ;275830.0;A
ES61;2019;273197;P;CON_INTER_PREC_ADQ;1910805.0;A
ES61;2019;273142;P;CON_INTER_PREC_ADQ;2095905.0;A
ES61;2019;273198;P;CON_INTER_PREC_ADQ;614862.0;A
ES61;2019;273199;P;CON_INTER_PREC_ADQ;413685.0;A
ES61;2019;273200;P;CON_INTER_PREC_ADQ;1067358.0;A
ES61;2019;273143;P;CON_INTER_PREC_ADQ;6885093.0;A
ES61;2019;273201;P;CON_INTER_PREC_ADQ;5448815.0;A
ES61;2019;273202;P;CON_INTER_PREC_ADQ;1436278.0;A
ES61;2019;273144;P;CON_INTER_PREC_ADQ;1580615.0;A
ES61;2019;273203;P;CON_INTER_PREC_ADQ;904404.0;A
ES61;2019;273204;P;CON_INTER_PREC_ADQ;676211.0;A
ES61;2019;273249;P;CON_INTER_PREC_ADQ;14529813;A
ES61;2019;273145;P;CON_INTER_PREC_ADQ;14529813;A
ES61;2019;273205;P;CON_INTER_PREC_ADQ;14529813;A
ES61;2019;273251;P;CON_INTER_PREC_ADQ;71977165;A
ES61;2019;273250;P;CON_INTER_PREC_ADQ;34895944;A
ES61;2019;273146;P;CON_INTER_PREC_ADQ;13662225;A
ES61;2019;273206;P;CON_INTER_PREC_ADQ;2100847.0;A
ES61;2019;273207;P;CON_INTER_PREC_ADQ;6565123.0;A
ES61;2019;273208;P;CON_INTER_PREC_ADQ;4996255.0;A
ES61;2019;273147;P;CON_INTER_PREC_ADQ;10806626;A
ES61;2019;273209;P;CON_INTER_PREC_ADQ;6641164.0;A
ES61;2019;273210;P;CON_INTER_PREC_ADQ;288517.0;A
ES61;2019;273211;P;CON_INTER_PREC_ADQ;3564180.0;A
ES61;2019;273212;P;CON_INTER_PREC_ADQ;312765.0;A
ES61;2019;273148;P;CON_INTER_PREC_ADQ;10427093;A
ES61;2019;273213;P;CON_INTER_PREC_ADQ;2370942.0;A
ES61;2019;273214;P;CON_INTER_PREC_ADQ;8056151.0;A
ES61;2019;273253;P;CON_INTER_PREC_ADQ;3379041.0;A
ES61;2019;273149;P;CON_INTER_PREC_ADQ;629308.0;A
ES61;2019;273215;P;CON_INTER_PREC_ADQ;257196.0;A
ES61;2019;273216;P;CON_INTER_PREC_ADQ;372112.0;A
ES61;2019;273150;P;CON_INTER_PREC_ADQ;1813705.0;A
ES61;2019;273217;P;CON_INTER_PREC_ADQ;1813705.0;A
ES61;2019;273151;P;CON_INTER_PREC_ADQ;936028.0;A
ES61;2019;273218;P;CON_INTER_PREC_ADQ;936028.0;A
ES61;2019;273254;P;CON_INTER_PREC_ADQ;3811235.0;A
ES61;2019;273152;P;CON_INTER_PREC_ADQ;3811235.0;A
ES61;2019;273219;P;CON_INTER_PREC_ADQ;1716793.0;A
ES61;2019;273220;P;CON_INTER_PREC_ADQ;1246799.0;A
ES61;2019;273221;P;CON_INTER_PREC_ADQ;847643.0;A
ES61;2019;273255;P;CON_INTER_PREC_ADQ;3802154.0;A
ES61;2019;273153;P;CON_INTER_PREC_ADQ;3802154.0;A
ES61;2019;273222;P;CON_INTER_PREC_ADQ;3802154.0;A
ES61;2019;273256;P;CON_INTER_PREC_ADQ;8875285.0;A
ES61;2019;273154;P;CON_INTER_PREC_ADQ;3902009.0;A
ES61;2019;273223;P;CON_INTER_PREC_ADQ;1888979.0;A
ES61;2019;273224;P;CON_INTER_PREC_ADQ;2013030.0;A
ES61;2019;273155;P;CON_INTER_PREC_ADQ;286556.0;A
ES61;2019;273225;P;CON_INTER_PREC_ADQ;286556.0;A
ES61;2019;273156;P;CON_INTER_PREC_ADQ;851752.0;A
ES61;2019;273226;P;CON_INTER_PREC_ADQ;374201.0;A
ES61;2019;273227;P;CON_INTER_PREC_ADQ;352824.0;A
ES61;2019;273228;P;CON_INTER_PREC_ADQ;124727.0;A
ES61;2019;273157;P;CON_INTER_PREC_ADQ;3834968.0;A
ES61;2019;273229;P;CON_INTER_PREC_ADQ;731194.0;A
ES61;2019;273230;P;CON_INTER_PREC_ADQ;72624.0;A
ES61;2019;273231;P;CON_INTER_PREC_ADQ;988851.0;A
ES61;2019;273232;P;CON_INTER_PREC_ADQ;195845.0;A
ES61;2019;273233;P;CON_INTER_PREC_ADQ;898218.0;A
ES61;2019;273234;P;CON_INTER_PREC_ADQ;948236.0;A
ES61;2019;273257;P;CON_INTER_PREC_ADQ;13008513;A
ES61;2019;273158;P;CON_INTER_PREC_ADQ;3846404.0;A
ES61;2019;273235;P;CON_INTER_PREC_ADQ;3846404.0;A
ES61;2019;273159;P;CON_INTER_PREC_ADQ;1829353.0;A
ES61;2019;273236;P;CON_INTER_PREC_ADQ;1249307.0;A
ES61;2019;273237;P;CON_INTER_PREC_ADQ;580046.0;A
ES61;2019;273160;P;CON_INTER_PREC_ADQ;5801494.0;A
ES61;2019;273238;P;CON_INTER_PREC_ADQ;2915950.0;A
ES61;2019;273239;P;CON_INTER_PREC_ADQ;2885544.0;A
ES61;2019;273161;P;CON_INTER_PREC_ADQ;1531262.0;A
ES61;2019;273240;P;CON_INTER_PREC_ADQ;326630.0;A
ES61;2019;273241;P;CON_INTER_PREC_ADQ;1204632.0;A
ES61;2019;273259;P;CON_INTER_PREC_ADQ;4204993.0;A
ES61;2019;273162;P;CON_INTER_PREC_ADQ;2355037.0;A
ES61;2019;273242;P;CON_INTER_PREC_ADQ;1275225.0;A
ES61;2019;273243;P;CON_INTER_PREC_ADQ;1079812.0;A
ES61;2019;273163;P;CON_INTER_PREC_ADQ;1849956.0;A
ES61;2019;273244;P;CON_INTER_PREC_ADQ;838564.0;A
ES61;2019;273245;P;CON_INTER_PREC_ADQ;253443.0;A
ES61;2019;273246;P;CON_INTER_PREC_ADQ;757949.0;A
ES61;2019;273164;P;CON_INTER_PREC_ADQ;0.0;A
ES61;2019;273247;P;CON_INTER_PREC_ADQ;0.0;A
ES61;2019;273260;P;CON_INTER_PREC_ADQ;153092898;A
ES61;2018;273165;A;CON_INTER_PREC_ADQ;4592862.0;A
ES61;2018;273129;A;CON_INTER_PREC_ADQ;4592862.0;A
ES61;2018;273167;A;CON_INTER_PREC_ADQ;4203006.0;A
ES61;2018;273168;A;CON_INTER_PREC_ADQ;216133.0;A
ES61;2018;273169;A;CON_INTER_PREC_ADQ;173723.0;A
ES61;2018;273166;A;CON_INTER_PREC_ADQ;61377042;A
ES61;2018;273248;A;CON_INTER_PREC_ADQ;52329547;A
ES61;2018;273130;A;CON_INTER_PREC_ADQ;706337.0;A
ES61;2018;273170;A;CON_INTER_PREC_ADQ;706337.0;A
ES61;2018;273131;A;CON_INTER_PREC_ADQ;14484850;A
ES61;2018;273171;A;CON_INTER_PREC_ADQ;1928475.0;A
ES61;2018;273172;A;CON_INTER_PREC_ADQ;362875.0;A
ES61;2018;273173;A;CON_INTER_PREC_ADQ;1252655.0;A
ES61;2018;273174;A;CON_INTER_PREC_ADQ;5928529.0;A
ES61;2018;273175;A;CON_INTER_PREC_ADQ;513169.0;A
ES61;2018;273176;A;CON_INTER_PREC_ADQ;1218668.0;A
ES61;2018;273177;A;CON_INTER_PREC_ADQ;1418042.0;A
ES61;2018;273178;A;CON_INTER_PREC_ADQ;1862437.0;A
ES61;2018;273132;A;CON_INTER_PREC_ADQ;539053.0;A
ES61;2018;273179;A;CON_INTER_PREC_ADQ;539053.0;A
ES61;2018;273133;A;CON_INTER_PREC_ADQ;1382150.0;A
ES61;2018;273180;A;CON_INTER_PREC_ADQ;537610.0;A
ES61;2018;273181;A;CON_INTER_PREC_ADQ;570443.0;A
ES61;2018;273182;A;CON_INTER_PREC_ADQ;274097.0;A
ES61;2018;273134;A;CON_INTER_PREC_ADQ;20053310;A
ES61;2018;273183;A;CON_INTER_PREC_ADQ;19278142;A
ES61;2018;273184;A;CON_INTER_PREC_ADQ;775168.0;A
ES61;2018;273135;A;CON_INTER_PREC_ADQ;183110.0;A
ES61;2018;273185;A;CON_INTER_PREC_ADQ;183110.0;A
ES61;2018;273136;A;CON_INTER_PREC_ADQ;2338335.0;A
ES61;2018;273186;A;CON_INTER_PREC_ADQ;992465.0;A
ES61;2018;273189;A;CON_INTER_PREC_ADQ;575114.0;A
ES61;2018;273188;A;CON_INTER_PREC_ADQ;87122.0;A
ES61;2018;273187;A;CON_INTER_PREC_ADQ;683634.0;A
ES61;2018;273137;A;CON_INTER_PREC_ADQ;6802145.0;A
ES61;2018;273190;A;CON_INTER_PREC_ADQ;5167857.0;A
ES61;2018;273191;A;CON_INTER_PREC_ADQ;1634288.0;A
ES61;2018;273138;A;CON_INTER_PREC_ADQ;295289.0;A
ES61;2018;273192;A;CON_INTER_PREC_ADQ;295289.0;A
ES61;2018;273139;A;CON_INTER_PREC_ADQ;1064600.0;A
ES61;2018;273193;A;CON_INTER_PREC_ADQ;1064600.0;A
ES61;2018;273140;A;CON_INTER_PREC_ADQ;632840.0;A
ES61;2018;273194;A;CON_INTER_PREC_ADQ;632840.0;A
ES61;2018;273141;A;CON_INTER_PREC_ADQ;2648857.0;A
ES61;2018;273195;A;CON_INTER_PREC_ADQ;569448.0;A
ES61;2018;273196;A;CON_INTER_PREC_ADQ;241255.0;A
ES61;2018;273197;A;CON_INTER_PREC_ADQ;1838154.0;A
ES61;2018;273142;A;CON_INTER_PREC_ADQ;1905008.0;A
ES61;2018;273198;A;CON_INTER_PREC_ADQ;596382.0;A
ES61;2018;273199;A;CON_INTER_PREC_ADQ;365242.0;A
ES61;2018;273200;A;CON_INTER_PREC_ADQ;943384.0;A
ES61;2018;273143;A;CON_INTER_PREC_ADQ;6597327.0;A
ES61;2018;273201;A;CON_INTER_PREC_ADQ;5045657.0;A
ES61;2018;273202;A;CON_INTER_PREC_ADQ;1551670.0;A
ES61;2018;273144;A;CON_INTER_PREC_ADQ;1743831.0;A
ES61;2018;273203;A;CON_INTER_PREC_ADQ;1026105.0;A
ES61;2018;273204;A;CON_INTER_PREC_ADQ;717726.0;A
ES61;2018;273249;A;CON_INTER_PREC_ADQ;12773407;A
ES61;2018;273145;A;CON_INTER_PREC_ADQ;12773407;A
ES61;2018;273205;A;CON_INTER_PREC_ADQ;12773407;A
ES61;2018;273251;A;CON_INTER_PREC_ADQ;69435986;A
ES61;2018;273250;A;CON_INTER_PREC_ADQ;33609331;A
ES61;2018;273146;A;CON_INTER_PREC_ADQ;14001514;A
ES61;2018;273206;A;CON_INTER_PREC_ADQ;1905721.0;A
ES61;2018;273207;A;CON_INTER_PREC_ADQ;7222638.0;A
ES61;2018;273208;A;CON_INTER_PREC_ADQ;4873155.0;A
ES61;2018;273147;A;CON_INTER_PREC_ADQ;10038367;A
ES61;2018;273209;A;CON_INTER_PREC_ADQ;6094038.0;A
ES61;2018;273210;A;CON_INTER_PREC_ADQ;320024.0;A
ES61;2018;273211;A;CON_INTER_PREC_ADQ;3327659.0;A
ES61;2018;273212;A;CON_INTER_PREC_ADQ;296646.0;A
ES61;2018;273148;A;CON_INTER_PREC_ADQ;9569450.0;A
ES61;2018;273213;A;CON_INTER_PREC_ADQ;2104619.0;A
ES61;2018;273214;A;CON_INTER_PREC_ADQ;7464831.0;A
ES61;2018;273253;A;CON_INTER_PREC_ADQ;3176451.0;A
ES61;2018;273149;A;CON_INTER_PREC_ADQ;607446.0;A
ES61;2018;273215;A;CON_INTER_PREC_ADQ;273352.0;A
ES61;2018;273216;A;CON_INTER_PREC_ADQ;334094.0;A
ES61;2018;273150;A;CON_INTER_PREC_ADQ;1742587.0;A
ES61;2018;273217;A;CON_INTER_PREC_ADQ;1742587.0;A
ES61;2018;273151;A;CON_INTER_PREC_ADQ;826418.0;A
ES61;2018;273218;A;CON_INTER_PREC_ADQ;826418.0;A
ES61;2018;273254;A;CON_INTER_PREC_ADQ;3841940.0;A
ES61;2018;273152;A;CON_INTER_PREC_ADQ;3841940.0;A
ES61;2018;273219;A;CON_INTER_PREC_ADQ;1828109.0;A
ES61;2018;273220;A;CON_INTER_PREC_ADQ;1162845.0;A
