MACROECO;TEMPORAL;OBS_STATUS;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
93017;2021;1E;ES61;TAS_INTER_PREC_CORR;8.768814659;A
93017;2020;AV;ES61;TAS_INTER_PREC_CORR;-7.242574136;A
93017;2019;P;ES61;TAS_INTER_PREC_CORR;1.02870874;A
93017;2018;A;ES61;TAS_INTER_PREC_CORR;2.985107247;A
93017;2017;A;ES61;TAS_INTER_PREC_CORR;4.387909803;A
93017;2016;A;ES61;TAS_INTER_PREC_CORR;2.587242576;A
93017;2015;A;ES61;TAS_INTER_PREC_CORR;2.250037396;A
93017;2014;A;ES61;TAS_INTER_PREC_CORR;1.282165577;A
93017;2013;A;ES61;TAS_INTER_PREC_CORR;-2.020692986;A
93017;2012;A;ES61;TAS_INTER_PREC_CORR;-2.953963765;A
93017;2011;A;ES61;TAS_INTER_PREC_CORR;-0.415148608;A
93017;2010;A;ES61;TAS_INTER_PREC_CORR;1.896823806;A
93017;2009;A;ES61;TAS_INTER_PREC_CORR;-1.999318386;A
93017;2008;A;ES61;TAS_INTER_PREC_CORR;5.009903253;A
93017;2007;A;ES61;TAS_INTER_PREC_CORR;8.103375404;A
93018;2021;1E;ES61;TAS_INTER_PREC_CORR;8.783777781;A
93018;2020;AV;ES61;TAS_INTER_PREC_CORR;-12.538928773;A
93018;2019;P;ES61;TAS_INTER_PREC_CORR;-0.249254158;A
93018;2018;A;ES61;TAS_INTER_PREC_CORR;2.792730385;A
93018;2017;A;ES61;TAS_INTER_PREC_CORR;5.189571242;A
93018;2016;A;ES61;TAS_INTER_PREC_CORR;2.848973126;A
93018;2015;A;ES61;TAS_INTER_PREC_CORR;1.754457926;A
93018;2014;A;ES61;TAS_INTER_PREC_CORR;1.824491877;A
93018;2013;A;ES61;TAS_INTER_PREC_CORR;-2.260879228;A
93018;2012;A;ES61;TAS_INTER_PREC_CORR;-1.783187265;A
93018;2011;A;ES61;TAS_INTER_PREC_CORR;-0.351692986;A
93018;2010;A;ES61;TAS_INTER_PREC_CORR;2.413224772;A
93018;2009;A;ES61;TAS_INTER_PREC_CORR;-4.609217503;A
93018;2008;A;ES61;TAS_INTER_PREC_CORR;3.221659358;A
93018;2007;A;ES61;TAS_INTER_PREC_CORR;7.417237409;A
93011;2021;1E;ES61;TAS_INTER_PREC_CORR;8.736837307;A
93011;2020;AV;ES61;TAS_INTER_PREC_CORR;6.546012327;A
93011;2019;P;ES61;TAS_INTER_PREC_CORR;4.514665689;A
93011;2018;A;ES61;TAS_INTER_PREC_CORR;3.513542008;A
93011;2017;A;ES61;TAS_INTER_PREC_CORR;2.247439092;A
93011;2016;A;ES61;TAS_INTER_PREC_CORR;1.894893411;A
93011;2015;A;ES61;TAS_INTER_PREC_CORR;3.584559091;A
93011;2014;A;ES61;TAS_INTER_PREC_CORR;-0.149920628;A
93011;2013;A;ES61;TAS_INTER_PREC_CORR;-1.380737234;A
93011;2012;A;ES61;TAS_INTER_PREC_CORR;-5.941332294;A
93011;2011;A;ES61;TAS_INTER_PREC_CORR;-0.576697196;A
93011;2010;A;ES61;TAS_INTER_PREC_CORR;0.605351334;A
93011;2009;A;ES61;TAS_INTER_PREC_CORR;5.1989284;A
93011;2008;A;ES61;TAS_INTER_PREC_CORR;10.279198419;A
93011;2007;A;ES61;TAS_INTER_PREC_CORR;10.177117152;A
93020;2019;P;ES61;TAS_INTER_PREC_CORR;5.472443432;A
93020;2018;A;ES61;TAS_INTER_PREC_CORR;3.524912982;A
93020;2017;A;ES61;TAS_INTER_PREC_CORR;2.630702135;A
93020;2016;A;ES61;TAS_INTER_PREC_CORR;3.520949438;A
93020;2015;A;ES61;TAS_INTER_PREC_CORR;3.418312439;A
93020;2014;A;ES61;TAS_INTER_PREC_CORR;-0.297771;A
93020;2013;A;ES61;TAS_INTER_PREC_CORR;-1.293528085;A
93020;2012;A;ES61;TAS_INTER_PREC_CORR;-7.705608888;A
93020;2011;A;ES61;TAS_INTER_PREC_CORR;-2.302424166;A
93020;2010;A;ES61;TAS_INTER_PREC_CORR;-0.413668568;A
93020;2009;A;ES61;TAS_INTER_PREC_CORR;4.921057631;A
93020;2008;A;ES61;TAS_INTER_PREC_CORR;14.084329611;A
93020;2007;A;ES61;TAS_INTER_PREC_CORR;10.104858444;A
93012;2019;P;ES61;TAS_INTER_PREC_CORR;3.096250651;A
93012;2018;A;ES61;TAS_INTER_PREC_CORR;3.496706823;A
93012;2017;A;ES61;TAS_INTER_PREC_CORR;1.685230132;A
93012;2016;A;ES61;TAS_INTER_PREC_CORR;-0.400025296;A
93012;2015;A;ES61;TAS_INTER_PREC_CORR;3.82010128;A
93012;2014;A;ES61;TAS_INTER_PREC_CORR;0.06030962;A
93012;2013;A;ES61;TAS_INTER_PREC_CORR;-1.504475974;A
93012;2012;A;ES61;TAS_INTER_PREC_CORR;-3.319071887;A
93012;2011;A;ES61;TAS_INTER_PREC_CORR;2.103952076;A
93012;2010;A;ES61;TAS_INTER_PREC_CORR;2.230265141;A
93012;2009;A;ES61;TAS_INTER_PREC_CORR;5.645074518;A
93012;2008;A;ES61;TAS_INTER_PREC_CORR;4.67368483;A
93012;2007;A;ES61;TAS_INTER_PREC_CORR;10.283737713;A
93016;2021;1E;ES61;TAS_INTER_PREC_CORR;7.035148071;A
93016;2020;AV;ES61;TAS_INTER_PREC_CORR;-10.340212461;A
93016;2019;P;ES61;TAS_INTER_PREC_CORR;7.82616882;A
93016;2018;A;ES61;TAS_INTER_PREC_CORR;12.206319046;A
93016;2017;A;ES61;TAS_INTER_PREC_CORR;7.669704039;A
93016;2016;A;ES61;TAS_INTER_PREC_CORR;-0.726785514;A
93016;2015;A;ES61;TAS_INTER_PREC_CORR;10.07351064;A
93016;2014;A;ES61;TAS_INTER_PREC_CORR;1.856944562;A
93016;2013;A;ES61;TAS_INTER_PREC_CORR;-8.234917569;A
