MACROECO;TEMPORAL;OBS_STATUS;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
93015;2021;1E;ES61;CLV_I15;102.506096763;A
93015;2020;AV;ES61;CLV_I15;91.988148724;A
93015;2019;P;ES61;CLV_I15;120.015691852;A
93015;2018;A;ES61;CLV_I15;116.334386359;A
93015;2017;A;ES61;CLV_I15;114.1286629;A
93015;2016;A;ES61;CLV_I15;107.579384238;A
93015;2015;A;ES61;CLV_I15;100.0;A
93015;2014;A;ES61;CLV_I15;99.626845971;A
93015;2013;A;ES61;CLV_I15;95.387157173;A
93015;2012;A;ES61;CLV_I15;94.650891118;A
93015;2011;A;ES61;CLV_I15;93.247963053;A
93015;2010;A;ES61;CLV_I15;85.290836725;A
93015;2009;A;ES61;CLV_I15;79.357398928;A
93015;2008;A;ES61;CLV_I15;85.67783846;A
93015;2007;A;ES61;CLV_I15;83.259169301;A
93019;2021;1E;ES61;CLV_I15;104.428681945;A
93019;2020;AV;ES61;CLV_I15;95.228921238;A
93019;2019;P;ES61;CLV_I15;115.733955064;A
93019;2018;A;ES61;CLV_I15;115.550032244;A
93019;2017;A;ES61;CLV_I15;111.986411754;A
93019;2016;A;ES61;CLV_I15;105.3253386;A
93019;2015;A;ES61;CLV_I15;100.0;A
93019;2014;A;ES61;CLV_I15;100.355632906;A
93019;2013;A;ES61;CLV_I15;96.506843247;A
93019;2012;A;ES61;CLV_I15;99.483535624;A
93019;2011;A;ES61;CLV_I15;103.592137657;A
93019;2010;A;ES61;CLV_I15;102.074544996;A
93019;2009;A;ES61;CLV_I15;96.062666117;A
93019;2008;A;ES61;CLV_I15;107.072924915;A
93019;2007;A;ES61;CLV_I15;108.191381734;A
93023;2021;1E;ES61;CLV_I15;104.246218946;A
93023;2020;AV;ES61;CLV_I15;99.204905793;A
93023;2019;P;ES61;CLV_I15;110.536601534;A
93023;2018;A;ES61;CLV_I15;108.206569143;A
93023;2017;A;ES61;CLV_I15;105.754220444;A
93023;2016;A;ES61;CLV_I15;102.653342385;A
93023;2015;A;ES61;CLV_I15;100.0;A
93023;2014;A;ES61;CLV_I15;96.563923945;A
93023;2013;A;ES61;CLV_I15;95.190102015;A
93023;2012;A;ES61;CLV_I15;96.717682619;A
93023;2011;A;ES61;CLV_I15;99.831683126;A
93023;2010;A;ES61;CLV_I15;101.076123738;A
93023;2009;A;ES61;CLV_I15;102.227331136;A
93023;2008;A;ES61;CLV_I15;106.091678663;A
93023;2007;A;ES61;CLV_I15;105.518501996;A
93077;2021;1E;ES61;CLV_I15;104.136600156;A
93077;2020;AV;ES61;CLV_I15;99.254275212;A
93077;2019;P;ES61;CLV_I15;110.41961742;A
93077;2018;A;ES61;CLV_I15;107.980374762;A
93077;2017;A;ES61;CLV_I15;105.54010874;A
93077;2016;A;ES61;CLV_I15;102.348399403;A
93077;2015;A;ES61;CLV_I15;100.0;A
93077;2014;A;ES61;CLV_I15;97.046392296;A
93077;2013;A;ES61;CLV_I15;96.017835177;A
93077;2012;A;ES61;CLV_I15;97.356848504;A
93077;2011;A;ES61;CLV_I15;100.388921214;A
93077;2010;A;ES61;CLV_I15;101.23713138;A
93077;2009;A;ES61;CLV_I15;102.709838046;A
93077;2008;A;ES61;CLV_I15;106.105409584;A
93077;2007;A;ES61;CLV_I15;105.138071386;A
93065;2021;1E;ES61;CLV_I15;110.059454102;A
93065;2020;AV;ES61;CLV_I15;110.913603657;A
93065;2019;P;ES61;CLV_I15;104.958568547;A
93065;2018;A;ES61;CLV_I15;112.255605066;A
93065;2017;A;ES61;CLV_I15;106.933059165;A
93065;2016;A;ES61;CLV_I15;104.743940333;A
93065;2015;A;ES61;CLV_I15;100.0;A
93065;2014;A;ES61;CLV_I15;92.242127037;A
93065;2013;A;ES61;CLV_I15;95.858622347;A
93065;2012;A;ES61;CLV_I15;76.327829195;A
93065;2011;A;ES61;CLV_I15;90.133604433;A
93065;2010;A;ES61;CLV_I15;86.635680478;A
93065;2009;A;ES61;CLV_I15;87.170935208;A
93065;2008;A;ES61;CLV_I15;83.463286024;A
93065;2007;A;ES61;CLV_I15;83.379668872;A
93066;2021;1E;ES61;CLV_I15;97.31981986;A
93066;2020;AV;ES61;CLV_I15;94.216717337;A
93066;2019;P;ES61;CLV_I15;107.852703736;A
93066;2018;A;ES61;CLV_I15;106.116705811;A
93066;2017;A;ES61;CLV_I15;107.605449149;A
93066;2016;A;ES61;CLV_I15;104.407990671;A
93066;2015;A;ES61;CLV_I15;100.0;A
93066;2014;A;ES61;CLV_I15;96.779787548;A
93066;2013;A;ES61;CLV_I15;94.700146344;A
93066;2012;A;ES61;CLV_I15;103.589452561;A
93066;2011;A;ES61;CLV_I15;109.093694077;A
93066;2010;A;ES61;CLV_I15;111.225095153;A
93066;2009;A;ES61;CLV_I15;103.202545349;A
93066;2008;A;ES61;CLV_I15;115.908536701;A
93066;2007;A;ES61;CLV_I15;115.290479206;A
93067;2021;1E;ES61;CLV_I15;100.666108015;A
93067;2020;AV;ES61;CLV_I15;95.63709956;A
93067;2019;P;ES61;CLV_I15;109.057417106;A
93067;2018;A;ES61;CLV_I15;108.123104561;A
93067;2017;A;ES61;CLV_I15;109.511020365;A
93067;2016;A;ES61;CLV_I15;104.165212852;A
93067;2015;A;ES61;CLV_I15;100.0;A
93067;2014;A;ES61;CLV_I15;93.581722094;A
93067;2013;A;ES61;CLV_I15;90.26557135;A
93067;2012;A;ES61;CLV_I15;102.040840686;A
93067;2011;A;ES61;CLV_I15;108.071705982;A
93067;2010;A;ES61;CLV_I15;113.51541805;A
93067;2009;A;ES61;CLV_I15;105.89055628;A
93067;2008;A;ES61;CLV_I15;124.157255985;A
93067;2007;A;ES61;CLV_I15;125.232511043;A
93068;2021;1E;ES61;CLV_I15;102.192537666;A
93068;2020;AV;ES61;CLV_I15;103.854630445;A
93068;2019;P;ES61;CLV_I15;116.764961646;A
93068;2018;A;ES61;CLV_I15;108.718524519;A
93068;2017;A;ES61;CLV_I15;104.005146404;A
93068;2016;A;ES61;CLV_I15;101.74755598;A
93068;2015;A;ES61;CLV_I15;100.0;A
93068;2014;A;ES61;CLV_I15;94.870005848;A
93068;2013;A;ES61;CLV_I15;95.773082552;A
93068;2012;A;ES61;CLV_I15;105.672999734;A
93068;2011;A;ES61;CLV_I15;118.589214283;A
93068;2010;A;ES61;CLV_I15;138.68409558;A
93068;2009;A;ES61;CLV_I15;169.741464298;A
93068;2008;A;ES61;CLV_I15;202.372960712;A
93068;2007;A;ES61;CLV_I15;207.671811951;A
93070;2021;1E;ES61;CLV_I15;104.912249267;A
93070;2020;AV;ES61;CLV_I15;98.701820224;A
93070;2019;P;ES61;CLV_I15;110.751846518;A
93070;2018;A;ES61;CLV_I15;107.801494116;A
93070;2017;A;ES61;CLV_I15;105.216085479;A
93070;2016;A;ES61;CLV_I15;101.862340094;A
93070;2015;A;ES61;CLV_I15;100.0;A
93070;2014;A;ES61;CLV_I15;97.620509287;A
93070;2013;A;ES61;CLV_I15;96.253161948;A
93070;2012;A;ES61;CLV_I15;97.314929626;A
93070;2011;A;ES61;CLV_I15;98.349889332;A
93070;2010;A;ES61;CLV_I15;97.586576287;A
93070;2009;A;ES61;CLV_I15;97.570050504;A
93070;2008;A;ES61;CLV_I15;97.491654246;A
93070;2007;A;ES61;CLV_I15;95.787662455;A
93069;2021;1E;ES61;CLV_I15;98.376071581;A
93069;2020;AV;ES61;CLV_I15;86.071130458;A
93069;2019;P;ES61;CLV_I15;113.917578124;A
93069;2018;A;ES61;CLV_I15;110.337326936;A
93069;2017;A;ES61;CLV_I15;107.570677288;A
93069;2016;A;ES61;CLV_I15;102.953882577;A
93069;2015;A;ES61;CLV_I15;100.0;A
93069;2014;A;ES61;CLV_I15;95.236886596;A
93069;2013;A;ES61;CLV_I15;92.816465137;A
93069;2012;A;ES61;CLV_I15;94.544091208;A
93069;2011;A;ES61;CLV_I15;95.877421418;A
93069;2010;A;ES61;CLV_I15;95.532642795;A
93069;2009;A;ES61;CLV_I15;96.760597779;A
93069;2008;A;ES61;CLV_I15;99.112821618;A
