D_TEMPORAL_0;D_TERRITORIO_0;D_SEXO_0;D_PCSSA_JUBVIUDEDAD_0;INDICATOR;OBS_VALUE;FREQ
2019;2252;3689;212544;Número de pensionistas;23.0;A
2019;2252;3690;212544;Número de pensionistas;7.0;A
2019;2253;3691;212544;Número de pensionistas;16261.0;A
2019;2253;3689;212544;Número de pensionistas;11375.0;A
2019;2253;3690;212544;Número de pensionistas;4886.0;A
2019;2254;3691;212544;Número de pensionistas;15.0;A
2019;2254;3689;212544;Número de pensionistas;11.0;A
2019;2254;3690;212544;Número de pensionistas;se;A
2019;2255;3691;212544;Número de pensionistas;21.0;A
2019;2255;3689;212544;Número de pensionistas;18.0;A
2019;2255;3690;212544;Número de pensionistas;se;A
2019;2256;3691;212544;Número de pensionistas;288.0;A
2019;2256;3689;212544;Número de pensionistas;212.0;A
2019;2256;3690;212544;Número de pensionistas;76.0;A
2019;2257;3691;212544;Número de pensionistas;208.0;A
2019;2257;3689;212544;Número de pensionistas;145.0;A
2019;2257;3690;212544;Número de pensionistas;63.0;A
2019;2258;3691;212544;Número de pensionistas;32.0;A
2019;2258;3689;212544;Número de pensionistas;24.0;A
2019;2258;3690;212544;Número de pensionistas;8.0;A
2019;2259;3691;212544;Número de pensionistas;61.0;A
2019;2259;3689;212544;Número de pensionistas;39.0;A
2019;2259;3690;212544;Número de pensionistas;22.0;A
2019;9563;3691;212544;Número de pensionistas;186.0;A
2019;9563;3689;212544;Número de pensionistas;120.0;A
2019;9563;3690;212544;Número de pensionistas;66.0;A
2019;2260;3691;212544;Número de pensionistas;60.0;A
2019;2260;3689;212544;Número de pensionistas;40.0;A
2019;2260;3690;212544;Número de pensionistas;20.0;A
2019;2261;3691;212544;Número de pensionistas;44.0;A
2019;2261;3689;212544;Número de pensionistas;30.0;A
2019;2261;3690;212544;Número de pensionistas;14.0;A
2019;2262;3691;212544;Número de pensionistas;67.0;A
2019;2262;3689;212544;Número de pensionistas;44.0;A
2019;2262;3690;212544;Número de pensionistas;23.0;A
2019;2263;3691;212544;Número de pensionistas;22.0;A
2019;2263;3689;212544;Número de pensionistas;16.0;A
2019;2263;3690;212544;Número de pensionistas;6.0;A
2019;2264;3691;212544;Número de pensionistas;296.0;A
2019;2264;3689;212544;Número de pensionistas;235.0;A
2019;2264;3690;212544;Número de pensionistas;61.0;A
2019;2266;3691;212544;Número de pensionistas;13.0;A
2019;2266;3689;212544;Número de pensionistas;10.0;A
2019;2266;3690;212544;Número de pensionistas;se;A
2019;2267;3691;212544;Número de pensionistas;45.0;A
2019;2267;3689;212544;Número de pensionistas;33.0;A
2019;2267;3690;212544;Número de pensionistas;12.0;A
2019;2268;3691;212544;Número de pensionistas;56.0;A
2019;2268;3689;212544;Número de pensionistas;36.0;A
2019;2268;3690;212544;Número de pensionistas;20.0;A
2019;2269;3691;212544;Número de pensionistas;941.0;A
2019;2269;3689;212544;Número de pensionistas;708.0;A
2019;2269;3690;212544;Número de pensionistas;233.0;A
2019;2270;3691;212544;Número de pensionistas;227.0;A
2019;2270;3689;212544;Número de pensionistas;138.0;A
2019;2270;3690;212544;Número de pensionistas;89.0;A
2019;2271;3691;212544;Número de pensionistas;384.0;A
2019;2271;3689;212544;Número de pensionistas;278.0;A
2019;2271;3690;212544;Número de pensionistas;106.0;A
2019;2272;3691;212544;Número de pensionistas;699.0;A
2019;2272;3689;212544;Número de pensionistas;547.0;A
2019;2272;3690;212544;Número de pensionistas;152.0;A
2019;2273;3691;212544;Número de pensionistas;25.0;A
2019;2273;3689;212544;Número de pensionistas;15.0;A
2019;2273;3690;212544;Número de pensionistas;10.0;A
2019;2277;3691;212544;Número de pensionistas;50.0;A
2019;2277;3689;212544;Número de pensionistas;35.0;A
2019;2277;3690;212544;Número de pensionistas;15.0;A
2019;2278;3691;212544;Número de pensionistas;254.0;A
2019;2278;3689;212544;Número de pensionistas;168.0;A
2019;2278;3690;212544;Número de pensionistas;86.0;A
2019;2274;3691;212544;Número de pensionistas;41.0;A
2019;2274;3689;212544;Número de pensionistas;30.0;A
2019;2274;3690;212544;Número de pensionistas;11.0;A
2019;2276;3691;212544;Número de pensionistas;1063.0;A
2019;2276;3689;212544;Número de pensionistas;726.0;A
2019;2276;3690;212544;Número de pensionistas;337.0;A
2019;2279;3691;212544;Número de pensionistas;431.0;A
2019;2279;3689;212544;Número de pensionistas;298.0;A
2019;2279;3690;212544;Número de pensionistas;133.0;A
2019;2347;3691;212544;Número de pensionistas;4715.0;A
2019;2347;3689;212544;Número de pensionistas;3142.0;A
2019;2347;3690;212544;Número de pensionistas;1573.0;A
2019;2282;3691;212544;Número de pensionistas;58.0;A
