D_TEMPORAL_0;D_TERRITORIO_0;D_SEXO_0;D_EDAD_0;INDICATOR;OBS_VALUE;FREQ
2019;2250;3691;4305;Número de pensiones;131.0;A
2019;2250;3689;4306;Número de pensiones;77.0;A
2019;2250;3689;4172;Número de pensiones;27.0;A
2019;2250;3689;4305;Número de pensiones;50.0;A
2019;2250;3690;4306;Número de pensiones;94.0;A
2019;2250;3690;4172;Número de pensiones;13.0;A
2019;2250;3690;4305;Número de pensiones;81.0;A
2019;2251;3691;4306;Número de pensiones;739.0;A
2019;2251;3691;4172;Número de pensiones;150.0;A
2019;2251;3691;4305;Número de pensiones;589.0;A
2019;2251;3689;4306;Número de pensiones;361.0;A
2019;2251;3689;4172;Número de pensiones;88.0;A
2019;2251;3689;4305;Número de pensiones;273.0;A
2019;2251;3690;4306;Número de pensiones;378.0;A
2019;2251;3690;4172;Número de pensiones;62.0;A
2019;2251;3690;4305;Número de pensiones;316.0;A
2019;2252;3691;4306;Número de pensiones;52.0;A
2019;2252;3691;4172;Número de pensiones;8.0;A
2019;2252;3691;4305;Número de pensiones;44.0;A
2019;2252;3689;4306;Número de pensiones;28.0;A
2019;2252;3689;4172;Número de pensiones;se;A
2019;2252;3689;4305;Número de pensiones;24.0;A
2019;2252;3690;4306;Número de pensiones;24.0;A
2019;2252;3690;4172;Número de pensiones;se;A
2019;2252;3690;4305;Número de pensiones;20.0;A
2019;2253;3691;4306;Número de pensiones;31482.0;A
2019;2253;3691;4172;Número de pensiones;6336.0;A
2019;2253;3691;4305;Número de pensiones;25146.0;A
2019;2253;3689;4306;Número de pensiones;14747.0;A
2019;2253;3689;4172;Número de pensiones;3254.0;A
2019;2253;3689;4305;Número de pensiones;11493.0;A
2019;2253;3690;4306;Número de pensiones;16735.0;A
2019;2253;3690;4172;Número de pensiones;3082.0;A
2019;2253;3690;4305;Número de pensiones;13653.0;A
2019;2254;3691;4306;Número de pensiones;47.0;A
2019;2254;3691;4172;Número de pensiones;8.0;A
2019;2254;3691;4305;Número de pensiones;39.0;A
2019;2254;3689;4306;Número de pensiones;19.0;A
2019;2254;3689;4172;Número de pensiones;7.0;A
2019;2254;3689;4305;Número de pensiones;12.0;A
2019;2254;3690;4306;Número de pensiones;28.0;A
2019;2254;3690;4172;Número de pensiones;se;A
2019;2254;3690;4305;Número de pensiones;27.0;A
2019;2255;3691;4306;Número de pensiones;39.0;A
2019;2255;3691;4172;Número de pensiones;se;A
2019;2255;3691;4305;Número de pensiones;36.0;A
2019;2255;3689;4306;Número de pensiones;24.0;A
2019;2255;3689;4172;Número de pensiones;se;A
2019;2255;3689;4305;Número de pensiones;21.0;A
2019;2255;3690;4306;Número de pensiones;15.0;A
2019;2255;3690;4172;Número de pensiones;;A
2019;2255;3690;4305;Número de pensiones;15.0;A
2019;2256;3691;4306;Número de pensiones;576.0;A
2019;2256;3691;4172;Número de pensiones;97.0;A
2019;2256;3691;4305;Número de pensiones;479.0;A
2019;2256;3689;4306;Número de pensiones;264.0;A
2019;2256;3689;4172;Número de pensiones;47.0;A
2019;2256;3689;4305;Número de pensiones;217.0;A
2019;2256;3690;4306;Número de pensiones;312.0;A
2019;2256;3690;4172;Número de pensiones;50.0;A
2019;2256;3690;4305;Número de pensiones;262.0;A
2019;2257;3691;4306;Número de pensiones;391.0;A
2019;2257;3691;4172;Número de pensiones;57.0;A
2019;2257;3691;4305;Número de pensiones;334.0;A
2019;2257;3689;4306;Número de pensiones;192.0;A
2019;2257;3689;4172;Número de pensiones;37.0;A
2019;2257;3689;4305;Número de pensiones;155.0;A
2019;2257;3690;4306;Número de pensiones;199.0;A
2019;2257;3690;4172;Número de pensiones;20.0;A
2019;2257;3690;4305;Número de pensiones;179.0;A
2019;2258;3691;4306;Número de pensiones;79.0;A
2019;2258;3691;4172;Número de pensiones;10.0;A
2019;2258;3691;4305;Número de pensiones;69.0;A
2019;2258;3689;4306;Número de pensiones;29.0;A
2019;2258;3689;4172;Número de pensiones;se;A
2019;2258;3689;4305;Número de pensiones;25.0;A
2019;2258;3690;4306;Número de pensiones;50.0;A
2019;2258;3690;4172;Número de pensiones;6.0;A
2019;2258;3690;4305;Número de pensiones;44.0;A
2019;2259;3691;4306;Número de pensiones;122.0;A
2019;2259;3691;4172;Número de pensiones;19.0;A
2019;2259;3691;4305;Número de pensiones;103.0;A
2019;2259;3689;4306;Número de pensiones;52.0;A
2019;2259;3689;4172;Número de pensiones;10.0;A
2019;2259;3689;4305;Número de pensiones;42.0;A
2019;2259;3690;4306;Número de pensiones;70.0;A
2019;2259;3690;4172;Número de pensiones;9.0;A
2019;2259;3690;4305;Número de pensiones;61.0;A
2019;9563;3691;4306;Número de pensiones;413.0;A
2019;9563;3691;4172;Número de pensiones;89.0;A
2019;9563;3691;4305;Número de pensiones;324.0;A
2019;9563;3689;4306;Número de pensiones;177.0;A
2019;9563;3689;4172;Número de pensiones;39.0;A
2019;9563;3689;4305;Número de pensiones;138.0;A
2019;9563;3690;4306;Número de pensiones;236.0;A
2019;9563;3690;4172;Número de pensiones;50.0;A
2019;9563;3690;4305;Número de pensiones;186.0;A
2019;2260;3691;4306;Número de pensiones;115.0;A
2019;2260;3691;4172;Número de pensiones;26.0;A
2019;2260;3691;4305;Número de pensiones;89.0;A
2019;2260;3689;4306;Número de pensiones;56.0;A
2019;2260;3689;4172;Número de pensiones;16.0;A
2019;2260;3689;4305;Número de pensiones;40.0;A
2019;2260;3690;4306;Número de pensiones;59.0;A
2019;2260;3690;4172;Número de pensiones;10.0;A
2019;2260;3690;4305;Número de pensiones;49.0;A
2019;2261;3691;4306;Número de pensiones;73.0;A
2019;2261;3691;4172;Número de pensiones;10.0;A
2019;2261;3691;4305;Número de pensiones;63.0;A
2019;2261;3689;4306;Número de pensiones;39.0;A
2019;2261;3689;4172;Número de pensiones;7.0;A
2019;2261;3689;4305;Número de pensiones;32.0;A
2019;2261;3690;4306;Número de pensiones;34.0;A
2019;2261;3690;4172;Número de pensiones;se;A
2019;2261;3690;4305;Número de pensiones;31.0;A
2019;2262;3691;4306;Número de pensiones;142.0;A
2019;2262;3691;4172;Número de pensiones;24.0;A
2019;2262;3691;4305;Número de pensiones;118.0;A
2019;2262;3689;4306;Número de pensiones;56.0;A
2019;2262;3689;4172;Número de pensiones;9.0;A
2019;2262;3689;4305;Número de pensiones;47.0;A
2019;2262;3690;4306;Número de pensiones;86.0;A
2019;2262;3690;4172;Número de pensiones;15.0;A
2019;2262;3690;4305;Número de pensiones;71.0;A
2019;2263;3691;4306;Número de pensiones;53.0;A
2019;2263;3691;4172;Número de pensiones;7.0;A
2019;2263;3691;4305;Número de pensiones;46.0;A
2019;2263;3689;4306;Número de pensiones;24.0;A
2019;2263;3689;4172;Número de pensiones;se;A
2019;2263;3689;4305;Número de pensiones;20.0;A
2019;2263;3690;4306;Número de pensiones;29.0;A
2019;2263;3690;4172;Número de pensiones;se;A
2019;2263;3690;4305;Número de pensiones;26.0;A
2019;2264;3691;4306;Número de pensiones;589.0;A
2019;2264;3691;4172;Número de pensiones;143.0;A
2019;2264;3691;4305;Número de pensiones;446.0;A
2019;2264;3689;4306;Número de pensiones;305.0;A
2019;2264;3689;4172;Número de pensiones;81.0;A
2019;2264;3689;4305;Número de pensiones;224.0;A
2019;2264;3690;4306;Número de pensiones;284.0;A
2019;2264;3690;4172;Número de pensiones;62.0;A
2019;2264;3690;4305;Número de pensiones;222.0;A
2019;2266;3691;4306;Número de pensiones;24.0;A
2019;2266;3691;4172;Número de pensiones;se;A
2019;2266;3691;4305;Número de pensiones;20.0;A
2019;2266;3689;4306;Número de pensiones;15.0;A
2019;2266;3689;4172;Número de pensiones;se;A
2019;2266;3689;4305;Número de pensiones;11.0;A
2019;2266;3690;4306;Número de pensiones;9.0;A
2019;2266;3690;4172;Número de pensiones;;A
2019;2266;3690;4305;Número de pensiones;9.0;A
2019;2267;3691;4306;Número de pensiones;86.0;A
2019;2267;3691;4172;Número de pensiones;13.0;A
2019;2267;3691;4305;Número de pensiones;73.0;A
2019;2267;3689;4306;Número de pensiones;44.0;A
2019;2267;3689;4172;Número de pensiones;6.0;A
2019;2267;3689;4305;Número de pensiones;38.0;A
2019;2267;3690;4306;Número de pensiones;42.0;A
2019;2267;3690;4172;Número de pensiones;7.0;A
2019;2267;3690;4305;Número de pensiones;35.0;A
2019;2268;3691;4306;Número de pensiones;88.0;A
2019;2268;3691;4172;Número de pensiones;7.0;A
2019;2268;3691;4305;Número de pensiones;81.0;A
2019;2268;3689;4306;Número de pensiones;42.0;A
2019;2268;3689;4172;Número de pensiones;se;A
2019;2268;3689;4305;Número de pensiones;38.0;A
2019;2268;3690;4306;Número de pensiones;46.0;A
2019;2268;3690;4172;Número de pensiones;se;A
2019;2268;3690;4305;Número de pensiones;43.0;A
2019;2269;3691;4306;Número de pensiones;2060.0;A
2019;2269;3691;4172;Número de pensiones;442.0;A
2019;2269;3691;4305;Número de pensiones;1618.0;A
2019;2269;3689;4306;Número de pensiones;1012.0;A
2019;2269;3689;4172;Número de pensiones;240.0;A
2019;2269;3689;4305;Número de pensiones;772.0;A
2019;2269;3690;4306;Número de pensiones;1048.0;A
2019;2269;3690;4172;Número de pensiones;202.0;A
2019;2269;3690;4305;Número de pensiones;846.0;A
2019;2270;3691;4306;Número de pensiones;485.0;A
2019;2270;3691;4172;Número de pensiones;58.0;A
2019;2270;3691;4305;Número de pensiones;427.0;A
2019;2270;3689;4306;Número de pensiones;197.0;A
2019;2270;3689;4172;Número de pensiones;36.0;A
2019;2270;3689;4305;Número de pensiones;161.0;A
2019;2270;3690;4306;Número de pensiones;288.0;A
2019;2270;3690;4172;Número de pensiones;22.0;A
2019;2270;3690;4305;Número de pensiones;266.0;A
2019;2271;3691;4306;Número de pensiones;708.0;A
2019;2271;3691;4172;Número de pensiones;111.0;A
2019;2271;3691;4305;Número de pensiones;597.0;A
2019;2271;3689;4306;Número de pensiones;356.0;A
2019;2271;3689;4172;Número de pensiones;66.0;A
2019;2271;3689;4305;Número de pensiones;290.0;A
2019;2271;3690;4306;Número de pensiones;352.0;A
2019;2271;3690;4172;Número de pensiones;45.0;A
2019;2271;3690;4305;Número de pensiones;307.0;A
2019;2272;3691;4306;Número de pensiones;1400.0;A
2019;2272;3691;4172;Número de pensiones;444.0;A
2019;2272;3691;4305;Número de pensiones;956.0;A
2019;2272;3689;4306;Número de pensiones;763.0;A
2019;2272;3689;4172;Número de pensiones;273.0;A
2019;2272;3689;4305;Número de pensiones;490.0;A
2019;2272;3690;4306;Número de pensiones;637.0;A
2019;2272;3690;4172;Número de pensiones;171.0;A
2019;2272;3690;4305;Número de pensiones;466.0;A
2019;2273;3691;4306;Número de pensiones;47.0;A
2019;2273;3691;4172;Número de pensiones;se;A
2019;2273;3691;4305;Número de pensiones;44.0;A
2019;2273;3689;4306;Número de pensiones;15.0;A
2019;2273;3689;4172;Número de pensiones;se;A
2019;2273;3689;4305;Número de pensiones;14.0;A
2019;2273;3690;4306;Número de pensiones;32.0;A
2019;2273;3690;4172;Número de pensiones;se;A
2019;2273;3690;4305;Número de pensiones;30.0;A
2019;2277;3691;4306;Número de pensiones;89.0;A
2019;2277;3691;4172;Número de pensiones;15.0;A
2019;2277;3691;4305;Número de pensiones;74.0;A
2019;2277;3689;4306;Número de pensiones;46.0;A
2019;2277;3689;4172;Número de pensiones;8.0;A
2019;2277;3689;4305;Número de pensiones;38.0;A
2019;2277;3690;4306;Número de pensiones;43.0;A
2019;2277;3690;4172;Número de pensiones;7.0;A
2019;2277;3690;4305;Número de pensiones;36.0;A
2019;2278;3691;4306;Número de pensiones;547.0;A
2019;2278;3691;4172;Número de pensiones;55.0;A
2019;2278;3691;4305;Número de pensiones;492.0;A
2019;2278;3689;4306;Número de pensiones;236.0;A
2019;2278;3689;4172;Número de pensiones;35.0;A
2019;2278;3689;4305;Número de pensiones;201.0;A
2019;2278;3690;4306;Número de pensiones;311.0;A
2019;2278;3690;4172;Número de pensiones;20.0;A
2019;2278;3690;4305;Número de pensiones;291.0;A
2019;2274;3691;4306;Número de pensiones;61.0;A
2019;2274;3691;4172;Número de pensiones;8.0;A
2019;2274;3691;4305;Número de pensiones;53.0;A
2019;2274;3689;4306;Número de pensiones;35.0;A
2019;2274;3689;4172;Número de pensiones;5.0;A
2019;2274;3689;4305;Número de pensiones;30.0;A
2019;2274;3690;4306;Número de pensiones;26.0;A
2019;2274;3690;4172;Número de pensiones;se;A
2019;2274;3690;4305;Número de pensiones;23.0;A
2019;2276;3691;4306;Número de pensiones;2222.0;A
2019;2276;3691;4172;Número de pensiones;461.0;A
2019;2276;3691;4305;Número de pensiones;1761.0;A
2019;2276;3689;4306;Número de pensiones;1029.0;A
2019;2276;3689;4172;Número de pensiones;260.0;A
2019;2276;3689;4305;Número de pensiones;769.0;A
2019;2276;3690;4306;Número de pensiones;1193.0;A
2019;2276;3690;4172;Número de pensiones;201.0;A
2019;2276;3690;4305;Número de pensiones;992.0;A
2019;2279;3691;4306;Número de pensiones;867.0;A
2019;2279;3691;4172;Número de pensiones;139.0;A
2019;2279;3691;4305;Número de pensiones;728.0;A
2019;2279;3689;4306;Número de pensiones;387.0;A
2019;2279;3689;4172;Número de pensiones;72.0;A
2019;2279;3689;4305;Número de pensiones;315.0;A
2019;2279;3690;4306;Número de pensiones;480.0;A
2019;2279;3690;4172;Número de pensiones;67.0;A
2019;2279;3690;4305;Número de pensiones;413.0;A
2019;2347;3691;4306;Número de pensiones;9847.0;A
2019;2347;3691;4172;Número de pensiones;2233.0;A
2019;2347;3691;4305;Número de pensiones;7614.0;A
2019;2347;3689;4306;Número de pensiones;4414.0;A
2019;2347;3689;4172;Número de pensiones;1030.0;A
2019;2347;3689;4305;Número de pensiones;3384.0;A
2019;2347;3690;4306;Número de pensiones;5433.0;A
2019;2347;3690;4172;Número de pensiones;1203.0;A
2019;2347;3690;4305;Número de pensiones;4230.0;A
2019;2282;3691;4306;Número de pensiones;96.0;A
