ESTADO_DATO;TERRITORIO;TEMPORAL;INDICATOR;OBS_VALUE;FREQ;RESITUR;PARQUES_TURISMO;PUNTOS_TURISTICOS
A;ES618;2014;PERS_MEDI_EMPL;296.77252582;A;_Z;_Z;_Z
P;ES61;2021;PERS_MEDI_EMPL;3607.416856677;A;_Z;_Z;_Z
P;ES611;2021;PERS_MEDI_EMPL;275.674703129;A;_Z;_Z;_Z
P;ES612;2021;PERS_MEDI_EMPL;349.694809645;A;_Z;_Z;_Z
P;ES613;2021;PERS_MEDI_EMPL;78.425940275;A;_Z;_Z;_Z
P;ES614;2021;PERS_MEDI_EMPL;368.662602731;A;_Z;_Z;_Z
P;ES615;2021;PERS_MEDI_EMPL;75.567792729;A;_Z;_Z;_Z
P;ES616;2021;PERS_MEDI_EMPL;124.339977286;A;_Z;_Z;_Z
P;ES617;2021;PERS_MEDI_EMPL;1961.130036976;A;_Z;_Z;_Z
P;ES618;2021;PERS_MEDI_EMPL;373.920993906;A;_Z;_Z;_Z
A;ES61;2020;PERS_MEDI_NO_REMU;394.34786468;A;_Z;_Z;_Z
A;ES61;2019;PERS_MEDI_NO_REMU;531.863807876;A;_Z;_Z;_Z
A;ES61;2018;PERS_MEDI_NO_REMU;508.957268387;A;_Z;_Z;_Z
A;ES61;2017;PERS_MEDI_NO_REMU;494.268438799;A;_Z;_Z;_Z
A;ES61;2016;PERS_MEDI_NO_REMU;469.217337887;A;_Z;_Z;_Z
A;ES61;2015;PERS_MEDI_NO_REMU;437.402681486;A;_Z;_Z;_Z
A;ES61;2014;PERS_MEDI_NO_REMU;384.402316574;A;_Z;_Z;_Z
A;ES611;2020;PERS_MEDI_NO_REMU;40.150264114;A;_Z;_Z;_Z
A;ES611;2019;PERS_MEDI_NO_REMU;45.815680807;A;_Z;_Z;_Z
A;ES611;2018;PERS_MEDI_NO_REMU;43.053944966;A;_Z;_Z;_Z
A;ES611;2017;PERS_MEDI_NO_REMU;49.647034785;A;_Z;_Z;_Z
A;ES611;2016;PERS_MEDI_NO_REMU;33.478714744;A;_Z;_Z;_Z
A;ES611;2015;PERS_MEDI_NO_REMU;28.058678783;A;_Z;_Z;_Z
A;ES611;2014;PERS_MEDI_NO_REMU;24.859536109;A;_Z;_Z;_Z
A;ES612;2020;PERS_MEDI_NO_REMU;51.25398483;A;_Z;_Z;_Z
A;ES612;2019;PERS_MEDI_NO_REMU;64.380969351;A;_Z;_Z;_Z
A;ES612;2018;PERS_MEDI_NO_REMU;69.894606168;A;_Z;_Z;_Z
A;ES612;2017;PERS_MEDI_NO_REMU;36.321092995;A;_Z;_Z;_Z
A;ES612;2016;PERS_MEDI_NO_REMU;35.125395924;A;_Z;_Z;_Z
A;ES612;2015;PERS_MEDI_NO_REMU;27.851974679;A;_Z;_Z;_Z
A;ES612;2014;PERS_MEDI_NO_REMU;27.983064051;A;_Z;_Z;_Z
A;ES613;2020;PERS_MEDI_NO_REMU;15.044601799;A;_Z;_Z;_Z
A;ES613;2019;PERS_MEDI_NO_REMU;19.394273115;A;_Z;_Z;_Z
A;ES613;2018;PERS_MEDI_NO_REMU;24.813831683;A;_Z;_Z;_Z
A;ES613;2017;PERS_MEDI_NO_REMU;29.473880884;A;_Z;_Z;_Z
A;ES613;2016;PERS_MEDI_NO_REMU;25.03601386;A;_Z;_Z;_Z
A;ES613;2015;PERS_MEDI_NO_REMU;20.74085476;A;_Z;_Z;_Z
A;ES613;2014;PERS_MEDI_NO_REMU;18.388068496;A;_Z;_Z;_Z
A;ES614;2020;PERS_MEDI_NO_REMU;81.703409929;A;_Z;_Z;_Z
A;ES614;2019;PERS_MEDI_NO_REMU;115.056255804;A;_Z;_Z;_Z
A;ES614;2018;PERS_MEDI_NO_REMU;102.90864973;A;_Z;_Z;_Z
A;ES614;2017;PERS_MEDI_NO_REMU;104.761496;A;_Z;_Z;_Z
A;ES614;2016;PERS_MEDI_NO_REMU;102.37740286;A;_Z;_Z;_Z
A;ES614;2015;PERS_MEDI_NO_REMU;110.49627116;A;_Z;_Z;_Z
A;ES614;2014;PERS_MEDI_NO_REMU;92.680791677;A;_Z;_Z;_Z
A;ES615;2020;PERS_MEDI_NO_REMU;3.572395785;A;_Z;_Z;_Z
A;ES615;2019;PERS_MEDI_NO_REMU;4.088510815;A;_Z;_Z;_Z
A;ES615;2018;PERS_MEDI_NO_REMU;4.116812674;A;_Z;_Z;_Z
A;ES615;2017;PERS_MEDI_NO_REMU;5.855417917;A;_Z;_Z;_Z
A;ES615;2016;PERS_MEDI_NO_REMU;5.213947158;A;_Z;_Z;_Z
A;ES615;2015;PERS_MEDI_NO_REMU;2.791712417;A;_Z;_Z;_Z
A;ES615;2014;PERS_MEDI_NO_REMU;4.083333333;A;_Z;_Z;_Z
A;ES616;2020;PERS_MEDI_NO_REMU;55.101407617;A;_Z;_Z;_Z
A;ES616;2019;PERS_MEDI_NO_REMU;77.587357792;A;_Z;_Z;_Z
A;ES616;2018;PERS_MEDI_NO_REMU;71.485944734;A;_Z;_Z;_Z
A;ES616;2017;PERS_MEDI_NO_REMU;66.775877623;A;_Z;_Z;_Z
A;ES616;2016;PERS_MEDI_NO_REMU;66.783988723;A;_Z;_Z;_Z
A;ES616;2015;PERS_MEDI_NO_REMU;60.403002953;A;_Z;_Z;_Z
A;ES616;2014;PERS_MEDI_NO_REMU;46.696985247;A;_Z;_Z;_Z
A;ES617;2020;PERS_MEDI_NO_REMU;107.172721974;A;_Z;_Z;_Z
A;ES617;2019;PERS_MEDI_NO_REMU;169.279515919;A;_Z;_Z;_Z
A;ES617;2018;PERS_MEDI_NO_REMU;166.90786016;A;_Z;_Z;_Z
A;ES617;2017;PERS_MEDI_NO_REMU;182.86060975;A;_Z;_Z;_Z
A;ES617;2016;PERS_MEDI_NO_REMU;168.66372895;A;_Z;_Z;_Z
A;ES617;2015;PERS_MEDI_NO_REMU;143.46286713;A;_Z;_Z;_Z
A;ES617;2014;PERS_MEDI_NO_REMU;131.77020378;A;_Z;_Z;_Z
A;ES618;2020;PERS_MEDI_NO_REMU;40.349078632;A;_Z;_Z;_Z
A;ES618;2019;PERS_MEDI_NO_REMU;36.261244273;A;_Z;_Z;_Z
A;ES618;2018;PERS_MEDI_NO_REMU;25.775618272;A;_Z;_Z;_Z
A;ES618;2017;PERS_MEDI_NO_REMU;18.573028845;A;_Z;_Z;_Z
A;ES618;2016;PERS_MEDI_NO_REMU;32.538145668;A;_Z;_Z;_Z
A;ES618;2015;PERS_MEDI_NO_REMU;43.597319604;A;_Z;_Z;_Z
A;ES618;2014;PERS_MEDI_NO_REMU;37.940333881;A;_Z;_Z;_Z
P;ES61;2021;PERS_MEDI_NO_REMU;558.041048434;A;_Z;_Z;_Z
P;ES611;2021;PERS_MEDI_NO_REMU;37.379708542;A;_Z;_Z;_Z
P;ES612;2021;PERS_MEDI_NO_REMU;51.641151486;A;_Z;_Z;_Z
P;ES613;2021;PERS_MEDI_NO_REMU;20.352243021;A;_Z;_Z;_Z
P;ES614;2021;PERS_MEDI_NO_REMU;99.242232165;A;_Z;_Z;_Z
P;ES615;2021;PERS_MEDI_NO_REMU;4.061718551;A;_Z;_Z;_Z
P;ES616;2021;PERS_MEDI_NO_REMU;65.215758994;A;_Z;_Z;_Z
P;ES617;2021;PERS_MEDI_NO_REMU;219.983014434;A;_Z;_Z;_Z
P;ES618;2021;PERS_MEDI_NO_REMU;60.165221241;A;_Z;_Z;_Z
A;ES61;2020;PERS_MEDI_REMU_FIJO;1960.674632362;A;_Z;_Z;_Z
A;ES61;2019;PERS_MEDI_REMU_FIJO;3035.941221976;A;_Z;_Z;_Z
A;ES61;2018;PERS_MEDI_REMU_FIJO;2807.84513093;A;_Z;_Z;_Z
A;ES61;2017;PERS_MEDI_REMU_FIJO;2840.044383407;A;_Z;_Z;_Z
A;ES61;2016;PERS_MEDI_REMU_FIJO;2585.446897979;A;_Z;_Z;_Z
A;ES61;2015;PERS_MEDI_REMU_FIJO;2468.377843614;A;_Z;_Z;_Z
A;ES61;2014;PERS_MEDI_REMU_FIJO;2305.50080612;A;_Z;_Z;_Z
A;ES611;2020;PERS_MEDI_REMU_FIJO;94.599259319;A;_Z;_Z;_Z
A;ES611;2019;PERS_MEDI_REMU_FIJO;80.931534579;A;_Z;_Z;_Z
A;ES611;2018;PERS_MEDI_REMU_FIJO;83.776295733;A;_Z;_Z;_Z
A;ES611;2017;PERS_MEDI_REMU_FIJO;79.841683848;A;_Z;_Z;_Z
A;ES611;2016;PERS_MEDI_REMU_FIJO;81.893396121;A;_Z;_Z;_Z
A;ES611;2015;PERS_MEDI_REMU_FIJO;77.839739797;A;_Z;_Z;_Z
A;ES611;2014;PERS_MEDI_REMU_FIJO;62.232771049;A;_Z;_Z;_Z
A;ES612;2020;PERS_MEDI_REMU_FIJO;119.340929351;A;_Z;_Z;_Z
A;ES612;2019;PERS_MEDI_REMU_FIJO;151.486611333;A;_Z;_Z;_Z
A;ES612;2018;PERS_MEDI_REMU_FIJO;163.21500872;A;_Z;_Z;_Z
A;ES612;2017;PERS_MEDI_REMU_FIJO;199.02360095;A;_Z;_Z;_Z
A;ES612;2016;PERS_MEDI_REMU_FIJO;165.62769213;A;_Z;_Z;_Z
A;ES612;2015;PERS_MEDI_REMU_FIJO;160.51408264;A;_Z;_Z;_Z
A;ES612;2014;PERS_MEDI_REMU_FIJO;181.88934365;A;_Z;_Z;_Z
A;ES613;2020;PERS_MEDI_REMU_FIJO;34.043368921;A;_Z;_Z;_Z
A;ES613;2019;PERS_MEDI_REMU_FIJO;50.61982786;A;_Z;_Z;_Z
A;ES613;2018;PERS_MEDI_REMU_FIJO;41.033080606;A;_Z;_Z;_Z
A;ES613;2017;PERS_MEDI_REMU_FIJO;35.556243291;A;_Z;_Z;_Z
A;ES613;2016;PERS_MEDI_REMU_FIJO;31.895769106;A;_Z;_Z;_Z
A;ES613;2015;PERS_MEDI_REMU_FIJO;31.232354773;A;_Z;_Z;_Z
A;ES613;2014;PERS_MEDI_REMU_FIJO;27.570379056;A;_Z;_Z;_Z
A;ES614;2020;PERS_MEDI_REMU_FIJO;151.208780037;A;_Z;_Z;_Z
A;ES614;2019;PERS_MEDI_REMU_FIJO;246.850668376;A;_Z;_Z;_Z
A;ES614;2018;PERS_MEDI_REMU_FIJO;190.68760345;A;_Z;_Z;_Z
A;ES614;2017;PERS_MEDI_REMU_FIJO;160.98905249;A;_Z;_Z;_Z
A;ES614;2016;PERS_MEDI_REMU_FIJO;189.10435377;A;_Z;_Z;_Z
A;ES614;2015;PERS_MEDI_REMU_FIJO;179.51737468;A;_Z;_Z;_Z
A;ES614;2014;PERS_MEDI_REMU_FIJO;124.0910844;A;_Z;_Z;_Z
A;ES615;2020;PERS_MEDI_REMU_FIJO;33.962970269;A;_Z;_Z;_Z
A;ES615;2019;PERS_MEDI_REMU_FIJO;50.943120141;A;_Z;_Z;_Z
A;ES615;2018;PERS_MEDI_REMU_FIJO;35.519967159;A;_Z;_Z;_Z
A;ES615;2017;PERS_MEDI_REMU_FIJO;39.94249134;A;_Z;_Z;_Z
A;ES615;2016;PERS_MEDI_REMU_FIJO;28.215241614;A;_Z;_Z;_Z
A;ES615;2015;PERS_MEDI_REMU_FIJO;14.417784233;A;_Z;_Z;_Z
