TEMPORAL;SEXO;MCVL_TIPOPRESTACION;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2007;M;55175;ES616;POP;19025.0;A
2007;M;55175;ES617;POP;17775.0;A
2007;M;55175;ES618;POP;39625.0;A
2007;M;55175;ES61;POP;154925.0;A
2007;M;55176;ES611;POP;1325.0;A
2007;M;55176;ES612;POP;4975.0;A
2007;M;55176;ES613;POP;2600.0;A
2007;M;55176;ES614;POP;1950.0;A
2007;M;55176;ES615;POP;1375.0;A
2007;M;55176;ES616;POP;1650.0;A
2007;M;55176;ES617;POP;3500.0;A
2007;M;55176;ES618;POP;5200.0;A
2007;M;55176;ES61;POP;22575.0;A
2007;M;55173;ES611;POP;230650.0;A
2007;M;55173;ES612;POP;408300.0;A
2007;M;55173;ES613;POP;282150.0;A
2007;M;55173;ES614;POP;313925.0;A
2007;M;55173;ES615;POP;185150.0;A
2007;M;55173;ES616;POP;240475.0;A
2007;M;55173;ES617;POP;511850.0;A
2007;M;55173;ES618;POP;650575.0;A
2007;M;55173;ES61;POP;2823075.0;A
2007;F;55174;ES611;POP;19125.0;A
2007;F;55174;ES612;POP;26075.0;A
2007;F;55174;ES613;POP;14550.0;A
2007;F;55174;ES614;POP;18475.0;A
2007;F;55174;ES615;POP;11750.0;A
2007;F;55174;ES616;POP;10375.0;A
2007;F;55174;ES617;POP;37825.0;A
2007;F;55174;ES618;POP;39200.0;A
2007;F;55174;ES61;POP;177375.0;A
2007;F;55175;ES611;POP;14525.0;A
2007;F;55175;ES612;POP;34600.0;A
2007;F;55175;ES613;POP;38800.0;A
2007;F;55175;ES614;POP;30750.0;A
2007;F;55175;ES615;POP;21550.0;A
2007;F;55175;ES616;POP;31025.0;A
2007;F;55175;ES617;POP;29075.0;A
2007;F;55175;ES618;POP;72875.0;A
2007;F;55175;ES61;POP;273200.0;A
2007;F;55176;ES611;POP;1550.0;A
2007;F;55176;ES612;POP;4075.0;A
2007;F;55176;ES613;POP;1900.0;A
2007;F;55176;ES614;POP;2250.0;A
2007;F;55176;ES615;POP;2000.0;A
2007;F;55176;ES616;POP;1275.0;A
2007;F;55176;ES617;POP;4000.0;A
2007;F;55176;ES618;POP;5175.0;A
2007;F;55176;ES61;POP;22225.0;A
2007;F;55173;ES611;POP;173475.0;A
2007;F;55173;ES612;POP;292650.0;A
2007;F;55173;ES613;POP;230400.0;A
2007;F;55173;ES614;POP;259125.0;A
2007;F;55173;ES615;POP;163800.0;A
2007;F;55173;ES616;POP;182100.0;A
2007;F;55173;ES617;POP;407325.0;A
2007;F;55173;ES618;POP;535675.0;A
2007;F;55173;ES61;POP;2244550.0;A
2007;_T;55174;ES611;POP;44950.0;A
2007;_T;55174;ES612;POP;78650.0;A
2007;_T;55174;ES613;POP;40575.0;A
2007;_T;55174;ES614;POP;46850.0;A
2007;_T;55174;ES615;POP;36000.0;A
2007;_T;55174;ES616;POP;31400.0;A
2007;_T;55174;ES617;POP;93400.0;A
2007;_T;55174;ES618;POP;102375.0;A
2007;_T;55174;ES61;POP;474200.0;A
2007;_T;55175;ES611;POP;22325.0;A
2007;_T;55175;ES612;POP;56725.0;A
2007;_T;55175;ES613;POP;59200.0;A
2007;_T;55175;ES614;POP;48600.0;A
2007;_T;55175;ES615;POP;31875.0;A
2007;_T;55175;ES616;POP;50050.0;A
2007;_T;55175;ES617;POP;46850.0;A
2007;_T;55175;ES618;POP;112500.0;A
2007;_T;55175;ES61;POP;428125.0;A
2007;_T;55176;ES611;POP;2875.0;A
2007;_T;55176;ES612;POP;9050.0;A
2007;_T;55176;ES613;POP;4500.0;A
2007;_T;55176;ES614;POP;4200.0;A
2007;_T;55176;ES615;POP;3375.0;A
2007;_T;55176;ES616;POP;2925.0;A
2007;_T;55176;ES617;POP;7500.0;A
2007;_T;55176;ES618;POP;10375.0;A
2007;_T;55176;ES61;POP;44800.0;A
2007;_T;55173;ES611;POP;404125.0;A
2007;_T;55173;ES612;POP;700950.0;A
2007;_T;55173;ES613;POP;512550.0;A
2007;_T;55173;ES614;POP;573050.0;A
2007;_T;55173;ES615;POP;348950.0;A
2007;_T;55173;ES616;POP;422575.0;A
2007;_T;55173;ES617;POP;919175.0;A
2007;_T;55173;ES618;POP;1186250.0;A
2007;_T;55173;ES61;POP;5067625.0;A
2008;M;55174;ES611;POP;38850.0;A
2008;M;55174;ES612;POP;68550.0;A
2008;M;55174;ES613;POP;36400.0;A
2008;M;55174;ES614;POP;41525.0;A
2008;M;55174;ES615;POP;30475.0;A
2008;M;55174;ES616;POP;29675.0;A
2008;M;55174;ES617;POP;79600.0;A
2008;M;55174;ES618;POP;94275.0;A
2008;M;55174;ES61;POP;419350.0;A
2008;M;55175;ES611;POP;9250.0;A
2008;M;55175;ES612;POP;25775.0;A
2008;M;55175;ES613;POP;21175.0;A
2008;M;55175;ES614;POP;18950.0;A
2008;M;55175;ES615;POP;10100.0;A
2008;M;55175;ES616;POP;18675.0;A
2008;M;55175;ES617;POP;20675.0;A
2008;M;55175;ES618;POP;40575.0;A
2008;M;55175;ES61;POP;165175.0;A
2008;M;55176;ES611;POP;2900.0;A
2008;M;55176;ES612;POP;8600.0;A
2008;M;55176;ES613;POP;4300.0;A
2008;M;55176;ES614;POP;3950.0;A
2008;M;55176;ES615;POP;3200.0;A
2008;M;55176;ES616;POP;2900.0;A
2008;M;55176;ES617;POP;6475.0;A
2008;M;55176;ES618;POP;9675.0;A
2008;M;55176;ES61;POP;42000.0;A
2008;M;55173;ES611;POP;229700.0;A
2008;M;55173;ES612;POP;404575.0;A
2008;M;55173;ES613;POP;282300.0;A
2008;M;55173;ES614;POP;311175.0;A
2008;M;55173;ES615;POP;184825.0;A
2008;M;55173;ES616;POP;240025.0;A
2008;M;55173;ES617;POP;506975.0;A
2008;M;55173;ES618;POP;651450.0;A
2008;M;55173;ES61;POP;2811025.0;A
2008;F;55174;ES611;POP;22175.0;A
2008;F;55174;ES612;POP;28975.0;A
2008;F;55174;ES613;POP;15875.0;A
2008;F;55174;ES614;POP;22100.0;A
2008;F;55174;ES615;POP;15450.0;A
2008;F;55174;ES616;POP;11225.0;A
2008;F;55174;ES617;POP;43925.0;A
2008;F;55174;ES618;POP;46650.0;A
2008;F;55174;ES61;POP;206375.0;A
2008;F;55175;ES611;POP;15825.0;A
