TEMPORAL;SEXO;DIASCOTIZANO;TERRITORIO;COTIZANTE;INDICATOR;OBS_VALUE;FREQ
2007;M;53689;ES611;53591;POP;191200.0;A
2007;M;53689;ES612;53591;POP;321325.0;A
2007;M;53689;ES613;53591;POP;216800.0;A
2007;M;53689;ES614;53591;POP;239275.0;A
2007;M;53689;ES615;53591;POP;145700.0;A
2007;M;53689;ES616;53591;POP;176625.0;A
2007;M;53689;ES617;53591;POP;410725.0;A
2007;M;53689;ES618;53591;POP;513925.0;A
2007;M;53689;ES61;53591;POP;2215575.0;A
2007;F;53685;ES611;53591;POP;3900.0;A
2007;F;53685;ES612;53591;POP;10850.0;A
2007;F;53685;ES613;53591;POP;5250.0;A
2007;F;53685;ES614;53591;POP;5600.0;A
2007;F;53685;ES615;53591;POP;4625.0;A
2007;F;53685;ES616;53591;POP;5500.0;A
2007;F;53685;ES617;53591;POP;10725.0;A
2007;F;53685;ES618;53591;POP;14000.0;A
2007;F;53685;ES61;53591;POP;60450.0;A
2007;F;53686;ES611;53591;POP;8675.0;A
2007;F;53686;ES612;53591;POP;14925.0;A
2007;F;53686;ES613;53591;POP;7700.0;A
2007;F;53686;ES614;53591;POP;9675.0;A
2007;F;53686;ES615;53591;POP;12825.0;A
2007;F;53686;ES616;53591;POP;9175.0;A
2007;F;53686;ES617;53591;POP;17000.0;A
2007;F;53686;ES618;53591;POP;21275.0;A
2007;F;53686;ES61;53591;POP;101250.0;A
2007;F;53687;ES611;53591;POP;39475.0;A
2007;F;53687;ES612;53591;POP;70125.0;A
2007;F;53687;ES613;53591;POP;37275.0;A
2007;F;53687;ES614;53591;POP;49400.0;A
2007;F;53687;ES615;53591;POP;43475.0;A
2007;F;53687;ES616;53591;POP;31550.0;A
2007;F;53687;ES617;53591;POP;93850.0;A
2007;F;53687;ES618;53591;POP;104700.0;A
2007;F;53687;ES61;53591;POP;469850.0;A
2007;F;53688;ES611;53591;POP;85500.0;A
2007;F;53688;ES612;53591;POP;128625.0;A
2007;F;53688;ES613;53591;POP;113175.0;A
2007;F;53688;ES614;53591;POP;124925.0;A
2007;F;53688;ES615;53591;POP;68250.0;A
2007;F;53688;ES616;53591;POP;86325.0;A
2007;F;53688;ES617;53591;POP;194975.0;A
2007;F;53688;ES618;53591;POP;258075.0;A
2007;F;53688;ES61;53591;POP;1059850.0;A
2007;F;53689;ES611;53591;POP;137550.0;A
2007;F;53689;ES612;53591;POP;224525.0;A
2007;F;53689;ES613;53591;POP;163400.0;A
2007;F;53689;ES614;53591;POP;189600.0;A
2007;F;53689;ES615;53591;POP;129175.0;A
2007;F;53689;ES616;53591;POP;132550.0;A
2007;F;53689;ES617;53591;POP;316550.0;A
2007;F;53689;ES618;53591;POP;398050.0;A
2007;F;53689;ES61;53591;POP;1691400.0;A
2007;_T;53685;ES611;53591;POP;7300.0;A
2007;_T;53685;ES612;53591;POP;17750.0;A
2007;_T;53685;ES613;53591;POP;10075.0;A
2007;_T;53685;ES614;53591;POP;10475.0;A
2007;_T;53685;ES615;53591;POP;8100.0;A
2007;_T;53685;ES616;53591;POP;9850.0;A
2007;_T;53685;ES617;53591;POP;19100.0;A
2007;_T;53685;ES618;53591;POP;24500.0;A
2007;_T;53685;ES61;53591;POP;107150.0;A
2007;_T;53686;ES611;53591;POP;16425.0;A
2007;_T;53686;ES612;53591;POP;28350.0;A
2007;_T;53686;ES613;53591;POP;15800.0;A
2007;_T;53686;ES614;53591;POP;18650.0;A
2007;_T;53686;ES615;53591;POP;18775.0;A
2007;_T;53686;ES616;53591;POP;15150.0;A
2007;_T;53686;ES617;53591;POP;32025.0;A
2007;_T;53686;ES618;53591;POP;38275.0;A
2007;_T;53686;ES61;53591;POP;183450.0;A
2007;_T;53687;ES611;53591;POP;88775.0;A
2007;_T;53687;ES612;53591;POP;165375.0;A
2007;_T;53687;ES613;53591;POP;87925.0;A
2007;_T;53687;ES614;53591;POP;110100.0;A
2007;_T;53687;ES615;53591;POP;85825.0;A
2007;_T;53687;ES616;53591;POP;71775.0;A
2007;_T;53687;ES617;53591;POP;205425.0;A
2007;_T;53687;ES618;53591;POP;234425.0;A
2007;_T;53687;ES61;53591;POP;1049625.0;A
2007;_T;53688;ES611;53591;POP;216250.0;A
2007;_T;53688;ES612;53591;POP;334375.0;A
2007;_T;53688;ES613;53591;POP;266400.0;A
2007;_T;53688;ES614;53591;POP;289650.0;A
2007;_T;53688;ES615;53591;POP;162175.0;A
2007;_T;53688;ES616;53591;POP;212400.0;A
2007;_T;53688;ES617;53591;POP;470725.0;A
2007;_T;53688;ES618;53591;POP;614775.0;A
2007;_T;53688;ES61;53591;POP;2566750.0;A
2007;_T;53689;ES611;53591;POP;328750.0;A
2007;_T;53689;ES612;53591;POP;545850.0;A
2007;_T;53689;ES613;53591;POP;380200.0;A
2007;_T;53689;ES614;53591;POP;428875.0;A
2007;_T;53689;ES615;53591;POP;274875.0;A
2007;_T;53689;ES616;53591;POP;309175.0;A
2007;_T;53689;ES617;53591;POP;727275.0;A
2007;_T;53689;ES618;53591;POP;911975.0;A
