TEMPORAL;SEXO;MCVL_TIPOHOGAR;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2006;M;273747;ES618;POP;639825.0;A
2006;M;273747;ES61;POP;2770225.0;A
2006;F;273748;ES611;POP;29025.0;A
2006;F;273748;ES612;POP;51500.0;A
2006;F;273748;ES613;POP;37950.0;A
2006;F;273748;ES614;POP;52550.0;A
2006;F;273748;ES615;POP;25975.0;A
2006;F;273748;ES616;POP;37000.0;A
2006;F;273748;ES617;POP;76275.0;A
2006;F;273748;ES618;POP;82075.0;A
2006;F;273748;ES61;POP;392350.0;A
2006;F;273751;ES611;POP;12225.0;A
2006;F;273751;ES612;POP;22650.0;A
2006;F;273751;ES613;POP;12825.0;A
2006;F;273751;ES614;POP;21825.0;A
2006;F;273751;ES615;POP;10250.0;A
2006;F;273751;ES616;POP;12575.0;A
2006;F;273751;ES617;POP;35700.0;A
2006;F;273751;ES618;POP;31000.0;A
2006;F;273751;ES61;POP;159050.0;A
2006;F;273752;ES611;POP;11700.0;A
2006;F;273752;ES612;POP;20325.0;A
2006;F;273752;ES613;POP;21125.0;A
2006;F;273752;ES614;POP;23225.0;A
2006;F;273752;ES615;POP;11725.0;A
2006;F;273752;ES616;POP;20450.0;A
2006;F;273752;ES617;POP;28575.0;A
2006;F;273752;ES618;POP;39775.0;A
2006;F;273752;ES61;POP;176900.0;A
2006;F;273753;ES611;POP;5100.0;A
2006;F;273753;ES612;POP;8525.0;A
2006;F;273753;ES613;POP;4000.0;A
2006;F;273753;ES614;POP;7500.0;A
2006;F;273753;ES615;POP;4000.0;A
2006;F;273753;ES616;POP;3975.0;A
2006;F;273753;ES617;POP;12000.0;A
2006;F;273753;ES618;POP;11300.0;A
2006;F;273753;ES61;POP;56400.0;A
2006;F;273749;ES611;POP;53300.0;A
2006;F;273749;ES612;POP;97775.0;A
2006;F;273749;ES613;POP;83750.0;A
2006;F;273749;ES614;POP;85975.0;A
2006;F;273749;ES615;POP;45725.0;A
2006;F;273749;ES616;POP;66150.0;A
2006;F;273749;ES617;POP;128225.0;A
2006;F;273749;ES618;POP;187050.0;A
2006;F;273749;ES61;POP;747950.0;A
2006;F;273754;ES611;POP;17625.0;A
2006;F;273754;ES612;POP;36675.0;A
2006;F;273754;ES613;POP;24450.0;A
