TEMPORAL;SEXO;TIPODEHOGAR;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2006;_T;273861;ES617;POP;58050.0;A
2006;_T;273861;ES618;POP;34500.0;A
2006;_T;273861;ES61;POP;244875.0;A
2006;_T;273747;ES611;POP;390725.0;A
2006;_T;273747;ES612;POP;673600.0;A
2006;_T;273747;ES613;POP;499300.0;A
2006;_T;273747;ES614;POP;556500.0;A
2006;_T;273747;ES615;POP;340675.0;A
2006;_T;273747;ES616;POP;411450.0;A
2006;_T;273747;ES617;POP;892775.0;A
2006;_T;273747;ES618;POP;1148100.0;A
2006;_T;273747;ES61;POP;4913125.0;A
2007;M;273748;ES611;POP;29300.0;A
2007;M;273748;ES612;POP;51575.0;A
2007;M;273748;ES613;POP;28075.0;A
2007;M;273748;ES614;POP;52350.0;A
2007;M;273748;ES615;POP;23350.0;A
2007;M;273748;ES616;POP;36175.0;A
2007;M;273748;ES617;POP;72600.0;A
2007;M;273748;ES618;POP;69775.0;A
2007;M;273748;ES61;POP;363200.0;A
2007;M;273749;ES611;POP;70400.0;A
2007;M;273749;ES612;POP;150375.0;A
2007;M;273749;ES613;POP;106775.0;A
2007;M;273749;ES614;POP;112625.0;A
2007;M;273749;ES615;POP;61675.0;A
2007;M;273749;ES616;POP;96925.0;A
2007;M;273749;ES617;POP;176075.0;A
2007;M;273749;ES618;POP;243975.0;A
2007;M;273749;ES61;POP;1018825.0;A
2007;M;273750;ES611;POP;112825.0;A
2007;M;273750;ES612;POP;193050.0;A
2007;M;273750;ES613;POP;133950.0;A
2007;M;273750;ES614;POP;130225.0;A
2007;M;273750;ES615;POP;88450.0;A
2007;M;273750;ES616;POP;98800.0;A
2007;M;273750;ES617;POP;230525.0;A
2007;M;273750;ES618;POP;317625.0;A
2007;M;273750;ES61;POP;1305450.0;A
2007;M;273861;ES611;POP;18125.0;A
2007;M;273861;ES612;POP;13300.0;A
2007;M;273861;ES613;POP;13350.0;A
2007;M;273861;ES614;POP;18725.0;A
2007;M;273861;ES615;POP;11675.0;A
2007;M;273861;ES616;POP;8575.0;A
2007;M;273861;ES617;POP;32650.0;A
2007;M;273861;ES618;POP;19200.0;A
2007;M;273861;ES61;POP;135600.0;A
2007;M;273747;ES611;POP;230650.0;A
2007;M;273747;ES612;POP;408300.0;A
2007;M;273747;ES613;POP;282150.0;A
2007;M;273747;ES614;POP;313925.0;A
2007;M;273747;ES615;POP;185150.0;A
2007;M;273747;ES616;POP;240475.0;A
2007;M;273747;ES617;POP;511850.0;A
2007;M;273747;ES618;POP;650575.0;A
2007;M;273747;ES61;POP;2823075.0;A
2007;F;273748;ES611;POP;30375.0;A
2007;F;273748;ES612;POP;54950.0;A
2007;F;273748;ES613;POP;38525.0;A
2007;F;273748;ES614;POP;56900.0;A
2007;F;273748;ES615;POP;27100.0;A
2007;F;273748;ES616;POP;40600.0;A
2007;F;273748;ES617;POP;79775.0;A
2007;F;273748;ES618;POP;87825.0;A
2007;F;273748;ES61;POP;416050.0;A
2007;F;273749;ES611;POP;55700.0;A
2007;F;273749;ES612;POP;106750.0;A
2007;F;273749;ES613;POP;87900.0;A
2007;F;273749;ES614;POP;90100.0;A
2007;F;273749;ES615;POP;48300.0;A
2007;F;273749;ES616;POP;70550.0;A
2007;F;273749;ES617;POP;137850.0;A
2007;F;273749;ES618;POP;198425.0;A
2007;F;273749;ES61;POP;795575.0;A
2007;F;273750;ES611;POP;77950.0;A
2007;F;273750;ES612;POP;122075.0;A
2007;F;273750;ES613;POP;97075.0;A
2007;F;273750;ES614;POP;97050.0;A
2007;F;273750;ES615;POP;59625.0;A
2007;F;273750;ES616;POP;64450.0;A
2007;F;273750;ES617;POP;165525.0;A
2007;F;273750;ES618;POP;234475.0;A
2007;F;273750;ES61;POP;918225.0;A
2007;F;273861;ES611;POP;9450.0;A
2007;F;273861;ES612;POP;8875.0;A
2007;F;273861;ES613;POP;6900.0;A
2007;F;273861;ES614;POP;15075.0;A
2007;F;273861;ES615;POP;28775.0;A
2007;F;273861;ES616;POP;6500.0;A
2007;F;273861;ES617;POP;24175.0;A
2007;F;273861;ES618;POP;14950.0;A
2007;F;273861;ES61;POP;114700.0;A
2007;F;273747;ES611;POP;173475.0;A
2007;F;273747;ES612;POP;292650.0;A
2007;F;273747;ES613;POP;230400.0;A
2007;F;273747;ES614;POP;259125.0;A
2007;F;273747;ES615;POP;163800.0;A
2007;F;273747;ES616;POP;182100.0;A
2007;F;273747;ES617;POP;407325.0;A
2007;F;273747;ES618;POP;535675.0;A
2007;F;273747;ES61;POP;2244550.0;A
2007;_T;273748;ES611;POP;59675.0;A
2007;_T;273748;ES612;POP;106525.0;A
2007;_T;273748;ES613;POP;66600.0;A
2007;_T;273748;ES614;POP;109250.0;A
2007;_T;273748;ES615;POP;50450.0;A
2007;_T;273748;ES616;POP;76775.0;A
2007;_T;273748;ES617;POP;152375.0;A
2007;_T;273748;ES618;POP;157600.0;A
2007;_T;273748;ES61;POP;779250.0;A
2007;_T;273749;ES611;POP;126100.0;A
2007;_T;273749;ES612;POP;257125.0;A
2007;_T;273749;ES613;POP;194675.0;A
2007;_T;273749;ES614;POP;202725.0;A
2007;_T;273749;ES615;POP;109975.0;A
2007;_T;273749;ES616;POP;167475.0;A
2007;_T;273749;ES617;POP;313925.0;A
2007;_T;273749;ES618;POP;442400.0;A
2007;_T;273749;ES61;POP;1814400.0;A
2007;_T;273750;ES611;POP;190775.0;A
2007;_T;273750;ES612;POP;315125.0;A
2007;_T;273750;ES613;POP;231025.0;A
2007;_T;273750;ES614;POP;227275.0;A
2007;_T;273750;ES615;POP;148075.0;A
2007;_T;273750;ES616;POP;163250.0;A
2007;_T;273750;ES617;POP;396050.0;A
2007;_T;273750;ES618;POP;552100.0;A
2007;_T;273750;ES61;POP;2223675.0;A
2007;_T;273861;ES611;POP;27575.0;A
2007;_T;273861;ES612;POP;22175.0;A
2007;_T;273861;ES613;POP;20250.0;A
2007;_T;273861;ES614;POP;33800.0;A
2007;_T;273861;ES615;POP;40450.0;A
2007;_T;273861;ES616;POP;15075.0;A
2007;_T;273861;ES617;POP;56825.0;A
2007;_T;273861;ES618;POP;34150.0;A
2007;_T;273861;ES61;POP;250300.0;A
2007;_T;273747;ES611;POP;404125.0;A
2007;_T;273747;ES612;POP;700950.0;A
2007;_T;273747;ES613;POP;512550.0;A
2007;_T;273747;ES614;POP;573050.0;A
2007;_T;273747;ES615;POP;348950.0;A
2007;_T;273747;ES616;POP;422575.0;A
2007;_T;273747;ES617;POP;919175.0;A
2007;_T;273747;ES618;POP;1186250.0;A
2007;_T;273747;ES61;POP;5067625.0;A
2008;M;273748;ES611;POP;29425.0;A
2008;M;273748;ES612;POP;60925.0;A
2008;M;273748;ES613;POP;29075.0;A
2008;M;273748;ES614;POP;55075.0;A
2008;M;273748;ES615;POP;27075.0;A
2008;M;273748;ES616;POP;44850.0;A
2008;M;273748;ES617;POP;86250.0;A
2008;M;273748;ES618;POP;75275.0;A
2008;M;273748;ES61;POP;407950.0;A
2008;M;273749;ES611;POP;73250.0;A
2008;M;273749;ES612;POP;146600.0;A
2008;M;273749;ES613;POP;107975.0;A
2008;M;273749;ES614;POP;113725.0;A
2008;M;273749;ES615;POP;65050.0;A
2008;M;273749;ES616;POP;100725.0;A
2008;M;273749;ES617;POP;181025.0;A
2008;M;273749;ES618;POP;246575.0;A
2008;M;273749;ES61;POP;1034925.0;A
2008;M;273750;ES611;POP;109300.0;A
2008;M;273750;ES612;POP;186375.0;A
2008;M;273750;ES613;POP;134475.0;A
2008;M;273750;ES614;POP;125675.0;A
2008;M;273750;ES615;POP;82050.0;A
2008;M;273750;ES616;POP;87350.0;A
2008;M;273750;ES617;POP;213875.0;A
2008;M;273750;ES618;POP;312100.0;A
2008;M;273750;ES61;POP;1251200.0;A
2008;M;273861;ES611;POP;17725.0;A
2008;M;273861;ES612;POP;10675.0;A
2008;M;273861;ES613;POP;10775.0;A
2008;M;273861;ES614;POP;16700.0;A
2008;M;273861;ES615;POP;10650.0;A
2008;M;273861;ES616;POP;7100.0;A
2008;M;273861;ES617;POP;25825.0;A
2008;M;273861;ES618;POP;17500.0;A
2008;M;273861;ES61;POP;116950.0;A
2008;M;273747;ES611;POP;229700.0;A
2008;M;273747;ES612;POP;404575.0;A
2008;M;273747;ES613;POP;282300.0;A
2008;M;273747;ES614;POP;311175.0;A
2008;M;273747;ES615;POP;184825.0;A
2008;M;273747;ES616;POP;240025.0;A
2008;M;273747;ES617;POP;506975.0;A
2008;M;273747;ES618;POP;651450.0;A
2008;M;273747;ES61;POP;2811025.0;A
2008;F;273748;ES611;POP;31575.0;A
2008;F;273748;ES612;POP;63325.0;A
2008;F;273748;ES613;POP;39100.0;A
2008;F;273748;ES614;POP;59525.0;A
2008;F;273748;ES615;POP;30975.0;A
2008;F;273748;ES616;POP;47950.0;A
2008;F;273748;ES617;POP;91050.0;A
2008;F;273748;ES618;POP;93300.0;A
2008;F;273748;ES61;POP;456800.0;A
2008;F;273749;ES611;POP;59050.0;A
2008;F;273749;ES612;POP;110150.0;A
2008;F;273749;ES613;POP;89575.0;A
2008;F;273749;ES614;POP;93175.0;A
2008;F;273749;ES615;POP;50850.0;A
2008;F;273749;ES616;POP;74225.0;A
2008;F;273749;ES617;POP;145150.0;A
2008;F;273749;ES618;POP;205575.0;A
2008;F;273749;ES61;POP;827750.0;A
2008;F;273750;ES611;POP;79975.0;A
2008;F;273750;ES612;POP;124850.0;A
2008;F;273750;ES613;POP;101350.0;A
2008;F;273750;ES614;POP;95975.0;A
2008;F;273750;ES615;POP;57550.0;A
2008;F;273750;ES616;POP;58575.0;A
2008;F;273750;ES617;POP;158675.0;A
2008;F;273750;ES618;POP;237100.0;A
2008;F;273750;ES61;POP;914050.0;A
2008;F;273861;ES611;POP;9625.0;A
2008;F;273861;ES612;POP;7300.0;A
2008;F;273861;ES613;POP;5700.0;A
2008;F;273861;ES614;POP;13450.0;A
2008;F;273861;ES615;POP;34025.0;A
2008;F;273861;ES616;POP;5650.0;A
2008;F;273861;ES617;POP;20525.0;A
2008;F;273861;ES618;POP;14650.0;A
2008;F;273861;ES61;POP;110925.0;A
2008;F;273747;ES611;POP;180225.0;A
2008;F;273747;ES612;POP;305625.0;A
2008;F;273747;ES613;POP;235725.0;A
2008;F;273747;ES614;POP;262125.0;A
2008;F;273747;ES615;POP;173400.0;A
2008;F;273747;ES616;POP;186400.0;A
2008;F;273747;ES617;POP;415400.0;A
2008;F;273747;ES618;POP;550625.0;A
2008;F;273747;ES61;POP;2309525.0;A
2008;_T;273748;ES611;POP;61000.0;A
2008;_T;273748;ES612;POP;124250.0;A
2008;_T;273748;ES613;POP;68175.0;A
2008;_T;273748;ES614;POP;114600.0;A
2008;_T;273748;ES615;POP;58050.0;A
2008;_T;273748;ES616;POP;92800.0;A
2008;_T;273748;ES617;POP;177300.0;A
2008;_T;273748;ES618;POP;168575.0;A
2008;_T;273748;ES61;POP;864750.0;A
2008;_T;273749;ES611;POP;132300.0;A
2008;_T;273749;ES612;POP;256750.0;A
2008;_T;273749;ES613;POP;197550.0;A
2008;_T;273749;ES614;POP;206900.0;A
2008;_T;273749;ES615;POP;115900.0;A
2008;_T;273749;ES616;POP;174950.0;A
2008;_T;273749;ES617;POP;326175.0;A
2008;_T;273749;ES618;POP;452150.0;A
2008;_T;273749;ES61;POP;1862675.0;A
2008;_T;273750;ES611;POP;189275.0;A
2008;_T;273750;ES612;POP;311225.0;A
2008;_T;273750;ES613;POP;235825.0;A
2008;_T;273750;ES614;POP;221650.0;A
2008;_T;273750;ES615;POP;139600.0;A
2008;_T;273750;ES616;POP;145925.0;A
2008;_T;273750;ES617;POP;372550.0;A
2008;_T;273750;ES618;POP;549200.0;A
2008;_T;273750;ES61;POP;2165250.0;A
2008;_T;273861;ES611;POP;27350.0;A
2008;_T;273861;ES612;POP;17975.0;A
2008;_T;273861;ES613;POP;16475.0;A
2008;_T;273861;ES614;POP;30150.0;A
2008;_T;273861;ES615;POP;44675.0;A
2008;_T;273861;ES616;POP;12750.0;A
2008;_T;273861;ES617;POP;46350.0;A
2008;_T;273861;ES618;POP;32150.0;A
2008;_T;273861;ES61;POP;227875.0;A
