TEMPORAL;SEXO;MCVL_INTERVINGRESOS;TERRITORIO;MCVL_PENSIONISTA;INDICATOR;OBS_VALUE;FREQ
2006;_T;55203;ES615;55179;POP;52000.0;A
2006;_T;55203;ES616;55179;POP;82075.0;A
2006;_T;55203;ES617;55179;POP;129025.0;A
2006;_T;55203;ES618;55179;POP;190225.0;A
2006;_T;55203;ES61;55179;POP;815350.0;A
2006;_T;55204;ES611;55179;POP;14350.0;A
2006;_T;55204;ES612;55179;POP;41700.0;A
2006;_T;55204;ES613;55179;POP;31600.0;A
2006;_T;55204;ES614;55179;POP;34075.0;A
2006;_T;55204;ES615;55179;POP;20550.0;A
2006;_T;55204;ES616;55179;POP;29300.0;A
2006;_T;55204;ES617;55179;POP;50250.0;A
2006;_T;55204;ES618;55179;POP;69675.0;A
2006;_T;55204;ES61;55179;POP;291500.0;A
2006;_T;55205;ES611;55179;POP;4125.0;A
2006;_T;55205;ES612;55179;POP;16200.0;A
2006;_T;55205;ES613;55179;POP;7325.0;A
2006;_T;55205;ES614;55179;POP;8725.0;A
2006;_T;55205;ES615;55179;POP;4875.0;A
2006;_T;55205;ES616;55179;POP;6650.0;A
2006;_T;55205;ES617;55179;POP;13375.0;A
2006;_T;55205;ES618;55179;POP;20750.0;A
2006;_T;55205;ES61;55179;POP;82025.0;A
2006;_T;55206;ES611;55179;POP;2200.0;A
2006;_T;55206;ES612;55179;POP;6550.0;A
2006;_T;55206;ES613;55179;POP;4950.0;A
2006;_T;55206;ES614;55179;POP;5000.0;A
2006;_T;55206;ES615;55179;POP;2925.0;A
2006;_T;55206;ES616;55179;POP;3675.0;A
2006;_T;55206;ES617;55179;POP;7350.0;A
2006;_T;55206;ES618;55179;POP;12650.0;A
2006;_T;55206;ES61;55179;POP;45300.0;A
2006;_T;;ES611;55179;POP;2225.0;A
2006;_T;;ES612;55179;POP;3350.0;A
2006;_T;;ES613;55179;POP;3575.0;A
2006;_T;;ES614;55179;POP;3250.0;A
2006;_T;;ES615;55179;POP;1575.0;A
2006;_T;;ES616;55179;POP;1925.0;A
2006;_T;;ES617;55179;POP;5925.0;A
2006;_T;;ES618;55179;POP;5825.0;A
2006;_T;;ES61;55179;POP;27650.0;A
2006;_T;55207;ES611;55179;POP;82425.0;A
2006;_T;55207;ES612;55179;POP;168825.0;A
2006;_T;55207;ES613;55179;POP;143625.0;A
2006;_T;55207;ES614;55179;POP;156350.0;A
2006;_T;55207;ES615;55179;POP;81925.0;A
2006;_T;55207;ES616;55179;POP;123625.0;A
2006;_T;55207;ES617;55179;POP;205925.0;A
2006;_T;55207;ES618;55179;POP;299125.0;A
2006;_T;55207;ES61;55179;POP;1261825.0;A
2007;M;55203;ES611;55179;POP;27900.0;A
2007;M;55203;ES612;55179;POP;47750.0;A
2007;M;55203;ES613;55179;POP;39550.0;A
2007;M;55203;ES614;55179;POP;46600.0;A
2007;M;55203;ES615;55179;POP;22275.0;A
2007;M;55203;ES616;55179;POP;35175.0;A
2007;M;55203;ES617;55179;POP;59200.0;A
2007;M;55203;ES618;55179;POP;77500.0;A
2007;M;55203;ES61;55179;POP;355950.0;A
2007;M;55204;ES611;55179;POP;9050.0;A
2007;M;55204;ES612;55179;POP;26825.0;A
2007;M;55204;ES613;55179;POP;19875.0;A
2007;M;55204;ES614;55179;POP;21950.0;A
2007;M;55204;ES615;55179;POP;13800.0;A
2007;M;55204;ES616;55179;POP;23375.0;A
2007;M;55204;ES617;55179;POP;32375.0;A
2007;M;55204;ES618;55179;POP;44450.0;A
2007;M;55204;ES61;55179;POP;191700.0;A
2007;M;55205;ES611;55179;POP;3175.0;A
2007;M;55205;ES612;55179;POP;14850.0;A
2007;M;55205;ES613;55179;POP;5725.0;A
2007;M;55205;ES614;55179;POP;7075.0;A
2007;M;55205;ES615;55179;POP;4950.0;A
2007;M;55205;ES616;55179;POP;6375.0;A
2007;M;55205;ES617;55179;POP;10425.0;A
2007;M;55205;ES618;55179;POP;18425.0;A
2007;M;55205;ES61;55179;POP;71000.0;A
2007;M;55206;ES611;55179;POP;2175.0;A
