TEMPORAL;SEXO;MCVL_TIPOCOTIZACION;TERRITORIO;MCVL_COTIZANTE;INDICATOR;OBS_VALUE;FREQ
2006;F;53595;ES614;53591;POP;5150.0;A
2006;F;53595;ES615;53591;POP;2125.0;A
2006;F;53595;ES616;53591;POP;3325.0;A
2006;F;53595;ES617;53591;POP;9700.0;A
2006;F;53595;ES618;53591;POP;11900.0;A
2006;F;53595;ES61;53591;POP;50025.0;A
2006;F;53596;ES611;53591;POP;2025.0;A
2006;F;53596;ES612;53591;POP;1025.0;A
2006;F;53596;ES613;53591;POP;2225.0;A
2006;F;53596;ES614;53591;POP;4125.0;A
2006;F;53596;ES615;53591;POP;1175.0;A
2006;F;53596;ES616;53591;POP;2125.0;A
2006;F;53596;ES617;53591;POP;3075.0;A
2006;F;53596;ES618;53591;POP;4600.0;A
2006;F;53596;ES61;53591;POP;20375.0;A
2006;F;53597;ES611;53591;POP;39325.0;A
2006;F;53597;ES612;53591;POP;48975.0;A
2006;F;53597;ES613;53591;POP;59175.0;A
2006;F;53597;ES614;53591;POP;56975.0;A
2006;F;53597;ES615;53591;POP;44225.0;A
2006;F;53597;ES616;53591;POP;46275.0;A
2006;F;53597;ES617;53591;POP;61600.0;A
2006;F;53597;ES618;53591;POP;113625.0;A
2006;F;53597;ES61;53591;POP;470175.0;A
2006;F;53593;ES611;53591;POP;129125.0;A
2006;F;53593;ES612;53591;POP;206550.0;A
2006;F;53593;ES613;53591;POP;155600.0;A
2006;F;53593;ES614;53591;POP;179075.0;A
2006;F;53593;ES615;53591;POP;125425.0;A
2006;F;53593;ES616;53591;POP;124600.0;A
2006;F;53593;ES617;53591;POP;302075.0;A
2006;F;53593;ES618;53591;POP;372725.0;A
2006;F;53593;ES61;53591;POP;1595175.0;A
2006;_T;53594;ES611;53591;POP;219450.0;A
2006;_T;53594;ES612;53591;POP;379750.0;A
2006;_T;53594;ES613;53591;POP;238950.0;A
2006;_T;53594;ES614;53591;POP;290025.0;A
2006;_T;53594;ES615;53591;POP;173625.0;A
2006;_T;53594;ES616;53591;POP;190700.0;A
2006;_T;53594;ES617;53591;POP;551725.0;A
2006;_T;53594;ES618;53591;POP;621900.0;A
2006;_T;53594;ES61;53591;POP;2666125.0;A
2006;_T;53595;ES611;53591;POP;6825.0;A
2006;_T;53595;ES612;53591;POP;18425.0;A
2006;_T;53595;ES613;53591;POP;9050.0;A
2006;_T;53595;ES614;53591;POP;9975.0;A
2006;_T;53595;ES615;53591;POP;5000.0;A
2006;_T;53595;ES616;53591;POP;5425.0;A
2006;_T;53595;ES617;53591;POP;17925.0;A
2006;_T;53595;ES618;53591;POP;24650.0;A
2006;_T;53595;ES61;53591;POP;97275.0;A
2006;_T;53596;ES611;53591;POP;2950.0;A
2006;_T;53596;ES612;53591;POP;2525.0;A
2006;_T;53596;ES613;53591;POP;4225.0;A
2006;_T;53596;ES614;53591;POP;6600.0;A
2006;_T;53596;ES615;53591;POP;2200.0;A
2006;_T;53596;ES616;53591;POP;3650.0;A
2006;_T;53596;ES617;53591;POP;5700.0;A
2006;_T;53596;ES618;53591;POP;7375.0;A
2006;_T;53596;ES61;53591;POP;35225.0;A
2006;_T;53597;ES611;53591;POP;86350.0;A
2006;_T;53597;ES612;53591;POP;120450.0;A
