TEMPORAL;SEXO;TIPRELACIONSS;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2007;M;55184;ES616;POP;5650.0;A
2007;M;55184;ES617;POP;10725.0;A
2007;M;55184;ES618;POP;17350.0;A
2007;M;55184;ES61;POP;66050.0;A
2007;F;55181;ES611;POP;173475.0;A
2007;F;55181;ES612;POP;292650.0;A
2007;F;55181;ES613;POP;230400.0;A
2007;F;55181;ES614;POP;259125.0;A
2007;F;55181;ES615;POP;163800.0;A
2007;F;55181;ES616;POP;182100.0;A
2007;F;55181;ES617;POP;407325.0;A
2007;F;55181;ES618;POP;535675.0;A
2007;F;55181;ES61;POP;2244550.0;A
2007;F;55182;ES611;POP;133850.0;A
2007;F;55182;ES612;POP;217875.0;A
2007;F;55182;ES613;POP;157325.0;A
2007;F;55182;ES614;POP;183375.0;A
2007;F;55182;ES615;POP;125600.0;A
2007;F;55182;ES616;POP;127625.0;A
2007;F;55182;ES617;POP;309000.0;A
2007;F;55182;ES618;POP;384850.0;A
2007;F;55182;ES61;POP;1639500.0;A
2007;F;55183;ES611;POP;35925.0;A
2007;F;55183;ES612;POP;68125.0;A
2007;F;55183;ES613;POP;67000.0;A
2007;F;55183;ES614;POP;69525.0;A
2007;F;55183;ES615;POP;34625.0;A
2007;F;55183;ES616;POP;49550.0;A
2007;F;55183;ES617;POP;90775.0;A
2007;F;55183;ES618;POP;137625.0;A
2007;F;55183;ES61;POP;553150.0;A
2007;F;55184;ES611;POP;3700.0;A
2007;F;55184;ES612;POP;6650.0;A
2007;F;55184;ES613;POP;6075.0;A
2007;F;55184;ES614;POP;6225.0;A
2007;F;55184;ES615;POP;3575.0;A
2007;F;55184;ES616;POP;4925.0;A
2007;F;55184;ES617;POP;7550.0;A
2007;F;55184;ES618;POP;13200.0;A
2007;F;55184;ES61;POP;51900.0;A
2007;_T;55181;ES611;POP;404125.0;A
2007;_T;55181;ES612;POP;700950.0;A
2007;_T;55181;ES613;POP;512550.0;A
2007;_T;55181;ES614;POP;573050.0;A
2007;_T;55181;ES615;POP;348950.0;A
2007;_T;55181;ES616;POP;422575.0;A
2007;_T;55181;ES617;POP;919175.0;A
2007;_T;55181;ES618;POP;1186250.0;A
2007;_T;55181;ES61;POP;5067625.0;A
2007;_T;55182;ES611;POP;320925.0;A
2007;_T;55182;ES612;POP;528925.0;A
2007;_T;55182;ES613;POP;368225.0;A
2007;_T;55182;ES614;POP;415800.0;A
2007;_T;55182;ES615;POP;266125.0;A
2007;_T;55182;ES616;POP;298600.0;A
2007;_T;55182;ES617;POP;709000.0;A
