TEMPORAL;TERRITORIO;SEXO;PCSSA_JUBVIUDEDAD;INDICATOR;OBS_VALUE;FREQ;CLASEDEPENSION;EDAD
2019;2249;M;212544;NUM_PEN_PERS;20.0;A;_Z;_Z
2019;2249;F;212544;NUM_PEN_PERS;16.0;A;_Z;_Z
2019;2250;_T;212544;NUM_PEN_PERS;63.0;A;_Z;_Z
2019;2250;M;212544;NUM_PEN_PERS;48.0;A;_Z;_Z
2019;2250;F;212544;NUM_PEN_PERS;15.0;A;_Z;_Z
2019;2251;_T;212544;NUM_PEN_PERS;358.0;A;_Z;_Z
2019;2251;M;212544;NUM_PEN_PERS;267.0;A;_Z;_Z
2019;2251;F;212544;NUM_PEN_PERS;91.0;A;_Z;_Z
2019;2252;_T;212544;NUM_PEN_PERS;30.0;A;_Z;_Z
2019;2252;M;212544;NUM_PEN_PERS;23.0;A;_Z;_Z
2019;2252;F;212544;NUM_PEN_PERS;7.0;A;_Z;_Z
2019;2253;_T;212544;NUM_PEN_PERS;16261.0;A;_Z;_Z
2019;2253;M;212544;NUM_PEN_PERS;11375.0;A;_Z;_Z
2019;2253;F;212544;NUM_PEN_PERS;4886.0;A;_Z;_Z
2019;2254;_T;212544;NUM_PEN_PERS;15.0;A;_Z;_Z
2019;2254;M;212544;NUM_PEN_PERS;11.0;A;_Z;_Z
2019;2254;F;212544;NUM_PEN_PERS;se;A;_Z;_Z
2019;2255;_T;212544;NUM_PEN_PERS;21.0;A;_Z;_Z
2019;2255;M;212544;NUM_PEN_PERS;18.0;A;_Z;_Z
2019;2255;F;212544;NUM_PEN_PERS;se;A;_Z;_Z
2019;2256;_T;212544;NUM_PEN_PERS;288.0;A;_Z;_Z
2019;2256;M;212544;NUM_PEN_PERS;212.0;A;_Z;_Z
2019;2256;F;212544;NUM_PEN_PERS;76.0;A;_Z;_Z
2019;2257;_T;212544;NUM_PEN_PERS;208.0;A;_Z;_Z
2019;2257;M;212544;NUM_PEN_PERS;145.0;A;_Z;_Z
2019;2257;F;212544;NUM_PEN_PERS;63.0;A;_Z;_Z
2019;2258;_T;212544;NUM_PEN_PERS;32.0;A;_Z;_Z
2019;2258;M;212544;NUM_PEN_PERS;24.0;A;_Z;_Z
2019;2258;F;212544;NUM_PEN_PERS;8.0;A;_Z;_Z
2019;2259;_T;212544;NUM_PEN_PERS;61.0;A;_Z;_Z
2019;2259;M;212544;NUM_PEN_PERS;39.0;A;_Z;_Z
2019;2259;F;212544;NUM_PEN_PERS;22.0;A;_Z;_Z
2019;9563;_T;212544;NUM_PEN_PERS;186.0;A;_Z;_Z
2019;9563;M;212544;NUM_PEN_PERS;120.0;A;_Z;_Z
2019;9563;F;212544;NUM_PEN_PERS;66.0;A;_Z;_Z
2019;2260;_T;212544;NUM_PEN_PERS;60.0;A;_Z;_Z
2019;2260;M;212544;NUM_PEN_PERS;40.0;A;_Z;_Z
2019;2260;F;212544;NUM_PEN_PERS;20.0;A;_Z;_Z
2019;2261;_T;212544;NUM_PEN_PERS;44.0;A;_Z;_Z
2019;2261;M;212544;NUM_PEN_PERS;30.0;A;_Z;_Z
2019;2261;F;212544;NUM_PEN_PERS;14.0;A;_Z;_Z
2019;2262;_T;212544;NUM_PEN_PERS;67.0;A;_Z;_Z
2019;2262;M;212544;NUM_PEN_PERS;44.0;A;_Z;_Z
2019;2262;F;212544;NUM_PEN_PERS;23.0;A;_Z;_Z
2019;2263;_T;212544;NUM_PEN_PERS;22.0;A;_Z;_Z
2019;2263;M;212544;NUM_PEN_PERS;16.0;A;_Z;_Z
2019;2263;F;212544;NUM_PEN_PERS;6.0;A;_Z;_Z
2019;2264;_T;212544;NUM_PEN_PERS;296.0;A;_Z;_Z
2019;2264;M;212544;NUM_PEN_PERS;235.0;A;_Z;_Z
2019;2264;F;212544;NUM_PEN_PERS;61.0;A;_Z;_Z
2019;2266;_T;212544;NUM_PEN_PERS;13.0;A;_Z;_Z
2019;2266;M;212544;NUM_PEN_PERS;10.0;A;_Z;_Z
2019;2266;F;212544;NUM_PEN_PERS;se;A;_Z;_Z
2019;2267;_T;212544;NUM_PEN_PERS;45.0;A;_Z;_Z
2019;2267;M;212544;NUM_PEN_PERS;33.0;A;_Z;_Z
2019;2267;F;212544;NUM_PEN_PERS;12.0;A;_Z;_Z
2019;2268;_T;212544;NUM_PEN_PERS;56.0;A;_Z;_Z
2019;2268;M;212544;NUM_PEN_PERS;36.0;A;_Z;_Z
2019;2268;F;212544;NUM_PEN_PERS;20.0;A;_Z;_Z
2019;2269;_T;212544;NUM_PEN_PERS;941.0;A;_Z;_Z
2019;2269;M;212544;NUM_PEN_PERS;708.0;A;_Z;_Z
2019;2269;F;212544;NUM_PEN_PERS;233.0;A;_Z;_Z
2019;2270;_T;212544;NUM_PEN_PERS;227.0;A;_Z;_Z
2019;2270;M;212544;NUM_PEN_PERS;138.0;A;_Z;_Z
2019;2270;F;212544;NUM_PEN_PERS;89.0;A;_Z;_Z
2019;2271;_T;212544;NUM_PEN_PERS;384.0;A;_Z;_Z
2019;2271;M;212544;NUM_PEN_PERS;278.0;A;_Z;_Z
2019;2271;F;212544;NUM_PEN_PERS;106.0;A;_Z;_Z
2019;2272;_T;212544;NUM_PEN_PERS;699.0;A;_Z;_Z
2019;2272;M;212544;NUM_PEN_PERS;547.0;A;_Z;_Z
2019;2272;F;212544;NUM_PEN_PERS;152.0;A;_Z;_Z
2019;2273;_T;212544;NUM_PEN_PERS;25.0;A;_Z;_Z
2019;2273;M;212544;NUM_PEN_PERS;15.0;A;_Z;_Z
2019;2273;F;212544;NUM_PEN_PERS;10.0;A;_Z;_Z
2019;2277;_T;212544;NUM_PEN_PERS;50.0;A;_Z;_Z
2019;2277;M;212544;NUM_PEN_PERS;35.0;A;_Z;_Z
2019;2277;F;212544;NUM_PEN_PERS;15.0;A;_Z;_Z
2019;2278;_T;212544;NUM_PEN_PERS;254.0;A;_Z;_Z
2019;2278;M;212544;NUM_PEN_PERS;168.0;A;_Z;_Z
2019;2278;F;212544;NUM_PEN_PERS;86.0;A;_Z;_Z
2019;2274;_T;212544;NUM_PEN_PERS;41.0;A;_Z;_Z
2019;2274;M;212544;NUM_PEN_PERS;30.0;A;_Z;_Z
2019;2274;F;212544;NUM_PEN_PERS;11.0;A;_Z;_Z
2019;2276;_T;212544;NUM_PEN_PERS;1063.0;A;_Z;_Z
2019;2276;M;212544;NUM_PEN_PERS;726.0;A;_Z;_Z
2019;2276;F;212544;NUM_PEN_PERS;337.0;A;_Z;_Z
2019;2279;_T;212544;NUM_PEN_PERS;431.0;A;_Z;_Z
2019;2279;M;212544;NUM_PEN_PERS;298.0;A;_Z;_Z
2019;2279;F;212544;NUM_PEN_PERS;133.0;A;_Z;_Z
2019;2347;_T;212544;NUM_PEN_PERS;4715.0;A;_Z;_Z
2019;2347;M;212544;NUM_PEN_PERS;3142.0;A;_Z;_Z
2019;2347;F;212544;NUM_PEN_PERS;1573.0;A;_Z;_Z
2019;2282;_T;212544;NUM_PEN_PERS;58.0;A;_Z;_Z
2019;2282;M;212544;NUM_PEN_PERS;46.0;A;_Z;_Z
2019;2282;F;212544;NUM_PEN_PERS;12.0;A;_Z;_Z
2019;2284;_T;212544;NUM_PEN_PERS;75.0;A;_Z;_Z
2019;2284;M;212544;NUM_PEN_PERS;55.0;A;_Z;_Z
2019;2284;F;212544;NUM_PEN_PERS;20.0;A;_Z;_Z
2019;2285;_T;212544;NUM_PEN_PERS;166.0;A;_Z;_Z
2019;2285;M;212544;NUM_PEN_PERS;136.0;A;_Z;_Z
2019;2285;F;212544;NUM_PEN_PERS;30.0;A;_Z;_Z
2019;2286;_T;212544;NUM_PEN_PERS;316.0;A;_Z;_Z
2019;2286;M;212544;NUM_PEN_PERS;216.0;A;_Z;_Z
2019;2286;F;212544;NUM_PEN_PERS;100.0;A;_Z;_Z
2019;2287;_T;212544;NUM_PEN_PERS;128.0;A;_Z;_Z
2019;2287;M;212544;NUM_PEN_PERS;97.0;A;_Z;_Z
2019;2287;F;212544;NUM_PEN_PERS;31.0;A;_Z;_Z
2019;2288;_T;212544;NUM_PEN_PERS;272.0;A;_Z;_Z
2019;2288;M;212544;NUM_PEN_PERS;200.0;A;_Z;_Z
2019;2288;F;212544;NUM_PEN_PERS;72.0;A;_Z;_Z
