TEMPORAL;TERRITORIO;CLASEDEPENSION;INDICATOR;OBS_VALUE;FREQ;SEXO;EDAD;PCSSA_JUBVIUDEDAD
2019;2258;5693;NUM_PEN;31.0;A;_Z;_Z;_Z
2019;2258;275092;NUM_PEN;se;A;_Z;_Z;_Z
2019;2259;5691;NUM_PEN;11.0;A;_Z;_Z;_Z
2019;2259;5692;NUM_PEN;79.0;A;_Z;_Z;_Z
2019;2259;5693;NUM_PEN;28.0;A;_Z;_Z;_Z
2019;2259;275092;NUM_PEN;se;A;_Z;_Z;_Z
2019;9563;5691;NUM_PEN;42.0;A;_Z;_Z;_Z
2019;9563;5692;NUM_PEN;240.0;A;_Z;_Z;_Z
2019;9563;5693;NUM_PEN;120.0;A;_Z;_Z;_Z
2019;9563;275092;NUM_PEN;11.0;A;_Z;_Z;_Z
2019;2260;5691;NUM_PEN;15.0;A;_Z;_Z;_Z
2019;2260;5692;NUM_PEN;67.0;A;_Z;_Z;_Z
2019;2260;5693;NUM_PEN;24.0;A;_Z;_Z;_Z
2019;2260;275092;NUM_PEN;9.0;A;_Z;_Z;_Z
2019;2261;5691;NUM_PEN;6.0;A;_Z;_Z;_Z
2019;2261;5692;NUM_PEN;51.0;A;_Z;_Z;_Z
2019;2261;5693;NUM_PEN;15.0;A;_Z;_Z;_Z
2019;2261;275092;NUM_PEN;se;A;_Z;_Z;_Z
2019;2262;5691;NUM_PEN;11.0;A;_Z;_Z;_Z
2019;2262;5692;NUM_PEN;84.0;A;_Z;_Z;_Z
2019;2262;5693;NUM_PEN;39.0;A;_Z;_Z;_Z
2019;2262;275092;NUM_PEN;8.0;A;_Z;_Z;_Z
2019;2263;5691;NUM_PEN;5.0;A;_Z;_Z;_Z
2019;2263;5692;NUM_PEN;33.0;A;_Z;_Z;_Z
2019;2263;5693;NUM_PEN;14.0;A;_Z;_Z;_Z
2019;2263;275092;NUM_PEN;se;A;_Z;_Z;_Z
2019;2264;5691;NUM_PEN;65.0;A;_Z;_Z;_Z
2019;2264;5692;NUM_PEN;340.0;A;_Z;_Z;_Z
2019;2264;5693;NUM_PEN;163.0;A;_Z;_Z;_Z
2019;2264;275092;NUM_PEN;21.0;A;_Z;_Z;_Z
2019;2266;5691;NUM_PEN;se;A;_Z;_Z;_Z
2019;2266;5692;NUM_PEN;16.0;A;_Z;_Z;_Z
2019;2266;5693;NUM_PEN;5.0;A;_Z;_Z;_Z
2019;2267;5691;NUM_PEN;se;A;_Z;_Z;_Z
2019;2267;5692;NUM_PEN;54.0;A;_Z;_Z;_Z
2019;2267;5693;NUM_PEN;23.0;A;_Z;_Z;_Z
2019;2267;275092;NUM_PEN;6.0;A;_Z;_Z;_Z
2019;2268;5691;NUM_PEN;5.0;A;_Z;_Z;_Z
2019;2268;5692;NUM_PEN;66.0;A;_Z;_Z;_Z
2019;2268;5693;NUM_PEN;16.0;A;_Z;_Z;_Z
2019;2268;275092;NUM_PEN;se;A;_Z;_Z;_Z
2019;2269;5691;NUM_PEN;212.0;A;_Z;_Z;_Z
2019;2269;5692;NUM_PEN;1122.0;A;_Z;_Z;_Z
2019;2269;5693;NUM_PEN;605.0;A;_Z;_Z;_Z
2019;2269;275092;NUM_PEN;121.0;A;_Z;_Z;_Z
2019;2270;5691;NUM_PEN;24.0;A;_Z;_Z;_Z
2019;2270;5692;NUM_PEN;313.0;A;_Z;_Z;_Z
2019;2270;5693;NUM_PEN;129.0;A;_Z;_Z;_Z
2019;2270;275092;NUM_PEN;19.0;A;_Z;_Z;_Z
2019;2271;5691;NUM_PEN;42.0;A;_Z;_Z;_Z
2019;2271;5692;NUM_PEN;456.0;A;_Z;_Z;_Z
2019;2271;5693;NUM_PEN;174.0;A;_Z;_Z;_Z
2019;2271;275092;NUM_PEN;36.0;A;_Z;_Z;_Z
2019;2272;5691;NUM_PEN;201.0;A;_Z;_Z;_Z
2019;2272;5692;NUM_PEN;800.0;A;_Z;_Z;_Z
2019;2272;5693;NUM_PEN;338.0;A;_Z;_Z;_Z
2019;2272;275092;NUM_PEN;61.0;A;_Z;_Z;_Z
2019;2273;5692;NUM_PEN;34.0;A;_Z;_Z;_Z
2019;2273;5693;NUM_PEN;13.0;A;_Z;_Z;_Z
2019;2277;5691;NUM_PEN;se;A;_Z;_Z;_Z
2019;2277;5692;NUM_PEN;58.0;A;_Z;_Z;_Z
2019;2277;5693;NUM_PEN;18.0;A;_Z;_Z;_Z
2019;2277;275092;NUM_PEN;9.0;A;_Z;_Z;_Z
2019;2278;5691;NUM_PEN;32.0;A;_Z;_Z;_Z
2019;2278;5692;NUM_PEN;344.0;A;_Z;_Z;_Z
2019;2278;5693;NUM_PEN;150.0;A;_Z;_Z;_Z
2019;2278;275092;NUM_PEN;21.0;A;_Z;_Z;_Z
2019;2274;5691;NUM_PEN;se;A;_Z;_Z;_Z
2019;2274;5692;NUM_PEN;46.0;A;_Z;_Z;_Z
2019;2274;5693;NUM_PEN;10.0;A;_Z;_Z;_Z
2019;2274;275092;NUM_PEN;se;A;_Z;_Z;_Z
2019;2276;5691;NUM_PEN;208.0;A;_Z;_Z;_Z
2019;2276;5692;NUM_PEN;1316.0;A;_Z;_Z;_Z
2019;2276;5693;NUM_PEN;603.0;A;_Z;_Z;_Z
2019;2276;275092;NUM_PEN;95.0;A;_Z;_Z;_Z
2019;2279;5691;NUM_PEN;60.0;A;_Z;_Z;_Z
2019;2279;5692;NUM_PEN;525.0;A;_Z;_Z;_Z
2019;2279;5693;NUM_PEN;239.0;A;_Z;_Z;_Z
2019;2279;275092;NUM_PEN;43.0;A;_Z;_Z;_Z
2019;2347;5691;NUM_PEN;1054.0;A;_Z;_Z;_Z
2019;2347;5692;NUM_PEN;5742.0;A;_Z;_Z;_Z
2019;2347;5693;NUM_PEN;2528.0;A;_Z;_Z;_Z
2019;2347;275092;NUM_PEN;523.0;A;_Z;_Z;_Z
2019;2282;5691;NUM_PEN;9.0;A;_Z;_Z;_Z
2019;2282;5692;NUM_PEN;65.0;A;_Z;_Z;_Z
2019;2282;5693;NUM_PEN;16.0;A;_Z;_Z;_Z
2019;2282;275092;NUM_PEN;6.0;A;_Z;_Z;_Z
2019;2284;5691;NUM_PEN;17.0;A;_Z;_Z;_Z
2019;2284;5692;NUM_PEN;92.0;A;_Z;_Z;_Z
2019;2284;5693;NUM_PEN;34.0;A;_Z;_Z;_Z
2019;2284;275092;NUM_PEN;7.0;A;_Z;_Z;_Z
2019;2285;5691;NUM_PEN;37.0;A;_Z;_Z;_Z
2019;2285;5692;NUM_PEN;195.0;A;_Z;_Z;_Z
2019;2285;5693;NUM_PEN;115.0;A;_Z;_Z;_Z
2019;2285;275092;NUM_PEN;23.0;A;_Z;_Z;_Z
2019;2286;5691;NUM_PEN;46.0;A;_Z;_Z;_Z
2019;2286;5692;NUM_PEN;381.0;A;_Z;_Z;_Z
2019;2286;5693;NUM_PEN;143.0;A;_Z;_Z;_Z
2019;2286;275092;NUM_PEN;32.0;A;_Z;_Z;_Z
2019;2287;5691;NUM_PEN;20.0;A;_Z;_Z;_Z
2019;2287;5692;NUM_PEN;146.0;A;_Z;_Z;_Z
2019;2287;5693;NUM_PEN;78.0;A;_Z;_Z;_Z
2019;2287;275092;NUM_PEN;9.0;A;_Z;_Z;_Z
2019;2288;5691;NUM_PEN;53.0;A;_Z;_Z;_Z
2019;2288;5692;NUM_PEN;337.0;A;_Z;_Z;_Z
2019;2288;5693;NUM_PEN;157.0;A;_Z;_Z;_Z
2019;2288;275092;NUM_PEN;22.0;A;_Z;_Z;_Z
2019;2289;5691;NUM_PEN;40.0;A;_Z;_Z;_Z
2019;2289;5692;NUM_PEN;290.0;A;_Z;_Z;_Z
2019;2289;5693;NUM_PEN;117.0;A;_Z;_Z;_Z
2019;2289;275092;NUM_PEN;16.0;A;_Z;_Z;_Z
2019;2290;5691;NUM_PEN;112.0;A;_Z;_Z;_Z
2019;2290;5692;NUM_PEN;686.0;A;_Z;_Z;_Z
2019;2290;5693;NUM_PEN;283.0;A;_Z;_Z;_Z
2019;2290;275092;NUM_PEN;46.0;A;_Z;_Z;_Z
2019;2291;5691;NUM_PEN;22.0;A;_Z;_Z;_Z
2019;2291;5692;NUM_PEN;185.0;A;_Z;_Z;_Z
2019;2291;5693;NUM_PEN;81.0;A;_Z;_Z;_Z
2019;2291;275092;NUM_PEN;6.0;A;_Z;_Z;_Z
2019;2292;5691;NUM_PEN;6.0;A;_Z;_Z;_Z
2019;2292;5692;NUM_PEN;63.0;A;_Z;_Z;_Z
2019;2292;5693;NUM_PEN;31.0;A;_Z;_Z;_Z
2019;2292;275092;NUM_PEN;5.0;A;_Z;_Z;_Z
2019;2293;5691;NUM_PEN;248.0;A;_Z;_Z;_Z
2019;2293;5692;NUM_PEN;787.0;A;_Z;_Z;_Z
2019;2293;5693;NUM_PEN;377.0;A;_Z;_Z;_Z
2019;2293;275092;NUM_PEN;124.0;A;_Z;_Z;_Z
2019;2294;5691;NUM_PEN;235.0;A;_Z;_Z;_Z
2019;2294;5692;NUM_PEN;2003.0;A;_Z;_Z;_Z
2019;2294;5693;NUM_PEN;887.0;A;_Z;_Z;_Z
2019;2294;275092;NUM_PEN;128.0;A;_Z;_Z;_Z
2019;2295;5691;NUM_PEN;11.0;A;_Z;_Z;_Z
2019;2295;5692;NUM_PEN;64.0;A;_Z;_Z;_Z
2019;2295;5693;NUM_PEN;18.0;A;_Z;_Z;_Z
2019;2295;275092;NUM_PEN;10.0;A;_Z;_Z;_Z
2019;2296;5691;NUM_PEN;10.0;A;_Z;_Z;_Z
2019;2296;5692;NUM_PEN;79.0;A;_Z;_Z;_Z
2019;2296;5693;NUM_PEN;45.0;A;_Z;_Z;_Z
2019;2296;275092;NUM_PEN;se;A;_Z;_Z;_Z
2019;2297;5691;NUM_PEN;7.0;A;_Z;_Z;_Z
2019;2297;5692;NUM_PEN;30.0;A;_Z;_Z;_Z
2019;2297;5693;NUM_PEN;7.0;A;_Z;_Z;_Z
2019;2297;275092;NUM_PEN;se;A;_Z;_Z;_Z
2019;2298;5691;NUM_PEN;16.0;A;_Z;_Z;_Z
2019;2298;5692;NUM_PEN;236.0;A;_Z;_Z;_Z
2019;2298;5693;NUM_PEN;113.0;A;_Z;_Z;_Z
2019;2298;275092;NUM_PEN;13.0;A;_Z;_Z;_Z
2019;2299;5691;NUM_PEN;11.0;A;_Z;_Z;_Z
2019;2299;5692;NUM_PEN;77.0;A;_Z;_Z;_Z
2019;2299;5693;NUM_PEN;30.0;A;_Z;_Z;_Z
2019;2299;275092;NUM_PEN;se;A;_Z;_Z;_Z
2019;2300;5691;NUM_PEN;21.0;A;_Z;_Z;_Z
2019;2300;5692;NUM_PEN;368.0;A;_Z;_Z;_Z
2019;2300;5693;NUM_PEN;134.0;A;_Z;_Z;_Z
2019;2300;275092;NUM_PEN;24.0;A;_Z;_Z;_Z
2019;2301;5691;NUM_PEN;se;A;_Z;_Z;_Z
2019;2301;5692;NUM_PEN;100.0;A;_Z;_Z;_Z
2019;2301;5693;NUM_PEN;41.0;A;_Z;_Z;_Z
2019;2301;275092;NUM_PEN;5.0;A;_Z;_Z;_Z
2019;2302;5691;NUM_PEN;20.0;A;_Z;_Z;_Z
2019;2302;5692;NUM_PEN;131.0;A;_Z;_Z;_Z
2019;2302;5693;NUM_PEN;53.0;A;_Z;_Z;_Z
2019;2302;275092;NUM_PEN;9.0;A;_Z;_Z;_Z
2019;2303;5691;NUM_PEN;110.0;A;_Z;_Z;_Z
2019;2303;5692;NUM_PEN;556.0;A;_Z;_Z;_Z
2019;2303;5693;NUM_PEN;278.0;A;_Z;_Z;_Z
2019;2303;275092;NUM_PEN;44.0;A;_Z;_Z;_Z
2019;2304;5691;NUM_PEN;18.0;A;_Z;_Z;_Z
2019;2304;5692;NUM_PEN;312.0;A;_Z;_Z;_Z
2019;2304;5693;NUM_PEN;104.0;A;_Z;_Z;_Z
2019;2304;275092;NUM_PEN;10.0;A;_Z;_Z;_Z
2019;2305;5691;NUM_PEN;60.0;A;_Z;_Z;_Z
2019;2305;5692;NUM_PEN;509.0;A;_Z;_Z;_Z
2019;2305;5693;NUM_PEN;158.0;A;_Z;_Z;_Z
2019;2305;275092;NUM_PEN;23.0;A;_Z;_Z;_Z
2019;2348;5691;NUM_PEN;104.0;A;_Z;_Z;_Z
2019;2348;5692;NUM_PEN;605.0;A;_Z;_Z;_Z
2019;2348;5693;NUM_PEN;273.0;A;_Z;_Z;_Z
2019;2348;275092;NUM_PEN;57.0;A;_Z;_Z;_Z
2019;2306;5691;NUM_PEN;9.0;A;_Z;_Z;_Z
2019;2306;5692;NUM_PEN;101.0;A;_Z;_Z;_Z
2019;2306;5693;NUM_PEN;34.0;A;_Z;_Z;_Z
2019;2306;275092;NUM_PEN;se;A;_Z;_Z;_Z
2019;2307;5691;NUM_PEN;310.0;A;_Z;_Z;_Z
2019;2307;5692;NUM_PEN;2019.0;A;_Z;_Z;_Z
2019;2307;5693;NUM_PEN;885.0;A;_Z;_Z;_Z
2019;2307;275092;NUM_PEN;192.0;A;_Z;_Z;_Z
2019;2308;5691;NUM_PEN;7.0;A;_Z;_Z;_Z
2019;2308;5692;NUM_PEN;152.0;A;_Z;_Z;_Z
2019;2308;5693;NUM_PEN;66.0;A;_Z;_Z;_Z
2019;2308;275092;NUM_PEN;9.0;A;_Z;_Z;_Z
2019;2309;5691;NUM_PEN;se;A;_Z;_Z;_Z
2019;2309;5692;NUM_PEN;56.0;A;_Z;_Z;_Z
2019;2309;5693;NUM_PEN;11.0;A;_Z;_Z;_Z
2019;2309;275092;NUM_PEN;se;A;_Z;_Z;_Z
2019;2310;5691;NUM_PEN;100.0;A;_Z;_Z;_Z
2019;2310;5692;NUM_PEN;617.0;A;_Z;_Z;_Z
2019;2310;5693;NUM_PEN;293.0;A;_Z;_Z;_Z
2019;2310;275092;NUM_PEN;54.0;A;_Z;_Z;_Z
2019;2311;5691;NUM_PEN;38.0;A;_Z;_Z;_Z
2019;2311;5692;NUM_PEN;340.0;A;_Z;_Z;_Z
2019;2311;5693;NUM_PEN;140.0;A;_Z;_Z;_Z
2019;2311;275092;NUM_PEN;29.0;A;_Z;_Z;_Z
2019;2312;5691;NUM_PEN;10.0;A;_Z;_Z;_Z
2019;2312;5692;NUM_PEN;117.0;A;_Z;_Z;_Z
2019;2312;5693;NUM_PEN;61.0;A;_Z;_Z;_Z
2019;2312;275092;NUM_PEN;se;A;_Z;_Z;_Z
2019;2313;5691;NUM_PEN;se;A;_Z;_Z;_Z
2019;2313;5692;NUM_PEN;87.0;A;_Z;_Z;_Z
2019;2313;5693;NUM_PEN;35.0;A;_Z;_Z;_Z
2019;2313;275092;NUM_PEN;9.0;A;_Z;_Z;_Z
2019;2314;5691;NUM_PEN;11.0;A;_Z;_Z;_Z
2019;2314;5692;NUM_PEN;70.0;A;_Z;_Z;_Z
2019;2314;5693;NUM_PEN;32.0;A;_Z;_Z;_Z
2019;2314;275092;NUM_PEN;se;A;_Z;_Z;_Z
2019;2315;5691;NUM_PEN;90.0;A;_Z;_Z;_Z
2019;2315;5692;NUM_PEN;332.0;A;_Z;_Z;_Z
2019;2315;5693;NUM_PEN;135.0;A;_Z;_Z;_Z
