TEMPORAL;EDAD;TERRITORIO;LUG_NAC_PADRON;SEXO;INDICATOR;OBS_VALUE;FREQ
2021;TOTAL;2241;53933;F;HAB;2.0;A
2021;TOTAL;2241;54155;_T;HAB;26.0;A
2021;TOTAL;2241;54155;M;HAB;8.0;A
2021;TOTAL;2241;54155;F;HAB;18.0;A
2021;TOTAL;2241;54236;_T;HAB;1.0;A
2021;TOTAL;2241;54236;M;HAB;1.0;A
2021;TOTAL;2241;54344;_T;HAB;8.0;A
2021;TOTAL;2241;54344;M;HAB;5.0;A
2021;TOTAL;2241;54344;F;HAB;3.0;A
2021;TOTAL;2241;54452;_T;HAB;6.0;A
2021;TOTAL;2241;54452;M;HAB;4.0;A
2021;TOTAL;2241;54452;F;HAB;2.0;A
2021;TOTAL;2241;54565;_T;HAB;81.0;A
2021;TOTAL;2241;54565;M;HAB;34.0;A
2021;TOTAL;2241;54565;F;HAB;47.0;A
2021;TOTAL;2241;54887;_T;HAB;126.0;A
2021;TOTAL;2241;54887;M;HAB;62.0;A
2021;TOTAL;2241;54887;F;HAB;64.0;A
2021;TOTAL;2242;54888;_T;HAB;1208.0;A
2021;TOTAL;2242;54888;M;HAB;639.0;A
2021;TOTAL;2242;54888;F;HAB;569.0;A
2021;TOTAL;2242;53700;_T;HAB;1095.0;A
2021;TOTAL;2242;53700;M;HAB;575.0;A
2021;TOTAL;2242;53700;F;HAB;520.0;A
2021;TOTAL;2242;54560;_T;HAB;1036.0;A
2021;TOTAL;2242;54560;M;HAB;543.0;A
2021;TOTAL;2242;54560;F;HAB;493.0;A
2021;TOTAL;2242;53809;_T;HAB;995.0;A
2021;TOTAL;2242;53809;M;HAB;524.0;A
2021;TOTAL;2242;53809;F;HAB;471.0;A
2021;TOTAL;2242;53855;_T;HAB;1.0;A
2021;TOTAL;2242;53855;F;HAB;1.0;A
2021;TOTAL;2242;53933;_T;HAB;1.0;A
2021;TOTAL;2242;53933;F;HAB;1.0;A
2021;TOTAL;2242;54155;_T;HAB;32.0;A
2021;TOTAL;2242;54155;M;HAB;14.0;A
2021;TOTAL;2242;54155;F;HAB;18.0;A
2021;TOTAL;2242;54344;_T;HAB;2.0;A
2021;TOTAL;2242;54344;M;HAB;2.0;A
2021;TOTAL;2242;54452;_T;HAB;2.0;A
2021;TOTAL;2242;54452;M;HAB;2.0;A
2021;TOTAL;2242;54559;_T;HAB;3.0;A
2021;TOTAL;2242;54559;M;HAB;1.0;A
2021;TOTAL;2242;54559;F;HAB;2.0;A
2021;TOTAL;2242;54565;_T;HAB;59.0;A
2021;TOTAL;2242;54565;M;HAB;32.0;A
2021;TOTAL;2242;54565;F;HAB;27.0;A
2021;TOTAL;2242;54887;_T;HAB;113.0;A
2021;TOTAL;2242;54887;M;HAB;64.0;A
2021;TOTAL;2242;54887;F;HAB;49.0;A
2021;TOTAL;2243;54888;_T;HAB;25501.0;A
2021;TOTAL;2243;54888;M;HAB;13058.0;A
2021;TOTAL;2243;54888;F;HAB;12443.0;A
2021;TOTAL;2243;53700;_T;HAB;21835.0;A
2021;TOTAL;2243;53700;M;HAB;10894.0;A
2021;TOTAL;2243;53700;F;HAB;10941.0;A
2021;TOTAL;2243;54560;_T;HAB;20921.0;A
2021;TOTAL;2243;54560;M;HAB;10459.0;A
2021;TOTAL;2243;54560;F;HAB;10462.0;A
2021;TOTAL;2243;53809;_T;HAB;19047.0;A
2021;TOTAL;2243;53809;M;HAB;9542.0;A
2021;TOTAL;2243;53809;F;HAB;9505.0;A
2021;TOTAL;2243;53855;_T;HAB;59.0;A
2021;TOTAL;2243;53855;M;HAB;30.0;A
2021;TOTAL;2243;53855;F;HAB;29.0;A
2021;TOTAL;2243;53933;_T;HAB;62.0;A
2021;TOTAL;2243;53933;M;HAB;29.0;A
2021;TOTAL;2243;53933;F;HAB;33.0;A
2021;TOTAL;2243;54155;_T;HAB;1474.0;A
2021;TOTAL;2243;54155;M;HAB;727.0;A
2021;TOTAL;2243;54155;F;HAB;747.0;A
2021;TOTAL;2243;54236;_T;HAB;23.0;A
2021;TOTAL;2243;54236;M;HAB;10.0;A
2021;TOTAL;2243;54236;F;HAB;13.0;A
2021;TOTAL;2243;54344;_T;HAB;109.0;A
2021;TOTAL;2243;54344;M;HAB;40.0;A
2021;TOTAL;2243;54344;F;HAB;69.0;A
2021;TOTAL;2243;54452;_T;HAB;90.0;A
2021;TOTAL;2243;54452;M;HAB;49.0;A
2021;TOTAL;2243;54452;F;HAB;41.0;A
2021;TOTAL;2243;54559;_T;HAB;57.0;A
2021;TOTAL;2243;54559;M;HAB;32.0;A
2021;TOTAL;2243;54559;F;HAB;25.0;A
2021;TOTAL;2243;54565;_T;HAB;914.0;A
2021;TOTAL;2243;54565;M;HAB;435.0;A
2021;TOTAL;2243;54565;F;HAB;479.0;A
2021;TOTAL;2243;54887;_T;HAB;3666.0;A
2021;TOTAL;2243;54887;M;HAB;2164.0;A
2021;TOTAL;2243;54887;F;HAB;1502.0;A
2021;TOTAL;2244;54888;_T;HAB;726.0;A
2021;TOTAL;2244;54888;M;HAB;379.0;A
2021;TOTAL;2244;54888;F;HAB;347.0;A
2021;TOTAL;2244;53700;_T;HAB;458.0;A
2021;TOTAL;2244;53700;M;HAB;247.0;A
2021;TOTAL;2244;53700;F;HAB;211.0;A
2021;TOTAL;2244;54560;_T;HAB;411.0;A
2021;TOTAL;2244;54560;M;HAB;221.0;A
2021;TOTAL;2244;54560;F;HAB;190.0;A
2021;TOTAL;2244;53809;_T;HAB;400.0;A
2021;TOTAL;2244;53809;M;HAB;215.0;A
2021;TOTAL;2244;53809;F;HAB;185.0;A
2021;TOTAL;2244;53855;_T;HAB;1.0;A
2021;TOTAL;2244;53855;F;HAB;1.0;A
2021;TOTAL;2244;53933;_T;HAB;1.0;A
2021;TOTAL;2244;53933;M;HAB;1.0;A
2021;TOTAL;2244;54155;_T;HAB;8.0;A
2021;TOTAL;2244;54155;M;HAB;4.0;A
2021;TOTAL;2244;54155;F;HAB;4.0;A
2021;TOTAL;2244;54559;_T;HAB;1.0;A
2021;TOTAL;2244;54559;M;HAB;1.0;A
2021;TOTAL;2244;54565;_T;HAB;47.0;A
2021;TOTAL;2244;54565;M;HAB;26.0;A
2021;TOTAL;2244;54565;F;HAB;21.0;A
2021;TOTAL;2244;54887;_T;HAB;268.0;A
2021;TOTAL;2244;54887;M;HAB;132.0;A
2021;TOTAL;2244;54887;F;HAB;136.0;A
2021;TOTAL;2245;54888;_T;HAB;612.0;A
2021;TOTAL;2245;54888;M;HAB;297.0;A
2021;TOTAL;2245;54888;F;HAB;315.0;A
2021;TOTAL;2245;53700;_T;HAB;584.0;A
2021;TOTAL;2245;53700;M;HAB;286.0;A
2021;TOTAL;2245;53700;F;HAB;298.0;A
2021;TOTAL;2245;54560;_T;HAB;561.0;A
2021;TOTAL;2245;54560;M;HAB;274.0;A
2021;TOTAL;2245;54560;F;HAB;287.0;A
2021;TOTAL;2245;53809;_T;HAB;549.0;A
2021;TOTAL;2245;53809;M;HAB;269.0;A
2021;TOTAL;2245;53809;F;HAB;280.0;A
2021;TOTAL;2245;54155;_T;HAB;4.0;A
2021;TOTAL;2245;54155;M;HAB;1.0;A
2021;TOTAL;2245;54155;F;HAB;3.0;A
2021;TOTAL;2245;54236;_T;HAB;1.0;A
2021;TOTAL;2245;54236;M;HAB;1.0;A
2021;TOTAL;2245;54344;_T;HAB;6.0;A
2021;TOTAL;2245;54344;M;HAB;2.0;A
2021;TOTAL;2245;54344;F;HAB;4.0;A
2021;TOTAL;2245;54452;_T;HAB;1.0;A
2021;TOTAL;2245;54452;M;HAB;1.0;A
2021;TOTAL;2245;54565;_T;HAB;23.0;A
2021;TOTAL;2245;54565;M;HAB;12.0;A
2021;TOTAL;2245;54565;F;HAB;11.0;A
2021;TOTAL;2245;54887;_T;HAB;28.0;A
2021;TOTAL;2245;54887;M;HAB;11.0;A
2021;TOTAL;2245;54887;F;HAB;17.0;A
2021;TOTAL;2246;54888;_T;HAB;12070.0;A
2021;TOTAL;2246;54888;M;HAB;6186.0;A
2021;TOTAL;2246;54888;F;HAB;5884.0;A
2021;TOTAL;2246;53700;_T;HAB;8313.0;A
2021;TOTAL;2246;53700;M;HAB;4165.0;A
2021;TOTAL;2246;53700;F;HAB;4148.0;A
2021;TOTAL;2246;54560;_T;HAB;7742.0;A
2021;TOTAL;2246;54560;M;HAB;3883.0;A
2021;TOTAL;2246;54560;F;HAB;3859.0;A
2021;TOTAL;2246;53809;_T;HAB;7359.0;A
2021;TOTAL;2246;53809;M;HAB;3687.0;A
2021;TOTAL;2246;53809;F;HAB;3672.0;A
2021;TOTAL;2246;53855;_T;HAB;22.0;A
2021;TOTAL;2246;53855;M;HAB;11.0;A
2021;TOTAL;2246;53855;F;HAB;11.0;A
2021;TOTAL;2246;53933;_T;HAB;20.0;A
2021;TOTAL;2246;53933;M;HAB;10.0;A
2021;TOTAL;2246;53933;F;HAB;10.0;A
2021;TOTAL;2246;54155;_T;HAB;216.0;A
2021;TOTAL;2246;54155;M;HAB;116.0;A
2021;TOTAL;2246;54155;F;HAB;100.0;A
2021;TOTAL;2246;54236;_T;HAB;9.0;A
2021;TOTAL;2246;54236;M;HAB;4.0;A
2021;TOTAL;2246;54236;F;HAB;5.0;A
2021;TOTAL;2246;54344;_T;HAB;57.0;A
2021;TOTAL;2246;54344;M;HAB;26.0;A
2021;TOTAL;2246;54344;F;HAB;31.0;A
2021;TOTAL;2246;54452;_T;HAB;24.0;A
2021;TOTAL;2246;54452;M;HAB;14.0;A
2021;TOTAL;2246;54452;F;HAB;10.0;A
2021;TOTAL;2246;54559;_T;HAB;35.0;A
2021;TOTAL;2246;54559;M;HAB;15.0;A
2021;TOTAL;2246;54559;F;HAB;20.0;A
2021;TOTAL;2246;54565;_T;HAB;571.0;A
2021;TOTAL;2246;54565;M;HAB;282.0;A
2021;TOTAL;2246;54565;F;HAB;289.0;A
2021;TOTAL;2246;54887;_T;HAB;3757.0;A
2021;TOTAL;2246;54887;M;HAB;2021.0;A
2021;TOTAL;2246;54887;F;HAB;1736.0;A
2021;TOTAL;2247;54888;_T;HAB;849.0;A
2021;TOTAL;2247;54888;M;HAB;438.0;A
2021;TOTAL;2247;54888;F;HAB;411.0;A
2021;TOTAL;2247;53700;_T;HAB;816.0;A
2021;TOTAL;2247;53700;M;HAB;428.0;A
2021;TOTAL;2247;53700;F;HAB;388.0;A
2021;TOTAL;2247;54560;_T;HAB;784.0;A
2021;TOTAL;2247;54560;M;HAB;411.0;A
2021;TOTAL;2247;54560;F;HAB;373.0;A
2021;TOTAL;2247;53809;_T;HAB;736.0;A
2021;TOTAL;2247;53809;M;HAB;389.0;A
2021;TOTAL;2247;53809;F;HAB;347.0;A
