SEXO;GRUPOSEDAD;TEMPORAL;CERTIFICDISCAPAC;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
F;TOTAL;2017;5733;ES61;POP;156122.9361;A
F;TOTAL;2016;5732;ES61;POP;2597538.9974700003;A
F;TOTAL;2016;5733;ES61;POP;152619.00294;A
F;TOTAL;2015;5732;ES61;POP;2613760.73181;A
F;TOTAL;2015;5733;ES61;POP;142575.01834;A
F;TOTAL;2014;5732;ES61;POP;2622299.93054;A
F;TOTAL;2014;5733;ES61;POP;135908.32238;A
_T;Y16-24;2020;5732;ES61;POP;793937.25001;A
_T;Y16-24;2020;5733;ES61;POP;21209.25003;A
_T;Y16-24;2019;5732;ES61;POP;782247.0001399999;A
_T;Y16-24;2019;5733;ES61;POP;20555.25003;A
_T;Y16-24;2018;5732;ES61;POP;775658.25006;A
_T;Y16-24;2018;5733;ES61;POP;20342.75001;A
_T;Y16-24;2017;5732;ES61;POP;778917.4054500001;A
_T;Y16-24;2017;5733;ES61;POP;18781.594670000002;A
_T;Y16-24;2016;5732;ES61;POP;786238.00023;A
_T;Y16-24;2016;5733;ES61;POP;18392.499929999998;A
_T;Y16-24;2015;5732;ES61;POP;798426.83865;A
_T;Y16-24;2015;5733;ES61;POP;17358.66138;A
_T;Y16-24;2014;5732;ES61;POP;810598.7662600001;A
_T;Y16-24;2014;5733;ES61;POP;16181.48357;A
_T;Y25-44;2020;5732;ES61;POP;2188931.30561;A
_T;Y25-44;2020;5733;ES61;POP;87021.44421;A
_T;Y25-44;2019;5732;ES61;POP;2221784.61819;A
_T;Y25-44;2019;5733;ES61;POP;90622.13221000001;A
_T;Y25-44;2018;5732;ES61;POP;2248952.34043;A
_T;Y25-44;2018;5733;ES61;POP;95676.15978;A
_T;Y25-44;2017;5732;ES61;POP;2291249.11594;A
_T;Y25-44;2017;5733;ES61;POP;92646.13442;A
_T;Y25-44;2016;5732;ES61;POP;2337075.28254;A
_T;Y25-44;2016;5733;ES61;POP;93779.71804;A
_T;Y25-44;2015;5732;ES61;POP;2392928.28521;A
_T;Y25-44;2015;5733;ES61;POP;91710.21503;A
_T;Y25-44;2014;5732;ES61;POP;2435590.13649;A
_T;Y25-44;2014;5733;ES61;POP;91212.61666;A
_T;Y45-64;2020;5732;ES61;POP;2203463.82051;A
_T;Y45-64;2020;5733;ES61;POP;271873.67965;A
_T;Y45-64;2019;5732;ES61;POP;2154309.2031199997;A
_T;Y45-64;2019;5733;ES61;POP;272363.54687;A
_T;Y45-64;2018;5732;ES61;POP;2108610.83775;A
_T;Y45-64;2018;5733;ES61;POP;268194.16196;A
_T;Y45-64;2017;5732;ES61;POP;2073028.56462;A
_T;Y45-64;2017;5733;ES61;POP;261224.43574;A
_T;Y45-64;2016;5732;ES61;POP;2032247.41165;A
_T;Y45-64;2016;5733;ES61;POP;259112.33881;A
_T;Y45-64;2015;5732;ES61;POP;1997235.50799;A
_T;Y45-64;2015;5733;ES61;POP;243227.74178;A
_T;Y45-64;2014;5732;ES61;POP;1963432.1920699999;A
_T;Y45-64;2014;5733;ES61;POP;230123.30994;A
_T;TOTAL;2020;5732;ES61;POP;5186332.37613;A
_T;TOTAL;2020;5733;ES61;POP;380104.37389;A
_T;TOTAL;2019;5732;ES61;POP;5158340.82145;A
_T;TOTAL;2019;5733;ES61;POP;383540.92910999997;A
_T;TOTAL;2018;5732;ES61;POP;5133221.42824;A
_T;TOTAL;2018;5733;ES61;POP;384213.07175;A
_T;TOTAL;2017;5732;ES61;POP;5143195.08601;A
_T;TOTAL;2017;5733;ES61;POP;372652.16483;A
_T;TOTAL;2016;5732;ES61;POP;5155560.69442;A
_T;TOTAL;2016;5733;ES61;POP;371284.55678;A
_T;TOTAL;2015;5732;ES61;POP;5188590.6318500005;A
_T;TOTAL;2015;5733;ES61;POP;352296.61819;A
_T;TOTAL;2014;5732;ES61;POP;5209621.094819999;A
_T;TOTAL;2014;5733;ES61;POP;337517.41017;A
M;Y16-24;2020;5732;ES61;PC;15.83024539286852;A
M;Y16-24;2020;5733;ES61;PC;6.073976710741338;A
M;Y16-24;2019;5732;ES61;PC;15.644381525085327;A
M;Y16-24;2019;5733;ES61;PC;6.099904071063072;A
M;Y16-24;2018;5732;ES61;PC;15.650984468382372;A
M;Y16-24;2018;5733;ES61;PC;5.156976502892905;A
M;Y16-24;2017;5732;ES61;PC;15.640430931231315;A
M;Y16-24;2017;5733;ES61;PC;4.984552835339516;A
M;Y16-24;2016;5732;ES61;PC;15.742771137561284;A
M;Y16-24;2016;5733;ES61;PC;4.852958526684424;A
M;Y16-24;2015;5732;ES61;PC;15.802721999370867;A
M;Y16-24;2015;5733;ES61;PC;5.531399225591022;A
M;Y16-24;2014;5732;ES61;PC;16.0049805187303;A
M;Y16-24;2014;5733;ES61;PC;4.779299259583243;A
M;Y25-44;2020;5732;ES61;PC;42.675435329368916;A
M;Y25-44;2020;5733;ES61;PC;21.54429004777094;A
M;Y25-44;2019;5732;ES61;PC;43.44664414873477;A
