SEXO;PERCEPPRESINVAL;TEMPORAL;CERTIFICDISCAPAC;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
_T;38361;2018;5732;ES61;POP;251387.99990999998;A
_T;38361;2018;5733;ES61;POP;223314.36304;A
_T;38361;2017;5732;ES61;POP;255095.03053;A
_T;38361;2017;5733;ES61;POP;227358.17919999998;A
_T;38361;2016;5732;ES61;POP;255818.55427;A
_T;38361;2016;5733;ES61;POP;232856.63527;A
_T;38361;2015;5732;ES61;POP;259655.02880000003;A
_T;38361;2015;5733;ES61;POP;218772.66785;A
_T;38361;2014;5732;ES61;POP;215922.09346;A
_T;38361;2014;5733;ES61;POP;213529.19600000003;A
_T;38362;2020;5732;ES61;POP;368990.09103999997;A
_T;38362;2020;5733;ES61;POP;45515.70643;A
_T;38362;2019;5732;ES61;POP;377939.30088;A
_T;38362;2019;5733;ES61;POP;50300.95392;A
_T;38362;2018;5732;ES61;POP;358374.50354999996;A
_T;38362;2018;5733;ES61;POP;53629.47528;A
_T;38362;2017;5732;ES61;POP;410810.67315;A
_T;38362;2017;5733;ES61;POP;43943.3083;A
_T;38362;2016;5732;ES61;POP;408052.38346;A
_T;38362;2016;5733;ES61;POP;41485.22651;A
_T;38362;2015;5732;ES61;POP;419872.8691;A
_T;38362;2015;5733;ES61;POP;37814.83602;A
_T;38362;2014;5732;ES61;POP;415369.45605;A
_T;38362;2014;5733;ES61;POP;32827.2455;A
_T;38360;2020;5732;ES61;POP;4578329.43391;A
_T;38360;2020;5733;ES61;POP;108071.45018999999;A
_T;38360;2019;5732;ES61;POP;4527371.27099;A
_T;38360;2019;5733;ES61;POP;107365.79075;A
_T;38360;2018;5732;ES61;POP;4523458.92478;A
_T;38360;2018;5733;ES61;POP;107269.23343;A
_T;38360;2017;5732;ES61;POP;4477289.38233;A
_T;38360;2017;5733;ES61;POP;101350.67732999999;A
_T;38360;2016;5732;ES61;POP;4491689.75669;A
_T;38360;2016;5733;ES61;POP;96942.695;A
_T;38360;2015;5732;ES61;POP;4509062.733949999;A
_T;38360;2015;5733;ES61;POP;95709.11432;A
_T;38360;2014;5732;ES61;POP;4578329.54531;A
_T;38360;2014;5733;ES61;POP;91160.96867;A
_T;38363;2020;5732;ES61;POP;5186332.37613;A
_T;38363;2020;5733;ES61;POP;380104.37389;A
_T;38363;2019;5732;ES61;POP;5158340.82145;A
_T;38363;2019;5733;ES61;POP;383540.92910999997;A
_T;38363;2018;5732;ES61;POP;5133221.42824;A
_T;38363;2018;5733;ES61;POP;384213.07175;A
_T;38363;2017;5732;ES61;POP;5143195.08601;A
_T;38363;2017;5733;ES61;POP;372652.16483;A
_T;38363;2016;5732;ES61;POP;5155560.69442;A
_T;38363;2016;5733;ES61;POP;371284.55678;A
_T;38363;2015;5732;ES61;POP;5188590.6318500005;A
_T;38363;2015;5733;ES61;POP;352296.61819;A
_T;38363;2014;5732;ES61;POP;5209621.094819999;A
_T;38363;2014;5733;ES61;POP;337517.41017;A
M;38361;2020;5732;ES61;PC;2.5403181563120625;A
M;38361;2020;5733;ES61;PC;64.12328414096052;A
M;38361;2019;5732;ES61;PC;2.759374061046124;A
M;38361;2019;5733;ES61;PC;63.32400158397804;A
M;38361;2018;5732;ES61;PC;3.1075526831497626;A
M;38361;2018;5733;ES61;PC;62.87206581856447;A
M;38361;2017;5732;ES61;PC;3.121486267277703;A
M;38361;2017;5733;ES61;PC;66.5740229185178;A
M;38361;2016;5732;ES61;PC;3.554330318949486;A
M;38361;2016;5733;ES61;PC;67.98307616789653;A
M;38361;2015;5732;ES61;PC;3.4945527076799197;A
M;38361;2015;5733;ES61;PC;68.01074582780987;A
M;38361;2014;5732;ES61;PC;2.4598580345826906;A
M;38361;2014;5733;ES61;PC;69.12166224131498;A
M;38362;2020;5732;ES61;PC;6.531512929528212;A
M;38362;2020;5733;ES61;PC;11.745526328274;A
M;38362;2019;5732;ES61;PC;6.957897243131857;A
M;38362;2019;5733;ES61;PC;13.912238449681697;A
M;38362;2018;5732;ES61;PC;6.797436145000374;A
M;38362;2018;5733;ES61;PC;14.076476879822511;A
M;38362;2017;5732;ES61;PC;8.196115618592245;A
M;38362;2017;5733;ES61;PC;11.265239410433658;A
M;38362;2016;5732;ES61;PC;8.11936154480787;A
M;38362;2016;5733;ES61;PC;10.46891584796674;A
M;38362;2015;5732;ES61;PC;8.318716266914274;A
M;38362;2015;5733;ES61;PC;10.662256575380592;A
M;38362;2014;5732;ES61;PC;8.63396302260622;A
M;38362;2014;5733;ES61;PC;8.571204423086092;A
M;38360;2020;5732;ES61;PC;90.92816891415974;A
M;38360;2020;5733;ES61;PC;24.131189530765475;A
M;38360;2019;5732;ES61;PC;90.28272869582202;A
M;38360;2019;5733;ES61;PC;22.76375996634026;A
M;38360;2018;5732;ES61;PC;90.09501117184986;A
M;38360;2018;5733;ES61;PC;23.05145730161301;A
M;38360;2017;5732;ES61;PC;88.68239811413005;A
M;38360;2017;5733;ES61;PC;22.160737671048555;A
M;38360;2016;5732;ES61;PC;88.32630813624263;A
M;38360;2016;5733;ES61;PC;21.54800798413673;A
M;38360;2015;5732;ES61;PC;88.1867310254058;A
M;38360;2015;5733;ES61;PC;21.326997596809534;A
M;38360;2014;5732;ES61;PC;88.90617894281108;A
M;38360;2014;5733;ES61;PC;22.30713333559893;A
M;38363;2020;5732;ES61;PC;100.0;A
M;38363;2020;5733;ES61;PC;100.0;A
M;38363;2019;5732;ES61;PC;100.0;A
M;38363;2019;5733;ES61;PC;100.0;A
M;38363;2018;5732;ES61;PC;100.0;A
M;38363;2018;5733;ES61;PC;100.0;A
M;38363;2017;5732;ES61;PC;100.0;A
M;38363;2017;5733;ES61;PC;100.0;A
M;38363;2016;5732;ES61;PC;100.0;A
M;38363;2016;5733;ES61;PC;100.0;A
M;38363;2015;5732;ES61;PC;100.0;A
M;38363;2015;5733;ES61;PC;100.0;A
M;38363;2014;5732;ES61;PC;100.0;A
M;38363;2014;5733;ES61;PC;100.0;A
F;38361;2020;5732;ES61;PC;6.635308980060736;A
F;38361;2020;5733;ES61;PC;53.24597944587411;A
F;38361;2019;5732;ES61;PC;7.011930564745718;A
F;38361;2019;5733;ES61;PC;52.73347887653238;A
F;38361;2018;5732;ES61;PC;6.654603699278605;A
F;38361;2018;5733;ES61;PC;51.44335682717818;A
F;38361;2017;5732;ES61;PC;6.772181562744412;A
F;38361;2017;5733;ES61;PC;53.295155035199215;A
F;38361;2016;5732;ES61;PC;6.348240149257064;A
F;38361;2016;5733;ES61;PC;55.170760932766974;A
F;38361;2015;5732;ES61;PC;6.49165161695964;A
F;38361;2015;5733;ES61;PC;53.40307475775984;A
F;38361;2014;5732;ES61;PC;5.807027035562712;A
F;38361;2014;5733;ES61;PC;54.5762334425778;A
F;38362;2020;5732;ES61;PC;7.686140457527242;A
F;38362;2020;5733;ES61;PC;12.295416781681167;A
F;38362;2019;5732;ES61;PC;7.688882331048963;A
F;38362;2019;5733;ES61;PC;12.007000740330467;A
F;38362;2018;5732;ES61;PC;7.1621800755366;A
F;38362;2018;5733;ES61;PC;13.792023864277034;A
F;38362;2017;5732;ES61;PC;7.781761116170633;A
F;38362;2017;5733;ES61;PC;12.522677819405933;A
F;38362;2016;5732;ES61;PC;7.7133530501427625;A
F;38362;2016;5733;ES61;PC;12.182830009254939;A
F;38362;2015;5732;ES61;PC;7.869124088399968;A
F;38362;2015;5733;ES61;PC;10.839052401976355;A
F;38362;2014;5732;ES61;PC;7.321096309927679;A
F;38362;2014;5733;ES61;PC;11.43926889666902;A
F;38360;2020;5732;ES61;PC;85.67855056241203;A
F;38360;2020;5733;ES61;PC;34.45860377244471;A
F;38360;2019;5732;ES61;PC;85.29918710420533;A
F;38360;2019;5733;ES61;PC;35.25952038313716;A
F;38360;2018;5732;ES61;PC;86.1832162251848;A
F;38360;2018;5733;ES61;PC;34.764619308544795;A
F;38360;2017;5732;ES61;PC;85.44605732108495;A
F;38360;2017;5733;ES61;PC;34.18216714539486;A
F;38360;2016;5732;ES61;PC;85.93840680060018;A
F;38360;2016;5733;ES61;PC;32.64640905797809;A
F;38360;2015;5732;ES61;PC;85.6392242946404;A
F;38360;2015;5733;ES61;PC;35.75787284026381;A
F;38360;2014;5732;ES61;PC;86.87187665450962;A
F;38360;2014;5733;ES61;PC;33.984497660753185;A
F;38363;2020;5732;ES61;PC;100.0;A
F;38363;2020;5733;ES61;PC;100.0;A
F;38363;2019;5732;ES61;PC;100.0;A
F;38363;2019;5733;ES61;PC;100.0;A
F;38363;2018;5732;ES61;PC;100.0;A
F;38363;2018;5733;ES61;PC;100.0;A
F;38363;2017;5732;ES61;PC;100.0;A
F;38363;2017;5733;ES61;PC;100.0;A
F;38363;2016;5732;ES61;PC;100.0;A
F;38363;2016;5733;ES61;PC;100.0;A
F;38363;2015;5732;ES61;PC;100.0;A
F;38363;2015;5733;ES61;PC;100.0;A
F;38363;2014;5732;ES61;PC;100.0;A
F;38363;2014;5733;ES61;PC;100.0;A
_T;38361;2020;5732;ES61;PC;4.608513952558311;A
_T;38361;2020;5733;ES61;PC;59.59342560355614;A
_T;38361;2019;5732;ES61;PC;4.905264276602679;A
_T;38361;2019;5733;ES61;PC;58.891807183170016;A
_T;38361;2018;5732;ES61;PC;4.897275588522431;A
_T;38361;2018;5733;ES61;PC;58.122531339929616;A
_T;38361;2017;5732;ES61;PC;4.959855231311053;A
_T;38361;2017;5733;ES61;PC;61.01083011384581;A
_T;38361;2016;5732;ES61;PC;4.961992873963819;A
_T;38361;2016;5733;ES61;PC;62.71648820771618;A
_T;38361;2015;5732;ES61;PC;5.004346020403225;A
_T;38361;2015;5733;ES61;PC;62.09899742268088;A
_T;38361;2014;5732;ES61;PC;4.144679421593529;A
_T;38361;2014;5733;ES61;PC;63.26464637556033;A
_T;38362;2020;5732;ES61;PC;7.114663393697445;A
_T;38362;2020;5733;ES61;PC;11.97452846022024;A
_T;38362;2019;5732;ES61;PC;7.326760948179496;A
_T;38362;2019;5733;ES61;PC;13.114885557774103;A
_T;38362;2018;5732;ES61;PC;6.981473691713975;A
_T;38362;2018;5733;ES61;PC;13.958264104792265;A
_T;38362;2017;5732;ES61;PC;7.987460445889867;A
_T;38362;2017;5733;ES61;PC;11.792044283453034;A
_T;38362;2016;5732;ES61;PC;7.914801272762552;A
_T;38362;2016;5733;ES61;PC;11.173431739198769;A
_T;38362;2015;5732;ES61;PC;8.09223349636843;A
_T;38362;2015;5733;ES61;PC;10.733806135943595;A
_T;38362;2014;5732;ES61;PC;7.973122200058038;A
_T;38362;2014;5733;ES61;PC;9.726089532230544;A
_T;38360;2020;5732;ES61;PC;88.27682265374426;A
_T;38360;2020;5733;ES61;PC;28.432045936223627;A
_T;38360;2019;5732;ES61;PC;87.76797477521784;A
_T;38360;2019;5733;ES61;PC;27.993307259055882;A
_T;38360;2018;5732;ES61;PC;88.1212507197636;A
_T;38360;2018;5733;ES61;PC;27.91920455527812;A
_T;38360;2017;5732;ES61;PC;87.0526843227991;A
_T;38360;2017;5733;ES61;PC;27.197125602701146;A
_T;38360;2016;5732;ES61;PC;87.12320585327362;A
_T;38360;2016;5733;ES61;PC;26.110080053085046;A
_T;38360;2015;5732;ES61;PC;86.90342048322835;A
_T;38360;2015;5733;ES61;PC;27.167196441375523;A
_T;38360;2014;5732;ES61;PC;87.88219837834845;A
_T;38360;2014;5733;ES61;PC;27.009264092209122;A
_T;38363;2020;5732;ES61;PC;100.0;A
_T;38363;2020;5733;ES61;PC;100.0;A
_T;38363;2019;5732;ES61;PC;100.0;A
_T;38363;2019;5733;ES61;PC;100.0;A
_T;38363;2018;5732;ES61;PC;100.0;A
_T;38363;2018;5733;ES61;PC;100.0;A
_T;38363;2017;5732;ES61;PC;100.0;A
_T;38363;2017;5733;ES61;PC;100.0;A
_T;38363;2016;5732;ES61;PC;100.0;A
_T;38363;2016;5733;ES61;PC;100.0;A
_T;38363;2015;5732;ES61;PC;100.0;A
_T;38363;2015;5733;ES61;PC;100.0;A
_T;38363;2014;5732;ES61;PC;100.0;A
_T;38363;2014;5733;ES61;PC;100.0;A
