SEXO;SITUACIONDEPEND;TEMPORAL;CERTIFICDISCAPAC;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
_T;38404;2018;5732;ES61;POP;5133221.42824;A
_T;38404;2018;5733;ES61;POP;384213.07175;A
_T;38404;2017;5732;ES61;POP;5143195.08601;A
_T;38404;2017;5733;ES61;POP;372652.16483;A
_T;38404;2016;5732;ES61;POP;5155560.69442;A
_T;38404;2016;5733;ES61;POP;371284.55678;A
_T;38404;2015;5732;ES61;POP;5188590.6318500005;A
_T;38404;2015;5733;ES61;POP;352296.61819;A
_T;38404;2014;5732;ES61;POP;5209621.094819999;A
_T;38404;2014;5733;ES61;POP;337517.41017;A
M;38403;2020;5732;ES61;PC;0.03660759421645017;A
M;38403;2020;5733;ES61;PC;20.377709637703997;A
M;38403;2019;5732;ES61;PC;0.11868655542449137;A
M;38403;2019;5733;ES61;PC;19.2326791109899;A
M;38403;2018;5732;ES61;PC;0.04610703116037918;A
M;38403;2018;5733;ES61;PC;18.040577009885116;A
M;38403;2017;5732;ES61;PC;0.058390676648933826;A
M;38403;2017;5733;ES61;PC;16.29969338874299;A
M;38403;2016;5732;ES61;PC;0.028360730515499623;A
M;38403;2016;5733;ES61;PC;16.253957418463052;A
M;38403;2015;5732;ES61;PC;0.06431291092177681;A
M;38403;2015;5733;ES61;PC;14.339699249628818;A
M;38403;2014;5732;ES61;PC;0.039085513772366;A
M;38403;2014;5733;ES61;PC;17.61187863068204;A
M;38402;2020;5732;ES61;PC;99.96339240578355;A
M;38402;2020;5733;ES61;PC;79.622290362296;A
M;38402;2019;5732;ES61;PC;99.8813134445755;A
M;38402;2019;5733;ES61;PC;80.76732088901008;A
M;38402;2018;5732;ES61;PC;99.95389296883963;A
M;38402;2018;5733;ES61;PC;81.95942299011489;A
M;38402;2017;5732;ES61;PC;99.94160932335107;A
M;38402;2017;5733;ES61;PC;83.70030661125702;A
M;38402;2016;5732;ES61;PC;99.9716392694845;A
M;38402;2016;5733;ES61;PC;83.74604258153695;A
M;38402;2015;5732;ES61;PC;99.9356870890782;A
M;38402;2015;5733;ES61;PC;85.66030075037119;A
M;38402;2014;5732;ES61;PC;99.96091448622762;A
M;38402;2014;5733;ES61;PC;82.38812136931797;A
M;38404;2020;5732;ES61;PC;100.0;A
M;38404;2020;5733;ES61;PC;100.0;A
M;38404;2019;5732;ES61;PC;100.0;A
M;38404;2019;5733;ES61;PC;100.0;A
M;38404;2018;5732;ES61;PC;100.0;A
M;38404;2018;5733;ES61;PC;100.0;A
M;38404;2017;5732;ES61;PC;100.0;A
M;38404;2017;5733;ES61;PC;100.0;A
M;38404;2016;5732;ES61;PC;100.0;A
M;38404;2016;5733;ES61;PC;100.0;A
M;38404;2015;5732;ES61;PC;100.0;A
M;38404;2015;5733;ES61;PC;100.0;A
M;38404;2014;5732;ES61;PC;100.0;A
