SEXO;NIVELESTUDIOSTER;TEMPORAL;CERTIFICDISCAPAC;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
F;38324;2017;5733;ES61;POP;10906.5071;A
F;38324;2016;5732;ES61;POP;24937.38363;A
F;38324;2016;5733;ES61;POP;11124.04078;A
F;38324;2015;5732;ES61;POP;26175.56225;A
F;38324;2015;5733;ES61;POP;12931.22967;A
F;38324;2014;5732;ES61;POP;26654.520510000002;A
F;38324;2014;5733;ES61;POP;11036.92546;A
F;38325;2020;5732;ES61;POP;1479799.53683;A
F;38325;2020;5733;ES61;POP;77229.10495000001;A
F;38325;2019;5732;ES61;POP;271689.00778;A
F;38325;2019;5733;ES61;POP;42718.51642;A
F;38325;2018;5732;ES61;POP;294665.61108;A
F;38325;2018;5733;ES61;POP;44240.19145;A
F;38325;2017;5732;ES61;POP;301131.59262;A
F;38325;2017;5733;ES61;POP;39822.01704;A
F;38325;2016;5732;ES61;POP;322923.86269000004;A
F;38325;2016;5733;ES61;POP;38185.30466;A
F;38325;2015;5732;ES61;POP;358585.59148;A
F;38325;2015;5733;ES61;POP;42030.4411;A
F;38325;2014;5732;ES61;POP;374418.02751;A
F;38325;2014;5733;ES61;POP;42861.00372;A
F;38332;2020;5732;ES61;POP;866056.65285;A
F;38332;2020;5733;ES61;POP;28809.39417;A
F;38332;2019;5732;ES61;POP;2311640.2501;A
F;38332;2019;5733;ES61;POP;108453.51759999999;A
F;38332;2018;5732;ES61;POP;2278697.91874;A
F;38332;2018;5733;ES61;POP;106279.62828;A
F;38332;2017;5732;ES61;POP;2268246.0135299996;A
F;38332;2017;5733;ES61;POP;105394.41196;A
F;38332;2016;5732;ES61;POP;2249677.75115;A
F;38332;2016;5733;ES61;POP;103309.6575;A
F;38332;2015;5732;ES61;POP;2228999.57808;A
F;38332;2015;5733;ES61;POP;87613.34757;A
F;38332;2014;5732;ES61;POP;2221227.38252;A
F;38332;2014;5733;ES61;POP;82010.39319999999;A
F;38328;2020;5732;ES61;POP;866056.65285;A
F;38328;2020;5733;ES61;POP;28809.39417;A
F;38328;2019;5732;ES61;POP;1491487.05073;A
F;38328;2019;5733;ES61;POP;83399.78936;A
F;38328;2018;5732;ES61;POP;1485818.88826;A
F;38328;2018;5733;ES61;POP;81057.3517;A
F;38328;2017;5732;ES61;POP;1488231.02816;A
F;38328;2017;5733;ES61;POP;79358.29144;A
F;38328;2016;5732;ES61;POP;1478438.45012;A
F;38328;2016;5733;ES61;POP;82303.55350000001;A
F;38328;2015;5732;ES61;POP;1478871.58063;A
F;38328;2015;5733;ES61;POP;71925.59746;A
F;38328;2014;5732;ES61;POP;1487316.97676;A
F;38328;2014;5733;ES61;POP;69151.91881;A
F;38330;2019;5732;ES61;POP;820153.19937;A
F;38330;2019;5733;ES61;POP;25053.72824;A
F;38330;2018;5732;ES61;POP;792879.03048;A
F;38330;2018;5733;ES61;POP;25222.276579999998;A
F;38330;2017;5732;ES61;POP;780014.98537;A
F;38330;2017;5733;ES61;POP;26036.12052;A
F;38330;2016;5732;ES61;POP;771239.30103;A
F;38330;2016;5733;ES61;POP;21006.104;A
F;38330;2015;5732;ES61;POP;750127.9974499999;A
F;38330;2015;5733;ES61;POP;15687.750109999999;A
F;38330;2014;5732;ES61;POP;733910.40576;A
F;38330;2014;5733;ES61;POP;12858.47439;A
F;38333;2020;5732;ES61;POP;2619383.35882;A
F;38333;2020;5733;ES61;POP;158294.64113;A
F;38333;2019;5732;ES61;POP;2602959.67558;A
F;38333;2019;5733;ES61;POP;160514.07522;A
F;38333;2018;5732;ES61;POP;2590051.26419;A
F;38333;2018;5733;ES61;POP;159670.98583000002;A
F;38333;2017;5732;ES61;POP;2589942.31423;A
F;38333;2017;5733;ES61;POP;156122.9361;A
F;38333;2016;5732;ES61;POP;2597538.9974700003;A
F;38333;2016;5733;ES61;POP;152619.00294;A
F;38333;2015;5732;ES61;POP;2613760.73181;A
F;38333;2015;5733;ES61;POP;142575.01834;A
F;38333;2014;5732;ES61;POP;2622299.93054;A
F;38333;2014;5733;ES61;POP;135908.32238;A
_T;38326;2020;5732;ES61;POP;3604714.62866;A
