SEXO;RELACTIVIDAD;TEMPORAL;CERTIFICDISCAPAC;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
F;5882;2018;5733;ES61;POP;115135.6483;A
F;5882;2017;5732;ES61;POP;862311.873;A
F;5882;2017;5733;ES61;POP;111708.35454999999;A
F;5882;2016;5732;ES61;POP;851324.68391;A
F;5882;2016;5733;ES61;POP;106355.1612;A
F;5882;2015;5732;ES61;POP;836719.69649;A
F;5882;2015;5733;ES61;POP;95712.04871999999;A
F;5882;2014;5732;ES61;POP;847480.1337;A
F;5882;2014;5733;ES61;POP;95586.37198;A
F;5883;2020;5732;ES61;POP;2619383.35882;A
F;5883;2020;5733;ES61;POP;158294.64113;A
F;5883;2019;5732;ES61;POP;2602959.67558;A
F;5883;2019;5733;ES61;POP;160514.07522;A
F;5883;2018;5732;ES61;POP;2590051.26419;A
F;5883;2018;5733;ES61;POP;159670.98583000002;A
F;5883;2017;5732;ES61;POP;2589942.31423;A
F;5883;2017;5733;ES61;POP;156122.9361;A
F;5883;2016;5732;ES61;POP;2597538.9974700003;A
F;5883;2016;5733;ES61;POP;152619.00294;A
F;5883;2015;5732;ES61;POP;2613760.73181;A
F;5883;2015;5733;ES61;POP;142575.01834;A
F;5883;2014;5732;ES61;POP;2622299.93054;A
F;5883;2014;5733;ES61;POP;135908.32238;A
_T;5870;2020;5732;ES61;POP;3742493.71804;A
_T;5870;2020;5733;ES61;POP;108544.12209;A
_T;5870;2019;5732;ES61;POP;3812322.41672;A
_T;5870;2019;5733;ES61;POP;115926.29377999999;A
_T;5870;2018;5732;ES61;POP;3796137.16567;A
_T;5870;2018;5733;ES61;POP;114272.33175000001;A
_T;5870;2017;5732;ES61;POP;3819413.8130900003;A
_T;5870;2017;5733;ES61;POP;113104.64519;A
_T;5870;2016;5732;ES61;POP;3849055.42002;A
_T;5870;2016;5733;ES61;POP;113187.31346;A
_T;5870;2015;5732;ES61;POP;3912239.61309;A
_T;5870;2015;5733;ES61;POP;107844.21428;A
_T;5870;2014;5732;ES61;POP;3921062.7692799997;A
_T;5870;2014;5733;ES61;POP;96848.94235;A
_T;5865;2020;5732;ES61;POP;2909502.60856;A
_T;5865;2020;5733;ES61;POP;76771.27409;A
_T;5865;2019;5732;ES61;POP;3011098.16335;A
_T;5865;2019;5733;ES61;POP;81398.98972;A
_T;5865;2018;5732;ES61;POP;2932031.30367;A
_T;5865;2018;5733;ES61;POP;75862.45126;A
_T;5865;2017;5732;ES61;POP;2848750.16336;A
_T;5865;2017;5733;ES61;POP;74949.40483;A
_T;5865;2016;5732;ES61;POP;2741681.50526;A
_T;5865;2016;5733;ES61;POP;70713.90826;A
_T;5865;2015;5732;ES61;POP;2679368.1163500003;A
_T;5865;2015;5733;ES61;POP;67142.14859000001;A
_T;5865;2014;5732;ES61;POP;2560142.58849;A
_T;5865;2014;5733;ES61;POP;54831.56078;A
_T;5869;2020;5732;ES61;POP;832991.10948;A
_T;5869;2020;5733;ES61;POP;31772.847999999998;A
_T;5869;2019;5732;ES61;POP;801224.25337;A
_T;5869;2019;5733;ES61;POP;34527.30406;A
_T;5869;2018;5732;ES61;POP;864105.862;A
_T;5869;2018;5733;ES61;POP;38409.880489999996;A
_T;5869;2017;5732;ES61;POP;970663.64973;A
_T;5869;2017;5733;ES61;POP;38155.24036;A
_T;5869;2016;5732;ES61;POP;1107373.9147599998;A
_T;5869;2016;5733;ES61;POP;42473.4052;A
_T;5869;2015;5732;ES61;POP;1232871.49674;A
_T;5869;2015;5733;ES61;POP;40702.065689999996;A
_T;5869;2014;5732;ES61;POP;1360920.18079;A
_T;5869;2014;5733;ES61;POP;42017.38157;A
_T;5882;2020;5732;ES61;POP;1443838.65809;A
_T;5882;2020;5733;ES61;POP;271560.2518;A
_T;5882;2019;5732;ES61;POP;1346018.4047299998;A
_T;5882;2019;5733;ES61;POP;267614.63533;A
_T;5882;2018;5732;ES61;POP;1337084.26257;A
_T;5882;2018;5733;ES61;POP;269940.74;A
_T;5882;2017;5732;ES61;POP;1323781.27292;A
_T;5882;2017;5733;ES61;POP;259547.51964;A
_T;5882;2016;5732;ES61;POP;1306505.2744;A
_T;5882;2016;5733;ES61;POP;258097.24332;A
_T;5882;2015;5732;ES61;POP;1276351.01876;A
_T;5882;2015;5733;ES61;POP;244452.40391;A
_T;5882;2014;5732;ES61;POP;1288558.3255399999;A
_T;5882;2014;5733;ES61;POP;240668.46782;A
_T;5883;2020;5732;ES61;POP;5186332.37613;A
_T;5883;2020;5733;ES61;POP;380104.37389;A
_T;5883;2019;5732;ES61;POP;5158340.82145;A
_T;5883;2019;5733;ES61;POP;383540.92910999997;A
_T;5883;2018;5732;ES61;POP;5133221.42824;A
_T;5883;2018;5733;ES61;POP;384213.07175;A
_T;5883;2017;5732;ES61;POP;5143195.08601;A
_T;5883;2017;5733;ES61;POP;372652.16483;A
_T;5883;2016;5732;ES61;POP;5155560.69442;A
_T;5883;2016;5733;ES61;POP;371284.55678;A
_T;5883;2015;5732;ES61;POP;5188590.6318500005;A
_T;5883;2015;5733;ES61;POP;352296.61819;A
_T;5883;2014;5732;ES61;POP;5209621.094819999;A
_T;5883;2014;5733;ES61;POP;337517.41017;A
M;5870;2020;5732;ES61;PC;80.09016575227605;A
M;5870;2020;5733;ES61;PC;29.085713019548027;A
M;5870;2019;5732;ES61;PC;81.28498430252057;A
M;5870;2019;5733;ES61;PC;29.933388282886654;A
M;5870;2018;5732;ES61;PC;81.82067003122837;A
M;5870;2018;5733;ES61;PC;31.05742691142806;A
M;5870;2017;5732;ES61;PC;81.92621564850838;A
M;5870;2017;5733;ES61;PC;31.723229257724245;A
M;5870;2016;5732;ES61;PC;82.20575724464243;A
M;5870;2016;5733;ES61;PC;30.60540196878409;A
M;5870;2015;5732;ES61;PC;82.92581105015246;A
M;5870;2015;5733;ES61;PC;29.07723606133839;A
M;5870;2014;5732;ES61;PC;82.95232157764444;A
M;5870;2014;5733;ES61;PC;28.03791861251792;A
M;5865;2020;5732;ES61;PC;65.13057391969602;A
M;5865;2020;5733;ES61;PC;20.604687743549672;A
M;5865;2019;5732;ES61;PC;67.04714040013351;A
M;5865;2019;5733;ES61;PC;20.75132076822751;A
M;5865;2018;5732;ES61;PC;65.92051273282551;A
M;5865;2018;5733;ES61;PC;21.20497502502225;A
M;5865;2017;5732;ES61;PC;63.21345130450209;A
M;5865;2017;5733;ES61;PC;21.92206938915835;A
M;5865;2016;5732;ES61;PC;60.840844507130086;A
M;5865;2016;5733;ES61;PC;19.264035532922783;A
M;5865;2015;5732;ES61;PC;58.94169250350958;A
M;5865;2015;5733;ES61;PC;17.818124292741995;A
M;5865;2014;5732;ES61;PC;55.99050392235056;A
M;5865;2014;5733;ES61;PC;15.26212892349896;A
M;5869;2020;5732;ES61;PC;14.959591832580028;A
