ESTADOCIVIL;TEMPORAL;CERTIFICDISCAPAC;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
SIN;2015;5732;ES61;PC;39.13771473306524;A
SIN;2015;5733;ES61;PC;35.38503631697322;A
SIN;2014;5732;ES61;PC;39.48779331735792;A
SIN;2014;5733;ES61;PC;35.08036962311466;A
MAR;2020;5732;ES61;PC;49.83047322717945;A
MAR;2020;5733;ES61;PC;51.427130598231386;A
MAR;2019;5732;ES61;PC;50.94687184669722;A
MAR;2019;5733;ES61;PC;48.4651114396942;A
MAR;2018;5732;ES61;PC;51.54356944947077;A
MAR;2018;5733;ES61;PC;47.50434284775216;A
MAR;2017;5732;ES61;PC;52.23439412939229;A
MAR;2017;5733;ES61;PC;46.99970406180237;A
MAR;2016;5732;ES61;PC;53.08648916619732;A
MAR;2016;5733;ES61;PC;48.21680325801349;A
MAR;2015;5732;ES61;PC;53.334076277343925;A
MAR;2015;5733;ES61;PC;51.02492807156401;A
MAR;2014;5732;ES61;PC;52.8158547915483;A
MAR;2014;5733;ES61;PC;51.065936300349044;A
DTHLUN;2020;5732;ES61;PC;1.5848846685629323;A
DTHLUN;2020;5733;ES61;PC;2.5786493193147297;A
DTHLUN;2019;5732;ES61;PC;1.6172801107498254;A
DTHLUN;2019;5733;ES61;PC;2.349830421205239;A
DTHLUN;2018;5732;ES61;PC;1.6118273627321034;A
DTHLUN;2018;5733;ES61;PC;3.1925935169591217;A
DTHLUN;2017;5732;ES61;PC;1.5689839191498074;A
DTHLUN;2017;5733;ES61;PC;3.0789973876132706;A
DTHLUN;2016;5732;ES61;PC;1.5446158726477521;A
DTHLUN;2016;5733;ES61;PC;3.217358522422517;A
DTHLUN;2015;5732;ES61;PC;1.6060693134753574;A
DTHLUN;2015;5733;ES61;PC;4.130176135313528;A
DTHLUN;2014;5732;ES61;PC;1.710575045248642;A
DTHLUN;2014;5733;ES61;PC;3.4308394918554197;A
DIV_WID;2020;5732;ES61;PC;6.230460830995155;A
DIV_WID;2020;5733;ES61;PC;8.751244982944177;A
DIV_WID;2019;5732;ES61;PC;5.971563886571813;A
DIV_WID;2019;5733;ES61;PC;10.014767550136419;A
DIV_WID;2018;5732;ES61;PC;6.219722052190278;A
DIV_WID;2018;5733;ES61;PC;11.170363461221827;A
DIV_WID;2017;5732;ES61;PC;6.183970222034499;A
DIV_WID;2017;5733;ES61;PC;11.231374584686323;A
DIV_WID;2016;5732;ES61;PC;5.980890360455531;A
DIV_WID;2016;5733;ES61;PC;10.672520843219328;A
DIV_WID;2015;5732;ES61;PC;5.922139676115485;A
DIV_WID;2015;5733;ES61;PC;9.459859476149235;A
DIV_WID;2014;5732;ES61;PC;5.985776845845147;A
DIV_WID;2014;5733;ES61;PC;10.422854584680875;A
_T;2020;5732;ES61;PC;100.0;A
_T;2020;5733;ES61;PC;100.0;A
_T;2019;5732;ES61;PC;100.0;A
_T;2019;5733;ES61;PC;100.0;A
_T;2018;5732;ES61;PC;100.0;A
_T;2018;5733;ES61;PC;100.0;A
_T;2017;5732;ES61;PC;100.0;A
_T;2017;5733;ES61;PC;100.0;A
_T;2016;5732;ES61;PC;100.0;A
_T;2016;5733;ES61;PC;100.0;A
_T;2015;5732;ES61;PC;100.0;A
_T;2015;5733;ES61;PC;100.0;A
_T;2014;5732;ES61;PC;100.0;A
_T;2014;5733;ES61;PC;100.0;A
