TEMPORAL;TERRITORIO;ECOICOP;INDICATOR;OBS_VALUE;FREQ;IPC_RUBRICAS;IPC_GRUPOSESPECIALES
2021-01;ES615;CP12;INX;102.523;M;_Z;_Z
2021-01;ES616;CP01T12;INX;104.15;M;_Z;_Z
2021-01;ES616;CP01;INX;108.095;M;_Z;_Z
2021-01;ES616;CP02;INX;104.271;M;_Z;_Z
2021-01;ES616;CP03;INX;95.067;M;_Z;_Z
2021-01;ES616;CP04;INX;107.944;M;_Z;_Z
2021-01;ES616;CP05;INX;99.226;M;_Z;_Z
2021-01;ES616;CP06;INX;101.16;M;_Z;_Z
2021-01;ES616;CP07;INX;106.743;M;_Z;_Z
2021-01;ES616;CP08;INX;101.322;M;_Z;_Z
2021-01;ES616;CP09;INX;95.226;M;_Z;_Z
2021-01;ES616;CP10;INX;103.323;M;_Z;_Z
2021-01;ES616;CP11;INX;104.404;M;_Z;_Z
2021-01;ES616;CP12;INX;102.377;M;_Z;_Z
2021-01;ES617;CP01T12;INX;105.545;M;_Z;_Z
2021-01;ES617;CP01;INX;107.985;M;_Z;_Z
2021-01;ES617;CP02;INX;104.269;M;_Z;_Z
2021-01;ES617;CP03;INX;94.457;M;_Z;_Z
2021-01;ES617;CP04;INX;108.285;M;_Z;_Z
2021-01;ES617;CP05;INX;100.715;M;_Z;_Z
2021-01;ES617;CP06;INX;102.616;M;_Z;_Z
2021-01;ES617;CP07;INX;106.797;M;_Z;_Z
2021-01;ES617;CP08;INX;101.645;M;_Z;_Z
2021-01;ES617;CP09;INX;101.269;M;_Z;_Z
2021-01;ES617;CP10;INX;107.755;M;_Z;_Z
2021-01;ES617;CP11;INX;108.035;M;_Z;_Z
2021-01;ES617;CP12;INX;105.606;M;_Z;_Z
2021-01;ES618;CP01T12;INX;104.215;M;_Z;_Z
2021-01;ES618;CP01;INX;105.509;M;_Z;_Z
2021-01;ES618;CP02;INX;103.036;M;_Z;_Z
2021-01;ES618;CP03;INX;95.385;M;_Z;_Z
2021-01;ES618;CP04;INX;109.169;M;_Z;_Z
2021-01;ES618;CP05;INX;100.276;M;_Z;_Z
2021-01;ES618;CP06;INX;100.823;M;_Z;_Z
2021-01;ES618;CP07;INX;106.33;M;_Z;_Z
2021-01;ES618;CP08;INX;99.137;M;_Z;_Z
2021-01;ES618;CP09;INX;98.046;M;_Z;_Z
2021-01;ES618;CP10;INX;105.899;M;_Z;_Z
2021-01;ES618;CP11;INX;106.546;M;_Z;_Z
2021-01;ES618;CP12;INX;104.383;M;_Z;_Z
2021-02;ES;CP01T12;INX;104.061;M;_Z;_Z
2021-02;ES;CP01;INX;107.24;M;_Z;_Z
2021-02;ES;CP02;INX;105.055;M;_Z;_Z
2021-02;ES;CP03;INX;94.422;M;_Z;_Z
2021-02;ES;CP04;INX;101.483;M;_Z;_Z
2021-02;ES;CP05;INX;100.699;M;_Z;_Z
2021-02;ES;CP06;INX;102.503;M;_Z;_Z
2021-02;ES;CP07;INX;108.222;M;_Z;_Z
2021-02;ES;CP08;INX;100.292;M;_Z;_Z
2021-02;ES;CP09;INX;99.497;M;_Z;_Z
