SITUAC_PROFES,TIME_PERIOD,CERTIFIC_DISCAPAC,REF_AREA,RELACTIVIDAD,INDICATOR,OBS_VALUE,FREQ,SEXO,EDAD,ESTADO_CIVIL,NIVEL_ESTUDIOS_TER,PERCEP_PRES_INVAL,SITUACION_DEPEND,COMP_HOG_ACTIVIDAD,PRESENC_DISCAPAC,AMBITO_ESTUD_HOG
5941,2019,5732,ES61,5865,POP,1944568.84187,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5941,2019,5733,ES61,5865,POP,51771.06301,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5941,2018,5732,ES61,5865,POP,1875619.57635,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5941,2018,5733,ES61,5865,POP,50669.70779,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5941,2017,5732,ES61,5865,POP,1806121.9556399998,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5941,2017,5733,ES61,5865,POP,51343.73922,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5941,2016,5732,ES61,5865,POP,1721883.57559,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5941,2016,5733,ES61,5865,POP,44251.03347,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5941,2015,5732,ES61,5865,POP,1659486.676,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5941,2015,5733,ES61,5865,POP,43761.459449999995,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5941,2014,5732,ES61,5865,POP,1581369.02988,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5941,2014,5733,ES61,5865,POP,33050.21383,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5946,2020,5732,ES61,5865,POP,524500.96097,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5946,2020,5733,ES61,5865,POP,9372.41031,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5946,2019,5732,ES61,5865,POP,516341.35933000006,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5946,2019,5733,ES61,5865,POP,11289.23588,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5946,2018,5732,ES61,5865,POP,497415.70339,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5946,2018,5733,ES61,5865,POP,9540.232059999998,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5946,2017,5732,ES61,5865,POP,503641.86074000003,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5946,2017,5733,ES61,5865,POP,8535.284259999999,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5946,2016,5732,ES61,5865,POP,494786.52744,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5946,2016,5733,ES61,5865,POP,9323.22303,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5946,2015,5732,ES61,5865,POP,482925.75991,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5946,2015,5733,ES61,5865,POP,7180.66364,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5946,2014,5732,ES61,5865,POP,480032.62211999996,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5946,2014,5733,ES61,5865,POP,6775.18487,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5948,2020,5732,ES61,5865,POP,2909502.60856,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5948,2020,5733,ES61,5865,POP,76771.27409,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5948,2019,5732,ES61,5865,POP,3011098.16335,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5948,2019,5733,ES61,5865,POP,81398.98972,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5948,2018,5732,ES61,5865,POP,2932031.30367,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5948,2018,5733,ES61,5865,POP,75862.45126,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5948,2017,5732,ES61,5865,POP,2848750.16336,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5948,2017,5733,ES61,5865,POP,74949.40483,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5948,2016,5732,ES61,5865,POP,2741681.50526,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5948,2016,5733,ES61,5865,POP,70713.90826,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5948,2015,5732,ES61,5865,POP,2679368.1163500003,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5948,2015,5733,ES61,5865,POP,67142.14859000001,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5948,2014,5732,ES61,5865,POP,2560142.58849,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5948,2014,5733,ES61,5865,POP,54831.56078,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5939,2020,5732,ES61,5865,PC,18.297192777685105,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5939,2020,5733,ES61,5865,PC,25.17157486190158,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5939,2019,5732,ES61,5865,PC,18.272003511764886,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5939,2019,5733,ES61,5865,PC,22.529383832750597,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5939,2018,5732,ES61,5865,PC,19.06514515142827,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
