TEMPORAL;TERRITORIO;SEXO;EDAD;INDICATOR;OBS_VALUE;FREQ
2019;2249;F;TOTAL;NUM_PEN;34.0;A
2019;2249;F;Y65-100;NUM_PEN;31.0;A
2019;2250;_T;TOTAL;NUM_PEN;171.0;A
2019;2250;_T;Y_LT15;NUM_PEN;40.0;A
2019;2250;_T;Y65-100;NUM_PEN;131.0;A
2019;2250;M;TOTAL;NUM_PEN;77.0;A
2019;2250;M;Y_LT15;NUM_PEN;27.0;A
2019;2250;M;Y65-100;NUM_PEN;50.0;A
2019;2250;F;TOTAL;NUM_PEN;94.0;A
2019;2250;F;Y_LT15;NUM_PEN;13.0;A
2019;2250;F;Y65-100;NUM_PEN;81.0;A
2019;2251;_T;TOTAL;NUM_PEN;739.0;A
2019;2251;_T;Y_LT15;NUM_PEN;150.0;A
2019;2251;_T;Y65-100;NUM_PEN;589.0;A
2019;2251;M;TOTAL;NUM_PEN;361.0;A
2019;2251;M;Y_LT15;NUM_PEN;88.0;A
2019;2251;M;Y65-100;NUM_PEN;273.0;A
2019;2251;F;TOTAL;NUM_PEN;378.0;A
2019;2251;F;Y_LT15;NUM_PEN;62.0;A
2019;2251;F;Y65-100;NUM_PEN;316.0;A
2019;2252;_T;TOTAL;NUM_PEN;52.0;A
2019;2252;_T;Y_LT15;NUM_PEN;8.0;A
2019;2252;_T;Y65-100;NUM_PEN;44.0;A
2019;2252;M;TOTAL;NUM_PEN;28.0;A
2019;2252;M;Y65-100;NUM_PEN;24.0;A
2019;2252;F;TOTAL;NUM_PEN;24.0;A
2019;2252;F;Y65-100;NUM_PEN;20.0;A
2019;2253;_T;TOTAL;NUM_PEN;31482.0;A
2019;2253;_T;Y_LT15;NUM_PEN;6336.0;A
2019;2253;_T;Y65-100;NUM_PEN;25146.0;A
2019;2253;M;TOTAL;NUM_PEN;14747.0;A
2019;2253;M;Y_LT15;NUM_PEN;3254.0;A
2019;2253;M;Y65-100;NUM_PEN;11493.0;A
2019;2253;F;TOTAL;NUM_PEN;16735.0;A
2019;2253;F;Y_LT15;NUM_PEN;3082.0;A
2019;2253;F;Y65-100;NUM_PEN;13653.0;A
2019;2254;_T;TOTAL;NUM_PEN;47.0;A
2019;2254;_T;Y_LT15;NUM_PEN;8.0;A
2019;2254;_T;Y65-100;NUM_PEN;39.0;A
2019;2254;M;TOTAL;NUM_PEN;19.0;A
2019;2254;M;Y_LT15;NUM_PEN;7.0;A
2019;2254;M;Y65-100;NUM_PEN;12.0;A
2019;2254;F;TOTAL;NUM_PEN;28.0;A
2019;2254;F;Y65-100;NUM_PEN;27.0;A
2019;2255;_T;TOTAL;NUM_PEN;39.0;A
2019;2255;_T;Y65-100;NUM_PEN;36.0;A
2019;2255;M;TOTAL;NUM_PEN;24.0;A
2019;2255;M;Y65-100;NUM_PEN;21.0;A
2019;2255;F;TOTAL;NUM_PEN;15.0;A
2019;2255;F;Y65-100;NUM_PEN;15.0;A
2019;2256;_T;TOTAL;NUM_PEN;576.0;A
2019;2256;_T;Y_LT15;NUM_PEN;97.0;A
2019;2256;_T;Y65-100;NUM_PEN;479.0;A
2019;2256;M;TOTAL;NUM_PEN;264.0;A
2019;2256;M;Y_LT15;NUM_PEN;47.0;A
2019;2256;M;Y65-100;NUM_PEN;217.0;A
2019;2256;F;TOTAL;NUM_PEN;312.0;A
2019;2256;F;Y_LT15;NUM_PEN;50.0;A
2019;2256;F;Y65-100;NUM_PEN;262.0;A
2019;2257;_T;TOTAL;NUM_PEN;391.0;A
2019;2257;_T;Y_LT15;NUM_PEN;57.0;A
2019;2257;_T;Y65-100;NUM_PEN;334.0;A
2019;2257;M;TOTAL;NUM_PEN;192.0;A
2019;2257;M;Y_LT15;NUM_PEN;37.0;A
2019;2257;M;Y65-100;NUM_PEN;155.0;A
2019;2257;F;TOTAL;NUM_PEN;199.0;A
2019;2257;F;Y_LT15;NUM_PEN;20.0;A
2019;2257;F;Y65-100;NUM_PEN;179.0;A
2019;2258;_T;TOTAL;NUM_PEN;79.0;A
2019;2258;_T;Y_LT15;NUM_PEN;10.0;A
2019;2258;_T;Y65-100;NUM_PEN;69.0;A
2019;2258;M;TOTAL;NUM_PEN;29.0;A
2019;2258;M;Y65-100;NUM_PEN;25.0;A
2019;2258;F;TOTAL;NUM_PEN;50.0;A
2019;2258;F;Y_LT15;NUM_PEN;6.0;A
2019;2258;F;Y65-100;NUM_PEN;44.0;A
2019;2259;_T;TOTAL;NUM_PEN;122.0;A
2019;2259;_T;Y_LT15;NUM_PEN;19.0;A
2019;2259;_T;Y65-100;NUM_PEN;103.0;A
2019;2259;M;TOTAL;NUM_PEN;52.0;A
2019;2259;M;Y_LT15;NUM_PEN;10.0;A
2019;2259;M;Y65-100;NUM_PEN;42.0;A
2019;2259;F;TOTAL;NUM_PEN;70.0;A
2019;2259;F;Y_LT15;NUM_PEN;9.0;A
2019;2259;F;Y65-100;NUM_PEN;61.0;A
2019;9563;_T;TOTAL;NUM_PEN;413.0;A
2019;9563;_T;Y_LT15;NUM_PEN;89.0;A
2019;9563;_T;Y65-100;NUM_PEN;324.0;A
2019;9563;M;TOTAL;NUM_PEN;177.0;A
2019;9563;M;Y_LT15;NUM_PEN;39.0;A
2019;9563;M;Y65-100;NUM_PEN;138.0;A
2019;9563;F;TOTAL;NUM_PEN;236.0;A
2019;9563;F;Y_LT15;NUM_PEN;50.0;A
2019;9563;F;Y65-100;NUM_PEN;186.0;A
2019;2260;_T;TOTAL;NUM_PEN;115.0;A
2019;2260;_T;Y_LT15;NUM_PEN;26.0;A
2019;2260;_T;Y65-100;NUM_PEN;89.0;A
2019;2260;M;TOTAL;NUM_PEN;56.0;A
2019;2260;M;Y_LT15;NUM_PEN;16.0;A
2019;2260;M;Y65-100;NUM_PEN;40.0;A
2019;2260;F;TOTAL;NUM_PEN;59.0;A
2019;2260;F;Y_LT15;NUM_PEN;10.0;A
2019;2260;F;Y65-100;NUM_PEN;49.0;A
2019;2261;_T;TOTAL;NUM_PEN;73.0;A
2019;2261;_T;Y_LT15;NUM_PEN;10.0;A
2019;2261;_T;Y65-100;NUM_PEN;63.0;A
2019;2261;M;TOTAL;NUM_PEN;39.0;A
2019;2261;M;Y_LT15;NUM_PEN;7.0;A
2019;2261;M;Y65-100;NUM_PEN;32.0;A
2019;2261;F;TOTAL;NUM_PEN;34.0;A
2019;2261;F;Y65-100;NUM_PEN;31.0;A
