TEMPORAL;TERRITORIO;SEXO;EDAD;INDICATOR;OBS_VALUE;FREQ
2019;ES61;_T;TOTAL;NUM_PEN_PERS;1436095.0;A
2019;ES61;_T;Y_LT15;NUM_PEN_PERS;375181.0;A
2019;ES61;_T;Y65-100;NUM_PEN_PERS;1060914.0;A
2019;ES61;M;TOTAL;NUM_PEN_PERS;737472.0;A
2019;ES61;M;Y_LT15;NUM_PEN_PERS;206066.0;A
2019;ES61;M;Y65-100;NUM_PEN_PERS;531406.0;A
2019;ES61;F;TOTAL;NUM_PEN_PERS;698619.0;A
2019;ES61;F;Y_LT15;NUM_PEN_PERS;169113.0;A
2019;ES61;F;Y65-100;NUM_PEN_PERS;529506.0;A
2019;ES611;_T;TOTAL;NUM_PEN_PERS;95570.0;A
2019;ES611;_T;Y_LT15;NUM_PEN_PERS;21891.0;A
2019;ES611;_T;Y65-100;NUM_PEN_PERS;73679.0;A
2019;ES611;M;TOTAL;NUM_PEN_PERS;48704.0;A
2019;ES611;M;Y_LT15;NUM_PEN_PERS;11509.0;A
2019;ES611;M;Y65-100;NUM_PEN_PERS;37195.0;A
2019;ES611;F;TOTAL;NUM_PEN_PERS;46866.0;A
2019;ES611;F;Y_LT15;NUM_PEN_PERS;10382.0;A
2019;ES611;F;Y65-100;NUM_PEN_PERS;36484.0;A
2019;2241;_T;TOTAL;NUM_PEN_PERS;345.0;A
2019;2241;_T;Y_LT15;NUM_PEN_PERS;43.0;A
2019;2241;_T;Y65-100;NUM_PEN_PERS;302.0;A
2019;2241;M;TOTAL;NUM_PEN_PERS;162.0;A
2019;2241;M;Y_LT15;NUM_PEN_PERS;26.0;A
2019;2241;M;Y65-100;NUM_PEN_PERS;136.0;A
2019;2241;F;TOTAL;NUM_PEN_PERS;183.0;A
2019;2241;F;Y_LT15;NUM_PEN_PERS;17.0;A
2019;2241;F;Y65-100;NUM_PEN_PERS;166.0;A
2019;2242;_T;TOTAL;NUM_PEN_PERS;359.0;A
2019;2242;_T;Y_LT15;NUM_PEN_PERS;59.0;A
2019;2242;_T;Y65-100;NUM_PEN_PERS;300.0;A
2019;2242;M;TOTAL;NUM_PEN_PERS;183.0;A
2019;2242;M;Y_LT15;NUM_PEN_PERS;38.0;A
2019;2242;M;Y65-100;NUM_PEN_PERS;145.0;A
2019;2242;F;TOTAL;NUM_PEN_PERS;176.0;A
2019;2242;F;Y_LT15;NUM_PEN_PERS;21.0;A
2019;2242;F;Y65-100;NUM_PEN_PERS;155.0;A
