TEMPORAL;TIPO_ALOJAM_ECTA;TERRITORIO;INDICATOR;OBS_VALUE;FREQ;SEXO;PROCEDENCIA_ECTA
2008;6793;ES61;ESTANCIA_MEDIA;8.55107921;A;_Z;_Z
2008;6784;ES61;ESTANCIA_MEDIA;5.79447922;A;_Z;_Z
2008;6785;ES61;ESTANCIA_MEDIA;4.646188904;A;_Z;_Z
2008;6786;ES61;ESTANCIA_MEDIA;14.951761105;A;_Z;_Z
2008;6787;ES61;ESTANCIA_MEDIA;16.01183406;A;_Z;_Z
2008;6789;ES61;ESTANCIA_MEDIA;8.618299456;A;_Z;_Z
2008;6790;ES61;ESTANCIA_MEDIA;7.432260089;A;_Z;_Z
2008;6791;ES61;ESTANCIA_MEDIA;3.977176543;A;_Z;_Z
2008;6792;ES61;ESTANCIA_MEDIA;6.10322066;A;_Z;_Z
2009;6793;ES61;ESTANCIA_MEDIA;8.788552838;A;_Z;_Z
2009;6784;ES61;ESTANCIA_MEDIA;5.501985533;A;_Z;_Z
2009;6785;ES61;ESTANCIA_MEDIA;3.935101523;A;_Z;_Z
2009;6786;ES61;ESTANCIA_MEDIA;15.476246114;A;_Z;_Z
2009;6787;ES61;ESTANCIA_MEDIA;15.366889461;A;_Z;_Z
2009;6789;ES61;ESTANCIA_MEDIA;8.760720575;A;_Z;_Z
2009;6790;ES61;ESTANCIA_MEDIA;5.492848648;A;_Z;_Z
2009;6791;ES61;ESTANCIA_MEDIA;4.275533266;A;_Z;_Z
2009;6792;ES61;ESTANCIA_MEDIA;7.197318118;A;_Z;_Z
2010;6793;ES61;ESTANCIA_MEDIA;9.011505791;A;_Z;_Z
2010;6784;ES61;ESTANCIA_MEDIA;5.627306466;A;_Z;_Z
2010;6785;ES61;ESTANCIA_MEDIA;3.419426884;A;_Z;_Z
2010;6786;ES61;ESTANCIA_MEDIA;14.836472994;A;_Z;_Z
2010;6787;ES61;ESTANCIA_MEDIA;15.591739482;A;_Z;_Z
2010;6789;ES61;ESTANCIA_MEDIA;8.736144201;A;_Z;_Z
2010;6790;ES61;ESTANCIA_MEDIA;6.956424706;A;_Z;_Z
2010;6791;ES61;ESTANCIA_MEDIA;2.518212566;A;_Z;_Z
2010;6792;ES61;ESTANCIA_MEDIA;7.662695192;A;_Z;_Z
2011;6793;ES61;ESTANCIA_MEDIA;9.053612601;A;_Z;_Z
2011;6784;ES61;ESTANCIA_MEDIA;5.543964491;A;_Z;_Z
2011;6785;ES61;ESTANCIA_MEDIA;3.064451178;A;_Z;_Z
2011;6786;ES61;ESTANCIA_MEDIA;14.507141532;A;_Z;_Z
2011;6787;ES61;ESTANCIA_MEDIA;15.115265838;A;_Z;_Z
2011;6789;ES61;ESTANCIA_MEDIA;7.729211969;A;_Z;_Z
2011;6790;ES61;ESTANCIA_MEDIA;6.554322873;A;_Z;_Z
2011;6791;ES61;ESTANCIA_MEDIA;1.90706041;A;_Z;_Z
2011;6792;ES61;ESTANCIA_MEDIA;4.928974763;A;_Z;_Z
2012;6793;ES61;ESTANCIA_MEDIA;9.145334408;A;_Z;_Z
2012;6784;ES61;ESTANCIA_MEDIA;5.327818787;A;_Z;_Z
2012;6785;ES61;ESTANCIA_MEDIA;3.582328147;A;_Z;_Z
2012;6786;ES61;ESTANCIA_MEDIA;14.205343076;A;_Z;_Z
2012;6787;ES61;ESTANCIA_MEDIA;15.064218391;A;_Z;_Z
2012;6789;ES61;ESTANCIA_MEDIA;8.603193334;A;_Z;_Z
2012;6790;ES61;ESTANCIA_MEDIA;4.959218114;A;_Z;_Z
2012;6791;ES61;ESTANCIA_MEDIA;2.172005879;A;_Z;_Z
2012;6792;ES61;ESTANCIA_MEDIA;5.89401639;A;_Z;_Z
2013;6793;ES61;ESTANCIA_MEDIA;9.022718259;A;_Z;_Z
2013;6784;ES61;ESTANCIA_MEDIA;5.33081999;A;_Z;_Z
2013;6785;ES61;ESTANCIA_MEDIA;4.425676032;A;_Z;_Z
2013;6786;ES61;ESTANCIA_MEDIA;13.409058751;A;_Z;_Z
2013;6787;ES61;ESTANCIA_MEDIA;15.688391594;A;_Z;_Z
2013;6789;ES61;ESTANCIA_MEDIA;7.344066886;A;_Z;_Z
2013;6790;ES61;ESTANCIA_MEDIA;5.746880331;A;_Z;_Z
2013;6791;ES61;ESTANCIA_MEDIA;1.682295297;A;_Z;_Z
2013;6792;ES61;ESTANCIA_MEDIA;6.256815994;A;_Z;_Z
2014;6793;ES61;ESTANCIA_MEDIA;8.867510014;A;_Z;_Z
2014;6784;ES61;ESTANCIA_MEDIA;4.853973342;A;_Z;_Z
2014;6785;ES61;ESTANCIA_MEDIA;4.048020006;A;_Z;_Z
2014;6786;ES61;ESTANCIA_MEDIA;12.099493114;A;_Z;_Z
2014;6787;ES61;ESTANCIA_MEDIA;13.876870082;A;_Z;_Z
2014;6789;ES61;ESTANCIA_MEDIA;6.410674332;A;_Z;_Z
2014;6790;ES61;ESTANCIA_MEDIA;5.880684661;A;_Z;_Z
2014;6791;ES61;ESTANCIA_MEDIA;1.795421854;A;_Z;_Z
2014;6792;ES61;ESTANCIA_MEDIA;6.406654425;A;_Z;_Z
2015;6793;ES61;ESTANCIA_MEDIA;8.694870927;A;_Z;_Z
2015;6784;ES61;ESTANCIA_MEDIA;5.11689088;A;_Z;_Z
2015;6785;ES61;ESTANCIA_MEDIA;4.471905974;A;_Z;_Z
2015;6786;ES61;ESTANCIA_MEDIA;11.664396862;A;_Z;_Z
2015;6787;ES61;ESTANCIA_MEDIA;13.159387685;A;_Z;_Z
2015;6789;ES61;ESTANCIA_MEDIA;7.20273064;A;_Z;_Z
2015;6790;ES61;ESTANCIA_MEDIA;7.329252227;A;_Z;_Z
2015;6791;ES61;ESTANCIA_MEDIA;2.714452244;A;_Z;_Z
2015;6792;ES61;ESTANCIA_MEDIA;5.104410266;A;_Z;_Z
2016;6793;ES61;ESTANCIA_MEDIA;8.579452834;A;_Z;_Z
2016;6784;ES61;ESTANCIA_MEDIA;4.847854331;A;_Z;_Z
2016;6785;ES61;ESTANCIA_MEDIA;3.654875692;A;_Z;_Z
2016;6786;ES61;ESTANCIA_MEDIA;9.841646518;A;_Z;_Z
2016;6787;ES61;ESTANCIA_MEDIA;12.890619239;A;_Z;_Z
2016;6789;ES61;ESTANCIA_MEDIA;6.653055784;A;_Z;_Z
2016;6790;ES61;ESTANCIA_MEDIA;4.963793854;A;_Z;_Z
2016;6791;ES61;ESTANCIA_MEDIA;2.20126466;A;_Z;_Z
2016;6792;ES61;ESTANCIA_MEDIA;4.275278302;A;_Z;_Z
2017;6793;ES61;ESTANCIA_MEDIA;8.517037301;A;_Z;_Z
2017;6784;ES61;ESTANCIA_MEDIA;5.020055171;A;_Z;_Z
2017;6785;ES61;ESTANCIA_MEDIA;4.425282429;A;_Z;_Z
2017;6786;ES61;ESTANCIA_MEDIA;9.064619405;A;_Z;_Z
2017;6787;ES61;ESTANCIA_MEDIA;10.727411214;A;_Z;_Z
2017;6789;ES61;ESTANCIA_MEDIA;6.419415779;A;_Z;_Z
2017;6790;ES61;ESTANCIA_MEDIA;3.065800781;A;_Z;_Z
2017;6791;ES61;ESTANCIA_MEDIA;3.484957493;A;_Z;_Z
2017;6792;ES61;ESTANCIA_MEDIA;4.814863925;A;_Z;_Z
2018;6793;ES61;ESTANCIA_MEDIA;8.287717311;A;_Z;_Z
2018;6784;ES61;ESTANCIA_MEDIA;4.700059713;A;_Z;_Z
2018;6785;ES61;ESTANCIA_MEDIA;3.645635271;A;_Z;_Z
2018;6786;ES61;ESTANCIA_MEDIA;8.783174228;A;_Z;_Z
2018;6787;ES61;ESTANCIA_MEDIA;11.079311135;A;_Z;_Z
2018;6789;ES61;ESTANCIA_MEDIA;6.32283202;A;_Z;_Z
2018;6790;ES61;ESTANCIA_MEDIA;3.277966965;A;_Z;_Z
2018;6791;ES61;ESTANCIA_MEDIA;2.65554073;A;_Z;_Z
2018;6792;ES61;ESTANCIA_MEDIA;4.47247581;A;_Z;_Z
2019;6793;ES61;ESTANCIA_MEDIA;8.199248489;A;_Z;_Z
2019;6784;ES61;ESTANCIA_MEDIA;4.565297335;A;_Z;_Z
2019;6785;ES61;ESTANCIA_MEDIA;4.694644124;A;_Z;_Z
2019;6786;ES61;ESTANCIA_MEDIA;9.010208243;A;_Z;_Z
2019;6787;ES61;ESTANCIA_MEDIA;13.228938832;A;_Z;_Z
2019;6789;ES61;ESTANCIA_MEDIA;6.664303786;A;_Z;_Z
2019;6790;ES61;ESTANCIA_MEDIA;3.194008297;A;_Z;_Z
2019;6791;ES61;ESTANCIA_MEDIA;1.7642997;A;_Z;_Z
2019;6792;ES61;ESTANCIA_MEDIA;5.519936752;A;_Z;_Z
2020;6793;ES61;ESTANCIA_MEDIA;7.877292242;A;_Z;_Z
2020;6784;ES61;ESTANCIA_MEDIA;4.403279763;A;_Z;_Z
2020;6785;ES61;ESTANCIA_MEDIA;3.09093358;A;_Z;_Z
2020;6786;ES61;ESTANCIA_MEDIA;9.745224437;A;_Z;_Z
2020;6787;ES61;ESTANCIA_MEDIA;17.007382165;A;_Z;_Z
2020;6789;ES61;ESTANCIA_MEDIA;7.030422303;A;_Z;_Z
2020;6790;ES61;ESTANCIA_MEDIA;3.848650787;A;_Z;_Z
2020;6791;ES61;ESTANCIA_MEDIA;2.676256045;A;_Z;_Z
2020;6792;ES61;ESTANCIA_MEDIA;4.001740962;A;_Z;_Z
2021;6793;ES61;ESTANCIA_MEDIA;6.948186352;A;_Z;_Z
2021;6784;ES61;ESTANCIA_MEDIA;4.159390852;A;_Z;_Z
2021;6785;ES61;ESTANCIA_MEDIA;3.140687331;A;_Z;_Z
2021;6786;ES61;ESTANCIA_MEDIA;6.771823325;A;_Z;_Z
2021;6787;ES61;ESTANCIA_MEDIA;15.075666235;A;_Z;_Z
2021;6789;ES61;ESTANCIA_MEDIA;6.216036342;A;_Z;_Z
2021;6790;ES61;ESTANCIA_MEDIA;3.036130357;A;_Z;_Z
2021;6791;ES61;ESTANCIA_MEDIA;2.07715673;A;_Z;_Z
2021;6792;ES61;ESTANCIA_MEDIA;4.296602536;A;_Z;_Z
