TEMPORAL;SEXO;PROCEDENCIA_ECTA;INDICATOR;OBS_VALUE;FREQ;TERRITORIO;TIPO_ALOJAM_ECTA
2004;_T;6779;TURISTAS;7.363158381030413;A;_Z;_Z
2004;M;6782;TURISTAS;52.600056012332566;A;_Z;_Z
2004;M;6775;TURISTAS;13.299869650291917;A;_Z;_Z
2004;M;6776;TURISTAS;18.868296619855702;A;_Z;_Z
2004;M;6778;TURISTAS;16.57305023088976;A;_Z;_Z
2004;M;6779;TURISTAS;3.8588395112951797;A;_Z;_Z
2004;F;6782;TURISTAS;47.39994398766744;A;_Z;_Z
2004;F;6775;TURISTAS;11.062045171176274;A;_Z;_Z
2004;F;6776;TURISTAS;15.922025903683046;A;_Z;_Z
2004;F;6778;TURISTAS;16.911554043072886;A;_Z;_Z
2004;F;6779;TURISTAS;3.5043188697352337;A;_Z;_Z
2005;_T;6782;TURISTAS;100.0;A;_Z;_Z
2005;_T;6775;TURISTAS;27.48284557523076;A;_Z;_Z
2005;_T;6776;TURISTAS;32.54504593227708;A;_Z;_Z
2005;_T;6778;TURISTAS;32.66133587978944;A;_Z;_Z
2005;_T;6779;TURISTAS;7.310772612702729;A;_Z;_Z
2005;M;6782;TURISTAS;52.39435335145759;A;_Z;_Z
2005;M;6775;TURISTAS;14.483595270254582;A;_Z;_Z
2005;M;6776;TURISTAS;17.164800460270662;A;_Z;_Z
2005;M;6778;TURISTAS;17.214032814946613;A;_Z;_Z
2005;M;6779;TURISTAS;3.5319248059857338;A;_Z;_Z
2005;F;6782;TURISTAS;47.60564664854241;A;_Z;_Z
2005;F;6775;TURISTAS;12.999250304976176;A;_Z;_Z
2005;F;6776;TURISTAS;15.380245472006415;A;_Z;_Z
2005;F;6778;TURISTAS;15.447303064842824;A;_Z;_Z
2005;F;6779;TURISTAS;3.7788478067169953;A;_Z;_Z
2006;_T;6782;TURISTAS;100.0;A;_Z;_Z
2006;_T;6775;TURISTAS;31.590536445000012;A;_Z;_Z
2006;_T;6776;TURISTAS;29.778805130272524;A;_Z;_Z
2006;_T;6778;TURISTAS;29.49609463935622;A;_Z;_Z
2006;_T;6779;TURISTAS;9.134563785371249;A;_Z;_Z
2006;M;6782;TURISTAS;52.29409455574307;A;_Z;_Z
2006;M;6775;TURISTAS;16.602067267098228;A;_Z;_Z
