ESTADO_DATO;TERRITORIO;CAT_HOTELES;TEMPORAL;RESITUR;INDICATOR;OBS_VALUE;FREQ;PARQUES_TURISMO
A;ES61;62148;2019;55565;VIAJEROS;840987.308122951;A;
A;ES61;62148;2019;55697;VIAJEROS;470185.193165622;A;
A;ES61;62148;2018;55698;VIAJEROS;1318165.377242135;A;
A;ES61;62148;2018;55565;VIAJEROS;826132.338390382;A;
A;ES61;62148;2018;55697;VIAJEROS;492033.038851753;A;
A;ES61;62148;2017;55698;VIAJEROS;1237964.069497764;A;
A;ES61;62148;2017;55565;VIAJEROS;788400.576476203;A;
A;ES61;62148;2017;55697;VIAJEROS;449563.493021561;A;
A;ES61;62148;2016;55698;VIAJEROS;1178585.030866486;A;
A;ES61;62148;2016;55565;VIAJEROS;751860.944306252;A;
A;ES61;62148;2016;55697;VIAJEROS;426724.086560234;A;
A;ES61;62148;2015;55698;VIAJEROS;1126557.058477724;A;
A;ES61;62148;2015;55565;VIAJEROS;728954.654815025;A;
A;ES61;62148;2015;55697;VIAJEROS;397602.403662699;A;
A;ES61;62148;2014;55698;VIAJEROS;1110306.995346431;A;
A;ES61;62148;2014;55565;VIAJEROS;718522.366861121;A;
A;ES61;62148;2014;55697;VIAJEROS;391784.62848531;A;
A;ES61;62148;2013;55698;VIAJEROS;1149939.9;A;
A;ES61;62148;2013;55565;VIAJEROS;747823.95;A;
A;ES61;62148;2013;55697;VIAJEROS;402115.95;A;
A;ES61;62148;2012;55698;VIAJEROS;1110507.86;A;
A;ES61;62148;2012;55565;VIAJEROS;733676.87;A;
A;ES61;62148;2012;55697;VIAJEROS;376830.99;A;
A;ES61;62148;2011;55698;VIAJEROS;1124804.22;A;
A;ES61;62148;2011;55565;VIAJEROS;748560.3;A;
A;ES61;62148;2011;55697;VIAJEROS;376243.92;A;
A;ES61;62148;2010;55698;VIAJEROS;1053615.89;A;
A;ES61;62148;2010;55565;VIAJEROS;710936.76;A;
A;ES61;62148;2010;55697;VIAJEROS;342679.13;A;
A;ES61;62148;2009;55698;VIAJEROS;1048115.78;A;
A;ES61;62148;2009;55565;VIAJEROS;719864.59;A;
A;ES61;62148;2009;55697;VIAJEROS;328251.19;A;
A;ES61;62148;2008;55698;VIAJEROS;1232765.12;A;
A;ES61;62148;2008;55565;VIAJEROS;835911.87;A;
A;ES61;62148;2008;55697;VIAJEROS;396853.25;A;
A;ES61;62145;2020;55698;VIAJEROS;227912.381071214;A;
A;ES61;62145;2020;55565;VIAJEROS;178183.522446924;A;
A;ES61;62145;2020;55697;VIAJEROS;49728.85862429;A;
A;ES61;62145;2019;55698;VIAJEROS;544159.436969293;A;
A;ES61;62145;2019;55565;VIAJEROS;348125.506503361;A;
A;ES61;62145;2019;55697;VIAJEROS;196033.930465932;A;
A;ES61;62145;2018;55698;VIAJEROS;518666.884562858;A;
A;ES61;62145;2018;55565;VIAJEROS;327397.022752145;A;
A;ES61;62145;2018;55697;VIAJEROS;191269.861810713;A;
A;ES61;62145;2017;55698;VIAJEROS;491760.167758401;A;
A;ES61;62145;2017;55565;VIAJEROS;307866.347344057;A;
A;ES61;62145;2017;55697;VIAJEROS;183893.820414344;A;
A;ES61;62145;2016;55698;VIAJEROS;477468.594939451;A;
A;ES61;62145;2016;55565;VIAJEROS;282187.230533506;A;
A;ES61;62145;2016;55697;VIAJEROS;195281.364405945;A;
A;ES61;62145;2015;55698;VIAJEROS;451831.914654851;A;
A;ES61;62145;2015;55565;VIAJEROS;278890.358153785;A;
A;ES61;62145;2015;55697;VIAJEROS;172941.556501066;A;
