OBS_STATUS;PARQUES_TURISMO;RESITUR;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
A;55125;55698;2020;VIAJEROS;20356.677473994;A
A;55125;55698;2019;VIAJEROS;35473.824742264;A
A;55125;55698;2018;VIAJEROS;32777.000000087;A
A;55125;55698;2017;VIAJEROS;32605.999999976;A
A;55125;55698;2016;VIAJEROS;28762.000000039;A
A;55125;55698;2015;VIAJEROS;29426.999999954;A
A;55125;55698;2014;VIAJEROS;27853.000000063;A
A;55125;55698;2013;VIAJEROS;26198.999999814;A
A;55125;55698;2012;VIAJEROS;25486.000000078;A
A;55125;55698;2011;VIAJEROS;27892.952198897;A
A;55125;55698;2010;VIAJEROS;27933.9999999;A
A;55125;55698;2009;VIAJEROS;29295.000000078;A
A;55125;55698;2008;VIAJEROS;31644.999999995;A
A;55125;55698;2007;VIAJEROS;34167.999999982;A
A;55125;55565;2020;VIAJEROS;14441.902142055;A
A;55125;55565;2019;VIAJEROS;17410.271777904;A
A;55125;55565;2018;VIAJEROS;15121.379483205;A
A;55125;55565;2017;VIAJEROS;15385.011474987;A
A;55125;55565;2016;VIAJEROS;12427.587679778;A
A;55125;55565;2015;VIAJEROS;12920.676592319;A
A;55125;55565;2014;VIAJEROS;13664.503483779;A
A;55125;55565;2013;VIAJEROS;11463.510816213;A
A;55125;55565;2012;VIAJEROS;10847.253531567;A
A;55125;55565;2011;VIAJEROS;12601.480263842;A
A;55125;55565;2010;VIAJEROS;12138.994852451;A
A;55125;55565;2009;VIAJEROS;12600.41114808;A
A;55125;55565;2008;VIAJEROS;12984.949660507;A
A;55125;55565;2007;VIAJEROS;14822.871459092;A
A;55125;55697;2020;VIAJEROS;5914.775331939;A
A;55125;55697;2019;VIAJEROS;18063.55296436;A
A;55125;55697;2018;VIAJEROS;17655.620516882;A
A;55125;55697;2017;VIAJEROS;17220.988524989;A
A;55125;55697;2016;VIAJEROS;16334.412320261;A
A;55125;55697;2015;VIAJEROS;16506.323407635;A
A;55125;55697;2014;VIAJEROS;14188.496516284;A
A;55125;55697;2013;VIAJEROS;14735.489183601;A
A;55125;55697;2012;VIAJEROS;14638.746468511;A
A;55125;55697;2011;VIAJEROS;15291.471935055;A
A;55125;55697;2010;VIAJEROS;15795.005147449;A
A;55125;55697;2009;VIAJEROS;16694.588851998;A
A;55125;55697;2008;VIAJEROS;18660.050339488;A
A;55125;55697;2007;VIAJEROS;19345.12854089;A
A;55125;55577;2020;VIAJEROS;1672.388997468;A
A;55125;55577;2019;VIAJEROS;4087.71000248;A
A;55125;55577;2018;VIAJEROS;3935.681363079;A
A;55125;55577;2017;VIAJEROS;3669.6055646;A
A;55125;55577;2016;VIAJEROS;3508.3160931;A
A;55125;55577;2015;VIAJEROS;2942.581606444;A
A;55125;55577;2014;VIAJEROS;2293.618970487;A
A;55125;55577;2013;VIAJEROS;2578.19574799;A
A;55125;55577;2012;VIAJEROS;2429.93532475;A
A;55125;55577;2011;VIAJEROS;2120.834993023;A
A;55125;55577;2010;VIAJEROS;2617.17931332;A
A;55125;55577;2009;VIAJEROS;2610.31930496;A
A;55125;55577;2008;VIAJEROS;2852.239170356;A
A;55125;55577;2007;VIAJEROS;2828.227476018;A
A;55125;55568;2020;VIAJEROS;1239.305298921;A
A;55125;55568;2019;VIAJEROS;4096.896053073;A
A;55125;55568;2018;VIAJEROS;4569.882275598;A
A;55125;55568;2017;VIAJEROS;4998.6203342;A
A;55125;55568;2016;VIAJEROS;4379.3777351;A
A;55125;55568;2015;VIAJEROS;4894.373831066;A
A;55125;55568;2014;VIAJEROS;3531.319154784;A
A;55125;55568;2013;VIAJEROS;3944.3883654;A
A;55125;55568;2012;VIAJEROS;4211.148268543;A
A;55125;55568;2011;VIAJEROS;4639.295301866;A
A;55125;55568;2010;VIAJEROS;4749.409657222;A
A;55125;55568;2009;VIAJEROS;5210.45951283;A
A;55125;55568;2008;VIAJEROS;5036.823720767;A
A;55125;55568;2007;VIAJEROS;5188.813995776;A
A;55125;55571;2020;VIAJEROS;707.499501277;A
A;55125;55571;2019;VIAJEROS;2229.886657009;A
A;55125;55571;2018;VIAJEROS;1979.277414311;A
A;55125;55571;2017;VIAJEROS;2150.79784241;A
A;55125;55571;2016;VIAJEROS;2666.27957101;A
A;55125;55571;2015;VIAJEROS;2821.684938038;A
A;55125;55571;2014;VIAJEROS;2149.1633462;A
A;55125;55571;2013;VIAJEROS;2613.470489046;A
A;55125;55571;2012;VIAJEROS;2582.9929516;A
A;55125;55571;2011;VIAJEROS;2843.676709311;A
A;55125;55571;2010;VIAJEROS;2947.9157374;A
A;55125;55571;2009;VIAJEROS;3261.546211561;A
A;55125;55571;2008;VIAJEROS;3662.758135953;A
A;55125;55571;2007;VIAJEROS;3899.41884747;A
A;55125;55574;2020;VIAJEROS;927.966757584;A
A;55125;55574;2019;VIAJEROS;2215.91361477;A
A;55125;55574;2018;VIAJEROS;2110.398683997;A
A;55125;55574;2017;VIAJEROS;2531.0183519;A
A;55125;55574;2016;VIAJEROS;2649.2401408;A
A;55125;55574;2015;VIAJEROS;2255.771548431;A
A;55125;55574;2014;VIAJEROS;2078.587249347;A
A;55125;55574;2013;VIAJEROS;1933.75094397;A
A;55125;55574;2012;VIAJEROS;1774.444969016;A
A;55125;55574;2011;VIAJEROS;1040.61303753;A
A;55125;55574;2010;VIAJEROS;1510.130617317;A
A;55125;55574;2009;VIAJEROS;1861.52778455;A
A;55125;55574;2008;VIAJEROS;2478.5894026;A
A;55125;55574;2007;VIAJEROS;2390.877410791;A
A;55125;55696;2020;VIAJEROS;1367.614776689;A
A;55125;55696;2019;VIAJEROS;5433.146637028;A
A;55125;55696;2018;VIAJEROS;5060.380779897;A
A;55125;55696;2017;VIAJEROS;3870.946431879;A
A;55125;55696;2016;VIAJEROS;3131.198780251;A
A;55125;55696;2015;VIAJEROS;3591.911483656;A
A;55125;55696;2014;VIAJEROS;4135.807795466;A
A;55125;55696;2013;VIAJEROS;3665.683637195;A
A;55125;55696;2012;VIAJEROS;3640.224954602;A
A;55125;55696;2011;VIAJEROS;4647.051893325;A
A;55125;55696;2010;VIAJEROS;3970.36982219;A
A;55125;55696;2009;VIAJEROS;3750.736038097;A
A;55125;55696;2008;VIAJEROS;4629.639909812;A
A;55125;55696;2007;VIAJEROS;5037.790810835;A
A;55126;55698;2020;VIAJEROS;10154.999999996;A
A;55126;55698;2019;VIAJEROS;27917.370421564;A
A;55126;55698;2018;VIAJEROS;29482.000000027;A
A;55126;55698;2017;VIAJEROS;27654.99999986;A
A;55126;55698;2016;VIAJEROS;21905.00000002;A
A;55126;55698;2015;VIAJEROS;18914.000000025;A
A;55126;55698;2010;VIAJEROS;22173.999999925;A
A;55126;55565;2020;VIAJEROS;6737.58174487;A
A;55126;55565;2019;VIAJEROS;15989.214700186;A
A;55126;55565;2018;VIAJEROS;16968.215718195;A
A;55126;55565;2017;VIAJEROS;16054.070691679;A
A;55126;55565;2016;VIAJEROS;13963.967760686;A
A;55126;55565;2015;VIAJEROS;12620.46542997;A
A;55126;55565;2010;VIAJEROS;16503.213126032;A
A;55126;55697;2020;VIAJEROS;3417.418255126;A
A;55126;55697;2019;VIAJEROS;11928.155721378;A
A;55126;55697;2018;VIAJEROS;12513.784281832;A
A;55126;55697;2017;VIAJEROS;11600.929308181;A
A;55126;55697;2016;VIAJEROS;7941.032239334;A
A;55126;55697;2015;VIAJEROS;6293.534570055;A
A;55126;55697;2010;VIAJEROS;5670.786873893;A
