OBS_STATUS;PARQUES_TURISMO;RESITUR;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
A;55125;55564;2020;VIAJEROS;14441.902142055;A
A;55125;55564;2019;VIAJEROS;17410.271777904;A
A;55125;55564;2018;VIAJEROS;15121.379483205;A
A;55125;55564;2017;VIAJEROS;15385.011474987;A
A;55125;55564;2016;VIAJEROS;12427.587679778;A
A;55125;55564;2015;VIAJEROS;12920.676592319;A
A;55125;55564;2014;VIAJEROS;13664.503483779;A
A;55125;55564;2013;VIAJEROS;11463.510816213;A
A;55125;55564;2012;VIAJEROS;10847.253531567;A
A;55125;55564;2011;VIAJEROS;12601.480263842;A
A;55125;55564;2010;VIAJEROS;12138.994852451;A
A;55125;55564;2009;VIAJEROS;12600.41114808;A
A;55125;55564;2008;VIAJEROS;12984.949660507;A
A;55125;55564;2007;VIAJEROS;14822.871459092;A
A;55125;55543;2020;VIAJEROS;11262.032354437;A
A;55125;55543;2019;VIAJEROS;11349.303989802;A
A;55125;55543;2018;VIAJEROS;10367.5276149;A
A;55125;55543;2017;VIAJEROS;9451.8218121;A
A;55125;55543;2016;VIAJEROS;8285.1404461;A
A;55125;55543;2015;VIAJEROS;8617.87902929;A
A;55125;55543;2014;VIAJEROS;9519.37192548;A
A;55125;55543;2013;VIAJEROS;7409.56224396;A
A;55125;55543;2012;VIAJEROS;6581.80714217;A
A;55125;55543;2011;VIAJEROS;6765.70887136;A
A;55125;55543;2010;VIAJEROS;6866.33155243;A
A;55125;55543;2009;VIAJEROS;6908.57579389;A
A;55125;55543;2008;VIAJEROS;6693.25307576;A
A;55125;55543;2007;VIAJEROS;8865.4723;A
A;55125;55563;2020;VIAJEROS;3179.869787618;A
A;55125;55563;2019;VIAJEROS;6060.967788102;A
A;55125;55563;2018;VIAJEROS;4753.851868305;A
A;55125;55563;2017;VIAJEROS;5933.189662887;A
A;55125;55563;2016;VIAJEROS;4142.447233678;A
A;55125;55563;2015;VIAJEROS;4302.797563029;A
A;55125;55563;2014;VIAJEROS;4145.131558299;A
A;55125;55563;2013;VIAJEROS;4053.948572253;A
A;55125;55563;2012;VIAJEROS;4265.446389397;A
A;55125;55563;2011;VIAJEROS;5835.771392482;A
A;55125;55563;2010;VIAJEROS;5272.663300021;A
A;55125;55563;2009;VIAJEROS;5691.83535419;A
A;55125;55563;2008;VIAJEROS;6291.696584747;A
A;55125;55563;2007;VIAJEROS;5957.399159092;A
A;55125;55545;2017;VIAJEROS;156.140109397;A
A;55125;55545;2016;VIAJEROS;103.210148407;A
A;55125;55545;2015;VIAJEROS;153.164186178;A
A;55125;55545;2012;VIAJEROS;107.878933008;A
A;55125;55545;2011;VIAJEROS;152.658042005;A
A;55125;55545;2009;VIAJEROS;301.01354932;A
A;55125;55545;2007;VIAJEROS;202.432951436;A
A;55125;55547;2011;VIAJEROS;102.280538648;A
A;55125;55549;2019;VIAJEROS;316.978444095;A
A;55125;55549;2018;VIAJEROS;213.194714709;A
A;55125;55549;2017;VIAJEROS;171.711723944;A
A;55125;55549;2016;VIAJEROS;121.641039746;A
A;55125;55549;2015;VIAJEROS;113.443590056;A
A;55125;55549;2014;VIAJEROS;210.76369804;A
A;55125;55549;2013;VIAJEROS;114.669703322;A
A;55125;55549;2012;VIAJEROS;116.144424404;A
A;55125;55549;2011;VIAJEROS;122.789707922;A
A;55125;55549;2010;VIAJEROS;101.239691719;A
A;55125;55549;2009;VIAJEROS;322.783738309;A
