OBS_STATUS;PARQUES_TURISMO;RESITUR;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
A;55537;55564;2020;VIAJEROS;59364.035761727;A
A;55537;55564;2019;VIAJEROS;71792.554320063;A
A;55537;55564;2018;VIAJEROS;58667.514217415;A
A;55537;55564;2017;VIAJEROS;61990.661336815;A
A;55537;55564;2016;VIAJEROS;59805.410550086;A
A;55537;55564;2015;VIAJEROS;55309.19949886;A
A;55537;55564;2014;VIAJEROS;50784.567919058;A
A;55537;55564;2013;VIAJEROS;49119.604851717;A
A;55537;55564;2012;VIAJEROS;48257.827266842;A
A;55537;55564;2011;VIAJEROS;48122.801302092;A
A;55537;55564;2010;VIAJEROS;45105.349892501;A
A;55537;55564;2009;VIAJEROS;44600.82934628;A
A;55537;55564;2008;VIAJEROS;51918.592718521;A
A;55537;55564;2007;VIAJEROS;54362.128518684;A
A;55537;55543;2020;VIAJEROS;32861.516708673;A
A;55537;55543;2019;VIAJEROS;39666.403469437;A
A;55537;55543;2018;VIAJEROS;33273.926983;A
A;55537;55543;2017;VIAJEROS;34079.5741769;A
A;55537;55543;2016;VIAJEROS;35147.7588659;A
A;55537;55543;2015;VIAJEROS;30642.6895167;A
A;55537;55543;2014;VIAJEROS;26596.0035548;A
A;55537;55543;2013;VIAJEROS;25124.03670103;A
A;55537;55543;2012;VIAJEROS;23578.68588893;A
A;55537;55543;2011;VIAJEROS;22661.16562723;A
A;55537;55543;2010;VIAJEROS;22862.30553514;A
A;55537;55543;2009;VIAJEROS;21494.93461597;A
A;55537;55543;2008;VIAJEROS;24737.45725501;A
A;55537;55543;2007;VIAJEROS;26485.79940392;A
A;55537;55563;2020;VIAJEROS;26502.519053054;A
A;55537;55563;2019;VIAJEROS;32126.150850626;A
A;55537;55563;2018;VIAJEROS;25393.587234415;A
A;55537;55563;2017;VIAJEROS;27911.087159915;A
A;55537;55563;2016;VIAJEROS;24657.651684186;A
A;55537;55563;2015;VIAJEROS;24666.50998216;A
A;55537;55563;2014;VIAJEROS;24188.564364258;A
A;55537;55563;2013;VIAJEROS;23995.568150687;A
A;55537;55563;2012;VIAJEROS;24679.141377912;A
A;55537;55563;2011;VIAJEROS;25461.635674862;A
A;55537;55563;2010;VIAJEROS;22243.044357361;A
A;55537;55563;2009;VIAJEROS;23105.89473031;A
A;55537;55563;2008;VIAJEROS;27181.135463511;A
A;55537;55563;2007;VIAJEROS;27876.329114764;A
A;55537;55545;2020;VIAJEROS;609.407641517;A
A;55537;55545;2019;VIAJEROS;478.586713322;A
A;55537;55545;2018;VIAJEROS;452.61805717;A
A;55537;55545;2017;VIAJEROS;405.885616903;A
A;55537;55545;2016;VIAJEROS;226.245281518;A
A;55537;55545;2015;VIAJEROS;286.619879576;A
A;55537;55545;2014;VIAJEROS;194.796529173;A
A;55537;55545;2013;VIAJEROS;309.9129497;A
A;55537;55545;2012;VIAJEROS;338.75000911;A
A;55537;55545;2011;VIAJEROS;208.02254324;A
A;55537;55545;2010;VIAJEROS;209.560224583;A
