D_TEMPORAL_0;D_TERRITORIO_0;D_SEXO_0;D_SEXOC2_0;INDICATOR;OBS_VALUE;FREQ
2018;ES61;01;01;;72.9398;A
2018;ES61;01;06;;16797.5122;A
2018;ES61;06;00;;64.376;A
2018;ES61;06;06;;64.376;A
2018;ES611;00;00;;1456.1395;A
2018;ES611;00;01;;4.4904;A
2018;ES611;00;06;;1451.6491;A
2018;ES611;01;00;;1453.8943;A
2018;ES611;01;01;;4.4904;A
2018;ES611;01;06;;1449.4039;A
2018;ES611;06;00;;2.2452;A
2018;ES611;06;06;;2.2452;A
2018;ES612;00;00;;2490.3415;A
2018;ES612;00;01;;14.2172;A
2018;ES612;00;06;;2476.1243;A
2018;ES612;01;00;;2481.0548;A
2018;ES612;01;01;;14.2172;A
2018;ES612;01;06;;2466.8376;A
2018;ES612;06;00;;9.2867;A
2018;ES612;06;06;;9.2867;A
2018;ES613;00;00;;1405.7198;A
2018;ES613;00;01;;3.0986;A
2018;ES613;00;06;;1402.6212;A
2018;ES613;01;00;;1401.7838;A
2018;ES613;01;01;;3.0986;A
2018;ES613;01;06;;1398.6852;A
2018;ES613;06;00;;3.936;A
2018;ES613;06;06;;3.936;A
2018;ES614;00;00;;1684.5826;A
2018;ES614;00;01;;9.7507;A
2018;ES614;00;06;;1674.8319;A
2018;ES614;01;00;;1681.8447;A
2018;ES614;01;01;;9.7507;A
2018;ES614;01;06;;1672.094;A
2018;ES614;06;00;;2.7379;A
2018;ES614;06;06;;2.7379;A
2018;ES615;00;00;;986.218;A
2018;ES615;00;06;;986.218;A
2018;ES615;01;00;;983.16;A
2018;ES615;01;06;;983.16;A
2018;ES615;06;00;;3.058;A
2018;ES615;06;06;;3.058;A
2018;ES616;00;00;;1108.2069;A
2018;ES616;00;01;;;A
2018;ES616;00;06;;1108.2069;A
2018;ES616;01;00;;1108.2069;A
2018;ES616;01;01;;;A
2018;ES616;01;06;;1108.2069;A
2018;ES617;00;00;;3718.358;A
2018;ES617;00;01;;16.1591;A
2018;ES617;00;06;;3702.1989;A
2018;ES617;01;00;;3699.1392;A
2018;ES617;01;01;;16.1591;A
2018;ES617;01;06;;3682.9801;A
2018;ES617;06;00;;19.2188;A
2018;ES617;06;06;;19.2188;A
2018;ES618;00;00;;4085.2617;A
2018;ES618;00;01;;25.2238;A
2018;ES618;00;06;;4060.0379;A
2018;ES618;01;00;;4061.3683;A
2018;ES618;01;01;;25.2238;A
2018;ES618;01;06;;4036.1445;A
2018;ES618;06;00;;23.8934;A
2018;ES618;06;06;;23.8934;A
2017;ES61;00;00;;17436.6101;A
2017;ES61;00;01;;84.466;A
2017;ES61;00;06;;17352.1441;A
2017;ES61;01;00;;17360.3961;A
2017;ES61;01;01;;84.466;A
2017;ES61;01;06;;17275.9301;A
2017;ES61;06;00;;76.214;A
2017;ES61;06;06;;76.214;A
2017;ES611;00;00;;1454.7143;A
2017;ES611;00;01;;3.5677;A
2017;ES611;00;06;;1451.1466;A
2017;ES611;01;00;;1449.6254;A
2017;ES611;01;01;;3.5677;A
2017;ES611;01;06;;1446.0577;A
2017;ES611;06;00;;5.0889;A
2017;ES611;06;06;;5.0889;A
2017;ES612;00;00;;2406.3281;A
2017;ES612;00;01;;12.8913;A
2017;ES612;00;06;;2393.4368;A
2017;ES612;01;00;;2381.5942;A
2017;ES612;01;01;;12.8913;A
2017;ES612;01;06;;2368.7029;A
2017;ES612;06;00;;24.7339;A
2017;ES612;06;06;;24.7339;A
2017;ES613;00;00;;1426.032;A
2017;ES613;00;01;;6.6085;A
2017;ES613;00;06;;1419.4235;A
2017;ES613;01;00;;1411.8085;A
2017;ES613;01;01;;6.6085;A
2017;ES613;01;06;;1405.2;A
2017;ES613;06;00;;14.2235;A
2017;ES613;06;06;;14.2235;A
2017;ES614;00;00;;1990.6668;A
2017;ES614;00;01;;16.8724;A
2017;ES614;00;06;;1973.7944;A
2017;ES614;01;00;;1986.6364;A
2017;ES614;01;01;;16.8724;A
2017;ES614;01;06;;1969.764;A
2017;ES614;06;00;;4.0304;A
2017;ES614;06;06;;4.0304;A
2017;ES615;00;00;;1060.4795;A
2017;ES615;00;01;;6.5155;A
2017;ES615;00;06;;1053.964;A
2017;ES615;01;00;;1058.4987;A
2017;ES615;01;01;;6.5155;A
2017;ES615;01;06;;1051.9832;A
2017;ES615;06;00;;1.9808;A
2017;ES615;06;06;;1.9808;A
2017;ES616;00;00;;1127.8821;A
2017;ES616;00;06;;1127.8821;A
2017;ES616;01;00;;1127.8821;A
2017;ES616;01;06;;1127.8821;A
2017;ES617;00;00;;3652.1307;A
2017;ES617;00;01;;21.7821;A
2017;ES617;00;06;;3630.3486;A
2017;ES617;01;00;;3636.7047;A
2017;ES617;01;01;;21.7821;A
2017;ES617;01;06;;3614.9226;A
2017;ES617;06;00;;15.426;A
2017;ES617;06;06;;15.426;A
2017;ES618;00;00;;4318.3766;A
2017;ES618;00;01;;16.2285;A
2017;ES618;00;06;;4302.1481;A
2017;ES618;01;00;;4307.6461;A
2017;ES618;01;01;;16.2285;A
2017;ES618;01;06;;4291.4176;A
2017;ES618;06;00;;10.7305;A
2017;ES618;06;06;;10.7305;A
2016;ES61;00;00;;16968.2676;A
2016;ES61;00;01;;118.7851;A
2016;ES61;00;06;;16849.4825;A
2016;ES61;01;00;;16897.6259;A
2016;ES61;01;01;;118.7851;A
2016;ES61;01;06;;16778.8408;A
2016;ES61;06;00;;70.6417;A
2016;ES61;06;06;;70.6417;A
2016;ES611;00;00;;1425.5804;A
2016;ES611;00;01;;1.3299;A
2016;ES611;00;06;;1424.2505;A
2016;ES611;01;00;;1416.2608;A
2016;ES611;01;01;;1.3299;A
2016;ES611;01;06;;1414.9309;A
2016;ES611;06;00;;9.3196;A
2016;ES611;06;06;;9.3196;A
2016;ES612;00;00;;2275.825;A
2016;ES612;00;01;;12.4596;A
2016;ES612;00;06;;2263.3654;A
2016;ES612;01;00;;2270.0952;A
2016;ES612;01;01;;12.4596;A
2016;ES612;01;06;;2257.6356;A
2016;ES612;06;00;;5.7298;A
2016;ES612;06;06;;5.7298;A
2016;ES613;00;00;;1473.292;A
2016;ES613;00;01;;14.6098;A
2016;ES613;00;06;;1458.6822;A
2016;ES613;01;00;;1466.7675;A
2016;ES613;01;01;;14.6098;A
2016;ES613;01;06;;1452.1577;A
2016;ES613;06;00;;6.5245;A
2016;ES613;06;06;;6.5245;A
2016;ES614;00;00;;1937.4432;A
2016;ES614;00;01;;16.3728;A
2016;ES614;00;06;;1921.0704;A
2016;ES614;01;00;;1929.9856;A
2016;ES614;01;01;;16.3728;A
2016;ES614;01;06;;1913.6128;A
2016;ES614;06;00;;7.4576;A
2016;ES614;06;06;;7.4576;A
2016;ES615;00;00;;1053.5608;A
2016;ES615;00;01;;6.1876;A
2016;ES615;00;06;;1047.3732;A
2016;ES615;01;00;;1047.3732;A
2016;ES615;01;01;;6.1876;A
2016;ES615;01;06;;1041.1856;A
2016;ES615;06;00;;6.1876;A
2016;ES615;06;06;;6.1876;A
2016;ES616;00;00;;1120.7404;A
2016;ES616;00;01;;6.9792;A
2016;ES616;00;06;;1113.7612;A
2016;ES616;01;00;;1119.2456;A
2016;ES616;01;01;;6.9792;A
2016;ES616;01;06;;1112.2664;A
2016;ES616;06;00;;1.4948;A
2016;ES616;06;06;;1.4948;A
2016;ES617;00;00;;3657.8326;A
2016;ES617;00;01;;35.5078;A
2016;ES617;00;06;;3622.3248;A
2016;ES617;01;00;;3642.8278;A
2016;ES617;01;01;;35.5078;A
2016;ES617;01;06;;3607.32;A
2016;ES617;06;00;;15.0048;A
2016;ES617;06;06;;15.0048;A
2016;ES618;00;00;;4023.9932;A
2016;ES618;00;01;;25.3384;A
2016;ES618;00;06;;3998.6548;A
2016;ES618;01;00;;4005.0702;A
2016;ES618;01;01;;25.3384;A
2016;ES618;01;06;;3979.7318;A
2016;ES618;06;00;;18.923;A
2016;ES618;06;06;;18.923;A
2015;ES61;00;00;;17029.5907;A
2015;ES61;00;01;;55.0451;A
2015;ES61;00;06;;16974.5456;A
2015;ES61;01;00;;16967.1442;A
2015;ES61;01;01;;55.0451;A
2015;ES61;01;06;;16912.0991;A
2015;ES61;06;00;;62.4465;A
2015;ES61;06;06;;62.4465;A
2015;ES611;00;00;;1398.5163;A
2015;ES611;00;01;;3.1572;A
2015;ES611;00;06;;1395.3591;A
2015;ES611;01;00;;1395.3591;A
2015;ES611;01;01;;3.1572;A
2015;ES611;01;06;;1392.2019;A
2015;ES611;06;00;;3.1572;A
2015;ES611;06;06;;3.1572;A
2015;ES612;00;00;;2355.5567;A
2015;ES612;00;01;;9.5628;A
2015;ES612;00;06;;2345.9939;A
2015;ES612;01;00;;2343.5907;A
2015;ES612;01;01;;9.5628;A
2015;ES612;01;06;;2334.0279;A
2015;ES612;06;00;;11.966;A
2015;ES612;06;06;;11.966;A
2015;ES613;00;00;;1621.987;A
2015;ES613;00;01;;1.4895;A
2015;ES613;00;06;;1620.4975;A
2015;ES613;01;00;;1619.008;A
2015;ES613;01;01;;1.4895;A
2015;ES613;01;06;;1617.5185;A
2015;ES613;06;00;;2.979;A
2015;ES613;06;06;;2.979;A
2015;ES614;00;00;;1864.9266;A
2015;ES614;00;01;;1.719;A
2015;ES614;00;06;;1863.2076;A
2015;ES614;01;00;;1856.3316;A
2015;ES614;01;01;;1.719;A
2015;ES614;01;06;;1854.6126;A
2015;ES614;06;00;;8.595;A
2015;ES614;06;06;;8.595;A
2015;ES615;00;00;;1022.9657;A
2015;ES615;00;01;;6.7532;A
2015;ES615;00;06;;1016.2125;A
2015;ES615;01;00;;1018.508;A
2015;ES615;01;01;;6.7532;A
2015;ES615;01;06;;1011.7548;A
2015;ES615;06;00;;4.4577;A
2015;ES615;06;06;;4.4577;A
2015;ES616;00;00;;1197.5493;A
2015;ES616;00;01;;3.0382;A
2015;ES616;00;06;;1194.5111;A
2015;ES616;01;00;;1196.0302;A
2015;ES616;01;01;;3.0382;A
2015;ES616;01;06;;1192.992;A
2015;ES616;06;00;;1.5191;A
2015;ES616;06;06;;1.5191;A
2015;ES617;00;00;;3560.4711;A
2015;ES617;00;01;;18.042;A
2015;ES617;00;06;;3542.4291;A
2015;ES617;01;00;;3540.2172;A
2015;ES617;01;01;;18.042;A
2015;ES617;01;06;;3522.1752;A
2015;ES617;06;00;;20.2539;A
2015;ES617;06;06;;20.2539;A
2015;ES618;00;00;;4007.618;A
2015;ES618;00;01;;11.2832;A
2015;ES618;00;06;;3996.3348;A
2015;ES618;01;00;;3998.0994;A
2015;ES618;01;01;;11.2832;A
2015;ES618;01;06;;3986.8162;A
2015;ES618;06;00;;9.5186;A
2015;ES618;06;06;;9.5186;A
2014;ES61;00;00;;17376.98787;A
2014;ES61;00;01;;67.64096;A
2014;ES61;00;06;;17309.34691;A
2014;ES61;01;00;;17334.61457;A
2014;ES61;01;01;;67.64096;A
2014;ES61;01;06;;17266.97361;A
2014;ES61;06;00;;42.3733;A
2014;ES61;06;06;;42.3733;A
2014;ES611;00;00;;1315.503;A
2014;ES611;00;01;;2.826;A
2014;ES611;00;06;;1312.677;A
2014;ES611;01;00;;1311.264;A
2014;ES611;01;01;;2.826;A
2014;ES611;01;06;;1308.438;A
2014;ES611;06;00;;4.239;A
2014;ES611;06;06;;4.239;A
2014;ES612;00;00;;2485.68082;A
2014;ES612;00;01;;7.51415;A
2014;ES612;00;06;;2478.16667;A
2014;ES612;01;00;;2478.16667;A
2014;ES612;01;01;;7.51415;A
2014;ES612;01;06;;2470.65252;A
2014;ES612;06;00;;7.51415;A
2014;ES612;06;06;;7.51415;A
2014;ES613;00;00;;1712.10316;A
2014;ES613;00;01;;3.33094;A
2014;ES613;00;06;;1708.77222;A
2014;ES613;01;00;;1708.77222;A
2014;ES613;01;01;;3.33094;A
2014;ES613;01;06;;1705.44128;A
2014;ES613;06;00;;3.33094;A
2014;ES613;06;06;;3.33094;A
2014;ES614;00;00;;1848.68385;A
2014;ES614;00;01;;13.67145;A
2014;ES614;00;06;;1835.0124;A
2014;ES614;01;00;;1845.64575;A
2014;ES614;01;01;;13.67145;A
2014;ES614;01;06;;1831.9743;A
2014;ES614;06;00;;3.0381;A
2014;ES614;06;06;;3.0381;A
2014;ES615;00;00;;1140.17566;A
2014;ES615;00;01;;4.24383;A
2014;ES615;00;06;;1135.93183;A
2014;ES615;01;00;;1137.34644;A
2014;ES615;01;01;;4.24383;A
2014;ES615;01;06;;1133.10261;A
2014;ES615;06;00;;2.82922;A
2014;ES615;06;06;;2.82922;A
2014;ES616;00;00;;1180.1112;A
2014;ES616;00;06;;1180.1112;A
2014;ES616;01;00;;1178.6434;A
2014;ES616;01;06;;1178.6434;A
2014;ES616;06;00;;1.4678;A
2014;ES616;06;06;;1.4678;A
2014;ES617;00;00;;3567.8708;A
2014;ES617;00;01;;19.3206;A
2014;ES617;00;06;;3548.5502;A
2014;ES617;01;00;;3564.6507;A
2014;ES617;01;01;;19.3206;A
2014;ES617;01;06;;3545.3301;A
2014;ES617;06;00;;3.2201;A
2014;ES617;06;06;;3.2201;A
2014;ES618;00;00;;4126.85938;A
2014;ES618;00;01;;16.73399;A
2014;ES618;00;06;;4110.12539;A
2014;ES618;01;00;;4110.12539;A
2014;ES618;01;01;;16.73399;A
2014;ES618;01;06;;4093.3914;A
2014;ES618;06;00;;16.73399;A
2014;ES618;06;06;;16.73399;A
2013;ES61;00;00;;16473.17478;A
2013;ES61;00;01;;32.43898;A
2013;ES61;00;06;;16440.7358;A
2013;ES61;01;00;;16440.72125;A
2013;ES61;01;01;;32.43898;A
2013;ES61;01;06;;16408.28227;A
2013;ES61;06;00;;32.45353;A
2013;ES61;06;06;;32.45353;A
2013;ES611;00;00;;1267.4696;A
2013;ES611;00;01;;3.2836;A
2013;ES611;00;06;;1264.186;A
2013;ES611;01;00;;1265.8278;A
2013;ES611;01;01;;3.2836;A
2013;ES611;01;06;;1262.5442;A
2013;ES611;06;00;;1.6418;A
2013;ES611;06;06;;1.6418;A
2013;ES612;00;00;;2358.7305;A
2013;ES612;00;01;;5.8602;A
2013;ES612;00;06;;2352.8703;A
2013;ES612;01;00;;2354.33535;A
2013;ES612;01;01;;5.8602;A
2013;ES612;01;06;;2348.47515;A
2013;ES612;06;00;;4.39515;A
2013;ES612;06;06;;4.39515;A
2013;ES613;00;00;;1452.76866;A
2013;ES613;00;01;;2.71292;A
2013;ES613;00;06;;1450.05574;A
2013;ES613;01;00;;1451.4122;A
2013;ES613;01;01;;2.71292;A
2013;ES613;01;06;;1448.69928;A
2013;ES613;06;00;;1.35646;A
2013;ES613;06;06;;1.35646;A
2013;ES614;00;00;;1822.15704;A
2013;ES614;00;01;;5.45556;A
2013;ES614;00;06;;1816.70148;A
2013;ES614;01;00;;1819.42926;A
2013;ES614;01;01;;5.45556;A
2013;ES614;01;06;;1813.9737;A
2013;ES614;06;00;;2.72778;A
2013;ES614;06;06;;2.72778;A
2013;ES615;00;00;;995.33511;A
2013;ES615;00;01;;1.43627;A
2013;ES615;00;06;;993.89884;A
2013;ES615;01;00;;992.46257;A
2013;ES615;01;01;;1.43627;A
2013;ES615;01;06;;991.0263;A
2013;ES615;06;00;;2.87254;A
2013;ES615;06;06;;2.87254;A
2013;ES616;00;00;;1155.71547;A
2013;ES616;00;01;;1.41113;A
2013;ES616;00;06;;1154.30434;A
2013;ES616;01;00;;1155.71547;A
2013;ES616;01;01;;1.41113;A
2013;ES616;01;06;;1154.30434;A
2013;ES617;00;00;;3581.6334;A
2013;ES617;00;01;;4.3083;A
2013;ES617;00;06;;3577.3251;A
2013;ES617;01;00;;3570.1446;A
2013;ES617;01;01;;4.3083;A
2013;ES617;01;06;;3565.8363;A
2013;ES617;06;00;;11.4888;A
2013;ES617;06;06;;11.4888;A
2013;ES618;00;00;;3839.365;A
2013;ES618;00;01;;7.971;A
2013;ES618;00;06;;3831.394;A
2013;ES618;01;00;;3831.394;A
2013;ES618;01;01;;7.971;A
2013;ES618;01;06;;3823.423;A
2013;ES618;06;00;;7.971;A
2013;ES618;06;06;;7.971;A
2012;ES61;00;00;;19100.05171;A
2012;ES61;00;01;;40.0;A
2012;ES61;00;06;;19060.05171;A
2012;ES61;01;00;;19084.05171;A
2012;ES61;01;01;;40.0;A
2012;ES61;01;06;;19044.05171;A
2012;ES61;06;00;;16.0;A
2012;ES61;06;06;;16.0;A
2012;ES611;00;00;;1673.28115;A
2012;ES611;00;01;;2.0;A
2012;ES611;00;06;;1671.28115;A
2012;ES611;01;00;;1672.28115;A
2012;ES611;01;01;;2.0;A
2012;ES611;01;06;;1670.28115;A
2012;ES611;06;00;;1.0;A
2012;ES611;06;06;;1.0;A
2012;ES612;00;00;;2751.43454;A
2012;ES612;00;01;;6.0;A
2012;ES612;00;06;;2745.43454;A
2012;ES612;01;00;;2751.43454;A
2012;ES612;01;01;;6.0;A
2012;ES612;01;06;;2745.43454;A
2012;ES613;00;00;;1519.27045;A
2012;ES613;00;01;;4.0;A
2012;ES613;00;06;;1515.27045;A
2012;ES613;01;00;;1519.27045;A
2012;ES613;01;01;;4.0;A
2012;ES613;01;06;;1515.27045;A
2012;ES614;00;00;;2194.10578;A
2012;ES614;00;01;;4.0;A
2012;ES614;00;06;;2190.10578;A
2012;ES614;01;00;;2192.10578;A
2012;ES614;01;01;;4.0;A
2012;ES614;01;06;;2188.10578;A
2012;ES614;06;00;;2.0;A
2012;ES614;06;06;;2.0;A
2012;ES615;00;00;;1090.26737;A
2012;ES615;00;06;;1090.26737;A
2012;ES615;01;00;;1090.26737;A
2012;ES615;01;06;;1090.26737;A
2012;ES616;00;00;;1282.34085;A
2012;ES616;00;01;;1.0;A
2012;ES616;00;06;;1281.34085;A
2012;ES616;01;00;;1282.34085;A
2012;ES616;01;01;;1.0;A
2012;ES616;01;06;;1281.34085;A
2012;ES617;00;00;;4090.46015;A
2012;ES617;00;01;;14.0;A
2012;ES617;00;06;;4076.46015;A
2012;ES617;01;00;;4083.46015;A
2012;ES617;01;01;;14.0;A
2012;ES617;01;06;;4069.46015;A
2012;ES617;06;00;;7.0;A
2012;ES617;06;06;;7.0;A
2012;ES618;00;00;;4498.89142;A
2012;ES618;00;01;;9.0;A
2012;ES618;00;06;;4489.89142;A
2012;ES618;01;00;;4492.89142;A
