D_TEMPORAL_0;D_TERRITORIO_0;D_ESTADOCIVIL_0;D_ESTADOCIVILC2_0;INDICATOR;OBS_VALUE;FREQ
2019;ES611;00;5;;143.67285;A
2019;ES611;1;00;;1512.88671;A
2019;ES611;1;1;;1441.78992;A
2019;ES611;1;3;;6.09111;A
2019;ES611;1;5;;65.00568;A
2019;ES611;3;00;;4.06074;A
2019;ES611;3;3;;2.03037;A
2019;ES611;3;5;;2.03037;A
2019;ES611;5;00;;167.48619;A
2019;ES611;5;1;;90.84939;A
2019;ES611;5;5;;76.6368;A
2019;ES612;00;00;;2350.11045;A
2019;ES612;00;1;;2162.79095;A
2019;ES612;00;3;;12.66128;A
2019;ES612;00;5;;174.65822;A
2019;ES612;1;00;;2182.91411;A
2019;ES612;1;1;;2067.20201;A
2019;ES612;1;3;;12.66128;A
2019;ES612;1;5;;103.05082;A
2019;ES612;3;00;;14.84142;A
2019;ES612;3;1;;10.48114;A
2019;ES612;3;5;;4.36028;A
2019;ES612;5;00;;152.35492;A
2019;ES612;5;1;;85.1078;A
2019;ES612;5;5;;67.24712;A
2019;ES613;00;00;;1369.08113;A
2019;ES613;00;1;;1289.30587;A
2019;ES613;00;3;;1.46233;A
2019;ES613;00;5;;78.31293;A
2019;ES613;1;00;;1273.73287;A
2019;ES613;1;1;;1224.22947;A
2019;ES613;1;5;;49.5034;A
2019;ES613;3;00;;7.16596;A
2019;ES613;3;1;;3.58298;A
2019;ES613;3;3;;1.46233;A
2019;ES613;3;5;;2.12065;A
2019;ES613;5;00;;88.1823;A
2019;ES613;5;1;;61.49342;A
2019;ES613;5;5;;26.68888;A
2019;ES614;00;00;;1634.5488;A
2019;ES614;00;1;;1519.65056;A
2019;ES614;00;3;;12.97776;A
2019;ES614;00;5;;101.92048;A
2019;ES614;1;00;;1497.49824;A
2019;ES614;1;1;;1449.47152;A
2019;ES614;1;3;;7.19184;A
2019;ES614;1;5;;40.83488;A
2019;ES614;3;00;;17.27664;A
2019;ES614;3;1;;10.0848;A
2019;ES614;3;5;;7.19184;A
2019;ES614;5;00;;119.77392;A
2019;ES614;5;1;;60.09424;A
2019;ES614;5;3;;5.78592;A
2019;ES614;5;5;;53.89376;A
2019;ES615;00;00;;1003.79841;A
2019;ES615;00;1;;925.618;A
2019;ES615;00;3;;3.05689;A
2019;ES615;00;5;;75.12352;A
2019;ES615;1;00;;916.44733;A
2019;ES615;1;1;;879.88455;A
2019;ES615;1;5;;36.56278;A
2019;ES615;3;00;;6.11378;A
2019;ES615;3;1;;3.05689;A
2019;ES615;3;3;;3.05689;A
2019;ES615;5;00;;81.2373;A
2019;ES615;5;1;;42.67656;A
2019;ES615;5;5;;38.56074;A
2019;ES616;00;00;;1181.24056;A
2019;ES616;00;1;;1120.40558;A
2019;ES616;00;3;;3.04022;A
2019;ES616;00;5;;57.79476;A
2019;ES616;1;00;;1104.69268;A
2019;ES616;1;1;;1072.24328;A
2019;ES616;1;3;;3.04022;A
2019;ES616;1;5;;29.40918;A
2019;ES616;3;00;;3.04022;A
2019;ES616;3;5;;3.04022;A
2019;ES616;5;00;;73.50766;A
2019;ES616;5;1;;48.1623;A
2019;ES616;5;5;;25.34536;A
2019;ES617;00;00;;3795.50761;A
2019;ES617;00;1;;3507.53588;A
2019;ES617;00;3;;27.52272;A
2019;ES617;00;5;;260.44901;A
2019;ES617;1;00;;3391.19452;A
2019;ES617;1;1;;3261.63437;A
2019;ES617;1;3;;13.76136;A
2019;ES617;1;5;;115.79879;A
2019;ES617;3;00;;19.78115;A
2019;ES617;3;1;;11.7277;A
2019;ES617;3;3;;5.70791;A
2019;ES617;3;5;;2.34554;A
2019;ES617;5;00;;384.53194;A
2019;ES617;5;1;;234.17381;A
2019;ES617;5;3;;8.05345;A
2019;ES617;5;5;;142.30468;A
2019;ES618;00;00;;4059.5542;A
2019;ES618;00;1;;3864.71189;A
2019;ES618;00;3;;8.47106;A
2019;ES618;00;5;;186.37125;A
2019;ES618;1;00;;3777.32537;A
2019;ES618;1;1;;3670.64542;A
2019;ES618;1;3;;5.96141;A
2019;ES618;1;5;;100.71854;A
2019;ES618;3;00;;27.92283;A
2019;ES618;3;1;;16.15835;A
2019;ES618;3;5;;11.76448;A
2019;ES618;5;00;;254.306;A
2019;ES618;5;1;;177.90812;A
