D_TEMPORAL_0;D_TERRITORIO_0;D_NUMHIJOSMENORED_0;INDICATOR;OBS_VALUE;FREQ
2018;ES613;1;DIV;377.856;A
2018;ES613;2;DIV;377.856;A
2018;ES613;3;DIV;34.112;A
2018;ES613;4;DIV;5.248;A
2018;ES613;05mas;DIV;;A
2018;ES614;000;DIV;1684.5826;A
2018;ES614;0;DIV;822.0082;A
2018;ES614;1;DIV;399.7296;A
2018;ES614;2;DIV;404.4048;A
2018;ES614;3;DIV;53.7648;A
2018;ES614;4;DIV;4.6752;A
2018;ES615;000;DIV;986.218;A
2018;ES615;0;DIV;432.72;A
2018;ES615;1;DIV;287.452;A
2018;ES615;2;DIV;253.814;A
2018;ES615;3;DIV;9.174;A
2018;ES615;4;DIV;3.058;A
2018;ES616;000;DIV;1108.2069;A
2018;ES616;0;DIV;627.8725;A
2018;ES616;1;DIV;214.7649;A
2018;ES616;2;DIV;240.1672;A
2018;ES616;3;DIV;23.093;A
2018;ES616;4;DIV;2.3093;A
2018;ES617;000;DIV;3718.358;A
2018;ES617;0;DIV;1836.8003;A
2018;ES617;1;DIV;920.1348;A
2018;ES617;2;DIV;823.7959;A
2018;ES617;3;DIV;121.8982;A
2018;ES617;4;DIV;13.7627;A
2018;ES617;05mas;DIV;1.9661;A
2018;ES618;000;DIV;4085.2617;A
2018;ES618;0;DIV;1712.6652;A
2018;ES618;1;DIV;1123.8615;A
2018;ES618;2;DIV;1094.4795;A
2018;ES618;3;DIV;138.0954;A
2018;ES618;4;DIV;13.2219;A
2018;ES618;05mas;DIV;2.9382;A
2017;ES61;000;DIV;17436.6101;A
2017;ES61;0;DIV;8012.7218;A
2017;ES61;1;DIV;4613.873;A
2017;ES61;2;DIV;4198.5134;A
2017;ES61;3;DIV;549.6071;A
2017;ES61;4;DIV;55.2921;A
2017;ES61;05mas;DIV;6.6027;A
2017;ES611;000;DIV;1454.7143;A
2017;ES611;0;DIV;709.3263;A
2017;ES611;1;DIV;403.118;A
2017;ES611;2;DIV;304.24;A
2017;ES611;3;DIV;27.3816;A
2017;ES611;4;DIV;9.1272;A
2017;ES611;05mas;DIV;1.5212;A
2017;ES612;000;DIV;2406.3281;A
2017;ES612;0;DIV;1047.8127;A
2017;ES612;1;DIV;680.1036;A
2017;ES612;2;DIV;603.9726;A
2017;ES612;3;DIV;69.3638;A
2017;ES612;4;DIV;3.3836;A
2017;ES612;05mas;DIV;1.6918;A
2017;ES613;000;DIV;1426.032;A
2017;ES613;0;DIV;586.859;A
2017;ES613;1;DIV;435.578;A
2017;ES613;2;DIV;360.951;A
2017;ES613;3;DIV;39.598;A
2017;ES613;4;DIV;3.046;A
2017;ES614;000;DIV;1990.6668;A
2017;ES614;0;DIV;912.5348;A
2017;ES614;1;DIV;465.5112;A
2017;ES614;2;DIV;519.9216;A
2017;ES614;3;DIV;84.6384;A
2017;ES614;4;DIV;6.0456;A
2017;ES614;05mas;DIV;2.0152;A
2017;ES615;000;DIV;1060.4795;A
2017;ES615;0;DIV;458.3163;A
2017;ES615;1;DIV;301.0816;A
2017;ES615;2;DIV;269.3888;A
2017;ES615;3;DIV;29.712;A
2017;ES615;4;DIV;1.9808;A
2017;ES616;000;DIV;1127.8821;A
2017;ES616;0;DIV;616.0821;A
2017;ES616;1;DIV;247.7112;A
2017;ES616;2;DIV;229.2864;A
2017;ES616;3;DIV;32.7552;A
2017;ES616;4;DIV;2.0472;A
2017;ES617;000;DIV;3652.1307;A
2017;ES617;0;DIV;1827.8925;A
2017;ES617;1;DIV;909.6954;A
2017;ES617;2;DIV;783.663;A
2017;ES617;3;DIV;116.3376;A
2017;ES617;4;DIV;14.5422;A
2017;ES618;000;DIV;4318.3766;A
2017;ES618;0;DIV;1853.8981;A
2017;ES618;1;DIV;1171.074;A
2017;ES618;2;DIV;1127.09;A
2017;ES618;3;DIV;149.8205;A
2017;ES618;4;DIV;15.1195;A
2017;ES618;05mas;DIV;1.3745;A
2016;ES61;000;DIV;16968.2676;A
2016;ES61;0;DIV;7577.9682;A
2016;ES61;1;DIV;4777.3752;A
