D_TEMPORAL_0;D_TERRITORIO_0;D_DURACMATRIM_0;INDICATOR;OBS_VALUE;FREQ
2020;ES61;00;;13992.45022;A
2020;ES61;0;;87.64552;A
2020;ES61;1;;316.26234;A
2020;ES61;2;;462.75017;A
2020;ES61;3;;569.72828;A
2020;ES61;4;;603.04781;A
2020;ES61;5;;602.31422;A
2020;ES61;6;;539.19392;A
2020;ES61;7;;511.19353;A
2020;ES61;8;;412.05948;A
2020;ES61;9;;417.19437;A
2020;ES61;10;;429.17683;A
2020;ES61;11;;418.71524;A
2020;ES61;12;;534.12974;A
2020;ES61;13;;550.0961;A
2020;ES61;14;;496.8288;A
2020;ES61;15;;451.25514;A
2020;ES61;16;;375.92234;A
2020;ES61;17;;455.99497;A
2020;ES61;18;;454.18921;A
2020;ES61;19;;367.69542;A
2020;ES61;20;;402.79001;A
2020;ES61;21;;402.08369;A
2020;ES61;22;;367.8291;A
2020;ES61;23;;285.89441;A
2020;ES61;24;;260.45945;A
2020;ES61;25;;248.89909;A
2020;ES61;26;;224.10011;A
2020;ES61;27;;229.95501;A
2020;ES61;28;;322.15678;A
2020;ES61;29;;278.20965;A
2020;ES61;30;;195.71512;A
2020;ES61;31;;215.49089;A
2020;ES61;32;;175.94017;A
2020;ES61;33;;156.06201;A
2020;ES61;34;;99.99217;A
2020;ES61;35;;96.38275;A
2020;ES61;36;;133.05631;A
2020;ES61;37;;86.95084;A
2020;ES61;38;;123.48742;A
2020;ES61;39;;65.78243;A
2020;ES61;40;;88.15513;A
2020;ES61;41;;92.76715;A
2020;ES61;42;;84.60564;A
2020;ES61;43;;58.88;A
2020;ES61;44;;53.84997;A
2020;ES61;45;;45.14581;A
2020;ES61;46;;16.89095;A
2020;ES61;47;;41.09974;A
2020;ES61;48;;18.9115;A
2020;ES61;49;;16.47433;A
2020;ES61;50;;5.56848;A
2020;ES61;51;;7.74884;A
2020;ES61;52;;5.40621;A
2020;ES61;53;;3.76555;A
2020;ES61;54;;2.97697;A
2020;ES61;55;;9.13691;A
2020;ES61;56;;3.13867;A
2020;ES61;57;;6.19373;A
2020;ES61;62;;3.05506;A
2020;ES61;64;;2.04874;A
2020;ES611;00;;1287.5417;A
2020;ES611;0;;8.24498;A
2020;ES611;1;;19.83948;A
2020;ES611;2;;45.20016;A
2020;ES611;3;;91.57816;A
2020;ES611;4;;60.7331;A
2020;ES611;5;;55.54318;A
2020;ES611;6;;45.16334;A
2020;ES611;7;;55.83764;A
2020;ES611;8;;31.43398;A
2020;ES611;9;;35.99816;A
2020;ES611;10;;41.18808;A
2020;ES611;11;;37.21282;A
2020;ES611;12;;42.6972;A
2020;ES611;13;;45.4578;A
2020;ES611;14;;51.23664;A
2020;ES611;15;;46.67246;A
2020;ES611;16;;44.5376;A
2020;ES611;17;;48.2184;A
2020;ES611;18;;50.94218;A
2020;ES611;19;;29.59358;A
2020;ES611;20;;50.64772;A
2020;ES611;21;;17.99908;A
2020;ES611;22;;21.05414;A
2020;ES611;23;;25.0294;A
2020;ES611;24;;14.64956;A
2020;ES611;25;;16.78442;A
2020;ES611;26;;15.86422;A
2020;ES611;27;;16.78442;A
2020;ES611;28;;29.6304;A
2020;ES611;29;;21.67988;A
2020;ES611;30;;8.24498;A
2020;ES611;31;;25.65514;A
2020;ES611;32;;7.32478;A
2020;ES611;33;;12.5147;A
2020;ES611;34;;15.56976;A
2020;ES611;35;;5.18992;A
2020;ES611;36;;14.3551;A
2020;ES611;37;;5.18992;A
2020;ES611;38;;9.45964;A
2020;ES611;39;;8.24498;A
2020;ES611;40;;6.11012;A
2020;ES611;41;;17.41016;A
2020;ES611;42;;3.05506;A
2020;ES611;44;;5.18992;A
