OBS_STATUS;PARQUES_TURISMO;TEMPORAL;RESITUR;INDICATOR;OBS_VALUE;FREQ
A;55537;2020;55698;VIAJEROS;1904.19235033;A
A;55537;2020;55565;VIAJEROS;1740.621951217;A
A;55537;2020;55697;VIAJEROS;163.570399113;A
A;55537;2019;55698;VIAJEROS;5010.904342546;A
A;55537;2019;55565;VIAJEROS;2900.662212775;A
A;55537;2019;55697;VIAJEROS;2110.242129771;A
A;55537;2018;55698;VIAJEROS;6238.772206101;A
A;55537;2018;55565;VIAJEROS;4327.68205032;A
A;55537;2018;55697;VIAJEROS;1911.090155781;A
A;55537;2017;55698;VIAJEROS;8673.031537551;A
A;55537;2017;55565;VIAJEROS;6006.973620457;A
A;55537;2017;55697;VIAJEROS;2666.057917094;A
A;55537;2016;55698;VIAJEROS;6186.864455246;A
A;55537;2016;55565;VIAJEROS;4292.451110829;A
A;55537;2016;55697;VIAJEROS;1894.413344417;A
A;55537;2015;55698;VIAJEROS;3963.468607917;A
A;55537;2015;55565;VIAJEROS;3388.814871141;A
A;55537;2015;55697;VIAJEROS;574.653736776;A
A;55537;2014;55698;VIAJEROS;3152.015789257;A
A;55537;2014;55565;VIAJEROS;2492.699562038;A
A;55537;2014;55697;VIAJEROS;659.316227219;A
A;55537;2013;55698;VIAJEROS;3003.270162393;A
A;55537;2013;55565;VIAJEROS;2372.909770448;A
A;55537;2013;55697;VIAJEROS;630.360391945;A
A;55538;2016;55698;VIAJEROS;7908.661737084;A
A;55538;2016;55565;VIAJEROS;6442.971681495;A
A;55538;2016;55697;VIAJEROS;1465.690055589;A
A;55538;2015;55698;VIAJEROS;8962.191595312;A
A;55538;2015;55565;VIAJEROS;6730.952216911;A
A;55538;2015;55697;VIAJEROS;2231.239378401;A
A;55538;2014;55698;VIAJEROS;10758.567080493;A
A;55538;2014;55565;VIAJEROS;7830.146615781;A
A;55538;2014;55697;VIAJEROS;2928.420464712;A
A;55538;2013;55698;VIAJEROS;11146.813715336;A
A;55538;2013;55565;VIAJEROS;7387.414600204;A
A;55538;2013;55697;VIAJEROS;3759.399115132;A
A;55541;2020;55698;VIAJEROS;12260.817947832;A
A;55541;2020;55565;VIAJEROS;9200.420955687;A
A;55541;2020;55697;VIAJEROS;3060.396992145;A
A;55541;2019;55698;VIAJEROS;24814.943316963;A
A;55541;2019;55565;VIAJEROS;15630.270582989;A
A;55541;2019;55697;VIAJEROS;9184.672733974;A
A;55541;2018;55698;VIAJEROS;18461.156697915;A
A;55541;2018;55565;VIAJEROS;4286.488572454;A
A;55541;2018;55697;VIAJEROS;14174.668125461;A
A;55541;2017;55698;VIAJEROS;20588.344329343;A
A;55541;2017;55565;VIAJEROS;5335.012148681;A
A;55541;2017;55697;VIAJEROS;15253.332180662;A
A;55125;2020;55698;VIAJEROS;6967.726907523;A
A;55125;2020;55565;VIAJEROS;6736.504846891;A
A;55125;2020;55697;VIAJEROS;231.222060632;A
A;55125;2019;55698;VIAJEROS;19005.659133829;A
A;55125;2019;55565;VIAJEROS;14317.698779825;A
A;55125;2019;55697;VIAJEROS;4687.960354004;A
A;55125;2018;55698;VIAJEROS;14869.856619676;A
A;55125;2018;55565;VIAJEROS;9242.786682619;A
A;55125;2018;55697;VIAJEROS;5627.069937057;A
A;55125;2017;55698;VIAJEROS;14351.18054038;A
A;55125;2017;55565;VIAJEROS;10213.505455747;A
A;55125;2017;55697;VIAJEROS;4137.675084633;A
A;55125;2016;55698;VIAJEROS;12531.540375603;A
A;55125;2016;55565;VIAJEROS;8519.939864721;A
A;55125;2016;55697;VIAJEROS;4011.600510882;A
A;55125;2015;55698;VIAJEROS;11153.56590586;A
A;55125;2015;55565;VIAJEROS;7555.557776664;A
A;55125;2015;55697;VIAJEROS;3598.008129196;A
A;55125;2014;55698;VIAJEROS;9490.961534711;A
A;55125;2014;55565;VIAJEROS;7387.20847011;A
