OBS_STATUS;PARQUES_TURISMO;TEMPORAL;RESITUR;INDICATOR;OBS_VALUE;FREQ
A;55125;2014;55697;VIAJEROS;2103.753064601;A
A;55125;2013;55698;VIAJEROS;7888.090954099;A
A;55125;2013;55565;VIAJEROS;6125.498374435;A
A;55125;2013;55697;VIAJEROS;1762.592579664;A
A;55128;2016;55698;VIAJEROS;6413.726402855;A
A;55128;2016;55565;VIAJEROS;2757.175571675;A
A;55128;2016;55697;VIAJEROS;3656.55083118;A
A;55128;2015;55698;VIAJEROS;6808.039047932;A
A;55128;2015;55565;VIAJEROS;3766.17367636;A
A;55128;2015;55697;VIAJEROS;3041.865371572;A
A;55128;2014;55698;VIAJEROS;6431.946931964;A
A;55128;2014;55565;VIAJEROS;3578.457711401;A
A;55128;2014;55697;VIAJEROS;2853.489220563;A
A;55128;2013;55698;VIAJEROS;6838.221031033;A
A;55128;2013;55565;VIAJEROS;5193.29900306;A
A;55128;2013;55697;VIAJEROS;1644.922027973;A
A;55130;2020;55698;VIAJEROS;7706.521393501;A
A;55130;2020;55565;VIAJEROS;7355.903733044;A
A;55130;2020;55697;VIAJEROS;350.617660457;A
A;55130;2019;55698;VIAJEROS;14330.925534457;A
A;55130;2019;55565;VIAJEROS;8523.866257339;A
A;55130;2019;55697;VIAJEROS;5807.059277118;A
A;55130;2018;55698;VIAJEROS;11054.169727153;A
A;55130;2018;55565;VIAJEROS;7735.197813197;A
A;55130;2018;55697;VIAJEROS;3318.971913956;A
A;55130;2017;55698;VIAJEROS;12560.354185663;A
A;55130;2017;55565;VIAJEROS;7869.058212203;A
A;55130;2017;55697;VIAJEROS;4691.29597346;A
A;55130;2016;55698;VIAJEROS;10697.268274443;A
A;55130;2016;55565;VIAJEROS;6728.2251704;A
A;55130;2016;55697;VIAJEROS;3969.043104043;A
A;55130;2015;55698;VIAJEROS;6329.600903284;A
A;55130;2015;55565;VIAJEROS;4543.354097832;A
A;55130;2015;55697;VIAJEROS;1786.246805452;A
A;55130;2014;55698;VIAJEROS;8712.651525411;A
A;55130;2014;55565;VIAJEROS;5554.599993381;A
A;55130;2014;55697;VIAJEROS;3158.05153203;A
A;55130;2013;55698;VIAJEROS;8101.480759008;A
A;55130;2013;55565;VIAJEROS;4787.247885187;A
A;55130;2013;55697;VIAJEROS;3314.232873821;A
A;55132;2013;55698;VIAJEROS;6394.672651986;A
A;55132;2013;55565;VIAJEROS;3843.601944856;A
A;55132;2013;55697;VIAJEROS;2551.07070713;A
A;55133;2017;55698;VIAJEROS;5992.641294248;A
A;55133;2017;55565;VIAJEROS;4389.824857252;A
A;55133;2017;55697;VIAJEROS;1602.816436996;A
A;55133;2016;55698;VIAJEROS;3864.552538343;A
A;55133;2016;55565;VIAJEROS;2855.491523019;A
A;55133;2016;55697;VIAJEROS;1009.061015324;A
A;55133;2015;55698;VIAJEROS;2817.227675155;A
A;55133;2015;55565;VIAJEROS;2454.954598233;A
A;55133;2015;55697;VIAJEROS;362.273076922;A
A;55133;2014;55698;VIAJEROS;2210.479581157;A
A;55133;2014;55565;VIAJEROS;1844.052339571;A
A;55133;2014;55697;VIAJEROS;366.427241586;A
A;55133;2013;55698;VIAJEROS;1891.566085007;A
A;55133;2013;55565;VIAJEROS;1632.177298319;A
A;55133;2013;55697;VIAJEROS;259.388786688;A
A;55134;2013;55698;VIAJEROS;2148.513025181;A
A;55134;2013;55565;VIAJEROS;1867.33984591;A
A;55134;2013;55697;VIAJEROS;281.173179271;A
A;55136;2020;55698;VIAJEROS;13375.419337357;A
A;55136;2020;55565;VIAJEROS;12568.815784187;A
A;55136;2020;55697;VIAJEROS;806.60355317;A
A;55136;2019;55698;VIAJEROS;21714.645845814;A
A;55136;2019;55565;VIAJEROS;15254.541296591;A
A;55136;2019;55697;VIAJEROS;6460.104549223;A
A;55136;2018;55698;VIAJEROS;22532.309955992;A
A;55136;2018;55565;VIAJEROS;16671.927474902;A
A;55136;2018;55697;VIAJEROS;5860.38248109;A
A;55136;2017;55698;VIAJEROS;19066.333846573;A
A;55136;2017;55565;VIAJEROS;16166.179054669;A
A;55136;2017;55697;VIAJEROS;2900.154791904;A
A;55136;2016;55698;VIAJEROS;14826.231397994;A
A;55136;2016;55565;VIAJEROS;10671.885333128;A
A;55136;2016;55697;VIAJEROS;4154.346064866;A
A;55136;2015;55698;VIAJEROS;20829.644256029;A
A;55136;2015;55565;VIAJEROS;16098.301739296;A
A;55136;2015;55697;VIAJEROS;4731.342516733;A
A;55136;2014;55698;VIAJEROS;12699.114502283;A
A;55136;2014;55565;VIAJEROS;10165.152304372;A
A;55136;2014;55697;VIAJEROS;2533.962197911;A
A;55136;2013;55698;VIAJEROS;9727.482902865;A
A;55136;2013;55565;VIAJEROS;8163.128129375;A
A;55136;2013;55697;VIAJEROS;1564.35477349;A
A;55140;2019;55698;VIAJEROS;7878.258064516;A
A;55140;2019;55565;VIAJEROS;5420.590411364;A
A;55140;2019;55697;VIAJEROS;2457.667653152;A
A;55140;2018;55698;VIAJEROS;7714.025805827;A
A;55140;2018;55565;VIAJEROS;5368.011684273;A
A;55140;2018;55697;VIAJEROS;2346.014121554;A
A;55140;2017;55698;VIAJEROS;7519.803111992;A
A;55140;2017;55565;VIAJEROS;5034.854136353;A
A;55140;2017;55697;VIAJEROS;2484.948975639;A
A;55140;2015;55698;VIAJEROS;3064.982643488;A
A;55140;2015;55565;VIAJEROS;2970.467289683;A
A;55140;2015;55697;VIAJEROS;94.515353805;A
A;55140;2014;55698;VIAJEROS;6977.624060141;A
A;55140;2014;55565;VIAJEROS;6162.135338339;A
A;55140;2014;55697;VIAJEROS;815.488721802;A
A;55140;2013;55698;VIAJEROS;2804.852528297;A
A;55140;2013;55565;VIAJEROS;2730.522340231;A
A;55140;2013;55697;VIAJEROS;74.330188066;A
A;55142;2020;55698;VIAJEROS;12322.925357076;A
A;55142;2020;55565;VIAJEROS;11646.894661209;A
A;55142;2020;55697;VIAJEROS;676.030695867;A
A;55142;2019;55698;VIAJEROS;25866.351387242;A
A;55142;2019;55565;VIAJEROS;22579.050432113;A
A;55142;2019;55697;VIAJEROS;3287.300955129;A
A;55142;2018;55698;VIAJEROS;25159.430730197;A
A;55142;2018;55565;VIAJEROS;22303.485969263;A
A;55142;2018;55697;VIAJEROS;2855.944760934;A
A;55142;2017;55698;VIAJEROS;20974.116943844;A
A;55142;2017;55565;VIAJEROS;17376.135324927;A
A;55142;2017;55697;VIAJEROS;3597.981618917;A
A;55142;2016;55698;VIAJEROS;21111.44626547;A
A;55142;2016;55565;VIAJEROS;16998.161596914;A
A;55142;2016;55697;VIAJEROS;4113.284668556;A
A;55142;2015;55698;VIAJEROS;24700.004770527;A
A;55142;2015;55565;VIAJEROS;20658.646654888;A
A;55142;2015;55697;VIAJEROS;4041.358115639;A
A;55142;2014;55698;VIAJEROS;19420.334665749;A
A;55142;2014;55565;VIAJEROS;16733.989381572;A
A;55142;2014;55697;VIAJEROS;2686.345284177;A
A;55142;2013;55698;VIAJEROS;13340.365498412;A
A;55142;2013;55565;VIAJEROS;12279.359081228;A
A;55142;2013;55697;VIAJEROS;1061.006417184;A
A;55144;2020;55698;VIAJEROS;14139.348355396;A
A;55144;2020;55565;VIAJEROS;13757.471142235;A
A;55144;2020;55697;VIAJEROS;381.877213161;A
A;55144;2019;55698;VIAJEROS;19512.108654931;A
A;55144;2019;55565;VIAJEROS;18371.004844591;A
A;55144;2019;55697;VIAJEROS;1141.10381034;A
A;55144;2018;55698;VIAJEROS;18318.432227037;A
A;55144;2018;55565;VIAJEROS;17743.222924714;A
A;55144;2018;55697;VIAJEROS;575.209302323;A
A;55144;2017;55698;VIAJEROS;15494.105722957;A
A;55144;2017;55565;VIAJEROS;15179.20961484;A
A;55144;2017;55697;VIAJEROS;314.896108117;A
A;55144;2016;55698;VIAJEROS;15875.771491884;A
A;55144;2016;55565;VIAJEROS;15381.597618403;A
A;55144;2016;55697;VIAJEROS;494.173873481;A
A;55144;2015;55698;VIAJEROS;14768.144735878;A
A;55144;2015;55565;VIAJEROS;14400.987720369;A
A;55144;2015;55697;VIAJEROS;367.157015509;A
A;55144;2014;55698;VIAJEROS;10937.327746141;A
A;55144;2014;55565;VIAJEROS;10826.869584415;A
A;55144;2014;55697;VIAJEROS;110.458161726;A
A;55144;2013;55698;VIAJEROS;12506.938924011;A
A;55144;2013;55565;VIAJEROS;11964.110764042;A
A;55144;2013;55697;VIAJEROS;542.828159969;A
A;55145;2020;55698;VIAJEROS;7001.204260732;A
A;55145;2020;55565;VIAJEROS;6871.563615541;A
A;55145;2020;55697;VIAJEROS;129.640645191;A
A;55145;2019;55698;VIAJEROS;16058.67773729;A
A;55145;2019;55565;VIAJEROS;12862.418520344;A
A;55145;2019;55697;VIAJEROS;3196.259216946;A
A;55145;2018;55698;VIAJEROS;18467.472705198;A
A;55145;2018;55565;VIAJEROS;12625.437500896;A
A;55145;2018;55697;VIAJEROS;5842.035204302;A
A;55145;2017;55698;VIAJEROS;12082.842583221;A
A;55145;2017;55565;VIAJEROS;9994.461813594;A
A;55145;2017;55697;VIAJEROS;2088.380769627;A
A;55145;2016;55698;VIAJEROS;8175.228081353;A
A;55145;2016;55565;VIAJEROS;7276.770339493;A
A;55145;2016;55697;VIAJEROS;898.45774186;A
A;55145;2015;55698;VIAJEROS;7655.027158487;A
A;55145;2015;55565;VIAJEROS;7468.044702031;A
A;55145;2015;55697;VIAJEROS;186.982456456;A
A;55145;2014;55698;VIAJEROS;9319.943512831;A
A;55145;2014;55565;VIAJEROS;9182.668704025;A
A;55145;2014;55697;VIAJEROS;137.274808806;A
A;55145;2013;55698;VIAJEROS;9567.861463869;A
A;55145;2013;55565;VIAJEROS;9218.728122538;A
A;55145;2013;55697;VIAJEROS;349.133341331;A
A;55146;2020;55698;VIAJEROS;7997.812368382;A
A;55146;2020;55565;VIAJEROS;7694.506454575;A
A;55146;2020;55697;VIAJEROS;303.305913807;A
A;55146;2019;55698;VIAJEROS;20816.215512676;A
A;55146;2019;55565;VIAJEROS;15396.331074297;A
A;55146;2019;55697;VIAJEROS;5419.884438379;A
A;55146;2018;55698;VIAJEROS;15186.656052043;A
A;55146;2018;55565;VIAJEROS;9277.701248334;A
A;55146;2018;55697;VIAJEROS;5908.954803709;A
A;55146;2017;55698;VIAJEROS;15301.239476646;A
A;55146;2017;55565;VIAJEROS;10550.686517443;A
A;55146;2017;55697;VIAJEROS;4750.552959203;A
A;55146;2016;55698;VIAJEROS;13001.909215386;A
A;55146;2016;55565;VIAJEROS;8941.184309723;A
A;55146;2016;55697;VIAJEROS;4060.724905663;A
A;55146;2015;55698;VIAJEROS;12514.334911281;A
A;55146;2015;55565;VIAJEROS;8380.382020421;A
A;55146;2015;55697;VIAJEROS;4133.95289086;A
A;55146;2014;55698;VIAJEROS;11515.811712831;A
A;55146;2014;55565;VIAJEROS;8802.66282405;A
A;55146;2014;55697;VIAJEROS;2713.148888781;A
A;55146;2013;55698;VIAJEROS;9833.665006471;A
A;55146;2013;55565;VIAJEROS;7093.462984469;A
A;55146;2013;55697;VIAJEROS;2740.202022002;A
A;55147;2020;55698;VIAJEROS;17975.002225827;A
A;55147;2020;55565;VIAJEROS;15270.397644616;A
A;55147;2020;55697;VIAJEROS;2704.604581211;A
A;55147;2019;55698;VIAJEROS;63439.402330579;A
A;55147;2019;55565;VIAJEROS;20102.753193659;A
A;55147;2019;55697;VIAJEROS;43336.64913692;A
A;55147;2018;55698;VIAJEROS;49510.336227594;A
A;55147;2018;55565;VIAJEROS;10939.876509586;A
A;55147;2018;55697;VIAJEROS;38570.459718008;A
A;55147;2017;55698;VIAJEROS;50897.390946949;A
A;55147;2017;55565;VIAJEROS;10414.06823409;A
A;55147;2017;55697;VIAJEROS;40483.322712859;A
A;55147;2016;55698;VIAJEROS;28621.28010851;A
A;55147;2016;55565;VIAJEROS;6829.518655606;A
A;55147;2016;55697;VIAJEROS;21791.761452904;A
A;55147;2015;55698;VIAJEROS;10782.220273312;A
A;55147;2015;55565;VIAJEROS;1443.146046645;A
A;55147;2015;55697;VIAJEROS;9339.074226667;A
A;55147;2014;55698;VIAJEROS;11315.687898764;A
A;55147;2014;55565;VIAJEROS;1479.326466419;A
A;55147;2014;55697;VIAJEROS;9836.361432345;A
A;55147;2013;55698;VIAJEROS;6599.612663514;A
A;55147;2013;55565;VIAJEROS;1058.550431664;A
A;55147;2013;55697;VIAJEROS;5541.06223185;A
A;55148;2020;55698;VIAJEROS;9282.728393756;A
A;55148;2020;55565;VIAJEROS;8480.942986339;A
A;55148;2020;55697;VIAJEROS;801.785407417;A
A;55148;2019;55698;VIAJEROS;12863.234830818;A
A;55148;2019;55565;VIAJEROS;9168.209597798;A
A;55148;2019;55697;VIAJEROS;3695.02523302;A
A;55148;2018;55698;VIAJEROS;17536.463552374;A
A;55148;2018;55565;VIAJEROS;12207.671743589;A
A;55148;2018;55697;VIAJEROS;5328.791808785;A
A;55148;2017;55698;VIAJEROS;21111.475009089;A
A;55148;2017;55565;VIAJEROS;14087.720304593;A
A;55148;2017;55697;VIAJEROS;7023.754704496;A
A;55148;2016;55698;VIAJEROS;18396.056434163;A
A;55148;2016;55565;VIAJEROS;13343.546970223;A
A;55148;2016;55697;VIAJEROS;5052.50946394;A
A;55148;2015;55698;VIAJEROS;19544.363981493;A
A;55148;2015;55565;VIAJEROS;14690.401210792;A
A;55148;2015;55697;VIAJEROS;4853.962770701;A
A;55148;2014;55698;VIAJEROS;15048.346419723;A
A;55148;2014;55565;VIAJEROS;11592.271914131;A
A;55148;2014;55697;VIAJEROS;3456.074505592;A
A;55148;2013;55698;VIAJEROS;11083.906796835;A
A;55148;2013;55565;VIAJEROS;9164.838833888;A
A;55148;2013;55697;VIAJEROS;1919.067962947;A
A;55149;2016;55698;VIAJEROS;2057.076388863;A
A;55149;2016;55565;VIAJEROS;1927.025462937;A
A;55149;2016;55697;VIAJEROS;130.050925926;A
P;55537;2021;55698;VIAJEROS;5327.802571407;A
P;55537;2021;55565;VIAJEROS;4817.830898413;A
P;55537;2021;55697;VIAJEROS;509.971672994;A
P;55541;2021;55698;VIAJEROS;21670.019474247;A
P;55541;2021;55565;VIAJEROS;12511.681281763;A
P;55541;2021;55697;VIAJEROS;9158.338192484;A
P;55125;2021;55698;VIAJEROS;7069.111714542;A
P;55125;2021;55565;VIAJEROS;6360.053813463;A
P;55125;2021;55697;VIAJEROS;709.057901079;A
P;55130;2021;55698;VIAJEROS;10300.41740107;A
P;55130;2021;55565;VIAJEROS;8232.752902766;A
P;55130;2021;55697;VIAJEROS;2067.664498304;A
P;55136;2021;55698;VIAJEROS;15764.637254847;A
P;55136;2021;55565;VIAJEROS;14544.159311962;A
P;55136;2021;55697;VIAJEROS;1220.477942885;A
P;55142;2021;55698;VIAJEROS;15803.808359944;A
P;55142;2021;55565;VIAJEROS;14891.259451327;A
P;55142;2021;55697;VIAJEROS;912.548908617;A
P;55144;2021;55698;VIAJEROS;12890.516788503;A
P;55144;2021;55565;VIAJEROS;12844.356006536;A
P;55144;2021;55697;VIAJEROS;46.160781967;A
P;55145;2021;55698;VIAJEROS;9294.377940314;A
P;55145;2021;55565;VIAJEROS;9110.930684219;A
P;55145;2021;55697;VIAJEROS;183.447256095;A
P;55146;2021;55698;VIAJEROS;8846.86621096;A
P;55146;2021;55565;VIAJEROS;8018.767181139;A
P;55146;2021;55697;VIAJEROS;828.099029821;A
P;55147;2021;55698;VIAJEROS;28757.955108701;A
P;55147;2021;55565;VIAJEROS;19177.363071238;A
P;55147;2021;55697;VIAJEROS;9580.592037463;A
P;55148;2021;55698;VIAJEROS;15808.84947819;A
P;55148;2021;55565;VIAJEROS;13553.189432245;A
P;55148;2021;55697;VIAJEROS;2255.660045945;A
A;55537;2020;55698;PERNOCTACIONES;8082.113913528;A
A;55537;2020;55565;PERNOCTACIONES;6971.328159647;A
A;55537;2020;55697;PERNOCTACIONES;1110.785753881;A
A;55537;2019;55698;PERNOCTACIONES;19851.017208218;A
A;55537;2019;55565;PERNOCTACIONES;9370.926814455;A
A;55537;2019;55697;PERNOCTACIONES;10480.090393763;A
A;55537;2018;55698;PERNOCTACIONES;20413.767625717;A
A;55537;2018;55565;PERNOCTACIONES;12311.504107377;A
A;55537;2018;55697;PERNOCTACIONES;8102.26351834;A
A;55537;2017;55698;PERNOCTACIONES;28185.331283751;A
A;55537;2017;55565;PERNOCTACIONES;17644.995415364;A
A;55537;2017;55697;PERNOCTACIONES;10540.335868387;A
A;55537;2016;55698;PERNOCTACIONES;22146.591334338;A
A;55537;2016;55565;PERNOCTACIONES;13197.452545593;A
A;55537;2016;55697;PERNOCTACIONES;8949.138788745;A
A;55537;2015;55698;PERNOCTACIONES;15604.621625196;A
A;55537;2015;55565;PERNOCTACIONES;12154.841185373;A
A;55537;2015;55697;PERNOCTACIONES;3449.780439823;A
A;55537;2014;55698;PERNOCTACIONES;14350.768121904;A
A;55537;2014;55565;PERNOCTACIONES;10886.58080387;A
A;55537;2014;55697;PERNOCTACIONES;3464.187318034;A
A;55537;2013;55698;PERNOCTACIONES;11637.034227638;A
A;55537;2013;55565;PERNOCTACIONES;9506.568070873;A
A;55537;2013;55697;PERNOCTACIONES;2130.466156765;A
A;55538;2016;55698;PERNOCTACIONES;19560.261475455;A
A;55538;2016;55565;PERNOCTACIONES;14491.643011423;A
A;55538;2016;55697;PERNOCTACIONES;5068.618464032;A
A;55538;2015;55698;PERNOCTACIONES;23622.171624842;A
A;55538;2015;55565;PERNOCTACIONES;16402.802801228;A
A;55538;2015;55697;PERNOCTACIONES;7219.368823614;A
A;55538;2014;55698;PERNOCTACIONES;29306.11852896;A
A;55538;2014;55565;PERNOCTACIONES;18992.172585935;A
A;55538;2014;55697;PERNOCTACIONES;10313.945943025;A
A;55538;2013;55698;PERNOCTACIONES;30228.819843888;A
A;55538;2013;55565;PERNOCTACIONES;19129.581904278;A
A;55538;2013;55697;PERNOCTACIONES;11099.23793961;A
A;55541;2020;55698;PERNOCTACIONES;87070.633462304;A
A;55541;2020;55565;PERNOCTACIONES;55531.091276719;A
A;55541;2020;55697;PERNOCTACIONES;31539.542185585;A
A;55541;2019;55698;PERNOCTACIONES;147236.941771046;A
A;55541;2019;55565;PERNOCTACIONES;58331.976172133;A
A;55541;2019;55697;PERNOCTACIONES;88904.965598913;A
A;55541;2018;55698;PERNOCTACIONES;148255.15206378;A
A;55541;2018;55565;PERNOCTACIONES;20156.89408049;A
A;55541;2018;55697;PERNOCTACIONES;128098.25798329;A
A;55541;2017;55698;PERNOCTACIONES;138847.33839055;A
A;55541;2017;55565;PERNOCTACIONES;19463.67580421;A
A;55541;2017;55697;PERNOCTACIONES;119383.66258634;A
A;55125;2020;55698;PERNOCTACIONES;18042.963796779;A
A;55125;2020;55565;PERNOCTACIONES;17393.821744885;A
A;55125;2020;55697;PERNOCTACIONES;649.142051894;A
A;55125;2019;55698;PERNOCTACIONES;48797.788759227;A
A;55125;2019;55565;PERNOCTACIONES;35695.038351982;A
A;55125;2019;55697;PERNOCTACIONES;13102.750407245;A
A;55125;2018;55698;PERNOCTACIONES;43930.510952788;A
A;55125;2018;55565;PERNOCTACIONES;22383.444353585;A
A;55125;2018;55697;PERNOCTACIONES;21547.066599203;A
A;55125;2017;55698;PERNOCTACIONES;38614.811590883;A
A;55125;2017;55565;PERNOCTACIONES;24949.161102053;A
A;55125;2017;55697;PERNOCTACIONES;13665.65048883;A
A;55125;2016;55698;PERNOCTACIONES;34051.839750389;A
A;55125;2016;55565;PERNOCTACIONES;19910.79570921;A
A;55125;2016;55697;PERNOCTACIONES;14141.044041179;A
A;55125;2015;55698;PERNOCTACIONES;32096.498008895;A
A;55125;2015;55565;PERNOCTACIONES;17170.733884991;A
A;55125;2015;55697;PERNOCTACIONES;14925.764123904;A
A;55125;2014;55698;PERNOCTACIONES;23136.821811164;A
A;55125;2014;55565;PERNOCTACIONES;16493.140340603;A
A;55125;2014;55697;PERNOCTACIONES;6643.681470561;A
A;55125;2013;55698;PERNOCTACIONES;21510.214141894;A
A;55125;2013;55565;PERNOCTACIONES;15385.073115726;A
A;55125;2013;55697;PERNOCTACIONES;6125.141026168;A
A;55128;2016;55698;PERNOCTACIONES;31679.563133864;A
A;55128;2016;55565;PERNOCTACIONES;7955.229481024;A
A;55128;2016;55697;PERNOCTACIONES;23724.33365284;A
A;55128;2015;55698;PERNOCTACIONES;29165.407801265;A
A;55128;2015;55565;PERNOCTACIONES;9596.483456194;A
A;55128;2015;55697;PERNOCTACIONES;19568.924345071;A
A;55128;2014;55698;PERNOCTACIONES;30925.456053528;A
A;55128;2014;55565;PERNOCTACIONES;8718.587064689;A
A;55128;2014;55697;PERNOCTACIONES;22206.868988839;A
A;55128;2013;55698;PERNOCTACIONES;23879.013740751;A
A;55128;2013;55565;PERNOCTACIONES;12842.51601581;A
A;55128;2013;55697;PERNOCTACIONES;11036.497724941;A
A;55130;2020;55698;PERNOCTACIONES;30779.15732812;A
A;55130;2020;55565;PERNOCTACIONES;27910.034390142;A
A;55130;2020;55697;PERNOCTACIONES;2869.122937978;A
A;55130;2019;55698;PERNOCTACIONES;50106.483691723;A
A;55130;2019;55565;PERNOCTACIONES;24201.399149927;A
A;55130;2019;55697;PERNOCTACIONES;25905.084541796;A
A;55130;2018;55698;PERNOCTACIONES;34338.943890885;A
A;55130;2018;55565;PERNOCTACIONES;20982.295029989;A
A;55130;2018;55697;PERNOCTACIONES;13356.648860896;A
A;55130;2017;55698;PERNOCTACIONES;41873.943160623;A
A;55130;2017;55565;PERNOCTACIONES;20047.995619701;A
A;55130;2017;55697;PERNOCTACIONES;21825.947540922;A
A;55130;2016;55698;PERNOCTACIONES;35773.988735106;A
A;55130;2016;55565;PERNOCTACIONES;17315.175491896;A
A;55130;2016;55697;PERNOCTACIONES;18458.81324321;A
A;55130;2015;55698;PERNOCTACIONES;24717.232815607;A
A;55130;2015;55565;PERNOCTACIONES;13142.833939198;A
A;55130;2015;55697;PERNOCTACIONES;11574.398876409;A
A;55130;2014;55698;PERNOCTACIONES;33074.968900856;A
A;55130;2014;55565;PERNOCTACIONES;15074.107468507;A
A;55130;2014;55697;PERNOCTACIONES;18000.861432349;A
A;55130;2013;55698;PERNOCTACIONES;33259.239066199;A
A;55130;2013;55565;PERNOCTACIONES;12351.124405314;A
A;55130;2013;55697;PERNOCTACIONES;20908.114660885;A
A;55132;2013;55698;PERNOCTACIONES;15719.337097395;A
A;55132;2013;55565;PERNOCTACIONES;9208.716841785;A
A;55132;2013;55697;PERNOCTACIONES;6510.62025561;A
A;55133;2017;55698;PERNOCTACIONES;19274.282640661;A
A;55133;2017;55565;PERNOCTACIONES;12938.703564833;A
A;55133;2017;55697;PERNOCTACIONES;6335.579075828;A
A;55133;2016;55698;PERNOCTACIONES;15503.674090004;A
A;55133;2016;55565;PERNOCTACIONES;9339.400047844;A
A;55133;2016;55697;PERNOCTACIONES;6164.27404216;A
A;55133;2015;55698;PERNOCTACIONES;11415.000219209;A
A;55133;2015;55565;PERNOCTACIONES;9110.754193002;A
A;55133;2015;55697;PERNOCTACIONES;2304.246026207;A
A;55133;2014;55698;PERNOCTACIONES;10927.080667123;A
A;55133;2014;55565;PERNOCTACIONES;8449.743446916;A
A;55133;2014;55697;PERNOCTACIONES;2477.337220207;A
A;55133;2013;55698;PERNOCTACIONES;8370.10625577;A
A;55133;2013;55565;PERNOCTACIONES;7161.233675253;A
A;55133;2013;55697;PERNOCTACIONES;1208.872580517;A
A;55134;2013;55698;PERNOCTACIONES;6665.678361323;A
A;55134;2013;55565;PERNOCTACIONES;4998.31043416;A
A;55134;2013;55697;PERNOCTACIONES;1667.367927163;A
A;55136;2020;55698;PERNOCTACIONES;39658.999296522;A
A;55136;2020;55565;PERNOCTACIONES;37795.496114733;A
A;55136;2020;55697;PERNOCTACIONES;1863.503181789;A
