OBS_STATUS;RESITUR;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
A;55555;2013;VIAJEROS;16108.9764531;A
A;55556;2020;VIAJEROS;3808.683011369;A
A;55556;2019;VIAJEROS;6877.348469525;A
A;55556;2018;VIAJEROS;6974.414983842;A
A;55556;2017;VIAJEROS;6087.033584465;A
A;55556;2016;VIAJEROS;5671.52181737;A
A;55556;2015;VIAJEROS;5144.62451874;A
A;55556;2014;VIAJEROS;3855.448073193;A
A;55556;2013;VIAJEROS;3265.818627074;A
A;55557;2020;VIAJEROS;101.406886381;A
A;55557;2019;VIAJEROS;335.302251684;A
A;55557;2018;VIAJEROS;603.578932542;A
A;55557;2017;VIAJEROS;416.61008277;A
A;55557;2016;VIAJEROS;335.436200955;A
A;55557;2015;VIAJEROS;441.746529709;A
A;55557;2014;VIAJEROS;232.632925565;A
A;55557;2013;VIAJEROS;364.706529201;A
A;55558;2020;VIAJEROS;1590.538809;A
A;55558;2019;VIAJEROS;2770.952484543;A
A;55558;2018;VIAJEROS;1960.92936589;A
A;55558;2017;VIAJEROS;1968.49585558;A
A;55558;2016;VIAJEROS;1968.597491071;A
A;55558;2015;VIAJEROS;1443.145985488;A
A;55558;2014;VIAJEROS;1233.755976034;A
A;55558;2013;VIAJEROS;1341.244103273;A
A;55559;2020;VIAJEROS;14.989404996;A
A;55559;2019;VIAJEROS;184.454772756;A
A;55559;2018;VIAJEROS;383.547890501;A
A;55559;2017;VIAJEROS;90.474218039;A
A;55559;2016;VIAJEROS;127.513861827;A
A;55559;2015;VIAJEROS;86.367204901;A
A;55559;2014;VIAJEROS;95.186285861;A
A;55559;2013;VIAJEROS;147.146104808;A
A;55544;2020;VIAJEROS;196.88973458;A
A;55544;2019;VIAJEROS;1428.083591744;A
A;55544;2018;VIAJEROS;783.052543373;A
A;55544;2017;VIAJEROS;785.578092809;A
A;55544;2016;VIAJEROS;558.177590275;A
A;55544;2015;VIAJEROS;731.230162924;A
A;55544;2014;VIAJEROS;483.702697167;A
A;55544;2013;VIAJEROS;733.172898993;A
A;55561;2020;VIAJEROS;539.826907524;A
A;55561;2019;VIAJEROS;239.78192119;A
A;55561;2018;VIAJEROS;293.181680667;A
A;55561;2017;VIAJEROS;344.464680111;A
A;55561;2016;VIAJEROS;442.451788885;A
A;55561;2015;VIAJEROS;386.249688182;A
A;55561;2014;VIAJEROS;254.122452314;A
A;55561;2013;VIAJEROS;135.703428987;A
A;55562;2020;VIAJEROS;478.841046781;A
A;55562;2019;VIAJEROS;148.358611214;A
A;55562;2018;VIAJEROS;282.98104021;A
A;55562;2017;VIAJEROS;298.337432821;A
A;55562;2016;VIAJEROS;396.645149843;A
A;55562;2015;VIAJEROS;155.237607302;A
A;55562;2014;VIAJEROS;270.489165499;A
A;55562;2013;VIAJEROS;98.123597432;A
P;55564;2021;VIAJEROS;234817.076211836;A
P;55543;2021;VIAJEROS;179634.345913751;A
