OBS_STATUS;TERRITORIO;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
A;ES613;2016;PERS_MEDI_REMU;45.053631257;A
A;ES613;2015;PERS_MEDI_REMU;36.855241338;A
A;ES613;2014;PERS_MEDI_REMU;52.673705174;A
A;ES613;2013;PERS_MEDI_REMU;62.155934179;A
A;ES614;2020;PERS_MEDI_REMU;28.003930865;A
A;ES614;2019;PERS_MEDI_REMU;38.751558323;A
A;ES614;2018;PERS_MEDI_REMU;37.882300031;A
A;ES614;2017;PERS_MEDI_REMU;49.666563401000005;A
A;ES614;2016;PERS_MEDI_REMU;40.693676835;A
A;ES614;2015;PERS_MEDI_REMU;29.81839203;A
A;ES614;2014;PERS_MEDI_REMU;26.443481159;A
A;ES614;2013;PERS_MEDI_REMU;47.514369302999995;A
A;ES615;2020;PERS_MEDI_REMU;78.572065368;A
A;ES615;2019;PERS_MEDI_REMU;175.636827838;A
A;ES615;2018;PERS_MEDI_REMU;155.833048871;A
A;ES615;2017;PERS_MEDI_REMU;136.611011003;A
A;ES615;2016;PERS_MEDI_REMU;143.002950755;A
A;ES615;2015;PERS_MEDI_REMU;170.983822057;A
A;ES615;2014;PERS_MEDI_REMU;201.273195574;A
A;ES615;2013;PERS_MEDI_REMU;140.510145536;A
A;ES616;2020;PERS_MEDI_REMU;34.229544478;A
A;ES616;2019;PERS_MEDI_REMU;44.223879069;A
A;ES616;2018;PERS_MEDI_REMU;31.599201377;A
A;ES616;2017;PERS_MEDI_REMU;42.05608481;A
A;ES616;2016;PERS_MEDI_REMU;39.32588967;A
A;ES616;2015;PERS_MEDI_REMU;30.975701351;A
A;ES616;2014;PERS_MEDI_REMU;23.622485138000002;A
A;ES616;2013;PERS_MEDI_REMU;28.297662385;A
A;ES617;2020;PERS_MEDI_REMU;307.79260879000003;A
A;ES617;2019;PERS_MEDI_REMU;465.212827887;A
A;ES617;2018;PERS_MEDI_REMU;514.02253064;A
