OBS_STATUS;PUNTOS_TURISTICOS;TEMPORAL;RESITUR;INDICATOR;OBS_VALUE;FREQ
A;55108;2015;55565;PERNOCTACIONES;9835.343500254;A
A;55108;2015;55697;PERNOCTACIONES;2489.117615353;A
A;55108;2014;55698;PERNOCTACIONES;12618.552564095;A
A;55108;2014;55565;PERNOCTACIONES;9758.369273162;A
A;55108;2014;55697;PERNOCTACIONES;2860.183290933;A
A;55108;2013;55698;PERNOCTACIONES;8216.575604404;A
A;55108;2013;55565;PERNOCTACIONES;7019.613831558;A
A;55108;2013;55697;PERNOCTACIONES;1196.961772846;A
A;55124;2020;55698;PERNOCTACIONES;14869.393723495;A
A;55124;2020;55565;PERNOCTACIONES;13831.510007028;A
A;55124;2020;55697;PERNOCTACIONES;1037.883716467;A
A;55124;2019;55698;PERNOCTACIONES;25486.851550264;A
A;55124;2019;55565;PERNOCTACIONES;14747.229773462;A
A;55124;2019;55697;PERNOCTACIONES;10739.621776802;A
A;55124;2018;55698;PERNOCTACIONES;16376.162386747;A
A;55124;2018;55565;PERNOCTACIONES;12108.205575142;A
A;55124;2018;55697;PERNOCTACIONES;4267.956811605;A
A;55124;2017;55698;PERNOCTACIONES;18056.303350624;A
A;55124;2017;55565;PERNOCTACIONES;10588.873292191;A
A;55124;2017;55697;PERNOCTACIONES;7467.430058433;A
A;55124;2016;55698;PERNOCTACIONES;10526.261904776;A
A;55124;2016;55565;PERNOCTACIONES;7288.178571427;A
A;55124;2016;55697;PERNOCTACIONES;3238.083333349;A
A;55124;2015;55698;PERNOCTACIONES;9788.402777786;A
A;55124;2015;55565;PERNOCTACIONES;7106.55555556;A
A;55124;2015;55697;PERNOCTACIONES;2681.847222226;A
A;55124;2014;55698;PERNOCTACIONES;15917.425698146;A
A;55124;2014;55565;PERNOCTACIONES;6526.031526303;A
A;55124;2014;55697;PERNOCTACIONES;9391.394171843;A
A;55124;2013;55698;PERNOCTACIONES;14146.299701944;A
A;55124;2013;55565;PERNOCTACIONES;5619.485014859;A
A;55124;2013;55697;PERNOCTACIONES;8526.814687085;A
A;55221;2019;55698;PERNOCTACIONES;11098.140687927;A
A;55221;2019;55565;PERNOCTACIONES;10195.55358445;A
A;55221;2019;55697;PERNOCTACIONES;902.587103477;A
A;55221;2017;55698;PERNOCTACIONES;8257.349704347;A
A;55221;2017;55565;PERNOCTACIONES;7642.123897899;A
A;55221;2017;55697;PERNOCTACIONES;615.225806448;A
A;55221;2015;55698;PERNOCTACIONES;13241.317896003;A
A;55221;2015;55565;PERNOCTACIONES;11592.826186454;A
A;55221;2015;55697;PERNOCTACIONES;1648.491709549;A
A;55221;2014;55698;PERNOCTACIONES;10798.275835671;A
A;55221;2014;55565;PERNOCTACIONES;9456.946665348;A
A;55221;2014;55697;PERNOCTACIONES;1341.329170323;A
A;55220;2020;55698;PERNOCTACIONES;45157.521833031;A
A;55220;2020;55565;PERNOCTACIONES;26385.315948103;A
A;55220;2020;55697;PERNOCTACIONES;18772.205884928;A
A;55220;2019;55698;PERNOCTACIONES;158997.827649926;A
A;55220;2019;55565;PERNOCTACIONES;30352.54748669;A
A;55220;2019;55697;PERNOCTACIONES;128645.280163236;A
A;55220;2018;55698;PERNOCTACIONES;165996.3318635;A
A;55220;2018;55565;PERNOCTACIONES;5107.71029031;A
A;55220;2018;55697;PERNOCTACIONES;160888.62157319;A
A;55220;2017;55698;PERNOCTACIONES;131212.176117938;A
A;55220;2017;55565;PERNOCTACIONES;6872.393987608;A
A;55220;2017;55697;PERNOCTACIONES;124339.78213033;A
A;55220;2016;55698;PERNOCTACIONES;70558.950048965;A
A;55220;2016;55565;PERNOCTACIONES;8108.61925501;A
A;55220;2016;55697;PERNOCTACIONES;62450.330793955;A
A;55220;2015;55698;PERNOCTACIONES;40914.358771864;A
A;55220;2015;55565;PERNOCTACIONES;4380.98640351;A
A;55220;2015;55697;PERNOCTACIONES;36533.372368354;A
A;55220;2014;55698;PERNOCTACIONES;26205.914834592;A
A;55220;2014;55565;PERNOCTACIONES;4107.842897032;A
A;55220;2014;55697;PERNOCTACIONES;22098.07193756;A
A;70689;2017;55698;PERNOCTACIONES;46463.10995206;A
A;70689;2017;55565;PERNOCTACIONES;1820.88016323;A
A;70689;2017;55697;PERNOCTACIONES;44642.22978883;A
A;213594;2020;55698;PERNOCTACIONES;16096.238095238;A
A;213594;2020;55565;PERNOCTACIONES;15919.142857143;A
A;213594;2020;55697;PERNOCTACIONES;177.095238095;A
A;213594;2018;55698;PERNOCTACIONES;17433.700040967;A
A;213594;2018;55565;PERNOCTACIONES;10396.763251566;A
A;213594;2018;55697;PERNOCTACIONES;7036.936789401;A
A;213594;2017;55698;PERNOCTACIONES;12069.816828111;A
A;213594;2017;55565;PERNOCTACIONES;8675.11113774;A
A;213594;2017;55697;PERNOCTACIONES;3394.705690371;A
P;55124;2021;55698;PERNOCTACIONES;14230.363060103;A
P;55124;2021;55565;PERNOCTACIONES;10489.719193701;A
P;55124;2021;55697;PERNOCTACIONES;3740.643866402;A
P;55220;2021;55698;PERNOCTACIONES;88096.795253715;A
P;55220;2021;55565;PERNOCTACIONES;46578.730878755;A
P;55220;2021;55697;PERNOCTACIONES;41518.06437496;A
A;55108;2017;55698;ESTANCIA_MEDIA;3.215491912169184;A
A;55108;2017;55565;ESTANCIA_MEDIA;2.947909340719427;A
A;55108;2017;55697;ESTANCIA_MEDIA;3.949590118467223;A
A;55108;2016;55698;ESTANCIA_MEDIA;4.007113773842195;A
A;55108;2016;55565;ESTANCIA_MEDIA;3.2663893490569027;A
A;55108;2016;55697;ESTANCIA_MEDIA;6.106116460543779;A
A;55108;2015;55698;ESTANCIA_MEDIA;4.047062311649919;A
A;55108;2015;55565;ESTANCIA_MEDIA;3.706791168166866;A
A;55108;2015;55697;ESTANCIA_MEDIA;6.350521363531076;A
A;55108;2014;55698;ESTANCIA_MEDIA;4.941750176192652;A
A;55108;2014;55565;ESTANCIA_MEDIA;4.580304508469301;A
A;55108;2014;55697;ESTANCIA_MEDIA;6.762437218739378;A
A;55108;2013;55698;ESTANCIA_MEDIA;4.563369509281009;A
A;55108;2013;55565;ESTANCIA_MEDIA;4.540678767536874;A
A;55108;2013;55697;ESTANCIA_MEDIA;4.7011425602333485;A
A;55124;2020;55698;ESTANCIA_MEDIA;3.820036007906925;A
A;55124;2020;55565;ESTANCIA_MEDIA;3.6390121258302397;A
A;55124;2020;55697;ESTANCIA_MEDIA;11.333351560580132;A
A;55124;2019;55698;ESTANCIA_MEDIA;4.189114199390905;A
A;55124;2019;55565;ESTANCIA_MEDIA;3.066535959171793;A
A;55124;2019;55697;ESTANCIA_MEDIA;8.42334656506885;A
A;55124;2018;55698;ESTANCIA_MEDIA;3.4403955757864595;A
A;55124;2018;55565;ESTANCIA_MEDIA;2.8849109711487393;A
A;55124;2018;55697;ESTANCIA_MEDIA;7.582305714535106;A
A;55124;2017;55698;ESTANCIA_MEDIA;3.710560780877329;A
A;55124;2017;55565;ESTANCIA_MEDIA;2.722907101946139;A
A;55124;2017;55697;ESTANCIA_MEDIA;7.640246519385804;A
A;55124;2016;55698;ESTANCIA_MEDIA;3.2504585975575733;A
A;55124;2016;55565;ESTANCIA_MEDIA;2.7109197183690013;A
A;55124;2016;55697;ESTANCIA_MEDIA;5.888061478548577;A
A;55124;2015;55698;ESTANCIA_MEDIA;2.9951890998632162;A
A;55124;2015;55565;ESTANCIA_MEDIA;2.621404785118835;A
A;55124;2015;55697;ESTANCIA_MEDIA;4.814206287876189;A
A;55124;2014;55698;ESTANCIA_MEDIA;3.6439987891244674;A
A;55124;2014;55565;ESTANCIA_MEDIA;3.074460822813299;A
A;55124;2014;55697;ESTANCIA_MEDIA;4.182389119769173;A
A;55124;2013;55698;ESTANCIA_MEDIA;3.3405436068328167;A
A;55124;2013;55565;ESTANCIA_MEDIA;2.3060145814334643;A
A;55124;2013;55697;ESTANCIA_MEDIA;4.742789485081932;A
A;55221;2019;55698;ESTANCIA_MEDIA;1.7677100165545498;A
A;55221;2019;55565;ESTANCIA_MEDIA;1.794281810259349;A
A;55221;2019;55697;ESTANCIA_MEDIA;1.5143799404685632;A
A;55221;2017;55698;ESTANCIA_MEDIA;2.73143394029614;A
