D_TEMPORAL_0;D_NACIONALIDAD_0;D_TERRITORIO_0;D_SEXO_0;D_EDAD_0;INDICATOR;OBS_VALUE;FREQ
2011;4780;ES611;M;4247;HAB;1697.0;A
2011;4780;ES611;M;4253;HAB;769.0;A
2011;4780;ES611;M;4259;HAB;341.0;A
2011;4780;ES611;M;4265;HAB;142.0;A
2011;4780;ES611;M;4271;HAB;37.0;A
2011;4780;ES611;M;4277;HAB;7.0;A
2011;4780;ES611;F;4306;HAB;66257.0;A
2011;4780;ES611;F;4159;HAB;4593.0;A
2011;4780;ES611;F;4165;HAB;3398.0;A
2011;4780;ES611;F;4171;HAB;3500.0;A
2011;4780;ES611;F;4178;HAB;3649.0;A
2011;4780;ES611;F;4184;HAB;5398.0;A
2011;4780;ES611;F;4190;HAB;7821.0;A
2011;4780;ES611;F;4197;HAB;8678.0;A
2011;4780;ES611;F;4203;HAB;6879.0;A
2011;4780;ES611;F;4209;HAB;5316.0;A
2011;4780;ES611;F;4216;HAB;3800.0;A
2011;4780;ES611;F;4222;HAB;3081.0;A
2011;4780;ES611;F;4228;HAB;2653.0;A
2011;4780;ES611;F;4234;HAB;2916.0;A
2011;4780;ES611;F;4241;HAB;2221.0;A
2011;4780;ES611;F;4247;HAB;1274.0;A
2011;4780;ES611;F;4253;HAB;603.0;A
2011;4780;ES611;F;4259;HAB;296.0;A
2011;4780;ES611;F;4265;HAB;127.0;A
2011;4780;ES611;F;4271;HAB;39.0;A
2011;4780;ES611;F;4277;HAB;14.0;A
2011;4780;ES611;F;4304;HAB;1.0;A
2011;4780;ES612;_T;4306;HAB;50374.0;A
2011;4780;ES612;_T;4159;HAB;2075.0;A
2011;4780;ES612;_T;4165;HAB;2347.0;A
2011;4780;ES612;_T;4171;HAB;2659.0;A
2011;4780;ES612;_T;4178;HAB;2626.0;A
2011;4780;ES612;_T;4184;HAB;3395.0;A
2011;4780;ES612;_T;4190;HAB;5459.0;A
2011;4780;ES612;_T;4197;HAB;6349.0;A
2011;4780;ES612;_T;4203;HAB;5904.0;A
2011;4780;ES612;_T;4209;HAB;5151.0;A
2011;4780;ES612;_T;4216;HAB;3937.0;A
2011;4780;ES612;_T;4222;HAB;3007.0;A
2011;4780;ES612;_T;4228;HAB;2211.0;A
2011;4780;ES612;_T;4234;HAB;1871.0;A
2011;4780;ES612;_T;4241;HAB;1454.0;A
2011;4780;ES612;_T;4247;HAB;938.0;A
2011;4780;ES612;_T;4253;HAB;521.0;A
2011;4780;ES612;_T;4259;HAB;268.0;A
2011;4780;ES612;_T;4265;HAB;139.0;A
2011;4780;ES612;_T;4271;HAB;44.0;A
2011;4780;ES612;_T;4277;HAB;18.0;A
2011;4780;ES612;_T;4304;HAB;1.0;A
2011;4780;ES612;M;4306;HAB;25432.0;A
2011;4780;ES612;M;4159;HAB;1061.0;A
2011;4780;ES612;M;4165;HAB;1164.0;A
2011;4780;ES612;M;4171;HAB;1382.0;A
2011;4780;ES612;M;4178;HAB;1409.0;A
2011;4780;ES612;M;4184;HAB;1597.0;A
2011;4780;ES612;M;4190;HAB;2427.0;A
2011;4780;ES612;M;4197;HAB;3098.0;A
2011;4780;ES612;M;4203;HAB;3015.0;A
2011;4780;ES612;M;4209;HAB;2720.0;A
2011;4780;ES612;M;4216;HAB;2067.0;A
2011;4780;ES612;M;4222;HAB;1563.0;A
2011;4780;ES612;M;4228;HAB;1143.0;A
2011;4780;ES612;M;4234;HAB;980.0;A
2011;4780;ES612;M;4241;HAB;780.0;A
2011;4780;ES612;M;4247;HAB;524.0;A
2011;4780;ES612;M;4253;HAB;288.0;A
2011;4780;ES612;M;4259;HAB;128.0;A
2011;4780;ES612;M;4265;HAB;57.0;A
2011;4780;ES612;M;4271;HAB;24.0;A
2011;4780;ES612;M;4277;HAB;5.0;A
2011;4780;ES612;F;4306;HAB;24942.0;A
2011;4780;ES612;F;4159;HAB;1014.0;A
2011;4780;ES612;F;4165;HAB;1183.0;A
2011;4780;ES612;F;4171;HAB;1277.0;A
2011;4780;ES612;F;4178;HAB;1217.0;A
2011;4780;ES612;F;4184;HAB;1798.0;A
2011;4780;ES612;F;4190;HAB;3032.0;A
2011;4780;ES612;F;4197;HAB;3251.0;A
2011;4780;ES612;F;4203;HAB;2889.0;A
2011;4780;ES612;F;4209;HAB;2431.0;A
2011;4780;ES612;F;4216;HAB;1870.0;A
2011;4780;ES612;F;4222;HAB;1444.0;A
2011;4780;ES612;F;4228;HAB;1068.0;A
2011;4780;ES612;F;4234;HAB;891.0;A
2011;4780;ES612;F;4241;HAB;674.0;A
2011;4780;ES612;F;4247;HAB;414.0;A
2011;4780;ES612;F;4253;HAB;233.0;A
2011;4780;ES612;F;4259;HAB;140.0;A
2011;4780;ES612;F;4265;HAB;82.0;A
2011;4780;ES612;F;4271;HAB;20.0;A
2011;4780;ES612;F;4277;HAB;13.0;A
2011;4780;ES612;F;4304;HAB;1.0;A
2011;4780;ES613;_T;4306;HAB;25894.0;A
2011;4780;ES613;_T;4159;HAB;1462.0;A
2011;4780;ES613;_T;4165;HAB;1189.0;A
2011;4780;ES613;_T;4171;HAB;1417.0;A
2011;4780;ES613;_T;4178;HAB;1496.0;A
2011;4780;ES613;_T;4184;HAB;2573.0;A
2011;4780;ES613;_T;4190;HAB;3659.0;A
2011;4780;ES613;_T;4197;HAB;3941.0;A
2011;4780;ES613;_T;4203;HAB;3206.0;A
2011;4780;ES613;_T;4209;HAB;2393.0;A
2011;4780;ES613;_T;4216;HAB;1584.0;A
2011;4780;ES613;_T;4222;HAB;1230.0;A
2011;4780;ES613;_T;4228;HAB;693.0;A
2011;4780;ES613;_T;4234;HAB;462.0;A
2011;4780;ES613;_T;4241;HAB;292.0;A
2011;4780;ES613;_T;4247;HAB;169.0;A
2011;4780;ES613;_T;4253;HAB;71.0;A
2011;4780;ES613;_T;4259;HAB;33.0;A
2011;4780;ES613;_T;4265;HAB;13.0;A
2011;4780;ES613;_T;4271;HAB;8.0;A
2011;4780;ES613;_T;4277;HAB;3.0;A
2011;4780;ES613;M;4306;HAB;13233.0;A
2011;4780;ES613;M;4159;HAB;721.0;A
2011;4780;ES613;M;4165;HAB;623.0;A
2011;4780;ES613;M;4171;HAB;700.0;A
2011;4780;ES613;M;4178;HAB;795.0;A
2011;4780;ES613;M;4184;HAB;1307.0;A
2011;4780;ES613;M;4190;HAB;1833.0;A
2011;4780;ES613;M;4197;HAB;2097.0;A
2011;4780;ES613;M;4203;HAB;1716.0;A
2011;4780;ES613;M;4209;HAB;1261.0;A
2011;4780;ES613;M;4216;HAB;766.0;A
2011;4780;ES613;M;4222;HAB;576.0;A
2011;4780;ES613;M;4228;HAB;334.0;A
2011;4780;ES613;M;4234;HAB;220.0;A
2011;4780;ES613;M;4241;HAB;145.0;A
2011;4780;ES613;M;4247;HAB;85.0;A
2011;4780;ES613;M;4253;HAB;35.0;A
2011;4780;ES613;M;4259;HAB;10.0;A
2011;4780;ES613;M;4265;HAB;7.0;A
2011;4780;ES613;M;4271;HAB;1.0;A
2011;4780;ES613;M;4277;HAB;1.0;A
2011;4780;ES613;F;4306;HAB;12661.0;A
2011;4780;ES613;F;4159;HAB;741.0;A
2011;4780;ES613;F;4165;HAB;566.0;A
2011;4780;ES613;F;4171;HAB;717.0;A
2011;4780;ES613;F;4178;HAB;701.0;A
2011;4780;ES613;F;4184;HAB;1266.0;A
2011;4780;ES613;F;4190;HAB;1826.0;A
2011;4780;ES613;F;4197;HAB;1844.0;A
2011;4780;ES613;F;4203;HAB;1490.0;A
2011;4780;ES613;F;4209;HAB;1132.0;A
2011;4780;ES613;F;4216;HAB;818.0;A
2011;4780;ES613;F;4222;HAB;654.0;A
2011;4780;ES613;F;4228;HAB;359.0;A
2011;4780;ES613;F;4234;HAB;242.0;A
2011;4780;ES613;F;4241;HAB;147.0;A
2011;4780;ES613;F;4247;HAB;84.0;A
2011;4780;ES613;F;4253;HAB;36.0;A
2011;4780;ES613;F;4259;HAB;23.0;A
2011;4780;ES613;F;4265;HAB;6.0;A
2011;4780;ES613;F;4271;HAB;7.0;A
2011;4780;ES613;F;4277;HAB;2.0;A
2011;4780;ES614;_T;4306;HAB;67283.0;A
2011;4780;ES614;_T;4159;HAB;3135.0;A
2011;4780;ES614;_T;4165;HAB;2733.0;A
2011;4780;ES614;_T;4171;HAB;3057.0;A
2011;4780;ES614;_T;4178;HAB;3317.0;A
2011;4780;ES614;_T;4184;HAB;5367.0;A
2011;4780;ES614;_T;4190;HAB;8570.0;A
2011;4780;ES614;_T;4197;HAB;9920.0;A
2011;4780;ES614;_T;4203;HAB;7768.0;A
2011;4780;ES614;_T;4209;HAB;6201.0;A
2011;4780;ES614;_T;4216;HAB;4482.0;A
2011;4780;ES614;_T;4222;HAB;3472.0;A
2011;4780;ES614;_T;4228;HAB;2552.0;A
2011;4780;ES614;_T;4234;HAB;2389.0;A
2011;4780;ES614;_T;4241;HAB;1766.0;A
2011;4780;ES614;_T;4247;HAB;1226.0;A
2011;4780;ES614;_T;4253;HAB;642.0;A
2011;4780;ES614;_T;4259;HAB;381.0;A
2011;4780;ES614;_T;4265;HAB;208.0;A
2011;4780;ES614;_T;4271;HAB;77.0;A
2011;4780;ES614;_T;4277;HAB;20.0;A
2011;4780;ES614;M;4306;HAB;35861.0;A
2011;4780;ES614;M;4159;HAB;1644.0;A
2011;4780;ES614;M;4165;HAB;1431.0;A
2011;4780;ES614;M;4171;HAB;1580.0;A
2011;4780;ES614;M;4178;HAB;1806.0;A
2011;4780;ES614;M;4184;HAB;2747.0;A
2011;4780;ES614;M;4190;HAB;4391.0;A
2011;4780;ES614;M;4197;HAB;5517.0;A
2011;4780;ES614;M;4203;HAB;4329.0;A
2011;4780;ES614;M;4209;HAB;3470.0;A
2011;4780;ES614;M;4216;HAB;2423.0;A
2011;4780;ES614;M;4222;HAB;1820.0;A
2011;4780;ES614;M;4228;HAB;1261.0;A
2011;4780;ES614;M;4234;HAB;1203.0;A
2011;4780;ES614;M;4241;HAB;936.0;A
2011;4780;ES614;M;4247;HAB;649.0;A
2011;4780;ES614;M;4253;HAB;330.0;A
2011;4780;ES614;M;4259;HAB;189.0;A
2011;4780;ES614;M;4265;HAB;95.0;A
2011;4780;ES614;M;4271;HAB;32.0;A
2011;4780;ES614;M;4277;HAB;8.0;A
2011;4780;ES614;F;4306;HAB;31422.0;A
2011;4780;ES614;F;4159;HAB;1491.0;A
2011;4780;ES614;F;4165;HAB;1302.0;A
2011;4780;ES614;F;4171;HAB;1477.0;A
2011;4780;ES614;F;4178;HAB;1511.0;A
2011;4780;ES614;F;4184;HAB;2620.0;A
2011;4780;ES614;F;4190;HAB;4179.0;A
2011;4780;ES614;F;4197;HAB;4403.0;A
2011;4780;ES614;F;4203;HAB;3439.0;A
2011;4780;ES614;F;4209;HAB;2731.0;A
2011;4780;ES614;F;4216;HAB;2059.0;A
2011;4780;ES614;F;4222;HAB;1652.0;A
2011;4780;ES614;F;4228;HAB;1291.0;A
2011;4780;ES614;F;4234;HAB;1186.0;A
2011;4780;ES614;F;4241;HAB;830.0;A
2011;4780;ES614;F;4247;HAB;577.0;A
2011;4780;ES614;F;4253;HAB;312.0;A
2011;4780;ES614;F;4259;HAB;192.0;A
2011;4780;ES614;F;4265;HAB;113.0;A
2011;4780;ES614;F;4271;HAB;45.0;A
2011;4780;ES614;F;4277;HAB;12.0;A
2011;4780;ES615;_T;4306;HAB;45863.0;A
2011;4780;ES615;_T;4159;HAB;2190.0;A
2011;4780;ES615;_T;4165;HAB;1644.0;A
2011;4780;ES615;_T;4171;HAB;1884.0;A
2011;4780;ES615;_T;4178;HAB;2032.0;A
2011;4780;ES615;_T;4184;HAB;3729.0;A
2011;4780;ES615;_T;4190;HAB;6435.0;A
2011;4780;ES615;_T;4197;HAB;7655.0;A
2011;4780;ES615;_T;4203;HAB;6102.0;A
2011;4780;ES615;_T;4209;HAB;5124.0;A
2011;4780;ES615;_T;4216;HAB;3239.0;A
2011;4780;ES615;_T;4222;HAB;2184.0;A
2011;4780;ES615;_T;4228;HAB;1292.0;A
2011;4780;ES615;_T;4234;HAB;922.0;A
2011;4780;ES615;_T;4241;HAB;590.0;A
2011;4780;ES615;_T;4247;HAB;397.0;A
2011;4780;ES615;_T;4253;HAB;218.0;A
2011;4780;ES615;_T;4259;HAB;104.0;A
2011;4780;ES615;_T;4265;HAB;67.0;A
2011;4780;ES615;_T;4271;HAB;40.0;A
2011;4780;ES615;_T;4277;HAB;15.0;A
2011;4780;ES615;M;4306;HAB;23226.0;A
2011;4780;ES615;M;4159;HAB;1169.0;A
2011;4780;ES615;M;4165;HAB;855.0;A
2011;4780;ES615;M;4171;HAB;1005.0;A
2011;4780;ES615;M;4178;HAB;1105.0;A
2011;4780;ES615;M;4184;HAB;1929.0;A
2011;4780;ES615;M;4190;HAB;3208.0;A
2011;4780;ES615;M;4197;HAB;3972.0;A
2011;4780;ES615;M;4203;HAB;3072.0;A
2011;4780;ES615;M;4209;HAB;2330.0;A
2011;4780;ES615;M;4216;HAB;1520.0;A
2011;4780;ES615;M;4222;HAB;1090.0;A
2011;4780;ES615;M;4228;HAB;690.0;A
2011;4780;ES615;M;4234;HAB;493.0;A
2011;4780;ES615;M;4241;HAB;324.0;A
2011;4780;ES615;M;4247;HAB;223.0;A
2011;4780;ES615;M;4253;HAB;133.0;A
2011;4780;ES615;M;4259;HAB;48.0;A
