TEMPORAL;CNAE09;TERRITORIO;EPD_TAMANOEMPRESA;INDICATOR;OBS_VALUE;FREQ
2009;6949;ES61;38434;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;14.950286725270603;A
2010;6949;ES61;38434;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;22.44956659911862;A
2011;6949;ES61;38434;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;24.66275447989341;A
2012;6949;ES61;38434;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;26.611361220747582;A
2013;6949;ES61;38434;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;29.991543889508776;A
2014;6949;ES61;38434;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;26.09339916918239;A
2015;6949;ES61;38434;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;22.50149314597015;A
2016;6949;ES61;38434;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;34.60656732945833;A
2017;6949;ES61;38434;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;30.49615176828848;A
2018;6949;ES61;38434;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;29.35821879691862;A
2019;6949;ES61;38434;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;29.1463217739659;A
2020;6949;ES61;38434;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;27.99541972980769;A
2021;6949;ES61;38434;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;21.217227565043206;A
2009;6949;ES61;38434;PCT_SERV_WEB_PRES_LA_EMPR_B;79.38863118213555;A
2010;6949;ES61;38434;PCT_SERV_WEB_PRES_LA_EMPR_B;78.3812216802912;A
2011;6949;ES61;38434;PCT_SERV_WEB_PRES_LA_EMPR_B;73.84156340946745;A
2012;6949;ES61;38434;PCT_SERV_WEB_PRES_LA_EMPR_B;83.02174637420579;A
2013;6949;ES61;38434;PCT_SERV_WEB_PRES_LA_EMPR_B;91.1212929497512;A
2014;6949;ES61;38434;PCT_SERV_WEB_PRES_LA_EMPR_B;73.25158334456273;A
