TEMPORAL;CNAE09;TERRITORIO;EPD_TAMANOEMPRESA;INDICATOR;OBS_VALUE;FREQ
2018;6949;ES61;38434;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;2.385783594692611;A
2020;6949;ES61;38434;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;1.8855132636472691;A
2018;6949;ES61;38434;PCT_EMPR_QUE_UTIL_ROBO_INDU_A;73.09638302778662;A
2020;6949;ES61;38434;PCT_EMPR_QUE_UTIL_ROBO_INDU_A;91.15899596599412;A
2018;6949;ES61;38434;PCT_EMPR_QUE_UTIL_ROBO_SERV_A;36.44679720060024;A
2020;6949;ES61;38434;PCT_EMPR_QUE_UTIL_ROBO_SERV_A;36.94680075694798;A
2020;6949;ES61;38434;PCT_EMPR_QUE_UTIL_ROBO_SERV_TARE_VIGI_SEGU_O_INSP_B;8.520069915963639;A
2020;6949;ES61;38434;PCT_EMPR_QUE_UTIL_ROBO_SERV_TRAN_PERS_O_BIEN_B;4.474440987638293;A
2020;6949;ES61;38434;PCT_EMPR_QUE_UTIL_ROBO_SERV_TARE_LIMP_O_ELIM_RESI_B;52.119806470382954;A
2020;6949;ES61;38434;PCT_EMPR_QUE_UTIL_ROBO_SERV_SIST_GEST_ALMA_B;32.47125240030551;A
2020;6949;ES61;38434;PCT_EMPR_QUE_UTIL_ROBO_SERV_TRAB_ENSA_REAL_SERV_ROBO_B;23.951182484341874;A
2020;6949;ES61;38434;PCT_EMPR_QUE_UTIL_ROBO_SERV_TRAB_CONS_O_TARE_REPA_DANO_B;28.425623471980167;A
