TEMPORAL;CNAE09;ESTRATO_ASALARIADOS;TERRITORIO;TAMANOEMPRESA;INDICATOR;OBS_VALUE;FREQ
2009;6949;38282;ES61;38435;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;51.431710250707475;A
2009;7058;38282;ES61;38435;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;61.85091595888067;A
2009;7605;38282;ES61;38435;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;57.85983230657642;A
2009;838683;38282;ES61;38435;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;70.63180542139487;A
2009;838684;38282;ES61;38435;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;45.79776492021217;A
2009;838685;38282;ES61;38435;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;70.86933454479927;A
2009;7627;38282;ES61;38435;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;84.56241032998565;A
2009;7663;38282;ES61;38435;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;35.536847392503255;A
2009;7716;38282;ES61;38435;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;59.95112498765586;A
2009;7859;38282;ES61;38435;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;57.44018013053004;A
2009;7958;38282;ES61;38435;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;58.55497519328171;A
2009;7888;38282;ES61;38435;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;87.51480679874349;A
2009;8031;38282;ES61;38435;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;87.29003012128855;A
2009;8094;38282;ES61;38435;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;88.16136599880323;A
2009;8165;38282;ES61;38435;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;63.966182182538525;A
2009;8255;38282;ES61;38435;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;44.81692511375029;A
2010;6949;38282;ES61;38435;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;56.11858113221512;A
2010;7058;38282;ES61;38435;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;61.73482717048299;A
2010;7605;38282;ES61;38435;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;65.32168155264107;A
2010;838683;38282;ES61;38435;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;56.38570826424903;A
2010;838684;38282;ES61;38435;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;65.9046187770974;A
2010;838685;38282;ES61;38435;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;55.90759788755892;A
2010;7627;38282;ES61;38435;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;65.75342466222557;A
2010;7663;38282;ES61;38435;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;47.4177252414913;A
2010;7716;38282;ES61;38435;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;58.699144467129386;A
2010;7859;38282;ES61;38435;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;50.60866096752651;A
2010;7958;38282;ES61;38435;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;60.64826571541882;A
2010;7888;38282;ES61;38435;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;94.21054194257053;A
2010;8031;38282;ES61;38435;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;75.04728822728029;A
2010;8094;38282;ES61;38435;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;87.23384569335056;A
2010;8165;38282;ES61;38435;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;67.17398886455868;A
2010;8255;38282;ES61;38435;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;55.79712136303352;A
2011;6949;38282;ES61;38435;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;61.673332071746124;A
2011;7058;38282;ES61;38435;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;73.19344616161914;A
2011;7605;38282;ES61;38435;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;66.95047715270024;A
2011;838683;38282;ES61;38435;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;83.08009230596899;A
2011;838684;38282;ES61;38435;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;71.81119243477231;A
2011;838685;38282;ES61;38435;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;78.49964914662748;A
2011;7627;38282;ES61;38435;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;68.67004595550931;A
2011;7663;38282;ES61;38435;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;64.13211551633212;A
2011;7716;38282;ES61;38435;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;56.022960330723016;A
2011;7859;38282;ES61;38435;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;51.56425144489491;A
2011;7958;38282;ES61;38435;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;54.54464714147321;A
2011;7888;38282;ES61;38435;PCT_EMPR_CON_CONE_INTE_Y_SITI_WEB_A;84.84297760670239;A
