TEMPORAL;CNAE09;TERRITORIO;EPD_TAMANOEMPRESA;INDICATOR;OBS_VALUE;FREQ
2015;6949;ES61;38434;PCT_EMPR_QUE_UTIL_ALGU_TIPO_SOFT_CODI_ABIE;62.874850987553266;A
2016;6949;ES61;38434;PCT_EMPR_QUE_UTIL_ALGU_TIPO_SOFT_CODI_ABIE;63.31025201787184;A
2017;6949;ES61;38434;PCT_EMPR_QUE_UTIL_ALGU_TIPO_SOFT_CODI_ABIE;63.309439481129914;A
2018;6949;ES61;38434;PCT_EMPR_QUE_UTIL_ALGU_TIPO_SOFT_CODI_ABIE;69.20820262688868;A
2021;6949;ES61;38434;PCT_EMPR_QUE_UTIL_ALGU_TIPO_SOFT_CODI_ABIE;65.53251902660647;A
2011;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SIST_OPER_B;25.658319375926986;A
2012;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SIST_OPER_B;40.80351585434396;A
2013;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SIST_OPER_B;40.461399872675955;A
2014;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SIST_OPER_B;34.618044859313336;A
2015;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SIST_OPER_B;35.791429064215336;A
2016;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SIST_OPER_B;48.607928275701816;A
2017;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SIST_OPER_B;37.55051793820651;A
2018;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SIST_OPER_B;45.27463658783633;A
2021;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SIST_OPER_B;45.88329567222707;A
2011;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SIST_OPER;11.96992101863807;A
2012;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SIST_OPER;23.28857428843831;A
2013;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SIST_OPER;18.88951599988587;A
2014;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SIST_OPER;18.589843628078278;A
2015;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SIST_OPER;22.50380769044122;A
2016;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SIST_OPER;30.773801892013203;A
2017;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SIST_OPER;23.773022428939683;A
2018;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SIST_OPER;31.333762228297253;A
2021;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SIST_OPER;30.068479466436305;A
2011;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_NAVE_INTE_B;78.69342294079809;A
2012;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_NAVE_INTE_B;87.68410850062597;A
2013;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_NAVE_INTE_B;94.785258269316;A
2014;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_NAVE_INTE_B;88.64683898191794;A
2015;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_NAVE_INTE_B;93.36315174992208;A
2016;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_NAVE_INTE_B;94.24008032522924;A
2017;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_NAVE_INTE_B;95.62988624546041;A
2018;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_NAVE_INTE_B;95.0677446752811;A
