TEMPORAL;CNAE09;ESTRATO_ASALARIADOS;TERRITORIO;TAMANOEMPRESA;INDICATOR;OBS_VALUE;FREQ
2020;7627;24142;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;14.327024183561827;A
2020;7663;24142;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;3.202451738784907;A
2020;7716;24142;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;6.247629748266173;A
2020;7859;24142;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;5.654840672675638;A
2020;7958;24142;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;2.1307440651921374;A
2020;7888;24142;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;11.277876581175132;A
2020;8031;24142;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;6.469833120373211;A
2020;8094;24142;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;3.914745539836996;A
2020;8165;24142;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;6.239535667656602;A
2020;8255;24142;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;10.877788603115643;A
2018;6949;24097;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;17.612951464378575;A
2018;7058;24097;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;40.51483794155305;A
2018;7605;24097;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;32.380312181164406;A
2018;838683;24097;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;75.71428571405129;A
2018;838684;24097;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;73.41269840812892;A
2018;838685;24097;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;33.84719641527989;A
2018;7627;24097;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;20.81300812702756;A
2018;7663;24097;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;4.61850679082075;A
2018;7716;24097;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;9.427380107503852;A
2018;7859;24097;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;11.964346305056143;A
2018;7958;24097;ES61;38435;PCT_EMPR_QUE_UTIL_ALGU_TIPO_ROBO;9.587981177945535;A
