TEMPORAL;CNAE09;ESTRATO_ASALARIADOS;TERRITORIO;EPD_TAMANOEMPRESA;INDICATOR;OBS_VALUE;FREQ
2009;6949;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;97.95770213532413;A
2009;7058;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;99.39647241122326;A
2009;7605;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;98.94328666938964;A
2009;838683;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;100.0;A
2009;838684;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;100.0;A
2009;838685;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;99.13297581054985;A
2009;7627;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;100.0;A
2009;7714;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;97.92355987416738;A
2009;7716;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;97.30515101711596;A
2009;7859;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;99.48971853231393;A
2009;7958;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;82.8430255433874;A
2009;7888;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;100.0;A
2009;8031;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;100.0;A
2009;8094;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;100.0;A
2009;8165;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;100.0;A
2009;8255;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;99.93361916503203;A
2010;6949;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;97.83761585052814;A
2010;7058;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;100.0;A
2010;7605;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;100.0;A
2010;838683;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;100.0;A
2010;838684;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;100.0;A
2010;838685;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;100.0;A
2010;7627;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;100.0;A
2010;7714;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;94.93624254708169;A
2010;7716;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;98.66913733343783;A
2010;7859;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;100.0;A
2010;7958;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;95.67798828149245;A
2010;7888;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;100.0;A
2010;8031;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;100.0;A
2010;8094;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;100.0;A
2010;8165;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;100.0;A
2010;8255;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;95.37265636911141;A
2011;6949;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;97.81994638297525;A
2011;7058;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;97.67931810867178;A
2011;7605;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;94.28627644264857;A
2011;838683;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;100.0;A
2011;838684;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;100.0;A
2011;838685;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;100.0;A
2011;7627;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;100.0;A
2011;7714;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;98.12547554785014;A
2011;7716;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;97.72329540750714;A
2011;7859;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;98.49704472838783;A
2011;7958;38282;ES61;38435;PCT_EMPR_QUE_DISP_ORDE;98.57147730066703;A
