TEMPORAL;CNAE09;ESTRATO_ASALARIADOS;TERRITORIO;EPD_TAMANOEMPRESA;INDICATOR;OBS_VALUE;FREQ
2008;6949;38282;ES61;38435;TOTA_EMPR;24404.16430877;A
2009;6949;38282;ES61;38435;TOTA_EMPR;20413.433492278;A
2010;6949;38282;ES61;38435;TOTA_EMPR;17930.85317523;A
2011;6949;38282;ES61;38435;TOTA_EMPR;16413.55387334;A
2012;6949;38282;ES61;38435;TOTA_EMPR;14970.25015857;A
2013;6949;38282;ES61;38435;TOTA_EMPR;13819.47507991;A
2014;6949;38282;ES61;38435;TOTA_EMPR;13097.41820615;A
2015;6949;38282;ES61;38435;TOTA_EMPR;12699.42525154;A
2016;6949;38282;ES61;38435;TOTA_EMPR;14099.808254753;A
2017;6949;38282;ES61;38435;TOTA_EMPR;14715.43567687;A
2018;6949;38282;ES61;38435;TOTA_EMPR;15829.38186521;A
2019;6949;38282;ES61;38435;TOTA_EMPR;16405.86096798;A
2020;6949;38282;ES61;38435;TOTA_EMPR;17015.62500129;A
2008;7058;38282;ES61;38435;TOTA_EMPR;4837.40920099;A
2009;7058;38282;ES61;38435;TOTA_EMPR;4230.43408321;A
2010;7058;38282;ES61;38435;TOTA_EMPR;3746.67061543;A
2011;7058;38282;ES61;38435;TOTA_EMPR;3678.80861234;A
2012;7058;38282;ES61;38435;TOTA_EMPR;3511.50601963;A
2013;7058;38282;ES61;38435;TOTA_EMPR;3287.29705111;A
2014;7058;38282;ES61;38435;TOTA_EMPR;2541.53034705;A
2015;7058;38282;ES61;38435;TOTA_EMPR;2575.11582111;A
2016;7058;38282;ES61;38435;TOTA_EMPR;3092.68053397;A
2017;7058;38282;ES61;38435;TOTA_EMPR;3156.45768084;A
2018;7058;38282;ES61;38435;TOTA_EMPR;3288.37342368;A
2019;7058;38282;ES61;38435;TOTA_EMPR;3356.78090935;A
2020;7058;38282;ES61;38435;TOTA_EMPR;3618.2406398;A
2008;7663;38282;ES61;38435;TOTA_EMPR;9392.47115935;A
2009;7663;38282;ES61;38435;TOTA_EMPR;6055.44398307;A
2010;7663;38282;ES61;38435;TOTA_EMPR;4718.78820778;A
2011;7663;38282;ES61;38435;TOTA_EMPR;3721.15711275;A
2012;7663;38282;ES61;38435;TOTA_EMPR;2792.68803701;A
2013;7663;38282;ES61;38435;TOTA_EMPR;1938.08953562;A
2014;7663;38282;ES61;38435;TOTA_EMPR;1808.7954085;A
2015;7663;38282;ES61;38435;TOTA_EMPR;2024.0464472;A
2016;7663;38282;ES61;38435;TOTA_EMPR;2353.51413971;A
2017;7663;38282;ES61;38435;TOTA_EMPR;2435.71282481;A
2018;7663;38282;ES61;38435;TOTA_EMPR;2768.45148275;A
2019;7663;38282;ES61;38435;TOTA_EMPR;3178.76659578;A
2020;7663;38282;ES61;38435;TOTA_EMPR;3202.18647455;A
2008;7716;38282;ES61;38435;TOTA_EMPR;10174.28394843;A
2009;7716;38282;ES61;38435;TOTA_EMPR;10127.555425998;A
2010;7716;38282;ES61;38435;TOTA_EMPR;9465.39435202;A
2011;7716;38282;ES61;38435;TOTA_EMPR;9013.58814825;A
2012;7716;38282;ES61;38435;TOTA_EMPR;8666.05610193;A
2013;7716;38282;ES61;38435;TOTA_EMPR;8594.08849318;A
2014;7716;38282;ES61;38435;TOTA_EMPR;8747.0924506;A
2015;7716;38282;ES61;38435;TOTA_EMPR;8100.26298323;A
2016;7716;38282;ES61;38435;TOTA_EMPR;8653.613581073;A
2017;7716;38282;ES61;38435;TOTA_EMPR;9123.26517122;A
2018;7716;38282;ES61;38435;TOTA_EMPR;9772.55695878;A
2019;7716;38282;ES61;38435;TOTA_EMPR;9870.31346285;A
2020;7716;38282;ES61;38435;TOTA_EMPR;10195.19788694;A
2008;7859;38282;ES61;38435;TOTA_EMPR;4863.62593424;A
2009;7859;38282;ES61;38435;TOTA_EMPR;4832.72502499;A
2010;7859;38282;ES61;38435;TOTA_EMPR;4460.25196998;A
2011;7859;38282;ES61;38435;TOTA_EMPR;4286.41691961;A
2012;7859;38282;ES61;38435;TOTA_EMPR;4234.34249324;A
2013;7859;38282;ES61;38435;TOTA_EMPR;4028.2665426;A
2014;7859;38282;ES61;38435;TOTA_EMPR;4151.05255927;A
2015;7859;38282;ES61;38435;TOTA_EMPR;3828.3287728;A
2016;7859;38282;ES61;38435;TOTA_EMPR;3997.14695131;A
2017;7859;38282;ES61;38435;TOTA_EMPR;4190.78622005;A
2018;7859;38282;ES61;38435;TOTA_EMPR;4488.65531391;A
2019;7859;38282;ES61;38435;TOTA_EMPR;4363.81161618;A
2020;7859;38282;ES61;38435;TOTA_EMPR;4347.11207461;A
2008;7888;38282;ES61;38435;TOTA_EMPR;5310.65801419;A
2009;7888;38282;ES61;38435;TOTA_EMPR;5294.830401008;A
2010;7888;38282;ES61;38435;TOTA_EMPR;5005.14238204;A
2011;7888;38282;ES61;38435;TOTA_EMPR;4727.17122864;A
2012;7888;38282;ES61;38435;TOTA_EMPR;4431.71360869;A
2013;7888;38282;ES61;38435;TOTA_EMPR;4565.82195058;A
2014;7888;38282;ES61;38435;TOTA_EMPR;4596.03989133;A
2015;7888;38282;ES61;38435;TOTA_EMPR;4271.93421043;A
2016;7888;38282;ES61;38435;TOTA_EMPR;4656.466629763;A
2017;7888;38282;ES61;38435;TOTA_EMPR;4932.47895117;A
2018;7888;38282;ES61;38435;TOTA_EMPR;5283.90164487;A
2019;7888;38282;ES61;38435;TOTA_EMPR;5506.50184667;A
2020;7888;38282;ES61;38435;TOTA_EMPR;5848.08581233;A
2008;6949;38282;ES61;38435;PCT_EMPR_QUE_HAN_REAL_VENT_COME_ELEC;8.1191530198719;A
2009;6949;38282;ES61;38435;PCT_EMPR_QUE_HAN_REAL_VENT_COME_ELEC;13.247587731152521;A
2010;6949;38282;ES61;38435;PCT_EMPR_QUE_HAN_REAL_VENT_COME_ELEC;10.642007798022826;A
