D_TEMPORAL_0;D_SEXO_0;D_MCVL_TIPOHOGAR_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2006;3689;273747;3023;Población;501900.0;A
2006;3689;273747;3142;Población;639825.0;A
2006;3689;273747;3143;Población;2770225.0;A
2006;3690;273748;2352;Población;29025.0;A
2006;3690;273748;2402;Población;51500.0;A
2006;3690;273748;2482;Población;37950.0;A
2006;3690;273748;2713;Población;52550.0;A
2006;3690;273748;2797;Población;25975.0;A
2006;3690;273748;2911;Población;37000.0;A
2006;3690;273748;3023;Población;76275.0;A
2006;3690;273748;3142;Población;82075.0;A
2006;3690;273748;3143;Población;392350.0;A
2006;3690;273751;2352;Población;12225.0;A
2006;3690;273751;2402;Población;22650.0;A
2006;3690;273751;2482;Población;12825.0;A
2006;3690;273751;2713;Población;21825.0;A
2006;3690;273751;2797;Población;10250.0;A
2006;3690;273751;2911;Población;12575.0;A
2006;3690;273751;3023;Población;35700.0;A
2006;3690;273751;3142;Población;31000.0;A
2006;3690;273751;3143;Población;159050.0;A
2006;3690;273752;2352;Población;11700.0;A
2006;3690;273752;2402;Población;20325.0;A
2006;3690;273752;2482;Población;21125.0;A
2006;3690;273752;2713;Población;23225.0;A
2006;3690;273752;2797;Población;11725.0;A
2006;3690;273752;2911;Población;20450.0;A
2006;3690;273752;3023;Población;28575.0;A
2006;3690;273752;3142;Población;39775.0;A
2006;3690;273752;3143;Población;176900.0;A
2006;3690;273753;2352;Población;5100.0;A
2006;3690;273753;2402;Población;8525.0;A
2006;3690;273753;2482;Población;4000.0;A
2006;3690;273753;2713;Población;7500.0;A
2006;3690;273753;2797;Población;4000.0;A
2006;3690;273753;2911;Población;3975.0;A
2006;3690;273753;3023;Población;12000.0;A
2006;3690;273753;3142;Población;11300.0;A
2006;3690;273753;3143;Población;56400.0;A
2006;3690;273749;2352;Población;53300.0;A
2006;3690;273749;2402;Población;97775.0;A
2006;3690;273749;2482;Población;83750.0;A
2006;3690;273749;2713;Población;85975.0;A
2006;3690;273749;2797;Población;45725.0;A
2006;3690;273749;2911;Población;66150.0;A
2006;3690;273749;3023;Población;128225.0;A
2006;3690;273749;3142;Población;187050.0;A
2006;3690;273749;3143;Población;747950.0;A
2006;3690;273754;2352;Población;17625.0;A
2006;3690;273754;2402;Población;36675.0;A
2006;3690;273754;2482;Población;24450.0;A
2006;3690;273754;2713;Población;31550.0;A
2006;3690;273754;2797;Población;15250.0;A
2006;3690;273754;2911;Población;21500.0;A
2006;3690;273754;3023;Población;49075.0;A
2006;3690;273754;3142;Población;62575.0;A
2006;3690;273754;3143;Población;258700.0;A
2006;3690;273755;2352;Población;11725.0;A
2006;3690;273755;2402;Población;17475.0;A
2006;3690;273755;2482;Población;23325.0;A
2006;3690;273755;2713;Población;22650.0;A
2006;3690;273755;2797;Población;9675.0;A
2006;3690;273755;2911;Población;15425.0;A
2006;3690;273755;3023;Población;25250.0;A
2006;3690;273755;3142;Población;37800.0;A
2006;3690;273755;3143;Población;163325.0;A
2006;3690;273756;2352;Población;11325.0;A
2006;3690;273756;2402;Población;21925.0;A
2006;3690;273756;2482;Población;17850.0;A
2006;3690;273756;2713;Población;13750.0;A
2006;3690;273756;2797;Población;10150.0;A
2006;3690;273756;2911;Población;13725.0;A
2006;3690;273756;3023;Población;26025.0;A
2006;3690;273756;3142;Población;44525.0;A
2006;3690;273756;3143;Población;159275.0;A
2006;3690;273757;2352;Población;12625.0;A
2006;3690;273757;2402;Población;21700.0;A
2006;3690;273757;2482;Población;18125.0;A
2006;3690;273757;2713;Población;18025.0;A
2006;3690;273757;2797;Población;10650.0;A
