D_TEMPORAL_0;D_SEXO_0;D_MCVL_DIASCOTIZANO_0;D_TERRITORIO_0;D_MCVL_COTIZANTE_0;INDICATOR;OBS_VALUE;FREQ
2006;3689;53685;2352;53591;Población;3150.0;A
2006;3689;53685;2402;53591;Población;6800.0;A
2006;3689;53685;2482;53591;Población;3750.0;A
2006;3689;53685;2713;53591;Población;4475.0;A
2006;3689;53685;2797;53591;Población;2725.0;A
2006;3689;53685;2911;53591;Población;4100.0;A
2006;3689;53685;3023;53591;Población;7775.0;A
2006;3689;53685;3142;53591;Población;10925.0;A
2006;3689;53685;3143;53591;Población;43700.0;A
2006;3689;53686;2352;53591;Población;7650.0;A
2006;3689;53686;2402;53591;Población;12350.0;A
2006;3689;53686;2482;53591;Población;8425.0;A
2006;3689;53686;2713;53591;Población;8425.0;A
2006;3689;53686;2797;53591;Población;5075.0;A
2006;3689;53686;2911;53591;Población;6425.0;A
2006;3689;53686;3023;53591;Población;14650.0;A
2006;3689;53686;3142;53591;Población;16875.0;A
2006;3689;53686;3143;53591;Población;79875.0;A
2006;3689;53687;2352;53591;Población;46900.0;A
2006;3689;53687;2402;53591;Población;95550.0;A
2006;3689;53687;2482;53591;Población;50050.0;A
2006;3689;53687;2713;53591;Población;59825.0;A
2006;3689;53687;2797;53591;Población;41925.0;A
2006;3689;53687;2911;53591;Población;40700.0;A
2006;3689;53687;3023;53591;Población;112175.0;A
2006;3689;53687;3142;53591;Población;132775.0;A
2006;3689;53687;3143;53591;Población;579900.0;A
2006;3689;53688;2352;53591;Población;128750.0;A
2006;3689;53688;2402;53591;Población;199900.0;A
2006;3689;53688;2482;53591;Población;148875.0;A
2006;3689;53688;2713;53591;Población;160425.0;A
2006;3689;53688;2797;53591;Población;91700.0;A
2006;3689;53688;2911;53591;Población;121900.0;A
2006;3689;53688;3023;53591;Población;267250.0;A
2006;3689;53688;3142;53591;Población;343375.0;A
2006;3689;53688;3143;53591;Población;1462175.0;A
2006;3689;53689;2352;53591;Población;186450.0;A
2006;3689;53689;2402;53591;Población;314600.0;A
2006;3689;53689;2482;53591;Población;211100.0;A
